tokens,pos_tags
"['Die', 'doel', 'van', 'die', 'webtuiste', 'vir', 'Suid-Afrikaanse', 'Regeringsdienste', 'is', 'om', ""'n"", 'enkele', 'bron', 'van', 'inligting', 'te', 'bied', 'oor', 'dienste', 'wat', 'deur', 'die', 'Suid-Afrikaanse', 'regering', 'verskaf', 'word', '.']","[3, 4, 7, 3, 4, 7, 6, 4, 10, 7, 3, 14, 4, 7, 4, 8, 2, 7, 4, 1, 7, 3, 6, 4, 2, 10, 9]"
"['Die', 'oogmerk', 'is', 'om', 'die', 'dispariteit', 'te', 'verminder', 'wat', 'tussen', 'die', 'bemagtigdes', 'en', 'die', 'ontmagtigdes', ',', 'oftewel', 'die', 'eerste', 'en', 'tweede', 'ekonomieë', ',', 'bestaan', '.']","[3, 4, 10, 7, 3, 4, 8, 2, 1, 7, 3, 4, 0, 3, 4, 9, 5, 3, 6, 0, 6, 4, 9, 2, 9]"
"['Die', 'webtuiste', 'is', ""'n"", 'kritiese', 'ingryp', 'wat', 'daarop', 'gerig', 'is', 'om', 'seker', 'te', 'maak', 'dat', 'landsburgers', 'met', 'die', 'regering', 'in', 'interaksie', 'sal', 'kan', 'tree', '.']","[3, 4, 10, 3, 6, 4, 1, 1, 2, 10, 7, 13, 8, 2, 5, 4, 7, 3, 4, 7, 4, 10, 10, 2, 9]"
"['Die', 'bedoelde', 'gebruikers', 'van', 'die', 'webtuiste', 'is', 'Suid-Afrikaanse', 'burgers', 'in', 'alle', 'dele', 'van', 'die', 'land', ',', 'huidige', 'of', 'voornemende', 'Suid-Afrikaanse', 'sakeondernemings', 'of', 'organisasies', ',', 'en', 'burgers', 'en', 'organisasies', 'van', 'ander', 'lande', 'wat', 'dienste', 'deur', 'die', 'Suid-Afrikaanse', 'regering', 'nodig', 'het', '.']","[3, 6, 4, 7, 3, 4, 10, 6, 4, 7, 3, 4, 7, 3, 4, 9, 6, 0, 6, 6, 4, 0, 4, 9, 0, 4, 0, 4, 7, 6, 4, 1, 4, 7, 3, 6, 4, 13, 2, 9]"
"[""'n"", 'Kritiese', 'sektor', 'van', 'gebruikers', 'is', 'al', 'die', 'tussengangers', ',', 'soos', 'die', 'Veeldoelige', 'Gemeenskapsentra', '(', 'MPCCs', ')', ',', 'Gemeenskapontwikkelingswerkers', '(', ""GOW's"", ')', 'en', 'die', 'Batho', 'Pele', 'Gateway-inbelsentrum', ',', 'wat', 'diegene', 'wat', 'nie', 'in', 'staat', 'is', 'om', 'regstreeks', 'toegang', 'tot', 'die', 'Internet', 'te', 'kry', 'nie', ',', 'sal', 'help', 'om', 'die', 'webtuiste', 'te', 'gebruik', '.']","[3, 6, 4, 7, 4, 10, 3, 3, 4, 9, 5, 3, 6, 4, 9, 15, 9, 9, 4, 9, 15, 9, 0, 3, 11, 11, 4, 9, 1, 1, 1, 13, 7, 4, 10, 7, 13, 4, 7, 3, 11, 8, 2, 8, 9, 10, 2, 7, 3, 4, 8, 2, 9]"
"['Die', 'webtuiste', 'bevat', 'inligting', 'oor', 'regeringsdienste', 'wat', 'op', 'die', 'nasionale', 'regeringsvlak', 'aangebied', 'word', '.']","[3, 4, 2, 4, 7, 4, 1, 7, 3, 6, 4, 2, 10, 9]"
"['Dienste', 'vir', 'buitelandse', 'burgers', ':', 'inligting', 'wat', 'spesifiek', 'bedoel', 'is', 'vir', 'burgers', 'van', 'ander', 'lande', 'wat', 'toepaslike', 'dienste', 'van', 'die', 'Suid-Afrikaanse', 'regering', 'nodig', 'het', '.']","[4, 7, 6, 4, 9, 4, 1, 13, 6, 10, 7, 4, 7, 6, 4, 1, 6, 4, 7, 3, 6, 4, 13, 2, 9]"
"['Elk', 'van', 'hierdie', 'kategorieë', 'is', 'verder', 'op', 'so', ""'n"", 'wyse', 'gestruktureer', 'dat', 'dit', 'aanpas', 'by', 'die', 'volgorde', 'van', 'lewensgebeure', '(', 'tipiese', 'gebeure', 'in', 'die', 'lewe', 'van', ""'n"", 'burger', 'of', ""'n"", 'sakeonderneming', ')', '.']","[1, 7, 3, 4, 10, 13, 7, 5, 3, 4, 2, 5, 1, 2, 7, 3, 4, 7, 4, 9, 6, 4, 7, 3, 4, 7, 3, 4, 0, 3, 4, 9, 9]"
"['Hierdie', 'lewensgebeure', 'is', 'verder', 'in', 'kategorieë', 'volgens', 'lewensfases', 'ingedeel', '.']","[3, 4, 10, 13, 7, 4, 7, 4, 2, 9]"
"['Inligting', 'ten', 'opsigte', 'van', 'elke', 'diens', 'is', 'volgens', 'sewe', 'sleutelareas', 'gerangskik', ',', 'naamlik', 'beskrywing', ',', 'stappe', 'om', 'te', 'volg', ',', 'wetlike', 'raamwerk', ',', 'diensstandaard', ';', 'koste', ',', 'vorms', 'om', 'in', 'te', 'vul', ',', 'en', 'kontakbesonderhede', '.']","[4, 7, 4, 7, 1, 4, 10, 7, 14, 4, 2, 9, 13, 4, 9, 4, 7, 8, 2, 9, 6, 4, 9, 4, 9, 4, 9, 4, 7, 13, 8, 2, 9, 0, 4, 9]"
"['Hierdie', 'afdeling', 'van', 'die', 'webtuiste', ',', 'wat', 'in', 'die', 'regterkantste', 'navigasiebalk', 'vertoon', 'word', ',', 'bevat', 'skakels', 'na', 'die', 'webtuistes', 'wat', 'aan', 'daardie', 'lewensgebeurtenis', 'verwant', 'is', '.']","[3, 4, 7, 3, 4, 9, 1, 7, 3, 6, 4, 2, 10, 9, 2, 4, 7, 3, 4, 1, 7, 3, 4, 6, 10, 9]"
"['Hierdie', 'weergawe', 'van', 'die', 'webtuiste', 'maak', 'voorsiening', 'vir', 'elf', 'tale', ',', 'naamlik', 'Engels', ',', 'Afrikaans', ',', 'isiXhosa', ',', 'isiZulu', ',', 'Sepedi', ',', 'Sesotho', ',', 'Setswana', ',', 'Ndebele', ',', 'Tsonga', ',', 'Venda', 'en', 'Siswati', '.']","[3, 4, 7, 3, 4, 2, 4, 7, 14, 4, 9, 13, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 0, 11, 9]"
"['Ten', 'einde', 'toegang', 'tot', 'die', 'inligting', 'op', 'die', 'webtuiste', 'uit', 'te', 'brei', ',', 'word', 'daar', 'in', 'die', 'vooruitsig', 'gestel', 'dat', 'die', 'inligting', 'uiteindelik', 'in', 'al', 'elf', 'amptelike', 'tale', 'beskikbaar', 'sal', 'wees', '.']","[7, 4, 4, 7, 3, 4, 7, 3, 4, 13, 8, 2, 9, 10, 1, 7, 3, 4, 2, 5, 3, 4, 13, 7, 3, 14, 6, 4, 6, 10, 10, 9]"
"['Vertaling', 'van', 'die', 'inligting', 'in', 'die', 'oorblywende', 'amptelike', 'tale', 'sal', 'na', 'verwagting', 'teen', 'Maart', '2007', 'afgehandel', 'wees', '.']","[4, 7, 3, 4, 7, 3, 6, 6, 4, 10, 7, 4, 7, 11, 12, 6, 10, 9]"
"['Dienste-inligting', 'word', 'oorspronklik', 'in', 'Engels', 'opgestel', ',', 'waarna', 'dit', 'in', 'die', 'ander', 'tale', 'vertaal', 'word', '.']","[4, 10, 13, 7, 11, 2, 9, 1, 1, 7, 3, 6, 4, 2, 10, 9]"
"['Dienste-inligting', 'word', 'in', 'die', 'ander', 'tale', 'geplaas', 'nadat', 'dit', 'vertaal', 'is', '.']","[4, 10, 7, 3, 6, 4, 2, 5, 1, 2, 10, 9]"
"['Gebruik', 'die', 'Kontak', 'ons', 'bladsy', 'om', 'kommentaar', 'te', 'lewer', 'oor', 'of', 'navraag', 'te', 'doen', 'na', 'die', 'Regeringsdienste-webtuiste', '.']","[2, 3, 2, 1, 4, 7, 4, 8, 2, 7, 0, 4, 8, 2, 7, 3, 4, 9]"
"['Die', 'www.gov.za-skakel', 'voorsien', 'toegang', 'tot', 'die', 'Suid-Afrikaanse', 'Regering', 'Aanlyn', 'tuisbladsy', ',', 'wat', 'toegang', 'verskaf', 'tot', 'die', 'webtuiste', '(', 'Regeringsdienste-webtuiste', ')', 'en', 'die', 'Regeringsinligting-webtuiste', '(', 'www.info.gov.za', ')', '.']","[3, 4, 2, 4, 7, 3, 6, 4, 6, 4, 9, 1, 4, 2, 7, 3, 4, 9, 4, 9, 0, 3, 4, 9, 11, 9, 9]"
"['Die', 'werfkaart', 'verskaf', ""'n"", 'visuele', 'voorstelling', 'van', 'die', 'struktuur', 'van', 'die', 'webtuiste', '.']","[3, 4, 2, 3, 6, 4, 7, 3, 4, 7, 3, 4, 9]"
"['Dit', 'word', 'hiërargies', 'aangebied', ',', 'en', 'verdeel', 'die', 'webtuiste', 'se', 'inligting', 'in', 'steeds', 'meer', 'spesifieke', 'onderwerpareas', '.']","[1, 10, 13, 2, 9, 0, 2, 3, 4, 8, 4, 7, 13, 13, 6, 4, 9]"
"['Dit', 'stel', 'jou', 'dus', 'in', 'staat', 'om', 'jouself', 'ooreenkomstig', 'die', 'inhoudstruktuur', 'van', 'die', 'webtuiste', 'te', 'oriënteer', '.']","[1, 2, 1, 13, 7, 4, 7, 1, 7, 3, 4, 7, 3, 4, 8, 2, 9]"
"['Die', 'tuisbladsy', 'verskaf', ""'n"", 'lys', 'van', 'die', 'mees', 'besoekte', 'dienste', '.']","[3, 4, 2, 3, 4, 7, 3, 13, 6, 4, 9]"
