tokens,pos_tags
"['Ἡροδότου', 'Ἁλικαρνησσέος', 'ἱστορίης', 'ἀπόδεξις', 'ἥδε', 'ὡς', 'μήτε', 'τὰ', 'γενόμενα', 'ἐξ', 'ἀνθρώπων', 'τῷ', 'χρόνῳ', 'ἐξίτηλα', 'γένηται', 'μήτε', 'ἔργα', 'μεγάλα', 'τε', 'καὶ', 'θωμαστά', 'τὰ', 'μὲν', 'Ἕλλησι', 'τὰ', 'δὲ', 'βαρβάροισι', 'ἀποδεχθέντα', 'ἀκλεᾶ', 'γένηται', 'τά', 'τε', 'ἄλλα', 'καὶ', 'δι’', 'ἣν', 'αἰτίην', 'ἐπολέμησαν', 'ἀλλήλοισι']","[0, 1, 1, 1, 2, 3, 4, 2, 5, 6, 1, 2, 1, 7, 5, 4, 1, 7, 4, 4, 7, 8, 9, 1, 8, 9, 1, 5, 7, 5, 2, 4, 7, 4, 6, 8, 1, 5, 8]"
"['Περσέων', 'μέν', 'νυν', 'οἱ', 'λόγιοι', 'Φοίνικας', 'αἰτίους', 'φασὶ', 'γενέσθαι', 'τῆς', 'διαφορῆς']","[1, 9, 9, 2, 1, 1, 7, 5, 5, 2, 1]"
"['τούτους', 'γὰρ', 'ἀπὸ', 'τῆς', 'Ἐρυθρῆς', 'καλεομένης', 'θαλάσσης', 'ἀπικομένους', 'ἐπὶ', 'τήνδε', 'τὴν', 'θάλασσαν', 'καὶ', 'οἰκήσαντας', 'τοῦτον', 'τὸν', 'χῶρον', 'τὸν', 'καὶ', 'νῦν', 'οἰκέουσι', 'αὐτίκα', 'ναυτιλίῃσι', 'μακρῇσι', 'ἐπιθέσθαι', 'ἀπαγινέοντας', 'δὲ', 'φορτία', 'Αἰγύπτιά', 'τε', 'καὶ', 'Ἀσσύρια', 'τῇ', 'τε', 'ἄλλῃ', 'ἐσαπικνέεσθαι', 'καὶ', 'δὴ', 'καὶ', 'ἐς', 'Ἄργος']","[7, 9, 6, 2, 7, 5, 1, 5, 6, 2, 2, 1, 4, 5, 2, 2, 1, 8, 4, 9, 5, 9, 1, 7, 5, 5, 9, 1, 7, 4, 4, 7, 2, 4, 9, 5, 4, 9, 9, 6, 0]"
"['τὸ', 'δὲ', 'Ἄργος', 'τοῦτον', 'τὸν', 'χρόνον', 'προεῖχε', 'ἅπασι', 'τῶν', 'ἐν', 'τῇ', 'νῦν', 'Ἑλλάδι', 'καλεομένῃ', 'χωρῇ']","[2, 9, 0, 2, 2, 1, 5, 7, 2, 6, 2, 9, 0, 5, 1]"
"['ἀπικομένους', 'δὲ', 'τούς', 'Φοίνικας', 'ἐς', 'δὴ', 'τὸ', 'Ἄργος', 'τοῦτο', 'διατίθεσθαι', 'τὸν', 'φόρτον']","[5, 9, 2, 1, 6, 9, 2, 0, 2, 5, 2, 1]"
"['πέμπτῃ', 'δὲ', 'ἢ', 'ἕκτῃ', 'ἡμέρῃ', 'ἀπ’', 'ἧς', 'ἀπίκοντο', 'ἐξεμπολημένων', 'σφι', 'σχεδόν', 'πάντων', 'ἐλθεῖν', 'ἐπὶ', 'τὴν', 'θάλασσαν', 'γυναῖκας', 'ἄλλας', 'τε', 'πολλάς', 'καὶ', 'δὴ', 'καὶ', 'τοῦ', 'βασιλέος', 'θυγατέρα']","[7, 9, 4, 7, 1, 6, 8, 5, 5, 8, 9, 7, 5, 6, 2, 1, 1, 7, 4, 7, 4, 9, 9, 2, 1, 1]"
"['τὸ', 'δέ', 'οἱ', 'οὔνομα', 'εἶναι', 'κατὰ', 'τὸ', 'αὐτὸ', 'τὸ', 'καὶ', 'Ἕλληνές', 'λέγουσι', 'Ἰοῦν', 'τὴν', 'Ἰνάχου']","[2, 9, 8, 1, 10, 6, 2, 8, 7, 9, 1, 5, 0, 2, 0]"
"['ταύτας', 'στάσας', 'κατά', 'πρύμνην', 'τῆς', 'νεὸς', 'ὠνέεσθαι', 'τῶν', 'φορτίων', 'τῶν', 'σφι', 'ἦν', 'θυμός', 'μάλιστα']","[7, 5, 6, 1, 2, 1, 5, 2, 1, 8, 8, 10, 1, 9]"
"['καὶ', 'τοὺς', 'Φοίνικας', 'διακελευσαμένους', 'ὁρμῆσαι', 'ἐπ’', 'αὐτάς']","[4, 2, 1, 5, 5, 6, 8]"
"['τὰς', 'μὲν', 'δὴ', 'πλεῦνας', 'τῶν', 'γυναικῶν', 'ἀποφυγεῖν', 'τὴν', 'δὲ', 'Ἰοῦν', 'σὺν', 'ἄλλῃσι', 'ἁρπασθῆναι']","[2, 9, 9, 7, 2, 1, 5, 2, 9, 0, 6, 7, 5]"
