tokens,pos_tags
"['ἐρᾷ', 'μὲν', 'ἁγνὸς', 'οὐρανὸς', 'τρῶσαι', 'χθόνα', ',', 'ἔρως', 'δὲ', 'γαῖαν', 'λαμβάνει', 'γάμου', 'τυχεῖν', '·']","['VERB', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['ὄμβρος', 'δ̓', 'ἀπ̓', 'εὐνάοντος', 'οὐρανοῦ', 'πεσὼν', 'ἔκυσε', 'γαῖαν', '·']","['NOUN', 'ADV', 'ADP', 'ADJ', 'NOUN', 'VERB', 'VERB', 'NOUN', 'PUNCT']"
"['ἡ', 'δὲ', 'τίκτεται', 'βροτοῖς', 'μήλων', 'τε', 'βοσκὰς', 'καὶ', 'βίον', 'Δημήτριον', '·']","['DET', 'ADV', 'VERB', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT']"
"['δενδρῶτις', 'ὥρα', 'δ̓', 'ἐκ', 'νοτίζοντος', 'γάμου', 'τέλειος', 'ἐστί', '.']","['NOUN', 'NOUN', 'ADV', 'ADP', 'VERB', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['ἐν', 'Ἱππολύτῳ', 'Εὐριπιδείῳ', 'πάλιν', 'ἡ', 'Ἀφροδίτη', 'φησίν', '·']","['ADP', 'NOUN', 'ADJ', 'ADV', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['ὅσοι', 'τε', 'Πόντου', 'τερμόνων', 'τ̓', 'Ἀτλαντικῶν', 'ναίουσιν', 'εἴσω', 'φῶς', 'ὁρῶντες', 'ἡλίου', ',', 'τοὺς', 'μὲν', 'σέβοντας', 'τἀμὰ', 'πρεσβεύω', 'κράτη', ',', 'σφάλλω', 'δ̓', 'ὅσοι', 'φρονοῦσιν', 'εἰς', 'ἡμᾶς', 'μέγα', '.']","['ADJ', 'ADV', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'VERB', 'ADV', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'DET', 'ADV', 'VERB', 'ADJ', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'CCONJ', 'ADJ', 'VERB', 'ADP', 'PRON', 'ADJ', 'PUNCT']"
"['νεανίσκῳ', 'γὰρ', 'τὴν', 'πᾶσαν', 'ἀρετὴν', 'ἔχοντι', 'τοῦτο', 'μόνον', 'τὸ', 'ἁμάρτημα', 'προσόν', ',', 'ὅτι', 'οὐκ', 'ἐτίμα', 'τὴν', 'Ἀφροδίτην', ',', 'αἴτιον', 'ἐγένετο', 'τοῦ', 'ὀλέθρου', '·']","['NOUN', 'ADV', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'DET', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'VERB', 'DET', 'NOUN', 'PUNCT']"
"['καὶ', 'οὔτε', 'ἡ', 'Ἄρτεμις', 'ἡ', 'περισσῶς', 'ἀγαπήσασα', 'οὔτε', 'τῶν', 'ἄλλων', 'θεῶν', 'τις', 'ἢ', 'δαιμόνων', 'ἐβοήθησεν', 'αὐτῷ', '.']","['ADV', 'ADV', 'DET', 'NOUN', 'DET', 'ADV', 'VERB', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'PRON', 'CCONJ', 'NOUN', 'VERB', 'PRON', 'PUNCT']"
"['ὅστις', 'δ̓', 'Ἔρωτα', 'μὴ', 'μέγαν', 'κρίνει', 'θεόν', ',', 'ἢ', 'σκαιός', 'ἐστιν', 'ἢ', 'καλῶν', 'ἄπειρος', 'ὢν', 'οὐκ', 'οἶδε', 'τὸν', 'μέγιστον', 'ἀνθρώποις', 'θεόν', '.']","['PRON', 'ADV', 'NOUN', 'ADV', 'ADJ', 'VERB', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'VERB', 'CCONJ', 'ADJ', 'ADJ', 'VERB', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']"
"['ὃν', 'ὁ', 'σοφὸς', 'ὑμνῶν', 'αἰεί', 'ποτε', 'Ἀνακρέων', 'πᾶσίν', 'ἐστιν', 'διὰ', 'στόματος', '.']","['PRON', 'DET', 'ADJ', 'VERB', 'ADV', 'ADV', 'NOUN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
