tokens,pos_tags
"['Մտածում', 'եմ', '՝', 'Ադամի', 'ու', 'Եվայի', 'վտարումը', 'Եդեմական', 'այգուց', '(', 'դրախտից', ')', ',', 'նրանց', 'տեղափոխումն', 'այլ', 'վայր', ',', 'ուր', 'շրջակայքն', 'այլևս', 'բարեկամական', 'չէր', ',', 'այլ', 'խիստ', 'թշնամական', ',', 'ուր', 'իրենց', 'հացը', 'պիտի', 'տանջանքով', 'վաստակեին', ',', 'նույն', 'մոլորակի', 'սահմաններում', 'չէր', ',', 'որ', 'կատարվեց', ':']","['VERB', 'AUX', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT', 'ADV', 'NOUN', 'ADV', 'ADJ', 'AUX', 'PUNCT', 'CCONJ', 'ADJ', 'ADJ', 'PUNCT', 'ADV', 'DET', 'NOUN', 'AUX', 'NOUN', 'VERB', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'AUX', 'PUNCT', 'SCONJ', 'VERB', 'PUNCT']"
"['Եդեմն', 'այլ', 'մոլորակ', 'էր', ',', 'աքսորավայրը', '՝', 'այլ', ',', 'այսինքն', '՝', 'այս', ',', 'ուր', 'այժմ', 'էլ', 'բնակվում', 'ենք', ',', 'բայց', 'միշտ', 'նայում', 'ենք', 'երկինք', '՝', 'բնազդում', 'դրոշմված', 'հիշողությամբ', 'Եդեմը', 'որոնելով', '։']","['NOUN', 'DET', 'NOUN', 'AUX', 'PUNCT', 'NOUN', 'PUNCT', 'PRON', 'PUNCT', 'CCONJ', 'PUNCT', 'PRON', 'PUNCT', 'ADV', 'ADV', 'ADV', 'VERB', 'AUX', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'AUX', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Իսկ', 'այն', 'չկա', ',', 'Տերը', 'պայթեցրել', 'է', 'կամ', 'գուցե', 'ամայացրել', ',', 'բնակության', 'համար', 'անպիտան', 'դարձրել', ',', 'կամ', 'էլ', 'կա', 'ու', 'ախտահանվում', 'է', '՝', 'նոր', 'բնակիչներ', 'ընդունելու', 'համար', '։']","['CCONJ', 'PRON', 'VERB', 'PUNCT', 'PROPN', 'VERB', 'AUX', 'CCONJ', 'PART', 'VERB', 'PUNCT', 'NOUN', 'ADP', 'ADJ', 'VERB', 'PUNCT', 'CCONJ', 'PART', 'VERB', 'CCONJ', 'VERB', 'AUX', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PUNCT']"
"['Մի', 'խոսքով', '՝', 'մենք', 'դրա', 'հետ', 'էլ', 'գործ', 'չունենք', ',', 'մերը', 'չէ', 'այլևս', ',', 'մերը', 'սա', 'է', '՝', 'դժոխքը', ',', 'որը', ',', 'սակայն', ',', 'հասցրել', 'ենք', 'սիրել', '.', 'դեհ', ',', 'շանը', 'որտեղ', 'էլ', 'կապես', ',', 'կապվում', '-', 'ընտելանում', '-', 'սիրում', 'է', '։']","['NUM', 'NOUN', 'PUNCT', 'PRON', 'PRON', 'ADP', 'ADV', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'AUX', 'ADV', 'PUNCT', 'PRON', 'PRON', 'AUX', 'PUNCT', 'NOUN', 'PUNCT', 'PRON', 'PUNCT', 'CCONJ', 'PUNCT', 'VERB', 'AUX', 'VERB', 'PUNCT', 'INTJ', 'PUNCT', 'NOUN', 'ADV', 'ADV', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'AUX', 'PUNCT']"
"['Իրականում', 'հեչ', 'սիրելու', 'բան', 'չի', '.', 'հա', ',', 'էլի', 'որ', '՝', 'կապույտ', 'երկինք', ',', 'ծովեր', ',', 'անտառներ', ',', 'դաշտեր', ':']","['ADV', 'ADV', 'VERB', 'NOUN', 'AUX', 'PUNCT', 'INTJ', 'PUNCT', 'PART', 'PART', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']"
"['Բայց', 'դե', 'ի', 'սկզբանե', 'հո', 'սիրելի', 'չի՞', 'չի', '՞', 'եղել', '։']","['CCONJ', 'INTJ', 'ADP', 'NOUN', 'INTJ', 'ADJ', None, 'AUX', 'PUNCT', 'VERB', 'PUNCT']"
"['Ի', 'սկզբանե', 'մեր', 'ուշքումիտքն', 'ինքնապահպանումն', 'էր', ',', 'ստամոքսը', 'լցնելը', ',', 'էդ', 'հետո', ',', 'երբ', 'անտառից', 'փախանք', ',', 'քաղաքակրթություն', 'ստեղծեցինք', ',', 'ազատ', 'ու', 'համեմատաբար', 'անվտանգ', 'ժամանակ', 'ունեցանք', 'ուրիշ', ',', 'անտագնապ', 'աչքով', 'մեր', 'շուրջը', 'նայելու', ':']","['ADP', 'NOUN', 'DET', 'NOUN', 'NOUN', 'AUX', 'PUNCT', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'ADV', 'PUNCT', 'ADV', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'CCONJ', 'ADV', 'ADJ', 'NOUN', 'VERB', 'DET', 'PUNCT', 'ADJ', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['Իրականում', '՝', 'սարսափ', 'է', 'էս', 'մեր', 'մոլորակը', ',', 'դժոխքն', 'է', ',', 'որ', 'կա', ',', 'էստեղ', 'ապրելու', 'բանաձևը', 'բոլորի', 'համար', 'անփոփոխ', 'միակն', 'է', '՝', 'որսալ', 'ու', 'խժռել', 'ուրիշին', ',', 'արագ', ',', 'քանի', 'քեզ', 'չեն', 'խժռել', '...']","['ADV', 'PUNCT', 'NOUN', 'AUX', 'DET', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'PUNCT', 'SCONJ', 'VERB', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'PRON', 'ADP', 'ADJ', 'NOUN', 'AUX', 'PUNCT', 'VERB', 'CCONJ', 'VERB', 'PRON', 'PUNCT', 'ADV', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PUNCT']"
"['Հիմա', ',', 'այո', ',', 'հաջողացրինք', 'փախչել', 'անտառներից', ',', 'ու', 'միմյանց', 'խժռելու', 'սարսափը', 'կարծես', 'թե', 'թողեցինք', 'էնտեղ', 'մնացածներին', ',', 'իսկ', 'մենք', 'խժռում', 'ենք', 'էնտեղից', 'հետներս', 'բերածներին', ',', 'աճեցնում', 'ենք', ',', 'բազմացնում', ',', 'բուծում', '՝', 'խժռում', ',', 'բուծում', '՝', 'խժռում', '...']","['ADV', 'PUNCT', 'INTJ', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'NOUN', 'PART', 'PART', 'VERB', 'ADV', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'AUX', 'PRON', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'AUX', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Է', 'հա', ',', 'բա', 'ինչ', 'անենք', ',', 'հո', 'սոված', 'չե՞նք', 'չենք', '՞', 'մնալու', '։']","['AUX', 'INTJ', 'PUNCT', 'INTJ', 'PRON', 'VERB', 'PUNCT', 'INTJ', 'ADJ', None, 'AUX', 'PUNCT', 'VERB', 'PUNCT']"
