tokens,pos_tags
"['Gero', ',', 'lortutako', 'masa', 'molde', 'batean', 'jarri', '.']","[0, 1, 2, 3, 3, 4, 2, 1]"
"['Bestalde', ',', '""', 'herri', 'palestinarrari', 'laguntza', 'tekniko', 'eta', 'ekonomikoa', 'ematen', 'jarraitzeko', 'eta', 'Estatu', 'baketsu', 'eta', 'demokratiko', 'baten', 'ordezkari', 'diren', 'erakunde', 'palestinarrak', 'indartzeko', 'lanean', 'jarraitzeko', 'konpromisoa', '""', 'baieztatu', 'zuen', 'EBk', '.']","[5, 1, 1, 3, 6, 3, 6, 5, 6, 2, 2, 5, 3, 6, 5, 6, 4, 3, 7, 3, 6, 2, 3, 2, 3, 1, 2, 7, 8, 1]"
"['Tour', 'hartan', 'bistaratu', 'zitzaizkon', 'lehendabiziko', 'aldiz', ',', 'mendian', 'zituen', 'benetako', 'zailtasunak', '.']","[8, 9, 2, 7, 4, 3, 1, 3, 2, 6, 3, 1]"
"['Nik', 'ere', 'ez', 'eta', 'hasten', 'naiz', 'inketatzen', '.']","[10, 5, 11, 5, 2, 7, 2, 1]"
"['Zidane', ',', 'Henry', ',', 'Barthez', ',', 'Deschamps', ',', 'Blanc', 'eta', 'enparauek', 'Eurokopako', 'talde', 'sendoena', 'osatzen', 'dute', 'aditu', 'gehienentzat', '.']","[8, 1, 8, 1, 8, 1, 8, 1, 8, 5, 6, 8, 3, 6, 2, 7, 3, 9, 1]"
"['Napoliko', 'erregeordea', 'zen', 'Lemosko', 'kondearen', 'idazkari', 'izan', 'zen', 'eta', ',', 'bere', 'anaia', 'Bartolomek', 'esaten', 'duenez', ',', 'erre', 'egin', 'zituen', 'bere', 'poemak', 'hiri', 'hartan', '.']","[8, 3, 7, 8, 3, 3, 7, 7, 5, 1, 9, 3, 8, 2, 7, 1, 2, 2, 7, 9, 3, 3, 9, 1]"
"['Guk', 'errespetu', 'handia', 'diogu', 'Alavesi', ',', 'eta', 'espero', 'dugu', 'partidu', 'ona', 'egitea', ',', 'hiru', 'puntuak', 'irabazteko', '.']","[10, 3, 6, 7, 8, 1, 5, 3, 2, 3, 6, 2, 1, 4, 3, 2, 1]"
"['Beraz', ',', 'elkarri', 'neurria', 'hartzeko', 'modua', 'ukanen', 'dute', '.']","[5, 1, 10, 3, 2, 3, 2, 7, 1]"
"['Urrea', 'kendu', 'egin', 'zioten', ',', 'laguntza', 'jaso', 'zuelako', ',', 'baina', 'nor', 'gogoratzen', 'da', 'irabazlearen', 'izenaz', '?']","[3, 2, 2, 7, 1, 3, 2, 7, 1, 5, 10, 2, 7, 3, 3, 1]"
"['Zer', 'egin', '?']","[9, 2, 1]"
"['Txara', '1', 'Egoitzako', 'sukalderako', 'ekipamendua', 'erostea', '.']","[8, 4, 3, 3, 3, 2, 1]"
"['atzerritarren', 'sarbidea', ',', 'beraz', ',', 'eskaera', 'onartzen', 'zaien', 'baldintzapean', 'gertatzen', 'da', '.']","[6, 3, 1, 5, 1, 3, 2, 7, 0, 2, 7, 1]"
"['""', 'Jokalari', 'apartak', 'ditu', '.']","[1, 3, 6, 2, 1]"
"['Donostiako', 'aurrelariak', 'entrenamendua', 'normaltasunez', 'amaitu', 'bazuen', 'ere', ',', 'etxera', 'heltzean', 'buruko', 'mina', 'zuelako', ',', 'ospitalera', 'joatea', 'erabaki', 'zuen', '.']","[8, 3, 3, 3, 2, 7, 5, 1, 3, 2, 3, 3, 2, 1, 3, 2, 2, 7, 1]"
