tokens,pos_tags
"['В', 'дискусията', ',', 'предполагам', ',', 'ще', 'се', 'засегнат', 'важни', 'въпроси', '.']","['ADP', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'AUX', 'PRON', 'VERB', 'ADJ', 'NOUN', 'PUNCT']"
"['Дългият', 'път', ',', 'изглежда', ',', 'го', 'беше', 'уморил', '.']","['ADJ', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'PRON', 'AUX', 'VERB', 'PUNCT']"
"['За', 'щастие', ',', 'той', 'не', 'уби', 'никого', '.']","['ADP', 'NOUN', 'PUNCT', 'PRON', 'PART', 'VERB', 'PRON', 'PUNCT']"
"['Наистина', ',', 'това', 'беше', 'прилеп', '.']","['ADV', 'PUNCT', 'PRON', 'AUX', 'NOUN', 'PUNCT']"
"['Ние', ',', 'разбира', 'се', ',', 'не', 'можем', 'да', 'се', 'задоволим', 'с', 'това', '.']","['PRON', 'PUNCT', 'VERB', 'PRON', 'PUNCT', 'PART', 'VERB', 'AUX', 'PRON', 'VERB', 'ADP', 'PRON', 'PUNCT']"
"['Очевидно', ',', 'нещастният', 'не', 'беше', 'създаден', 'за', 'шпионин', '.']","['ADV', 'PUNCT', 'ADJ', 'PART', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['Ротата', 'им', ',', 'кажи-речи', ',', 'е', 'цялата', 'нашенска', '.']","['NOUN', 'PRON', 'PUNCT', 'INTJ', 'PUNCT', 'AUX', 'ADJ', 'ADJ', 'PUNCT']"
"['Тия', 'думи', 'на', 'стареца', 'не', 'трогнаха', 'Павел', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'PART', 'VERB', 'PROPN', 'PUNCT']"
"['Впрочем', 'вече', 'се', 'нахраних', ',', 'ето', 'виж', '.']","['ADV', 'ADV', 'PRON', 'VERB', 'PUNCT', 'PART', 'VERB', 'PUNCT']"
"['Да', 'не', 'си', 'бил', 'болен', '?']","['AUX', 'PART', 'AUX', 'AUX', 'ADJ', 'PUNCT']"
"['Да', 'плуваш', 'ли', 'можеш', '?']","['AUX', 'VERB', 'PART', 'VERB', 'PUNCT']"
"['Да', 'си', 'лягам', 'вече', '?']","['AUX', 'PRON', 'VERB', 'ADV', 'PUNCT']"
"['Да', 'си', 'лягам', 'ли', 'вече', '?']","['AUX', 'PRON', 'VERB', 'PART', 'ADV', 'PUNCT']"
"['Дали', 'да', 'си', 'лягам', 'вече', '?']","['PART', 'AUX', 'PRON', 'VERB', 'ADV', 'PUNCT']"
"['Можеш', 'ли', 'да', 'плуваш', '?']","['VERB', 'PART', 'AUX', 'VERB', 'PUNCT']"
"['Някой', 'от', 'вас', 'да', 'играе', 'табла', '?']","['DET', 'ADP', 'PRON', 'AUX', 'VERB', 'NOUN', 'PUNCT']"
"['Няма', 'ли', 'да', 'вечеряте', '?']","['VERB', 'PART', 'AUX', 'VERB', 'PUNCT']"
"['Няма', 'ли', 'да', 'седнете', '?']","['VERB', 'PART', 'AUX', 'VERB', 'PUNCT']"
"['Ти', 'не', 'си', 'ли', 'чул', 'какво', 'се', 'говори', 'за', 'нас', 'из', 'града', '?']","['PRON', 'PART', 'AUX', 'PART', 'VERB', 'DET', 'PRON', 'VERB', 'ADP', 'PRON', 'ADP', 'NOUN', 'PUNCT']"
