tokens,pos_tags
"['里', '仁', '篇', '第', '四']","[0, 1, 1, 1, 2]"
"['子', '曰']","[1, 0]"
"['里', '仁', '為', '美']","[0, 1, 3, 1]"
"['擇', '不', '處', '仁', '焉', '得', '知']","[0, 4, 0, 1, 4, 3, 0]"
"['子', '曰']","[1, 0]"
"['不', '仁', '者', '不', '可', '以', '久', '處', '約']","[4, 0, 5, 4, 3, 0, 0, 0, 1]"
"['不', '可', '以', '長', '處', '樂']","[4, 3, 0, 0, 0, 1]"
"['仁', '者', '安', '仁']","[0, 5, 0, 0]"
"['知', '者', '利', '仁']","[0, 5, 0, 0]"
"['子', '曰']","[1, 0]"
"['唯', '仁', '者', '能', '好', '人', '能', '惡', '人']","[4, 0, 5, 3, 0, 1, 3, 0, 1]"
"['子', '曰']","[1, 0]"
"['苟', '志', '於', '仁', '矣']","[4, 0, 6, 1, 5]"
"['無', '惡', '也']","[4, 0, 5]"
"['子', '曰']","[1, 0]"
"['富', '與', '貴', '是', '人', '之', '所', '欲', '也']","[0, 6, 0, 7, 1, 8, 5, 0, 5]"
"['不', '以', '其', '道', '得', '之']","[4, 0, 7, 1, 0, 7]"
"['不', '處', '也']","[4, 0, 5]"
"['貧', '與', '賤', '是', '人', '之', '所', '惡', '也']","[0, 6, 0, 7, 1, 8, 5, 0, 5]"
"['不', '以', '其', '道', '得', '之']","[4, 0, 7, 1, 0, 7]"
"['不', '去', '也']","[4, 0, 5]"
"['君子', '去', '仁']","[1, 0, 0]"
"['惡', '乎', '成', '名']","[4, 5, 0, 1]"
"['君子', '無', '終', '食', '之', '間', '違', '仁']","[1, 0, 0, 1, 8, 1, 0, 0]"
"['造', '次', '必', '於', '是']","[0, 1, 4, 0, 7]"
"['顛', '沛', '必', '於', '是']","[4, 0, 4, 0, 7]"
"['子', '曰']","[1, 0]"
"['我', '未', '見', '好', '仁', '者', '惡', '不', '仁', '者']","[7, 4, 0, 0, 0, 5, 0, 4, 0, 5]"
"['好', '仁', '者', '無', '以', '尚', '之']","[0, 0, 5, 4, 4, 0, 7]"
"['惡', '不', '仁', '者', '其', '為', '仁', '矣']","[0, 4, 0, 5, 7, 0, 1, 5]"
