tokens,pos_tags
"['ⲉⲣϣⲁⲛⲧⲃⲁϣⲟⲣ', 'ⲉⲣϣⲁⲛ', 'ⲧ', 'ⲃⲁϣⲟⲣ', 'ⲁϣϣⲕⲁⲕ', 'ⲉⲃⲟⲗ', 'ⲁⲛ', 'ⲉⲧⲉⲛⲧⲟⲕ', 'ⲉⲧⲉ', 'ⲛⲧⲟⲕ', 'ⲡⲉ', 'ⲡϩⲙϩⲁⲗ', 'ⲡ', 'ϩⲙϩⲁⲗ', 'ⲙⲡⲙⲁⲙⲙⲱⲛⲁⲥ', 'ⲙ', 'ⲡ', 'ⲙⲁⲙⲙⲱⲛⲁⲥ', 'ϩⲛϩⲉⲛϩⲣⲟⲟⲩ', 'ϩⲛ', 'ϩⲉⲛ', 'ϩⲣⲟⲟⲩ', 'ⲉⲩⲟϣ', 'ⲉ', 'ⲩ', 'ⲟϣ', ',', 'ⲉⲣⲉⲡⲙⲟⲩⲓⲧⲣⲣⲉ', 'ⲉⲣⲉ', 'ⲡ', 'ⲙⲟⲩⲓ', 'ⲧⲣⲣⲉ', 'ⲉⲧⲉⲁⲛⲟⲕ', 'ⲉⲧⲉ', 'ⲁⲛⲟⲕ', 'ⲡⲉ', 'ⲡϩⲙϩⲁⲗ', 'ⲡ', 'ϩⲙϩⲁⲗ', 'ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ', 'ⲙ', 'ⲡⲉ', 'ⲭⲣⲓⲥⲧⲟⲥ', ',']","[2, 5, 3, 0, 7, 8, 8, 2, 4, 6, 6, 2, 3, 0, 2, 9, 3, 12, 2, 9, 3, 0, 2, 4, 6, 7, 1, 2, 10, 3, 0, 7, 2, 4, 6, 6, 2, 3, 0, 2, 9, 3, 0, 1]"
"['ϯⲥⲟⲟⲩⲛ', 'ϯ', 'ⲥⲟⲟⲩⲛ', 'ϫⲉⲉⲕϯⲟⲩⲃⲏⲓ', 'ϫⲉ', 'ⲉ', 'ⲕ', 'ϯ', 'ⲟⲩⲃⲏ', 'ⲓ', 'ⲁⲛ', ',']","[2, 6, 7, 2, 4, 10, 6, 7, 9, 6, 8, 1]"
"['ⲁⲗⲗⲁ', 'ⲉⲕϯⲟⲩⲃⲉⲓⲏⲥⲟⲩⲥ', 'ⲉ', 'ⲕ', 'ϯ', 'ⲟⲩⲃⲉ', 'ⲓⲏⲥⲟⲩⲥ', 'ⲉⲧⲟⲩⲏϩ', 'ⲉⲧ', 'ⲟⲩⲏϩ', 'ϩⲛⲛⲉⲭⲣⲉⲓⲥⲧⲓⲁⲛⲟⲥ', 'ϩⲛ', 'ⲛⲉ', 'ⲭⲣⲉⲓⲥⲧⲓⲁⲛⲟⲥ', '.']","[11, 2, 10, 6, 7, 9, 12, 2, 4, 7, 2, 9, 3, 0, 1]"
"['ⲓⲏⲥⲟⲩⲥ', 'ⲟⲛ', 'ⲣⲱϣⲉ', 'ⲉⲣⲟⲕ', 'ⲉⲣⲟ', 'ⲕ', 'ⲛⲧⲟⲕ', 'ⲙⲛⲡⲉⲕⲉⲓⲱⲧ', 'ⲙⲛ', 'ⲡⲉⲕ', 'ⲉⲓⲱⲧ', 'ⲡⲇⲓⲁⲃⲟⲗⲟⲥ', 'ⲡ', 'ⲇⲓⲁⲃⲟⲗⲟⲥ', 'ⲉⲧⲟⲩⲏϩ', 'ⲉⲧ', 'ⲟⲩⲏϩ', 'ⲛϩⲏⲧⲕ', 'ⲛϩⲏⲧ', 'ⲕ', 'ⲉⲧⲕϩⲉⲗⲡⲓⲍⲉ', 'ⲉⲧ', 'ⲕ', 'ϩⲉⲗⲡⲓⲍⲉ', 'ⲉⲣⲟϥ', 'ⲉⲣⲟ', 'ϥ', '·']","[12, 8, 7, 2, 9, 6, 6, 2, 9, 3, 0, 2, 3, 0, 2, 4, 7, 2, 9, 6, 2, 4, 6, 7, 2, 9, 6, 1]"
"['ⲛⲧⲟⲟⲩ', 'ϩⲱⲟⲩ', 'ϩⲱ', 'ⲟⲩ', 'ⲙⲛⲡⲉⲩⲉⲓⲱⲧ', 'ⲙⲛ', 'ⲡⲉⲩ', 'ⲉⲓⲱⲧ', 'ⲉⲧⲟⲩⲏϩ', 'ⲉⲧ', 'ⲟⲩⲏϩ', 'ⲛϩⲏⲧⲟⲩ', 'ⲛϩⲏⲧ', 'ⲟⲩ', 'ⲓⲏⲥⲟⲩⲥ', 'ⲉⲧⲟⲩⲕⲱ', 'ⲉⲧ', 'ⲟⲩ', 'ⲕⲱ', 'ⲛϩⲧⲏⲩ', 'ⲛ', 'ϩⲧⲏ', 'ⲩ', 'ⲉⲣⲟϥ', 'ⲉⲣⲟ', 'ϥ', '·']","[6, 2, 8, 6, 2, 9, 3, 0, 2, 4, 7, 2, 9, 6, 12, 2, 4, 6, 7, 2, 9, 0, 6, 2, 9, 6, 1]"
"['ⲙⲙⲛⲧⲉⲣⲱⲙⲉ', 'ⲙⲙⲛⲧⲉ', 'ⲣⲱⲙⲉ', 'ⲉⲟⲩⲛⲧϥⲓⲏⲥⲟⲩⲥ', 'ⲉ', 'ⲟⲩⲛⲧ', 'ϥ', 'ⲓⲏⲥⲟⲩⲥ', 'ⲙⲙⲁⲩ', 'ϣⲓⲡⲉ', 'ⲉⲛⲉϩ', 'ⲛⲧϩⲉ', 'ⲛ', 'ⲧ', 'ϩⲉ', 'ⲛⲧⲁⲕϫⲟⲟⲥ', 'ⲛⲧ', 'ⲁ', 'ⲕ', 'ϫⲟⲟ', 'ⲥ', ',', 'ⲡϣⲓⲡⲉ', 'ⲡ', 'ϣⲓⲡⲉ', 'ⲙⲡⲉⲓⲙⲁ', 'ⲙ', 'ⲡⲉⲓ', 'ⲙⲁ', ',', 'ⲡⲉⲟⲟⲩ', 'ⲡ', 'ⲉⲟⲟⲩ', 'ⲙⲡⲉⲓⲙⲁ', 'ⲙ', 'ⲡⲉⲓ', 'ⲙⲁ', 'ⲁⲓⲡⲁⲣⲁⲓⲧⲉⲓ', 'ⲁ', 'ⲓ', 'ⲡⲁⲣⲁⲓⲧⲉⲓ', 'ⲙⲙⲟⲩ', 'ⲙⲙⲟ', 'ⲩ', ',']","[2, 7, 0, 2, 4, 7, 6, 12, 8, 0, 8, 2, 9, 3, 0, 2, 4, 5, 6, 7, 6, 1, 2, 3, 0, 2, 9, 3, 0, 1, 2, 3, 0, 2, 9, 3, 0, 2, 5, 6, 7, 2, 9, 6, 1]"
"['ϯⲥⲟⲟⲩⲛ', 'ϯ', 'ⲥⲟⲟⲩⲛ', 'ⲅⲁⲣ', 'ⲉⲡⲉⲧⲓϭⲱϣⲧ', 'ⲉ', 'ⲡ', 'ⲉⲧ', 'ⲓ', 'ϭⲱϣⲧ', 'ⲉⲃⲟⲗ', 'ϩⲏⲧϥ', 'ϩⲏⲧ', 'ϥ', '.']","[2, 6, 7, 10, 2, 9, 3, 4, 6, 7, 8, 2, 0, 6, 1]"
"['ⲛⲉⲧⲉⲟⲩⲛⲧⲁⲩⲡⲉⲟⲟⲩ', 'ⲛ', 'ⲉⲧⲉ', 'ⲟⲩⲛⲧⲁ', 'ⲩ', 'ⲡ', 'ⲉⲟⲟⲩ', 'ⲙⲛⲡⲧⲁⲉⲓⲟ', 'ⲙⲛ', 'ⲡ', 'ⲧⲁⲉⲓⲟ', 'ⲉⲃⲟⲗ', 'ϩⲓⲧⲛⲓⲏⲥⲟⲩⲥ', 'ϩⲓⲧⲛ', 'ⲓⲏⲥⲟⲩⲥ', '.']","[2, 3, 4, 7, 6, 3, 0, 2, 9, 3, 0, 8, 2, 9, 12, 1]"
"['ⲉⲩⲣⲟⲩ', 'ⲉ', 'ⲩ', 'ⲣ', 'ⲟⲩ', 'ⲛⲉⲟⲟⲩ', 'ⲛ', 'ⲉⲟⲟⲩ', 'ϩⲓⲧⲁⲉⲓⲟ', 'ϩⲓ', 'ⲧⲁⲉⲓⲟ', 'ⲛⲣⲱⲙⲉ', 'ⲛ', 'ⲣⲱⲙⲉ', '.']","[2, 10, 6, 7, 6, 2, 9, 0, 2, 9, 0, 2, 9, 0, 1]"
"['ⲛⲧϩⲉ', 'ⲛ', 'ⲧ', 'ϩⲉ', 'ⲅⲁⲣ', 'ⲉⲧⲉⲙⲛⲙⲛⲧⲗⲏⲥⲧⲏⲥ', 'ⲉⲧⲉ', 'ⲙⲛ', 'ⲙⲛⲧⲗⲏⲥⲧⲏⲥ', 'ϣⲟⲟⲡ', 'ⲛⲛⲉⲧⲉⲟⲩⲛⲧⲁⲩ', 'ⲛ', 'ⲛ', 'ⲉⲧⲉ', 'ⲟⲩⲛⲧⲁ', 'ⲩ', 'ⲓⲏⲥⲟⲩⲥ', 'ϩⲛⲟⲩⲙⲉ', 'ϩⲛ', 'ⲟⲩ', 'ⲙⲉ', 'ⲕⲁⲧⲁⲡⲉⲛⲧⲁⲕϫⲟⲟϥ', 'ⲕⲁⲧⲁ', 'ⲡ', 'ⲉⲛⲧ', 'ⲁ', 'ⲕ', 'ϫⲟⲟ', 'ϥ', 'ⲉⲣⲟⲓ', 'ⲉⲣⲟ', 'ⲓ', 'ⲉⲃⲟⲗ', 'ϫⲉⲁⲓϥⲓ', 'ϫⲉ', 'ⲁ', 'ⲓ', 'ϥⲓ', 'ⲛⲛⲉⲕⲛⲟⲩⲧⲉ', 'ⲛ', 'ⲛⲉⲕ', 'ⲛⲟⲩⲧⲉ', 'ϩⲛⲟⲩⲥⲣⲁϩⲧ', 'ϩⲛ', 'ⲟⲩ', 'ⲥⲣⲁϩⲧ', 'ⲁⲩⲱ', 'ϫⲉⲁⲓⲧⲣⲉⲩⲙⲟⲩⲣ', 'ϫⲉ', 'ⲁ', 'ⲓ', 'ⲧⲣⲉ', 'ⲩ', 'ⲙⲟⲩⲣ', 'ⲙⲡⲉⲕⲥⲱϣ', 'ⲙ', 'ⲡⲉⲕ', 'ⲥⲱϣ', 'ⲙⲛⲡⲉⲕϣⲓⲡⲉ', 'ⲙⲛ', 'ⲡⲉⲕ', 'ϣⲓⲡⲉ', 'ⲉϩⲟⲩⲛ', 'ⲉⲛⲟⲩⲉϭⲣⲟ', 'ⲉ', 'ⲛ', 'ⲟⲩⲉϭⲣⲟ', 'ⲙⲡⲉⲕⲏⲓ', 'ⲙ', 'ⲡⲉⲕ', 'ⲏⲓ', 'ⲉⲩⲥⲏϩ', 'ⲉ', 'ⲩ', 'ⲥⲏϩ', 'ⲉϩⲉⲛⲭⲁⲣⲧⲏⲥ', 'ⲉ', 'ϩⲉⲛ', 'ⲭⲁⲣⲧⲏⲥ', '·']","[2, 9, 3, 0, 10, 2, 4, 5, 0, 7, 2, 9, 3, 4, 7, 6, 12, 2, 9, 3, 0, 2, 9, 3, 4, 5, 6, 7, 6, 2, 9, 6, 8, 2, 11, 5, 6, 7, 2, 9, 3, 0, 2, 9, 3, 0, 11, 2, 4, 5, 6, 7, 6, 7, 2, 9, 3, 0, 2, 9, 3, 0, 8, 2, 9, 3, 0, 2, 9, 3, 0, 2, 4, 6, 7, 2, 9, 3, 0, 1]"
