tokens,pos_tags
"['Kazna', 'medijskom', 'mogulu', 'obnovila', 'raspravu', 'u', 'Makedoniji']","[3, 5, 3, 2, 3, 4, 0]"
"['Neki', 'tvrde', 'da', 'je', 'presuda', 'Veliji', 'Ramkovskom', 'napad', 'na', 'slobodu', 'medija', ',', 'dok', 'drugi', 'tvrde', 'kako', 'dokazi', 'o', 'njegovim', 'kaznenim', 'djelima', 'govore', 'suprotno', '.']","[9, 2, 10, 6, 3, 0, 0, 3, 4, 3, 3, 8, 10, 5, 2, 12, 3, 4, 9, 5, 3, 2, 12, 8]"
"['Medijski', 'mogul', 'Velija', 'Ramkovski', 'osuđen', 'je', 'na', '13', 'godina', 'zatvora', 'zbog', 'utaje', 'poreza', 'i', 'pranja', 'novca', '.']","[5, 3, 0, 0, 5, 6, 4, 13, 3, 3, 4, 3, 3, 1, 3, 3, 8]"
"['Kaznena', 'presuda', 'i', 'zatvorska', 'kazna', 'medijskom', 'mogulu', 'Veliji', 'Ramkovskom', ',', 'koji', 'je', 'često', 'kritizirao', 'makedonsku', 'vladu', ',', 'mogla', 'bi', 'zaplašiti', 'medije', ',', 'kažu', 'novinari', 'u', 'toj', 'maloj', 'balkanskoj', 'državi', '.']","[5, 3, 1, 5, 3, 5, 3, 0, 0, 8, 9, 6, 12, 2, 5, 3, 8, 2, 6, 2, 3, 8, 2, 3, 4, 9, 5, 5, 3, 8]"
"['Ramkovski', ',', 'bivši', 'vlasnik', 'televizijske', 'postaje', 'A1', ',', 'četiriju', 'novina', 'i', 'drugih', 'poduzeća', ',', 'osuđen', 'je', 'na', 'Kaznenom', 'sudu', 'u', 'Skoplju', '14.', 'ožujka', 'na', '13', 'godina', 'zatvora', 'zbog', 'pranja', 'novca', ',', 'kriminalne', 'zavjere', ',', 'zloporabe', 'položaja', 'i', 'utaje', 'poreza', ';', '19', 'suučesnika', 'dobilo', 'je', 'zatvorske', 'kazne', 'u', 'trajanju', 'od', 'dvije', 'do', 'sedam', 'godina', '.']","[0, 8, 5, 3, 5, 3, 14, 8, 13, 3, 1, 5, 3, 8, 5, 6, 4, 5, 3, 4, 0, 5, 3, 4, 13, 3, 3, 4, 3, 3, 8, 5, 3, 8, 3, 3, 1, 3, 3, 8, 13, 3, 2, 6, 5, 3, 4, 3, 4, 13, 4, 13, 3, 8]"
"['Televizija', 'A1', 'i', 'četiri', 'novine', 'zatvoreni', 'su', 'zato', 'što', 'nisu', 'plaćali', 'porez', 'i', 'ispunjavali', 'obveze', 'prema', 'vjerovnicima', '.']","[3, 14, 1, 13, 3, 5, 6, 12, 10, 6, 2, 3, 1, 2, 3, 4, 3, 8]"
"['""', 'Dojam', 'je', 'da', 'su', 'koraci', 'poduzeti', 'prema', 'tim', 'medijima', ',', 'kojima', 'su', 'izrečene', 'presude', ',', 'selektivni', 'te', 'da', 'institucije', 'ne', 'koriste', 'iste', 'metode', 'u', 'provođenju', 'zakona', 'prema', 'svim', 'medijima', '""', ',', 'izjavila', 'je', 'za', 'SETimes', 'ravnateljica', 'Medijskog', 'instituta', 'Makedonije', 'Biljana', 'Petkovska', '.']","[8, 3, 6, 10, 6, 3, 5, 4, 9, 3, 8, 9, 6, 5, 3, 8, 5, 1, 10, 3, 11, 2, 5, 3, 4, 3, 3, 4, 5, 3, 8, 8, 2, 6, 4, 0, 3, 5, 3, 0, 0, 0, 8]"
"['Neki', 'novinari', ',', 'a', 'posebice', 'bivši', 'zaposlenici', 'A1', 'TV', ',', 'tvrde', 'da', 'taj', 'slučaj', ',', 'pod', 'nazivom', '""', 'Paukova', 'mreža', '""', ',', 'predstavlja', 'borbu', 'između', 'vlade', 'i', 'tada', 'najmoćnije', 'televizijske', 'postaje', 'u', 'Makedoniji', ',', 'koja', 'je', 'kritizirala', 'njezinu', 'politiku', 'i', 'podupirala', 'oporbu', '.']","[9, 3, 8, 1, 12, 5, 3, 14, 3, 8, 2, 10, 9, 3, 8, 4, 3, 8, 5, 3, 8, 8, 2, 3, 4, 3, 1, 12, 5, 5, 3, 4, 0, 8, 9, 6, 2, 9, 3, 1, 2, 3, 8]"
"['""', 'Sadašnje', 'političke', 'elite', 'stavit', 'će', 'pod', 'apsolutni', 'nadzor', 'svaku', 'slobodnu', 'misao', 'i', 'svako', 'mišljenje', 'koje', 'je', 'protiv', 'njih', '.']","[8, 5, 5, 3, 2, 6, 4, 5, 3, 9, 5, 3, 1, 9, 3, 9, 6, 4, 7, 8]"
"['Njihov', 'cilj', ',', 'a', 'danas', 'se', 'to', 'i', 'pokazalo', ',', 'bilo', 'je', 'ušutkati', 'A1', 'TV', 'i', 'Veliju', 'Ramkovskog', ',', 'kao', 'nositelje', 'borbe', 'protiv', 'diktature', '[', 'premijera', ']', 'Nikole', 'Gruevskog', '""', ',', 'izjavio', 'je', 'bivši', 'urednik', 'A1', 'TV', 'i', 'zastupnik', 'oporbene', 'Sandžačke', 'lige', 'Safet', 'Biševac', '.']","[9, 3, 8, 1, 12, 7, 9, 11, 2, 8, 6, 6, 2, 14, 3, 1, 0, 0, 8, 10, 3, 3, 4, 3, 8, 3, 8, 0, 0, 8, 8, 2, 6, 5, 3, 14, 3, 1, 3, 5, 5, 3, 0, 0, 8]"
