tokens,pos_tags
"['ČÁST', 'PRVNÍ']","['NOUN', 'ADJ']"
"['PŘEDMĚT', 'ÚPRAVY', 'A', 'PŮSOBNOST']","['NOUN', 'NOUN', 'CCONJ', 'NOUN']"
['§_1'],['X']
"['Tato', 'vyhláška', 'zapracovávqá', 'příslušné', 'předpisy', 'Evropské', 'unie', 'a', 'upravuje', ':', 'a)', 'rozsah', 'a', 'způsob', 'sestavování', 'účetní', 'závěrky', ';', 'uspořádání', ',', 'označování', 'a', 'obsahové', 'vymezení', 'položek', 'majetku', 'a', 'jiných', 'aktiv', ',', 'závazků', 'a', 'jiných', 'pasiv', 'v', 'účetní', 'závěrce', ';', 'uspořádání', ',', 'označování', 'a', 'obsahové', 'vymezení', 'nákladů', ',', 'výnosů', 'a', 'výsledků', 'hospodaření', 'v', 'účetní', 'závěrce', ';', 'uspořádání', 'a', 'obsahové', 'vymezení', 'vysvětlujících', 'a', 'doplňujících', 'informací', 'v', 'příloze', 'v', 'účetní', 'závěrce', ';', 'uspořádání', ',', 'označování', 'a', 'obsahové', 'vymezení', 'položek', 'konsolidované', 'účetní', 'závěrky', ';', 'metody', 'konsolidace', 'účetní', 'závěrky', 'a', 'postup', 'zahrnování', 'účetních', 'jednotek', 'do', 'konsolidačního', 'celku', ';', 'b)', 'uspořádání', 'a', 'obsahové', 'vymezení', 'přehledu', 'o', 'peněžních', 'tocích', 'a', 'přehledu', 'o', 'změnách', 'vlastního', 'kapitálu', ';', 'směrnou', 'účtovou', 'osnovu', ';', 'účetní', 'metody', ';', 'metody', 'přechodu', 'z', 'daňové', 'evidence', 'podle', 'zvláštního', 'zákona', 'na', 'účetnictví', ';', 'c)', 'metodu', 'ocenění', 'při', 'pořízení', 'souboru', 'movitých', 'věcí', 'se', 'samostatným', 'technicko-ekonomickým', 'určením', ';', 'd)', 'metodu', 'oceňování', 'při', 'přeměně', 'společnosti', 'nebo', 'družstva', '(', 'dále', 'jen', '„', 'společnost', '“', ')', 'podle', 'zákona', 'upravujícího', 'přeměny', 'obchodních', 'společností', 'a', 'družstev', '(', 'dále', 'jen', '„', 'zákon', 'o', 'přeměnách', '“', ')', ',', 'včetně', 'úprav', 'prováděných', 'v', 'rámci', 'přeměn', 'společnosti', 'ke', 'dni', 'zápisu', 'do', 'obchodního', 'rejstříku', 's', 'účinky', 'od', 'rozhodného', 'dne', ';', 'e)', 'metodu', 'sestavení', 'zahajovací', 'rozvahy', 'při', 'přeměně', 'společnosti', ';', 'f)', 'úpravy', 'při', 'přeshraniční', 'přeměně', 'nebo', 'převodu', 'podniku', ';', 'g)', 'metodu', 'ocenění', 'při', 'nabytí', 'více', 'než', 'jedné', 'složky', 'majetku', 'převodem', 'či', 'přechodem', ',', 'včetně', 'možnosti', 'použití', 'způsobu', 'oceňování', 'podle', '§_24_odst._3_písm._a)_bodu_1', 'v', 'případě', 'přeshraniční', 'přeměny', ',', 'vkladu', 'nebo', 'prodeje', 'podniku', ';', 'h)', 'ocenění', 'majetku', 'a', 'závazků', 'při', 'přeměně', 'společnosti', 'včetně', 'okamžiku', 'účtování', 'o', 'ocenění', 'reálnou', 'hodnotou', '.']","['DET', 'NOUN', 'X', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'PUNCT', 'X', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'X', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'X', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'X', 'NOUN', 'PUNCT', 'X', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADV', 'PART', 'PUNCT', 'X', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADV', 'PART', 'PUNCT', 'X', 'X', 'X', 'PUNCT', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'X', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'X', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'X', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADV', 'SCONJ', 'NUM', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'X', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'X', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']"
['§_2'],['X']
"['(1)', 'Vyhláška', 'se', 'vztahuje', 'na', 'účetní', 'jednotky', 'podle', '§_1_odst._2_písm._a)_a_b)_zákona', ',', 's', 'výjimkou', 'účetních', 'jednotek', 'uvedených', 'v', 'odstavci', '2', ',', 'a', 'na', 'účetní', 'jednotky', 'podle', '§_1_odst._2_písm._d)_až_h)_zákona', '.']","['PUNCT', 'NOUN', 'PRON', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'X', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM', 'PUNCT', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'ADP', 'X', 'PUNCT']"
"['(2)', 'Z', 'účetních', 'jednotek', 'uvedených', 'v', 'odstavci', '1', 'se', 'tato', 'vyhláška', 'nevztahuje', 'na', 'účetní', 'jednotky', 'podle', '§_19a_zákona', ',', 'pokud', 'zvláštní', 'právní', 'předpis', 'nestanoví', 'jinak', ',', 'a', 'na', 'účetní', 'jednotky', ',', 'jejichž', 'účetnictví', 'upravuje', 'zvláštní', 'právní', 'předpis', '.']","['PUNCT', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM', 'PRON', 'DET', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'X', 'PUNCT', 'SCONJ', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADV', 'PUNCT', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']"
"['Dále', 'se', 'tato', 'vyhláška', ',', 's', 'výjimkou', '§_62_odst._2_až_5', ',', 'nevztahuje', 'na', 'účetní', 'jednotky', 'podle', '§_23a_zákona', '.']","['ADV', 'PRON', 'DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'X', 'PUNCT', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'X', 'PUNCT']"
"['(3)', 'Účetní', 'jednotky', ',', 'které', 'vedou', 'účetnictví', 've', 'zjednodušeném', 'rozsahu', ',', 'a)', 'tvoří', 'opravné', 'položky', 'a', 'rezervy', 'pouze', 'podle', 'zvláštních', 'právních', 'předpisů', ',', 'a', 'proto', 'použijí', 'ustanovení', '§_16,_26,_31,_55_a_57', 'přiměřeně', ',', 'b)', 'neoceňují', 'majetek', 'a', 'závazky', 'reálnou', 'hodnotou', 'podle', '§_27_zákona', ',', 's', 'výjimkou', 'přeměny', 'bytových', 'družstev', ',', 'a', 'nepoužijí', 'ustanovení', '§_14,_39', ',', '§_51_až_55', ',', '§_58,_60_a_69', ',', 'v', 'rozsahu', 'v', 'jakém', 'upravují', 'oceňování', 'majetku', 'a', 'závazků', 'reálnou', 'hodnotou', ',', 'c)', 'sestavují', 'účetní', 'závěrku', 've', 'zjednodušeném', 'rozsahu', '.']","['PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'X', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'ADV', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'CCONJ', 'VERB', 'ADJ', 'X', 'ADV', 'PUNCT', 'X', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'X', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'NOUN', 'X', 'PUNCT', 'X', 'PUNCT', 'X', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'X', 'VERB', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['ČÁST', 'DRUHÁ']","['NOUN', 'ADJ']"
