tokens,pos_tags
"['Měla', 'na', 'ruce', 'nejkrásnější', 'náramek', ',', 'jaký', 'jsem', 'kdy', 'viděl', '-', 'secesní', 'víla', 'se', 'na', 'něm', 'proplétala', 'mezi', 'brilianty', 'a', 'smaragdy', '.']","[0, 8, 5, 6, 5, 3, 9, 1, 12, 0, 3, 6, 5, 2, 8, 2, 0, 8, 5, 10, 5, 3]"
"['Tenhle', 'náramek', 'měl', 'cenu', 'luxusního', 'auta', ',', 'jenže', 'jeho', 'krása', 'byla', 'ještě', 'větší', ',', 'byl', 'to', 'jeden', 'z', 'těch', 'předmětů', ',', 'na', 'které', 'člověk', 'pohlédne', 'a', 'vzdává', 'chválu', 'Stvořiteli', ',', 'který', 'dal', 'lidem', 'takové', 'nadání', '.']","[9, 5, 0, 5, 6, 5, 3, 10, 9, 5, 1, 12, 6, 3, 1, 9, 13, 8, 9, 5, 3, 8, 9, 5, 0, 10, 0, 5, 5, 3, 9, 0, 5, 9, 5, 3]"
"['Stará', 'dáma', 'si', 'všimla', ',', 'že', 'se', 'na', 'náramek', 'dívám', '.']","[6, 5, 2, 0, 3, 4, 2, 8, 5, 0, 3]"
"['""', 'Líbí', 'se', 'vám', '?', '""']","[3, 0, 2, 2, 3, 3]"
"['""', 'Hezčí', 'šperk', 'jsem', 'ještě', 'neviděl', ',', '""', 'řekl', 'jsem', '.']","[3, 6, 5, 1, 12, 0, 3, 3, 0, 1, 3]"
"['""', 'Snad', 'si', 'říkáte', '-', 'ta', 'bude', 'mít', 'hodně', 'pěkných', 'šperků', ',', '""', 'usmála', 'se', 'na', 'mě', '.']","[3, 7, 2, 0, 3, 9, 1, 0, 9, 6, 5, 3, 3, 0, 2, 8, 2, 3]"
"['""', 'Ale', 'tohle', 'je', 'jediný', 'cenný', 'klenot', ',', 'co', 'mám', '.', '""']","[3, 10, 9, 1, 6, 6, 5, 3, 2, 0, 3, 3]"
"['Odepjala', 'náramek', 'a', 'položila', 'ho', 'na', 'stůl', '.']","[0, 5, 10, 0, 2, 8, 5, 3]"
"['Mluvila', 'na', 'ni', 'vlídně', ',', 's', 'láskou', '.']","[0, 8, 2, 12, 3, 8, 5, 3]"
"['To', 'byla', 'ta', 'zázračná', 'zálivka', '.']","[9, 1, 9, 6, 5, 3]"
"['Co', 'by', 'se', 'asi', 'se', 'světem', 'stalo', ',', 'kdyby', 'když', 'by', 'rodiče', 'mluvili', 's', 'dětmi', 'stejně', 'jako', 'prateta', 's', 'květinou', ',', 'kdyby', 'když', 'by', 'blízký', 'pro', 'blízkého', 'měl', 'vždy', 'aspoň', 'díl', 'pratetiny', 'laskavé', 'pozornosti', '.']","[2, 1, 2, 7, 8, 5, 0, 3, 11, 4, 1, 5, 0, 8, 5, 12, 4, 5, 8, 5, 3, 11, 4, 1, 6, 8, 6, 0, 12, 7, 5, 6, 6, 5, 3]"
"['Stačí', 'tak', 'málo', 'a', 'z', 'nepatrné', 'vystrašené', 'kytinky', 'se', 'stane', 'veliký', ',', 'zdravý', 'strom', '.']","[0, 12, 12, 10, 8, 6, 6, 5, 2, 0, 6, 3, 6, 5, 3]"
"['Slova', 'lásky', 'jsou', 'neviditelnou', 'a', 'přesto', 'zázračnou', 'zálivkou', '-', 'pro', 'duše', 'květin', 'i', 'pro', 'duše', 'lidí', '.']","[5, 5, 1, 6, 10, 12, 6, 5, 3, 8, 5, 5, 10, 8, 5, 5, 3]"
"['Stihnuté', 'zmeškání']","[6, 5]"
"['""', 'Jednou', 'mi', 'ujel', 'vlak', ',', '""', 'vyprávěl', 'J', '.', 'M', '.', ',', '""', 'kterým', 'jsem', 'nutně', 'potřeboval', 'odjet', '.']","[3, 12, 2, 0, 5, 3, 3, 0, 14, 3, 14, 3, 3, 3, 9, 1, 12, 0, 0, 3]"
"['Byl', 'jsem', 'mladý', 'a', 'prudký', '.']","[1, 1, 6, 10, 6, 3]"
"['Začal', 'jsem', 'vztekle', 'kopat', 'do', 'kufru', 'a', 'do', 'koše', 'na', 'odpadky', '.']","[0, 1, 12, 0, 8, 5, 10, 8, 5, 8, 5, 3]"
"['A', '.', '.', '.', 'potom', 'jsem', 'si', 'vzal', 'papír', 'a', 'tužku', '.']","[10, 3, 3, 3, 12, 1, 2, 0, 5, 10, 5, 3]"
"['Začal', 'jsem', 'si', 'dělat', 'seznam', 'věcí', ',', 'které', 'ještě', 'musím', 'stihnout', '.']","[0, 1, 2, 0, 5, 5, 3, 9, 12, 0, 0, 3]"
"['Až', 'mě', 'udivilo', ',', 'jak', 'chladnokrevně', 'jsem', 'si', 'počínal', '.']","[7, 2, 0, 3, 12, 12, 1, 2, 0, 3]"
"['Zapisoval', 'jsem', 'si', 'jednak', 'věci', 'příjemné', 'a', 'jednak', 'věci', 'nutné', ',', 'od', 'toho', ',', 'že', 'se', 'musím', 'NAPOSLEDY', 'zajet', 'podívat', 'do', 'Českého', 'ráje', '-', 'ještě', 'jednou', '-', 'až', 'po', 'zaplacení', 'činže', '.']","[0, 1, 2, 10, 5, 6, 10, 10, 5, 6, 3, 8, 9, 3, 4, 2, 0, 12, 0, 0, 8, 6, 5, 3, 7, 12, 3, 7, 8, 5, 5, 3]"
