tokens,pos_tags
"['På', 'fredag', 'har', 'SID', 'inviteret', 'til', 'reception', 'i', 'SID-huset', 'i', 'anledning', 'af', 'at', 'formanden', 'Kjeld', 'Christensen', 'går', 'ind', 'i', 'de', 'glade', 'tressere', '.']","['ADP', 'NOUN', 'AUX', 'PROPN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SCONJ', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['Eller', 'slet', 'og', 'ret', 'tykke', 'og', 'fede', 'i', 'mere', 'eller', 'mindre', 'grad', ',', 'som', 'en', 'enkelt', 'udtrykker', 'det', '.']","['CCONJ', 'ADV', 'CCONJ', 'ADV', 'ADJ', 'CCONJ', 'ADJ', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'DET', 'ADJ', 'VERB', 'PRON', 'PUNCT']"
"['Under', 'rejser', 'og', 'ophold', 'i', 'udlandet', 'følger', 'sygeplejersker', 'og', 'hjælpere', 'med', '.']","['ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADV', 'PUNCT']"
"['Hele', 'det', 'smukt', 'restaurerede', 'hus', 'vrimler', 'med', 'børn', '-', 'Elise', 'Gug', 'har', 'selv', 'tre', '-', 'og', 'andelsforeningen', 'er', 'så', 'glad', 'for', 'selskabeligt', 'samvær', ',', 'at', 'den', 'har', 'egen', 'café', 'og', 'festlokale', '.']","['ADJ', 'DET', 'ADV', 'VERB', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'PRON', 'NUM', 'PUNCT', 'CCONJ', 'NOUN', 'AUX', 'ADV', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']"
"['Hun', 'er', 'selv', 'på', 'femte', 'år', 'lykkeligt', 'gift', 'med', 'sin', 'socialdemokratiske', 'partifælle', ',', 'Mogens', 'Lykketoft', '.']","['PRON', 'AUX', 'PRON', 'ADP', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT']"
"['I', '1983', 'ville', 'en', 'mand', 'have', 'navneforandring', 'til', 'Werwolf', ',', 'men', 'det', 'fik', 'han', 'ikke', 'lov', 'til', ',', 'for', 'det', 'betragtes', 'som', 'upassende', 'og', 'anstødeligt', '.']","['ADP', 'NUM', 'AUX', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'PRON', 'ADV', 'NOUN', 'ADP', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT']"
"['Bare', 'ikke', 'i', 'år', ',', 'advarer', 'lægerne']","['ADV', 'ADV', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN']"
['Kopieret'],['VERB']
"['Når', 'forløbet', 'i', 'kommunalt', 'regi', 'slutter', 'til', 'december', ',', 'håber', 'hun', ',', 'at', 'hendes', 'og', 'mandens', 'firma', 'er', 'vokset', 'stort', 'nok', 'til', ',', 'at', 'hun', 'kan', 'blive', 'ansat', 'på', 'fuld', 'tid', '.']","['SCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'PUNCT', 'SCONJ', 'DET', 'CCONJ', 'NOUN', 'NOUN', 'AUX', 'VERB', 'ADJ', 'ADV', 'ADP', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['Den', 'enestående', 'bil', 'vandt', 'i', 'denne', 'specielle', 'disciplin', 'i', 'konkurrence', 'med', '73', 'andre', 'specialbyggede', 'biler', 'på', 'Silverstone-banen', 'i', 'Storbritannien', '.']","['DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']"
"['Steen', 'Gade', 'siger', ',', 'at', 'SF', 'ikke', 'kan', 'gå', 'med', 'til', 'fælles', 'forsvar', ',', 'den', 'økonomisk-monetære', 'union', ',', 'unionsborgerskab', 'og', 'dele', 'af', 'det', 'retslige', 'samarbejde', '.']","['PROPN', 'PROPN', 'VERB', 'PUNCT', 'SCONJ', 'PROPN', 'ADV', 'AUX', 'VERB', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['En', 'anden', 'satte', 'ild', 'til', 'sig', 'selv', '.']","['PRON', 'PRON', 'VERB', 'NOUN', 'ADP', 'PRON', 'PRON', 'PUNCT']"
"['Det', 'er', 'Peter', 'Elmegaard', ',', 'der', 'sørger', 'for', 'at', 'købe', 'skoene', 'hjem', 'og', 'står', 'i', 'butikken', 'til', 'hverdag', '.']","['PRON', 'AUX', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'ADP', 'PART', 'VERB', 'NOUN', 'ADV', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Foruden', 'at', 'være', 'et', 'tilløbsstykke', 'for', '""', 'klorofyl-turister', '""', 'er', 'Robinson', 'Crusoe', 'et', 'paradis', 'for', 'dem', ',', 'der', 'kan', 'lide', 'hummer', '.']","['ADP', 'PART', 'AUX', 'DET', 'NOUN', 'ADP', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'PROPN', 'PROPN', 'DET', 'NOUN', 'ADP', 'PRON', 'PUNCT', 'PRON', 'AUX', 'VERB', 'NOUN', 'PUNCT']"
"['Uden', 'ble', 'løber', 'barnets', 'diarré', 'ned', 'over', 'pigens', 'lår', '.']","['ADP', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADV', 'ADP', 'NOUN', 'NOUN', 'PUNCT']"
"['-', 'De', 'er', ""s'gu"", 'ret', 'flot', ',', 'sagde', 'jeg', '.']","['PUNCT', 'PRON', 'AUX', 'ADV', 'ADV', 'ADJ', 'PUNCT', 'VERB', 'PRON', 'PUNCT']"
"['De', 'må', 'lære', 'at', 'acceptere', 'forskelligheder', 'uden', 'at', 'udgrænse', 'den', '.']","['PRON', 'AUX', 'VERB', 'PART', 'VERB', 'NOUN', 'ADP', 'PART', 'VERB', 'PRON', 'PUNCT']"
"['For', 'otte', 'millioner', 'pund', 'er', 'byttet', '""', 'Living', 'Legend', '""', ',', 'hvor', 'man', 'bliver', 'ført', 'gennem', 'hele', 'historien', 'med', 'billeder', ',', 'lyd', ',', 'tåge', ',', 'lyn', ',', 'torden', ',', 'storm', 'og', 'andre', 'effekter', '.']","['CCONJ', 'NUM', 'NOUN', 'NOUN', 'AUX', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'ADV', 'PRON', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT']"
"['""', 'Jeg', 'vidste', ',', 'at', 'de', 'kunne', 'blive', 'til', 'et', 'eller', 'andet', 'stort', ',', 'så', 'jeg', 'gik', 'hen', 'og', 'spurgte', ',', 'om', 'de', 'kunne', 'rappe', '.', '""']","['PUNCT', 'PRON', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'CCONJ', 'PRON', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'ADV', 'CCONJ', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PUNCT']"
"['Alene', 'i', 'Hamburg', 'skulle', 'de', 'have', 'has', 'på', '750', 'ton', 'ophobet', 'skrald', '.']","['ADV', 'ADP', 'PROPN', 'AUX', 'PRON', 'VERB', 'NOUN', 'ADP', 'NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['-', 'Få', 'den', 'UD', 'AF', 'MIN', 'KANO', '!', 'siger', 'han', '.']","['PUNCT', 'VERB', 'PRON', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'PUNCT']"
"['Navnlig', ',', 'hvis', 'forhandleren', 'giver', 'et', 'godt', 'bud', 'på', 'den', 'brugte', 'bil', '-', 'og', 'lokker', 'med', 'en', 'fiks', 'finansierings-model', '.']","['ADV', 'PUNCT', 'SCONJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['Det', 'drejer', 'sig', 'om', '240', 'hektar', 'og', 'det', 'område', 'skal', 'have', 'karakter', 'af', 'en', 'stor', 'bypark', '.']","['PRON', 'VERB', 'PRON', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['At', 'rende', 'med', 'aviser', 'som', 'bibeskæftigelse', 'kunne', 'være', 'lykken', ',', 'hvis', 'man', 'også', 'fik', 'en', 'rimelig', 'løn', 'ud', 'af', 'det']","['PART', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'AUX', 'AUX', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADV', 'ADP', 'PRON']"
"['Samlingen', 'af', 'hans', 'artikler', 'og', 'foredrag', 'fra', 'de', 'sidste', 'ti', 'år', 'røber', ',', 'at', 'verden', 'savner', 'den', 'ægte', 'vare', ',', 'romanen', '.']","['NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NUM', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']"
"['""', 'Det', 'er', 'jo', 'slet', 'ikke', 'noget', 'ukendt', 'fænomen', ',', 'at', 'mænd', 'er', 'blevet', 'bidt', 'i', 'nævnte', 'legemsdel', '.']","['PUNCT', 'PRON', 'AUX', 'ADV', 'ADV', 'ADV', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'SCONJ', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'VERB', 'NOUN', 'PUNCT']"
