tokens,pos_tags
"['Dat', 'is', 'alvast', 'meegenomen', ',', 'mocht', 'over', 'zes', 'maanden', 'blijken', 'dat', 'de', 'inhoud', 'tegenvalt', '.']","[1, 3, 5, 6, 0, 3, 9, 11, 2, 6, 8, 7, 2, 6, 0]"
"['De', 'breuk', 'in', 'de', 'federale', 'regering', 'van', 'Joegoslavië', 'kan', 'volgens', 'de', 'Servische', 'premier', 'Djindjic', 'nog', 'worden', 'gelijmd', '.']","[7, 2, 9, 7, 4, 2, 9, 10, 3, 9, 7, 4, 2, 10, 5, 3, 6, 0]"
"['Met', 'hervormingen', ',', 'niet', 'met', 'nieuwe', 'verkiezingen', '.']","[9, 2, 0, 5, 9, 4, 2, 0]"
"['Djindjic', 'zei', 'dat', 'dit', 'weekeinde', 'in', 'reactie', 'op', 'de', 'ernstige', 'politieke', 'crisis', 'in', 'Joegoslavië', '.']","[10, 6, 1, 7, 2, 9, 2, 9, 7, 4, 4, 2, 9, 10, 0]"
"['Uit', 'woede', 'over', 'de', 'uitlevering', 'van', 'ex-president', 'Milosevic', 'stapte', 'vrijdag', 'de', 'Montenegrijnse', 'partij', 'SNP', 'uit', 'de', 'Joegoslavische', 'regering', '.']","[9, 2, 9, 7, 2, 9, 2, 10, 6, 10, 7, 4, 2, 10, 9, 7, 4, 2, 0]"
"['Als', 'de', 'crisis', 'niet', 'wordt', 'opgelost', ',', 'is', 'het', 'niet', 'ondenkbaar', 'dat', 'de', 'federatie', 'Joegoslavië', 'definitief', 'uiteenvalt', '.']","[8, 7, 2, 5, 3, 6, 0, 3, 1, 5, 4, 8, 7, 2, 10, 4, 6, 0]"
"['Alleen', 'Servië', 'en', 'Montenegro', 'maken', 'er', 'nog', 'deel', 'van', 'uit', '.']","[5, 10, 12, 10, 6, 5, 5, 2, 9, 9, 0]"
"['Verkiezingen', 'lossen', 'op', 'dit', 'moment', 'niets', 'op', ',', 'vindt', 'Djindjic', '.']","[2, 6, 9, 7, 2, 1, 9, 0, 6, 10, 0]"
"['Volgens', 'de', 'Servische', 'premier', 'kan', 'beter', 'de', 'federale', 'grondwet', 'worden', 'vernieuwd', '.']","[9, 7, 4, 2, 3, 4, 7, 4, 2, 3, 6, 0]"
"['Die', 'regelt', 'de', 'verhouding', 'tussen', 'het', 'machtige', 'Servië', 'en', 'kleine', 'buur', 'Montenegro', '.']","[1, 6, 7, 2, 9, 7, 4, 10, 12, 4, 2, 10, 0]"
"[',,', 'We', 'hebben', 'een', 'concept', 'nodig', 'voor', 'verandering', ""''"", ',', 'zei', 'Djindjic', 'in', 'een', 'interview', 'met', 'de', 'Duitse', 'televisie', '.']","[0, 1, 6, 7, 2, 4, 9, 2, 0, 0, 6, 10, 9, 7, 2, 9, 7, 4, 2, 0]"
"['De', 'Montenegrijnse', 'partij', 'SNP', 'is', 'woest', 'dat', 'zij', 'buiten', 'de', 'uitlevering', 'van', 'Milosevic', 'is', 'gehouden', '.']","[7, 4, 2, 10, 3, 4, 8, 1, 9, 7, 2, 9, 10, 3, 6, 0]"
"['Politieke', 'waarnemers', 'denken', 'dat', 'de', 'Montenegrijnse', 'ministers', 'van', 'de', 'partij', 'SNP', ',', 'de', 'voormalige', 'bondgenoten', 'van', 'Milosevic', ',', 'snel', 'op', 'hun', 'schreden', 'terug', 'zullen', 'keren', 'en', 'in', 'de', 'nieuwe', 'regering', 'plaats', 'zullen', 'nemen', '.']","[4, 2, 6, 8, 7, 4, 2, 9, 7, 2, 10, 0, 7, 4, 2, 9, 10, 0, 4, 9, 1, 2, 5, 3, 6, 12, 9, 7, 4, 2, 2, 3, 6, 0]"
"['In', 'Montenegro', 'zelf', 'is', 'weinig', 'animo', 'voor', 'de', 'dialoog', 'die', 'Servië', 'aanbiedt', '.']","[9, 10, 5, 6, 7, 2, 9, 7, 2, 1, 10, 6, 0]"
"[',,', 'Ik', 'denk', 'dat', 'Servië', 'en', 'Montenegro', 'nu', 'juist', 'veel', 'makkelijker', 'overeenstemming', 'zullen', 'bereiken', 'over', 'het', 'vormen', 'van', 'een', 'unie', 'van', 'onafhankelijke', 'staten', ""''"", ',', 'zei', 'de', 'Montenegrijnse', 'premier', 'Vujanovic', '.']","[0, 1, 6, 8, 10, 12, 10, 5, 4, 5, 4, 2, 3, 6, 9, 7, 6, 9, 7, 2, 9, 4, 2, 0, 0, 6, 7, 4, 2, 10, 0]"
