tokens,pos_tags
"['Het', 'Klein', 'Begijnhof', 'en', 'het', 'Groot', 'Begijnhof', '(', 'dit', 'laatste', 'is', 'UNESCO', 'werelderfgoed', 'ID', '855-003', ')']","['DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'AUX', 'PROPN', 'NOUN', 'SYM', 'NUM', 'PUNCT']"
"['Het', 'stadhuis', 'met', 'een', 'flamboyant-gotische', 'gevel', 'en', 'oudere', 'Lakenhal', 'met', 'Belfort', '(', 'dit', 'ouder', 'gebouw', 'is', 'UNESCO', 'werelderfgoed', 'ID', '943-015', ')']","['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'AUX', 'PROPN', 'NOUN', 'SYM', 'NUM', 'PUNCT']"
"['Het', 'Hof', 'van', 'Savoye', 'is', 'nu', 'het', 'gerechtshof', 'van', 'Mechelen', ',', 'maar', 'was', 'vroeger', 'de', 'residentie', 'van', 'Margaretha', 'van', 'Oostenrijk', '.']","['DET', 'NOUN', 'ADP', 'PROPN', 'AUX', 'ADV', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'CCONJ', 'AUX', 'ADJ', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
"['Musea', ':']","['NOUN', 'PUNCT']"
"['Klokkenmuseum', 'Huis', 'Michiels', ':', 'museum', 'over', 'het', 'belang', 'van', 'de', 'torenuurwerken', 'en', 'de', 'geschiedenis', 'van', 'het', 'klokkengieten', '.']","['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'PUNCT']"
"['Archeologisch', 'Museum', ':', 'interessante', 'verzameling', 'historische', 'vondsten', '.']","['ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']"
"['Museum', 'Brouwerij', 'Het', 'Anker']","['PROPN', 'PROPN', 'PROPN', 'PROPN']"
"['Koninklijke', 'Manufactuur', 'van', 'Wandtapijten', 'De', 'Wit', ':', 'een', 'internationaal', 'vermaarde', 'instelling', 'die', 'oude', 'wandtapijten', 'restaureert', '.']","['ADJ', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PRON', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Website', ':', 'http://www.dewit.be']","['NOUN', 'PUNCT', 'SYM']"
"['Stedelijk', 'Museum', 'Brusselpoort', ':', 'de', 'enige', 'overblijvende', 'stadspoort']","['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'PRON', 'VERB', 'NOUN']"
"['Stedelijk', 'Museum', 'Schepenhuis', ':', 'het', 'eerste', 'stadhuis', 'van', 'Mechelen', ',', 'gebouwd', 'op', 'het', 'einde', 'van', 'de', '14e', 'eeuw']","['ADJ', 'NOUN', 'PROPN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']"
"['Hof', 'van', 'Busleyden', ',', 'vroeg-renaissance', 'residentie', ',', 'nu', 'Stedelijk', 'Museum', 'Hof', 'van', 'Busleyden']","['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PROPN']"
"['Het', 'Speelgoedmuseum', ':', 'herbergt', 'een', 'unieke', 'collectie', 'oud', 'en', 'hedendaags', 'speelgoed', '.']","['DET', 'PROPN', 'PUNCT', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']"
"['Vaak', 'nieuwe', 'invalshoeken', 'op', 'speelgoed', '.']","['ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Website', ':', 'http://www.speelgoedmuseum.be', '/']","['NOUN', 'PUNCT', 'SYM', 'PUNCT']"
"['Joods', 'Museum', 'van', 'deportatie', 'en', 'verzet', ':', 'Mooi', ',', 'klein', 'en', 'aangrijpend', 'museum', 'over', 'de', 'deportatie', 'van', 'Joodse', 'krijgsgevangenen', 'in', 'de', 'Tweede', 'Wereldoorlog', 'vanuit', 'de', 'Dossinkazerne', '.']","['ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']"
"['Mechels', 'Horlogerie-', 'en', 'klokkenmuseum', 'website', ':', 'http://www.horlogeriemuseum.be', '/']","['ADJ', 'SYM', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'SYM', 'PUNCT']"
"['Spoorwegmuseum', 'De', 'Mijlpaal', 'vzw', ':', 'dit', 'museum', 'schetst', 'het', 'ontstaan', 'en', 'de', 'ontwikkeling', 'van', 'spoorwegen', 'alsook', 'de', 'invloed', 'ervan', 'op', 'de', 'stad', 'Mechelen', '.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'VERB', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADV', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT']"
"['De', 'Kruidtuin', ',', 'met', 'marmeren', 'standbeeld', 'van', 'de', 'wereldbefaamde', 'lokale', 'herbalist', 'Rembert', 'Dodoens']","['DET', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PROPN', 'PROPN']"
"['Planckendael', ':', 'het', 'dierenpark', 'van', 'Mechelen', '.']","['PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']"
"['Website', ':', 'http://www.planckendael.be']","['NOUN', 'PUNCT', 'SYM']"
"['Technopolis', ':', 'wetenschap', 'doen', '.', 'website', ':', 'http://www.technopolis.be']","['PROPN', 'PUNCT', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'SYM']"
