tokens,pos_tags
"['Al', '-', 'Zaman', ':', 'American', 'forces', 'killed', 'Shaikh', 'Abdullah', 'al', '-', 'Ani', ',', 'the', 'preacher', 'at', 'the', 'mosque', 'in', 'the', 'town', 'of', 'Qaim', ',', 'near', 'the', 'Syrian', 'border', '.']","[2, 5, 2, 5, 8, 4, 3, 2, 2, 2, 5, 2, 5, 1, 4, 0, 1, 4, 0, 1, 4, 0, 2, 5, 0, 1, 8, 4, 5]"
"['[', 'This', 'killing', 'of', 'a', 'respected', 'cleric', 'will', 'be', 'causing', 'us', 'trouble', 'for', 'years', 'to', 'come', '.', ']']","[5, 1, 4, 0, 1, 8, 4, 10, 10, 3, 11, 4, 0, 4, 7, 3, 5, 5]"
"['DPA', ':', 'Iraqi', 'authorities', 'announced', 'that', 'they', 'had', 'busted', 'up', '3', 'terrorist', 'cells', 'operating', 'in', 'Baghdad', '.']","[2, 5, 8, 4, 3, 13, 11, 10, 3, 0, 6, 8, 4, 3, 0, 2, 5]"
"['Two', 'of', 'them', 'were', 'being', 'run', 'by', '2', 'officials', 'of', 'the', 'Ministry', 'of', 'the', 'Interior', '!']","[6, 0, 11, 10, 10, 3, 0, 6, 4, 0, 1, 2, 0, 1, 2, 5]"
"['The', 'MoI', 'in', 'Iraq', 'is', 'equivalent', 'to', 'the', 'US', 'FBI', ',', 'so', 'this', 'would', 'be', 'like', 'having', 'J.', 'Edgar', 'Hoover', 'unwittingly', 'employ', 'at', 'a', 'high', 'level', 'members', 'of', 'the', 'Weathermen', 'bombers', 'back', 'in', 'the', '1960s', '.']","[1, 2, 0, 2, 10, 8, 0, 1, 2, 2, 5, 9, 11, 10, 3, 13, 3, 2, 2, 2, 9, 3, 0, 1, 8, 4, 4, 0, 1, 2, 4, 9, 0, 1, 4, 5]"
"['The', 'third', 'was', 'being', 'run', 'by', 'the', 'head', 'of', 'an', 'investment', 'firm', '.']","[1, 8, 10, 10, 3, 0, 1, 4, 0, 1, 4, 4, 5]"
"['You', 'wonder', 'if', 'he', 'was', 'manipulating', 'the', 'market', 'with', 'his', 'bombing', 'targets', '.']","[11, 3, 13, 11, 10, 3, 1, 4, 0, 11, 4, 4, 5]"
"['The', 'cells', 'were', 'operating', 'in', 'the', 'Ghazaliyah', 'and', 'al', '-', 'Jihad', 'districts', 'of', 'the', 'capital', '.']","[1, 4, 10, 3, 0, 1, 2, 12, 2, 5, 2, 4, 0, 1, 4, 5]"
"['Although', 'the', 'announcement', 'was', 'probably', 'made', 'to', 'show', 'progress', 'in', 'identifying', 'and', 'breaking', 'up', 'terror', 'cells', ',', 'I', ""don't"", 'do', ""n't"", 'find', 'the', 'news', 'that', 'the', 'Baathists', 'continue', 'to', 'penetrate', 'the', 'Iraqi', 'government', 'very', 'hopeful', '.']","[13, 1, 4, 10, 9, 3, 7, 3, 4, 13, 3, 12, 3, 0, 4, 4, 5, 11, 14, 10, 7, 3, 1, 4, 13, 1, 2, 3, 7, 3, 1, 8, 4, 9, 8, 5]"
"['It', 'reminds', 'me', 'too', 'much', 'of', 'the', 'ARVN', 'officers', 'who', 'were', 'secretly', 'working', 'for', 'the', 'other', 'side', 'in', 'Vietnam', '.']","[11, 3, 11, 9, 9, 0, 1, 2, 4, 11, 10, 9, 3, 0, 1, 8, 4, 0, 2, 5]"
"['Al', '-', 'Zaman', ':', 'Guerrillas', 'killed', 'a', 'member', 'of', 'the', 'Kurdistan', 'Democratic', 'Party', 'after', 'kidnapping', 'him', 'in', 'Mosul', '.']","[2, 5, 2, 5, 4, 3, 1, 4, 0, 1, 2, 8, 2, 13, 3, 11, 0, 2, 5]"
"['The', 'police', 'commander', 'of', 'Ninevah', 'Province', 'announced', 'that', 'bombings', 'had', 'declined', '80', 'percent', 'in', 'Mosul', ',', 'whereas', 'there', 'had', 'been', 'a', 'big', 'jump', 'in', 'the', 'number', 'of', 'kidnappings', '.']","[1, 4, 4, 0, 2, 2, 3, 13, 4, 10, 3, 6, 4, 0, 2, 5, 13, 11, 10, 3, 1, 8, 4, 0, 1, 4, 0, 4, 5]"
"['On', 'Wednesday', 'guerrillas', 'had', 'kidnapped', 'a', 'cosmetic', 'surgeon', 'and', 'his', 'wife', 'while', 'they', 'were', 'on', 'their', 'way', 'home', '.']","[0, 2, 4, 10, 3, 1, 8, 4, 12, 11, 4, 13, 11, 10, 0, 11, 4, 9, 5]"
"['In', 'Suwayrah', ',', 'Kut', 'Province', ',', 'two', 'car', 'bombs', 'were', 'discovered', 'before', 'they', 'could', 'be', 'detonated', '.']","[0, 2, 5, 2, 2, 5, 6, 4, 4, 10, 3, 13, 11, 10, 10, 3, 5]"
"['(', 'Kut', 'is', 'in', 'southeastern', 'Iraq', 'and', 'has', 'an', 'overwhelmingly', 'Shiite', 'population', ',', 'who', 'are', 'on', 'the', 'lookout', 'for', 'Baathist', 'saboteurs', 'and', 'willingly', 'turn', 'them', 'in', '.']","[5, 2, 10, 0, 8, 2, 12, 3, 1, 9, 8, 4, 5, 11, 10, 0, 1, 4, 0, 2, 4, 12, 9, 3, 11, 0, 5]"
"['This', 'willingness', 'is', 'the', 'main', 'difference', 'in', 'the', 'number', 'of', 'bombings', 'in', 'the', 'south', 'as', 'opposed', 'to', 'the', 'center', '-', 'north', 'of', 'the', 'country', '.', ')']","[1, 4, 10, 1, 8, 4, 0, 1, 4, 0, 4, 0, 1, 4, 13, 3, 0, 1, 4, 5, 4, 0, 1, 4, 5, 5]"
"['In', 'Baghdad', 'Kadhim', 'Talal', 'Husain', ',', 'assistant', 'dean', 'at', 'the', 'School', 'of', 'Education', 'at', 'Mustansiriyah', 'University', ',', 'was', 'assassinated', 'with', 'his', 'driver', 'in', 'the', 'Salikh', 'district', '.']","[0, 2, 2, 2, 2, 5, 8, 4, 0, 1, 2, 0, 2, 0, 2, 2, 5, 10, 3, 0, 11, 4, 0, 1, 2, 4, 5]"
"['Guerrillas', 'killed', 'an', 'engineer', ',', 'Asi', 'Ali', ',', 'from', 'Tikrit', '.']","[4, 3, 1, 4, 5, 2, 2, 5, 0, 2, 5]"
"['They', 'also', 'killed', 'Shaikh', 'Hamid', ""'Akkab"", ',', 'a', 'clan', 'elder', 'of', 'a', 'branch', 'of', 'the', 'Dulaim', 'tribe', 'in', 'Tikrit', '.']","[11, 9, 3, 2, 2, 2, 5, 1, 4, 4, 0, 1, 4, 0, 1, 2, 4, 0, 2, 5]"
"['His', 'mother', 'was', 'also', 'killed', 'in', 'the', 'attack', '.']","[11, 4, 10, 9, 3, 0, 1, 4, 5]"
"['Two', 'other', 'Dulaim', 'leaders', 'have', 'been', 'killed', 'in', 'the', 'past', 'week', 'and', 'a', 'half', '.']","[6, 8, 2, 4, 10, 10, 3, 0, 1, 8, 4, 12, 1, 4, 5]"
"['Guerrillas', 'near', 'Hawijah', 'launched', 'an', 'attack', 'that', 'left', '6', 'dead', ',', 'including', '4', 'Iraqi', 'soldiers', '.']","[4, 0, 2, 3, 1, 4, 11, 3, 6, 8, 5, 3, 6, 8, 4, 5]"
"['One', 'of', 'them', 'was', 'from', 'the', 'Jubur', 'tribe', 'and', 'was', 'deputy', 'commander', 'of', 'the', 'Hawijah', 'garrison', '.']","[6, 0, 11, 10, 0, 1, 2, 4, 12, 10, 4, 4, 0, 1, 2, 4, 5]"
"['Two', 'hundred', 'members', 'of', 'the', 'Batawi', 'clan', 'of', 'the', 'Dulaim', 'demonstrated', 'in', 'Baghdad', 'on', 'Friday', ',', 'protesting', 'the', 'killing', 'of', 'their', 'clan', 'elder', ',', 'Shaikh', 'Kadhim', 'Sarhid', 'and', '4', 'of', 'his', 'sons', ',', 'by', 'gunmen', 'wearing', 'Iraqi', 'army', 'uniforms', '.']","[6, 6, 4, 0, 1, 2, 4, 0, 1, 2, 3, 0, 2, 0, 2, 5, 3, 1, 4, 0, 11, 4, 4, 5, 2, 2, 2, 12, 6, 0, 11, 4, 5, 0, 4, 3, 8, 4, 4, 5]"
"['(', 'This', 'is', 'a', 'largely', 'Sunni', 'Arab', 'clan', ',', 'and', 'some', 'Sunni', 'observers', 'have', 'accused', 'Shiite', 'elements', 'in', 'the', 'government', 'of', 'being', 'behind', 'the', 'assassination', ';', 'it', 'is', 'more', 'likely', 'the', 'work', 'of', 'Sunni', 'Arab', 'guerrillas', 'punishing', 'the', 'Batawi', 'leaders', 'for', 'cooperating', 'with', 'the', 'Dec.', '15', 'elections', '.', ')']","[5, 11, 10, 1, 9, 8, 8, 4, 5, 12, 1, 8, 4, 10, 3, 8, 4, 0, 1, 4, 13, 10, 0, 1, 4, 5, 11, 10, 9, 9, 1, 4, 0, 8, 8, 4, 3, 1, 2, 4, 13, 3, 0, 1, 2, 6, 4, 5, 5]"
"['Al', '-', 'Zaman', ':', 'The', 'Iraqi', 'High', 'Electoral', 'Commission', 'on', 'Friday', 'denied', 'a', 'request', 'of', 'the', 'Debaathification', 'Commission', 'to', 'exclude', '51', 'individuals', 'from', 'running', 'on', 'party', 'lists', 'in', 'the', 'Dec.', '15', 'elections', 'on', 'grounds', 'of', 'having', 'been', 'sufficiently', 'involved', 'in', 'Baath', 'activities', 'to', 'warrant', 'their', 'being', 'excluded', 'from', 'civil', 'office', '.']","[2, 5, 2, 5, 1, 8, 8, 8, 2, 0, 2, 3, 1, 4, 0, 1, 2, 2, 7, 3, 6, 4, 13, 3, 0, 4, 4, 0, 1, 2, 6, 4, 0, 4, 13, 10, 10, 9, 8, 0, 2, 4, 7, 3, 11, 10, 3, 0, 8, 4, 5]"
"['The', 'Commission', 'said', 'it', 'had', 'no', 'legal', 'grounds', 'for', 'such', 'an', 'exclusion', '.']","[1, 4, 3, 11, 3, 1, 8, 4, 0, 1, 1, 4, 5]"
"['This', 'item', 'is', 'a', 'small', 'one', 'and', 'easily', 'missed', '.']","[1, 4, 10, 1, 8, 4, 12, 9, 3, 5]"
"['But', 'in', 'my', 'view', 'it', 'is', 'highly', 'significant', '.']","[12, 0, 11, 4, 11, 10, 9, 8, 5]"
"['The', 'Debaathification', 'Commission', 'had', 'been', 'pushed', 'by', 'Ahmad', 'Chalabi', 'and', 'his', 'Iraqi', 'National', 'Congress', 'very', 'hard', ',', 'and', 'had', 'pushed', 'many', 'Sunni', 'Arabs', 'into', 'the', 'arms', 'of', 'the', 'guerrillas', '.']","[1, 2, 2, 10, 10, 3, 0, 2, 2, 12, 11, 8, 8, 2, 9, 9, 5, 12, 10, 3, 8, 8, 2, 0, 1, 4, 0, 1, 4, 5]"
