tokens,pos_tags
"['Aesthetic', 'Appreciation', 'and', 'Spanish', 'Art', ':']","['ADJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']"
"['Insights', 'from', 'Eye-Tracking']","['NOUN', 'ADP', 'NOUN']"
"['Claire', 'Bailey-Ross', 'claire.bailey-ross@port.ac.uk', 'University', 'of', 'Portsmouth', ',', 'United', 'Kingdom']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'VERB', 'PROPN']"
"['Andrew', 'Beresford', 'a.m.beresford@durham.ac.uk', 'Durham', 'University', ',', 'United', 'Kingdom']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'PROPN']"
"['Daniel', 'Smith', 'daniel.smith2@durham.ac.uk', 'Durham', 'University', ',', 'United', 'Kingdom']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'PROPN']"
"['Claire', 'Warwick', 'c.l.h.warwick@durham.ac.uk', 'Durham', 'University', ',', 'United', 'Kingdom']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'PROPN']"
"['How', 'do', 'people', 'look', 'at', 'and', 'experience', 'art', '?']","['ADV', 'AUX', 'NOUN', 'VERB', 'ADP', 'CCONJ', 'VERB', 'NOUN', 'PUNCT']"
"['Which', 'elements', 'of', 'specific', 'artworks', 'do', 'they', 'focus', 'on', '?']","['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'AUX', 'PRON', 'VERB', 'ADP', 'PUNCT']"
"['Do', 'museum', 'labels', 'have', 'an', 'impact', 'on', 'how', 'people', 'look', 'at', 'artworks', '?']","['AUX', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'SCONJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['The', 'viewing', 'experience', 'of', 'art', 'is', 'a', 'complex', 'one', ',', 'involving', 'issues', 'of', 'perception', ',', 'attention', ',', 'memory', ',', 'decision-making', ',', 'affect', ',', 'and', 'emotion', '.']","['DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'AUX', 'DET', 'ADJ', 'NUM', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT']"
"['Thus', ',', 'the', 'time', 'it', 'takes', 'and', 'the', 'ways', 'of', 'visually', 'exploring', 'an', 'artwork', 'can', 'inform', 'about', 'its', 'relevance', ',', 'interestingness', ',', 'and', 'even', 'its', 'aesthetic', 'appeal', '.']","['ADV', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'CCONJ', 'DET', 'NOUN', 'SCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'PRON', 'ADJ', 'NOUN', 'PUNCT']"
"['This', 'paper', 'describes', 'a', 'collaborative', 'pilot', 'project', 'focusing', 'on', 'a', 'unique', 'collection', 'of', '17th', 'Century', 'Zurbarán', 'paintings', '.']","['DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PROPN', 'NOUN', 'PUNCT']"
"['The', 'Jacob', 'cycle', 'at', 'Auckland', 'Castle', 'is', 'the', 'only', 'UK', 'example', 'of', 'a', 'continental', 'collection', 'preserved', 'in', 'situ', 'in', 'purpose-built', 'surroundings', '.']","['DET', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'AUX', 'DET', 'ADJ', 'PROPN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'X', 'X', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['While', 'studies', 'of', 'the', 'psychology', 'of', 'art', 'have', 'focused', 'on', 'individual', 'works', 'and', 'distinctions', 'between', 'representative', '/', 'non-representative', 'topics', ',', 'no', 'work', 'has', 'been', 'completed', 'on', 'the', 'aesthetic', 'appreciation', 'of', 'collections', 'or', 'of', 'devotional', 'themes', '.']","['SCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'SYM', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['In', 'this', 'paper', ',', 'we', 'report', 'upon', 'the', 'novel', 'insights', 'eye-tracking', 'techniques', 'have', 'provided', 'into', 'the', 'unconscious', 'processes', 'of', 'viewing', 'the', 'unique', 'collection', 'of', 'Zurbarán', 'artworks', '.']","['ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'SCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'PUNCT']"
