tokens,pos_tags
"['Show', 'All']","[2, 1]"
"['About', 'ANSI', 'SQL', 'query', 'mode']","[8, 13, 13, 4, 4]"
"['Some', 'of', 'the', 'content', 'in', 'this', 'topic', 'may', 'not', 'be', 'applicable', 'to', 'some', 'languages', '.']","[1, 8, 7, 4, 8, 7, 4, 6, 9, 6, 3, 8, 7, 4, 5]"
"['You', 'can', 'create', 'SQL', 'queries', 'in', 'one', 'of', 'two', 'ANSI', 'SQL', 'query', 'modes', ':']","[1, 6, 2, 13, 4, 8, 11, 8, 11, 13, 13, 4, 4, 5]"
"['ANSI-89', 'describes', 'the', 'traditional', 'Jet', 'SQL', 'syntax', '.']","[13, 2, 7, 3, 13, 13, 4, 5]"
"['This', 'mode', 'conforms', 'closely', 'to', 'the', 'ANSI-89', 'Level', '1', 'specification', ',', 'but', 'is', 'not', 'ANSI-89', 'Level', '1', 'compliant', '.']","[7, 4, 2, 12, 8, 7, 13, 4, 11, 4, 5, 10, 6, 9, 13, 4, 11, 3, 5]"
"['Certain', 'ANSI-89', 'SQL', 'features', 'are', 'not', 'implemented', 'and', 'the', 'wildcard', 'characters', 'conform', 'to', 'the', 'Visual', 'Basic', 'for', 'Applications', '(', 'VBA', ')', 'specification', ',', 'not', 'SQL', '.']","[3, 13, 13, 4, 6, 9, 2, 10, 7, 4, 4, 2, 8, 7, 3, 13, 8, 4, 5, 14, 5, 4, 5, 9, 13, 5]"
"['ANSI-92', 'provides', 'new', 'reserved', 'words', ',', 'syntax', 'rules', ',', 'and', 'wildcard', 'characters', 'that', 'enhance', 'your', 'ability', 'to', 'create', 'queries', ',', 'filters', ',', 'and', 'SQL', 'statements', '.']","[13, 2, 3, 3, 4, 5, 4, 4, 5, 10, 4, 4, 0, 2, 1, 4, 9, 2, 4, 5, 4, 5, 10, 13, 4, 5]"
"['This', 'mode', 'conforms', 'closely', 'to', 'the', 'ANSI-92', 'Level', '1', 'specification', ',', 'but', 'is', 'not', 'ANSI-92', 'Level', '1', 'compliant', '.']","[7, 4, 2, 12, 8, 7, 13, 4, 11, 4, 5, 10, 6, 9, 13, 4, 11, 3, 5]"
"['This', 'query', 'mode', 'has', 'more', 'of', 'the', 'ANSI', 'syntax', ',', 'and', 'the', 'wildcard', 'characters', 'conform', 'to', 'the', 'SQL', 'specification', '.']","[7, 4, 4, 2, 3, 8, 7, 13, 4, 5, 10, 7, 4, 4, 2, 8, 7, 13, 4, 5]"
"['In', 'Microsoft', 'Access', '2000', 'using', 'ADOX', ',', 'you', 'could', 'programmatically', 'create', 'queries', 'that', 'used', 'ANSI-92', 'SQL', 'syntax', '.']","[8, 13, 13, 11, 2, 13, 5, 1, 6, 12, 2, 4, 0, 2, 13, 13, 4, 5]"
"['However', ',', 'any', 'queries', 'you', 'created', 'were', 'not', 'visible', 'in', 'the', 'Database', 'window', 'because', 'there', 'was', 'no', 'option', 'to', 'set', 'this', 'mode', 'in', 'the', 'user', 'interface', '.']","[12, 5, 7, 4, 1, 2, 6, 9, 3, 8, 7, 4, 4, 0, 1, 2, 7, 4, 9, 2, 7, 4, 8, 7, 4, 4, 5]"
"['Now', 'in', 'Access', '2002', ',', 'you', 'can', 'set', 'the', 'ANSI', 'SQL', 'query', 'mode', 'through', 'the', 'user', 'interface', 'for', 'the', 'current', 'database', 'and', 'as', 'the', 'default', 'setting', 'for', 'new', 'databases', '.']","[12, 8, 13, 11, 5, 1, 6, 2, 7, 13, 13, 4, 4, 8, 7, 4, 4, 8, 7, 3, 4, 10, 8, 7, 4, 4, 8, 3, 4, 5]"
"['Why', 'use', 'ANSI-92', 'SQL', '?']","[12, 2, 13, 13, 5]"
"['You', 'may', 'want', 'to', 'use', 'ANSI-92', 'SQL', 'for', 'the', 'following', 'reasons', ':']","[1, 6, 2, 9, 2, 13, 13, 8, 7, 3, 4, 5]"
"['You', 'anticipate', 'upsizing', 'your', 'application', 'in', 'the', 'future', 'to', 'an', 'Access', 'project', 'and', 'want', 'to', 'create', 'queries', 'that', 'will', 'run', 'with', 'minimal', 'changes', 'in', 'a', 'Microsoft', 'SQL', 'Server', 'database', '.']","[1, 2, 2, 1, 4, 8, 7, 4, 8, 7, 13, 4, 10, 2, 9, 2, 4, 0, 6, 2, 8, 3, 4, 8, 7, 13, 13, 4, 4, 5]"
"['You', 'want', 'to', 'take', 'advantage', 'of', 'the', 'new', 'features', 'not', 'found', 'in', 'ANSI-89', 'SQL', ',', 'such', 'as', ':']","[1, 2, 9, 2, 4, 8, 7, 3, 4, 9, 2, 8, 13, 13, 5, 3, 8, 5]"
"['Changing', 'security', 'settings', 'by', 'using', 'the', 'GRANT', 'and', 'REVOKE', 'SQL', 'statements']","[2, 4, 4, 8, 2, 7, 13, 10, 13, 13, 4]"
"['Using', 'DISTINCT', 'in', 'an', 'aggregate', 'function', 'reference', ',', 'for', 'example', ',', 'SUM-DISTINCT-Price']","[2, 13, 8, 7, 4, 4, 4, 5, 12, 4, 5, 13]"
"['Using', 'the', 'LIMIT', 'TO', 'nn', 'ROWS', 'clause', 'to', 'limit', 'the', 'number', 'of', 'rows', 'returned', 'by', 'a', 'query']","[2, 7, 2, 8, 11, 4, 4, 9, 2, 7, 4, 8, 4, 2, 8, 7, 4]"
"['Why', 'you', 'should', 'avoid', 'mixing', 'queries', 'created', 'under', 'different', 'ANSI', 'SQL', 'query', 'modes']","[12, 1, 6, 2, 2, 4, 2, 8, 3, 13, 13, 4, 4]"
"['The', 'ANSI', 'SQL', 'query', 'mode', 'default', 'for', 'new', 'Access', 'databases', 'in', '2002', 'and', '2000', 'file', 'formats']","[7, 13, 13, 4, 4, 4, 8, 3, 13, 4, 8, 11, 10, 11, 4, 4]"
"['ANSI-89', 'is', 'the', 'default', 'setting', 'for', 'a', 'new', 'Access', 'database', 'in', '2002', 'and', '2000', 'file', 'format', '.']","[13, 6, 7, 4, 4, 8, 7, 3, 13, 4, 8, 11, 10, 11, 4, 4, 5]"
"['You', 'can', 'not', 'set', 'the', 'SQL', 'query', 'mode', 'new', 'database', 'default', 'to', 'ANSI-92', 'in', '2000', 'file', 'format', 'because', 'the', 'option', 'is', 'disabled', ';']","[1, 6, 9, 2, 7, 13, 4, 4, 3, 4, 4, 8, 13, 8, 11, 4, 4, 0, 7, 4, 6, 2, 5]"
"['ANSI-89', 'is', 'the', 'only', 'query', 'mode', 'setting', 'available', 'for', 'a', 'database', 'in', 'Access', '2000', 'file', 'format', '.']","[13, 6, 7, 3, 4, 4, 4, 3, 8, 7, 4, 8, 13, 11, 4, 4, 5]"
"['About', 'using', 'connection', 'files']","[8, 2, 4, 2]"
"['A', 'connection', 'file', 'stores', 'information', 'about', 'a', 'connection', 'to', 'a', 'data', 'source', '(', 'such', 'as', 'an', 'OLE', 'DB', 'data', 'source', ')', 'and', 'the', 'data', 'associated', 'with', 'the', 'connection', '.']","[7, 4, 4, 2, 4, 8, 7, 4, 8, 7, 4, 4, 5, 3, 8, 7, 13, 14, 4, 4, 5, 10, 7, 4, 2, 8, 7, 4, 5]"
"['In', 'Microsoft', 'Access', ',', 'you', 'can', 'use', 'a', 'connection', 'file', 'to', 'bind', 'one', 'or', 'more', 'data', 'access', 'pages', 'to', 'a', 'data', 'source', '.']","[8, 13, 13, 5, 1, 6, 2, 7, 4, 4, 9, 2, 11, 10, 12, 4, 4, 4, 8, 7, 4, 4, 5]"
"['When', 'you', 'open', 'a', 'page', ',', 'Access', 'reads', 'the', 'connection', 'file', 'that', 'is', 'linked', 'to', 'the', 'page', ',', 'and', 'based', 'on', 'the', 'contents', 'of', 'the', 'connection', 'file', ',', 'connects', 'the', 'page', 'to', 'the', 'appropriate', 'data', 'source', '.']","[0, 1, 2, 7, 4, 5, 13, 2, 7, 4, 4, 1, 6, 2, 8, 7, 4, 5, 10, 2, 8, 7, 4, 8, 7, 4, 4, 5, 2, 7, 4, 8, 7, 3, 4, 4, 5]"
"['A', 'connection', 'file', 'uses', 'one', 'of', 'the', 'following', 'file', 'formats', ':']","[7, 4, 4, 2, 11, 8, 7, 3, 4, 4, 5]"
"['Office', 'Data', 'Connection', '(', '.odc', ')']","[13, 4, 4, 5, 14, 5]"
"['A', 'file', 'format', 'that', 'uses', 'HTML', 'and', 'XML', 'to', 'store', 'the', 'connection', 'information', '.']","[7, 4, 4, 0, 2, 13, 10, 13, 9, 2, 7, 4, 4, 5]"
"['You', 'can', 'view', 'or', 'edit', 'the', 'contents', 'of', 'the', 'file', 'in', 'any', 'text', 'editor', '.']","[1, 6, 2, 10, 2, 7, 4, 8, 7, 4, 8, 7, 4, 4, 5]"
"['Universal', 'Data', 'Link', '(', '.udl', ')']","[3, 4, 4, 5, 14, 5]"
"['A', 'standard', 'file', 'format', 'provided', 'by', 'Microsoft', 'Data', 'Links', 'to', 'create', 'file-persistent', 'OLE', 'DB', 'data', 'source', 'object', 'definitions', '.']","[7, 3, 4, 4, 2, 8, 13, 4, 4, 9, 2, 3, 13, 14, 4, 4, 4, 4, 5]"
"['Benefits', 'of', 'using', 'a', 'connection', 'file']","[4, 8, 2, 7, 4, 4]"
"['Using', 'a', 'connection', 'file', 'simplifies', 'the', 'task', 'of', 'deploying', 'related', 'data', 'access', 'pages', '.']","[2, 7, 4, 4, 2, 7, 4, 8, 2, 3, 4, 4, 4, 5]"
