tokens,pos_tags
"['Distribution', 'of', 'this', 'license', 'does', 'not', 'create', 'an', 'attorney', '-', 'client', 'relationship', '.']","[0, 5, 4, 0, 10, 12, 8, 4, 0, 1, 0, 0, 1]"
"['Creative', 'Commons', 'provides', 'this', 'information', 'on', 'an', '""', 'as', '-', 'is', '""', 'basis', '.']","[2, 2, 8, 4, 0, 5, 4, 1, 5, 1, 8, 1, 0, 1]"
"['Creative', 'Commons', 'makes', 'no', 'warranties', 'regarding', 'the', 'information', 'provided', ',', 'and', 'disclaims', 'liability', 'for', 'damages', 'resulting', 'from', 'its', 'use', '.']","[2, 2, 8, 4, 0, 8, 4, 0, 8, 1, 9, 8, 0, 5, 0, 8, 5, 4, 0, 1]"
"['License', '.']","[0, 1]"
"['The', 'work', 'is', 'protected', 'by', 'copyright', 'and', '/', 'or', 'other', 'applicable', 'law', '.']","[4, 0, 10, 8, 5, 0, 9, 1, 9, 6, 6, 0, 1]"
"['By', 'exercising', 'any', 'rights', 'to', 'the', 'work', 'provided', 'here', ',', 'you', 'accept', 'and', 'agree', 'to', 'be', 'bound', 'by', 'the', 'terms', 'of', 'this', 'license', '.']","[5, 8, 4, 0, 5, 4, 0, 8, 11, 1, 14, 8, 9, 8, 12, 10, 8, 5, 4, 0, 5, 4, 0, 1]"
"['The', 'Licensor', 'grants', 'You', 'the', 'rights', 'contained', 'here', 'in', 'consideration', 'of', 'your', 'acceptance', 'of', 'such', 'terms', 'and', 'conditions', '.']","[4, 0, 8, 14, 4, 0, 8, 11, 5, 0, 5, 4, 0, 5, 4, 0, 9, 0, 1]"
"['A', 'work', 'that', 'constitutes', 'a', 'Collective', 'Work', 'will', 'not', 'be', 'considered', 'a', 'Derivative', 'Work', '(', 'as', 'defined', 'below', ')', 'for', 'the', 'purposes', 'of', 'this', 'License', '.']","[4, 0, 14, 8, 4, 6, 0, 10, 12, 10, 8, 4, 6, 0, 1, 5, 8, 11, 1, 5, 4, 0, 5, 4, 0, 1]"
"['""', 'Work', '""', 'means', 'the', 'copyrightable', 'work', 'of', 'authorship', 'offered', 'under', 'the', 'terms', 'of', 'this', 'License', '.']","[1, 2, 1, 8, 4, 6, 0, 5, 0, 8, 5, 4, 0, 5, 4, 0, 1]"
"['Attribution', ',', 'ShareAlike', '.']","[0, 1, 2, 1]"
"['2', '.', 'Fair', 'Use', 'Rights', '.']","[3, 1, 6, 0, 0, 1]"
"['3', '.', 'License', 'Grant', '.']","[3, 1, 0, 0, 1]"
"['Subject', 'to', 'the', 'terms', 'and', 'conditions', 'of', 'this', 'License', ',', 'Licensor', 'hereby', 'grants', 'You', 'a', 'worldwide', ',', 'royalty', '-', 'free', ',', 'non', '-', 'exclusive', ',', 'perpetual', '(', 'for', 'the', 'duration', 'of', 'the', 'applicable', 'copyright', ')', 'license', 'to', 'exercise', 'the', 'rights', 'in', 'the', 'Work', 'as', 'stated', 'below', ':']","[6, 5, 4, 0, 9, 0, 5, 4, 0, 1, 2, 11, 8, 14, 4, 6, 1, 0, 1, 6, 1, 11, 1, 6, 1, 6, 1, 5, 4, 0, 5, 4, 6, 0, 1, 0, 12, 8, 4, 0, 5, 4, 0, 5, 8, 11, 1]"
"['to', 'reproduce', 'the', 'Work', ',', 'to', 'incorporate', 'the', 'Work', 'into', 'one', 'or', 'more', 'Collective', 'Works', ',', 'and', 'to', 'reproduce', 'the', 'Work', 'as', 'incorporated', 'in', 'the', 'Collective', 'Works', ';']","[12, 8, 4, 0, 1, 12, 8, 4, 0, 5, 3, 9, 11, 6, 0, 1, 9, 12, 8, 4, 0, 5, 8, 5, 4, 6, 0, 1]"
"['to', 'create', 'and', 'reproduce', 'Derivative', 'Works', ';']","[12, 8, 9, 8, 6, 0, 1]"
"['to', 'distribute', 'copies', 'or', 'phonorecords', 'of', ',', 'display', 'publicly', ',', 'perform', 'publicly', ',', 'and', 'perform', 'publicly', 'by', 'means', 'of', 'a', 'digital', 'audio', 'transmission', 'the', 'Work', 'including', 'as', 'incorporated', 'in', 'Collective', 'Works', ';']","[12, 8, 0, 9, 0, 5, 1, 8, 11, 1, 8, 11, 1, 9, 8, 11, 5, 0, 5, 4, 6, 0, 0, 4, 0, 8, 5, 8, 5, 6, 0, 1]"
"['to', 'distribute', 'copies', 'or', 'phonorecords', 'of', ',', 'display', 'publicly', ',', 'perform', 'publicly', ',', 'and', 'perform', 'publicly', 'by', 'means', 'of', 'a', 'digital', 'audio', 'transmission', 'Derivative', 'Works', '.']","[12, 8, 0, 9, 0, 5, 1, 8, 11, 1, 8, 11, 1, 9, 8, 11, 5, 0, 5, 4, 6, 0, 0, 6, 0, 1]"
"['For', 'the', 'avoidance', 'of', 'doubt', ',', 'where', 'the', 'work', 'is', 'a', 'musical', 'composition', ':']","[5, 4, 0, 5, 0, 1, 7, 4, 0, 10, 4, 6, 0, 1]"
"['The', 'above', 'rights', 'may', 'be', 'exercised', 'in', 'all', 'media', 'and', 'formats', 'whether', 'now', 'known', 'or', 'hereafter', 'devised', '.']","[4, 6, 0, 10, 10, 8, 5, 4, 0, 9, 0, 7, 11, 6, 9, 11, 8, 1]"
"['The', 'above', 'rights', 'include', 'the', 'right', 'to', 'make', 'such', 'modifications', 'as', 'are', 'technically', 'necessary', 'to', 'exercise', 'the', 'rights', 'in', 'other', 'media', 'and', 'formats', '.']","[4, 6, 0, 8, 4, 0, 12, 8, 4, 0, 5, 10, 11, 6, 12, 8, 4, 0, 5, 6, 0, 9, 0, 1]"
"['All', 'rights', 'not', 'expressly', 'granted', 'by', 'Licensor', 'are', 'hereby', 'reserved', '.']","[4, 0, 12, 11, 8, 5, 0, 10, 11, 8, 1]"
"['The', 'license', 'granted', 'in', 'Section', '3', 'above', 'is', 'expressly', 'made', 'subject', 'to', 'and', 'limited', 'by', 'the', 'following', 'restrictions', ':']","[4, 0, 8, 5, 0, 3, 11, 10, 11, 8, 6, 5, 9, 8, 5, 4, 6, 0, 1]"
"['You', 'may', 'not', 'offer', 'or', 'impose', 'any', 'terms', 'on', 'the', 'Work', 'that', 'alter', 'or', 'restrict', 'the', 'terms', 'of', 'this', 'License', 'or', 'the', 'recipients', ""'"", 'exercise', 'of', 'the', 'rights', 'granted', '.']","[14, 10, 12, 8, 9, 8, 4, 0, 5, 4, 0, 14, 8, 9, 8, 4, 0, 5, 4, 0, 9, 4, 0, 12, 0, 5, 4, 0, 8, 1]"
"['You', 'may', 'not', 'sublicense', 'the', 'Work', '.']","[14, 10, 12, 8, 4, 0, 1]"
"['You', 'must', 'keep', 'intact', 'all', 'notices', 'that', 'refer', 'to', 'this', 'License', 'and', 'to', 'the', 'disclaimer', 'of', 'warranties', '.']","[14, 10, 8, 6, 4, 0, 14, 8, 5, 4, 0, 9, 5, 4, 0, 5, 0, 1]"
"['You', 'may', 'not', 'distribute', ',', 'publicly', 'display', ',', 'publicly', 'perform', ',', 'or', 'publicly', 'digitally', 'perform', 'the', 'Work', 'with', 'any', 'technological', 'measures', 'that', 'control', 'access', 'or', 'use', 'of', 'the', 'Work', 'in', 'a', 'manner', 'inconsistent', 'with', 'the', 'terms', 'of', 'this', 'License', 'Agreement', '.']","[14, 10, 12, 8, 1, 11, 8, 1, 11, 8, 1, 9, 11, 11, 8, 4, 0, 5, 4, 6, 0, 14, 8, 0, 9, 0, 5, 4, 0, 5, 4, 0, 6, 5, 4, 0, 5, 4, 0, 0, 1]"
