tokens,pos_tags
"['Í', 'fyrstuni', 'var', 'orðið', ',', 'og', 'orðið', 'var', 'hjá', 'Guði', ',', 'og', 'orðið', 'var', 'Guð', '.']","[4, 10, 12, 9, 5, 0, 9, 12, 4, 7, 5, 0, 9, 12, 7, 5]"
"['Hetta', 'var', 'í', 'fyrstuni', 'hjá', 'Guði', '.']","[1, 12, 4, 10, 4, 7, 5]"
"['Allir', 'lutir', 'eru', 'vorðnir', 'til', 'við', 'tí', ',', 'og', 'uttan', 'tað', 'varð', 'einki', 'til', 'av', 'tí', ',', 'sum', 'til', 'er', 'vorðið', '.']","[8, 9, 12, 2, 4, 4, 1, 5, 0, 4, 1, 2, 8, 4, 4, 1, 5, 6, 4, 12, 2, 5]"
"['Í', 'tí', 'var', 'lív', ',', 'og', 'lívið', 'var', 'ljós', 'menniskjunnar', '.']","[4, 1, 12, 9, 5, 0, 9, 12, 9, 9, 5]"
"['Og', 'ljósið', 'skínur', 'í', 'myrkrinum', ',', 'og', 'myrkrið', 'tók', 'ikki', 'við', 'tí', '.']","[0, 9, 2, 4, 9, 5, 0, 9, 2, 3, 4, 1, 5]"
"['Maður', 'kom', ',', 'sendur', 'frá', 'Guði', ',', 'hann', 'æt', 'Jóhannes', '.']","[9, 2, 5, 2, 4, 7, 5, 1, 2, 7, 5]"
"['Hesin', 'kom', 'til', 'vitnisburðar', ',', 'til', 'tess', 'at', 'hann', 'skuldi', 'vitna', 'um', 'ljósið', ',', 'fyri', 'at', 'allir', 'skuldu', 'trúgva', 'við', 'honum', '.']","[8, 2, 4, 9, 5, 4, 1, 6, 1, 12, 2, 4, 9, 5, 4, 6, 8, 12, 2, 4, 1, 5]"
"['Hann', 'var', 'ikki', 'ljósið', ',', 'men', 'hann', 'skuldi', 'vitna', 'um', 'ljósið', '.']","[1, 12, 3, 9, 5, 0, 1, 12, 2, 4, 9, 5]"
"['Hitt', 'sanna', 'ljósið', ',', 'sum', 'upplýsir', 'hvörja', 'menniskju', ',', 'var', 'við', 'at', 'koma', 'í', 'heimin', '.']","[8, 10, 9, 5, 6, 2, 8, 9, 5, 12, 4, 13, 2, 4, 9, 5]"
"['Hann', 'var', 'í', 'heiminum', ',', 'og', 'heimurin', 'er', 'vorðin', 'til', 'við', 'honum', ',', 'og', 'heimurin', 'kendi', 'hann', 'ikki', '.']","[1, 12, 4, 9, 5, 0, 9, 12, 2, 4, 4, 1, 5, 0, 9, 2, 1, 3, 5]"
"['Hann', 'kom', 'til', 'sítt', 'egna', ',', 'og', 'hansara', 'egnu', 'tóku', 'ikki', 'í', 'móti', 'honum', '.']","[1, 2, 4, 1, 10, 5, 0, 1, 10, 2, 3, 4, 9, 1, 5]"
