tokens,pos_tags
"['sitä', 'oltiin', 'niin', 'daideilijaa', 'niin', 'daideilijaa']","[0, 1, 0, 2, 0, 2]"
"['tule', 'tänne']","[3, 4]"
"['kyllä', 'se', 'tulee', 'kotihin']","[0, 5, 3, 2]"
"['me', 'tulthin', 'takaapäij', 'ja', 'vettä', 'vaan', 'niskaha']","[5, 3, 4, 6, 2, 0, 2]"
"['ei', 'net', 'tykähne', 'olla', 'näim', 'pohjosessa']","[1, 5, 3, 3, 0, 7]"
"['ruppee', 'satamaan']","[1, 3]"
"['jos', 'ei', 'mitääm', 'muuta', 'menua', 'oo']","[8, 1, 9, 9, 2, 3]"
"['toisen', 'pääl', 'ei', 'voi', 'nukkuu', 'ollenkaa', 'ku', 'se', 'pitää', 'nii', 'kauheeta', 'metelii']","[5, 10, 1, 1, 3, 4, 8, 5, 3, 0, 7, 2]"
"['semssi', 'aktiivissi', 'nuari', 'metsästäji']","[9, 7, 7, 2]"
"['hiukam', 'peltto']","[4, 2]"
"['mutta', 'ennää', 'ei', 'os', 'sit', 'elosa', 'ku', ',', 'yks', 'täti', ',', 'mikä', 'ellää', ',', 'Turusa', ',', 'että', 'vähhiin', 'om', 'menny', '.']","[6, 0, 1, 3, 4, 4, 8, 11, 12, 2, 11, 5, 3, 11, 13, 11, 8, 4, 1, 3, 11]"
"['toimen', 'tultti', ',', 'ja', 'iha', 'yht', 'tyytyväissi', 'oltti', '.']","[2, 3, 11, 6, 0, 4, 7, 1, 11]"
"['et', 'nyt', 'täsä', 'on', 'viäl', 'aikka', 'siihem', 'pualtoista', 'kuukaut', 'melkke', '.']","[8, 4, 4, 3, 0, 2, 5, 12, 2, 0, 11]"
"['ajateltti', 'ettei', 'ett', 'ei', 'sateevarjo', 'kukkaam', 'pitäis', 'siäl', '.']","[3, 14, 8, 1, 2, 5, 3, 4, 11]"
"['katle', 'aknast', ',', 'kon', 'papla', 'mukulat', 'tapleva', 'makrast', '.']","[3, 2, 11, 8, 2, 2, 3, 2, 11]"
"['Pekka', 'voi', 'antaa', 'lisää', 'ruokaa', '.']","[13, 1, 3, 4, 2, 11]"
"['ei', 'menisis', 'sinne']","[1, 3, 4]"
"['uudeksip', 'pääomistajaksi']","[7, 2]"
"['mietimmes', 'sitä']","[3, 5]"
"['miettisimmät', 'toista', 'kertaa']","[3, 7, 2]"
"['kaikkis', 'serkut']","[9, 2]"
"['tääläk', 'kaikki']","[4, 5]"
"['anna', 'olla']","[3, 3]"
"['lähe', 'aena', 'venneellä']","[3, 4, 2]"
"['minäki', 'ole', 'olluv', 'vetämässä']","[5, 1, 1, 3]"
"['saat', 'siinä', 'koko', 'ikäs', 'olla']","[1, 4, 7, 2, 3]"
"['täst', 'kyläst']","[9, 2]"
"['täl', 'taval']","[9, 2]"
"['mi', 'olen', 'ollu', 'noip', 'puita', 'kaatamas', 'mettäs', '.']","[5, 1, 1, 9, 2, 3, 2, 11]"
"['ensmeiseks', 'työks', 'Aarne', 'herist', 'mul', 'nyrkki', '.']","[7, 2, 13, 3, 5, 2, 11]"
"['kyl', 'tommost', 'tyät', 'tehr', 'näke']","[0, 9, 2, 3, 3]"
"['tää', 'olä', 'riih', 'alum', 'pittäe', '.']","[5, 1, 2, 2, 4, 11]"
"['kot´ompelijana', 'sitä', 'pit´', 'kierteekkiis', 'sitten', '.']","[2, 0, 1, 3, 4, 11]"
"['mull', 'ei', 'oo', 'aikaa']","[5, 1, 3, 2]"
"['siin', 'on', 'ruokaa']","[4, 3, 2]"
"['ann', 'olla']","[3, 3]"
"['taloss', 'asutaa']","[2, 3]"
"['kuteet', 'pantii', 'kuivumaa', '.']","[2, 3, 3, 11]"
"['olen', 'ottanu', 'sen']","[1, 3, 5]"
"['älä', 'ny', 'viitti']","[1, 0, 3]"
"['Pakokaasuissa', 'on', 'häkän', 'lisäksi', 'muita', 'myrkyllisiä', 'aineita']","[2, 3, 2, 10, 9, 7, 2]"
"['täkyn', 'sisään', 'menevä', 'lanka']","[2, 10, 3, 2]"
"['Tämä', 'mekko', 'oli', 'halvin']","[9, 2, 1, 7]"
"['Elokuva', 'oli', 'tehty', 'halvoin', 'trikein']","[2, 1, 3, 7, 2]"
"['Huomasin', 'hänen', 'lähtevän']","[3, 5, 3]"
"['Huomasin', 'hänen', 'lähteneen', '.']","[3, 5, 3, 11]"
"['Lähdettyään', 'hän', 'soitti', '.']","[3, 5, 3, 11]"
"['Hän', 'oli', 'lähtevinään', '.']","[5, 1, 3, 11]"
"['Hän', 'oli', 'lähtemäisillään', '.']","[5, 1, 3, 11]"
"['koko', 'päivän']","[7, 2]"
"['kelpo', 'tyttöjä']","[7, 2]"
"['tokalla', 'kerralla']","[7, 2]"
"['nii', 'huomasin', 'että', 'siel', 'on', 'kalosseja', 'ja', 'ne', 'oli', 'iha', 'nättiä']","[0, 3, 8, 4, 3, 2, 6, 5, 1, 0, 7]"
"['siinähä', 'o', 'hirveesti', 'englanninkielisiä', 'termiä']","[5, 3, 4, 7, 2]"
"['s´', 'o', 'harvon', 'ko', 'on', 'ollut', 'toukokuusa', 'jäät', 'täsä', 'joesa']","[5, 3, 4, 8, 1, 3, 2, 2, 9, 2]"
"['Ous', 'sinä', 'siinä', 'jahkaelemata', '!']","[1, 5, 4, 3, 11]"
"['eihä', 'sitä', 'muute', 'ilma', 'rahatat', 'tulna', 'toimee']","[1, 0, 4, 10, 2, 3, 2]"
"['nukkein', 'paraati']","[2, 2]"
"['Laukaan', 'sydäntä', 'ja', 'kuusentainta', 'esittävä', 'vaakuna']","[13, 2, 6, 2, 3, 2]"
"['2500', 'visakoivun', 'taimea']","[12, 2, 2]"
"['tuota', 'monille', 'epämieluisaa', 'tointa', 'voi', 'vältellä', '.']","[9, 5, 7, 2, 1, 3, 11]"
"['asioita', ',', 'jotka', 'sivuavat', 'päätoimea', 'tai', 'päin', 'vastoin', '.']","[2, 11, 5, 3, 2, 6, 4, 4, 11]"
"['pieni', 'poika', 'osasi', 'käytellä', 'veistä', 'kuin', 'täysikasvuinen', '.']","[7, 2, 1, 3, 2, 8, 7, 11]"
"['hyökkää', 'veitseä', 'heristäen', 'vanhuksen', 'eteen', '.']","[3, 2, 3, 2, 10, 11]"
"['erilaisia', 'lumea', 'kuvaavia', 'sanoja']","[7, 2, 3, 2]"
"['valas', 'voi', 'jopa', 'jahdata', 'lohea', 'rantamatalaan', 'asti']","[2, 1, 0, 3, 2, 2, 10]"
"['nyt', 'on', 'tärkeää', 'satsata', 'luovuuteen', '.']","[4, 1, 7, 3, 2, 11]"
"['Uuden', 'identiteetin', 'rakentaminen', 'on', 'varmasti', 'vaikeaa', '.']","[7, 2, 2, 1, 4, 7, 11]"
"['ei', 'siinä', 'mitään', 'nyt', 'silleen', 'tärkeetä']","[3, 5, 9, 0, 4, 7]"
"['Tämä', 'on', 'ollut', 'upeeta', ',', 'hienoa', '.']","[5, 1, 1, 7, 11, 7, 11]"
"['Mä', 'vasta', 'aloitin', 'tänä', 'vuonna', ',', 'ja', 'heti', 'saatiin', 'kultaa', 'ja', 'hopeeta', 'ja', 'pronssia', '.']","[5, 0, 3, 9, 2, 11, 6, 4, 3, 2, 6, 2, 6, 2, 11]"
"['Mulla', 'siihen', 'liitty', 'kauheesti', 'häpeetä', '.']","[5, 5, 3, 4, 2, 11]"
"['Ei', 'sillo', 'lapsil', 'ollu', 'nii', 'fiinei', 'vaattei', 'ko', 'ny', ',', 'omakurotui', 'vaa']","[1, 4, 2, 3, 0, 7, 2, 8, 4, 11, 7, 0]"
"['Lökärit', 'on', 'täysii', 'pellei', 'kaikki']","[2, 1, 7, 2, 5]"
"['Me', 'käymme', 'joulun', 'viettohon']","[5, 3, 2, 2]"
"['otin', 'kepin']","[3, 2]"
"['otin', 'hänen', 'keppinsä']","[3, 9, 2]"
"['vanhempiemme', 'terveys']","[2, 2]"
"['Lapseni', 'täytti', 'kolme', 'vuotta', '.']","[2, 3, 12, 2, 11]"
"['Näin', 'lapseni', 'pihalla', '.']","[3, 2, 2, 11]"
"['Voinko', 'luottaa', 'sinun', 'tukeesi', '?']","[1, 3, 9, 2, 11]"
"['Tutustuimme', 'uusiin', 'opettajiimme', '.']","[3, 7, 2, 11]"
"['Hän', 'oli', 'tyytyväinen', 'poikaansa', '.']","[5, 1, 7, 2, 11]"
"['Hän', 'ikävöi', 'poikaansa', '.']","[5, 3, 2, 11]"
"['Tulit', 'tueksemme']","[3, 2]"
"['se', 'Ville', 'katkas', 'kätesä']","[9, 13, 3, 2]"
"['se', 'ol´', 'minu', 'ikäseim', 'mies']","[5, 1, 9, 7, 2]"
"['saat', 'lihhaa', 'palkakseis']","[3, 2, 2]"
"['Se', 'oli', 'minun', 'ratkaisuni', '.']","[5, 1, 9, 2, 11]"
"['Tuoko', 'on', 'teidän', 'uusi', 'autonne', '?']","[5, 1, 9, 7, 2, 11]"
"['Kerää', 'likaiset', 'vaatteesi', 'lattialta', '.']","[3, 7, 2, 2, 11]"
"['vaimoineen', 'ja', 'lapsineen']","[2, 6, 2]"
"['ystävällisine', 'terveisineen']","[7, 2]"
