tokens,pos_tags
"['Kävelyreitti', 'III']","[0, 1]"
"['Jäällä', 'kävely', 'avaa', 'aina', 'hauskoja', 'ja', 'erikoisia', 'näkökulmia', 'kaupunkiin', '.']","[0, 0, 2, 3, 1, 4, 1, 0, 0, 5]"
"['Vähän', 'samanlainen', 'tunne', 'kuin', 'silloin', ',', 'kun', 'ystävämme', 'vei', 'meidät', 'kerran', 'ylös', 'tuomiokirkon', 'torniin', '.']","[3, 1, 0, 6, 3, 5, 6, 0, 2, 7, 3, 3, 0, 0, 5]"
"['Kuinka', 'erilaiselta', 'maailma', 'sieltä', 'näyttikään', '.']","[3, 1, 0, 3, 2, 5]"
"['Vaikka', 'tiesi', ',', 'millainen', 'Turku', 'on', 'kartalla', ',', 'se', 'hämmästytti', 'siltikin', '.']","[6, 2, 5, 1, 8, 9, 0, 5, 7, 2, 3, 5]"
"['Että', 'Aninkaisten', 'silta', 'on', 'muka', 'tuolla', ',', 'vai', '?']","[6, 8, 0, 9, 3, 3, 5, 4, 5]"
"['Kävelyreitti', 'II']","[0, 1]"
"['Tuomiokirkko', 'rakennuksena', 'tekee', 'minuun', 'aina', 'suuren', 'vaikutuksen', '.']","[0, 0, 2, 7, 3, 1, 0, 5]"
"['Pidän', 'sen', 'majesteetillisuudesta', 'sekä', 'eri', 'aikakausien', 'kerroksellisuudesta', '.']","[2, 7, 0, 4, 1, 0, 0, 5]"
"['Onneksi', 'sitä', 'ei', 'missään', 'vaiheessa', 'restauroitu', 'samalla', 'tavoin', 'kuin', 'Uppsalan', 'tuomiokirkkoa', '.']","[3, 7, 9, 7, 0, 2, 7, 0, 6, 8, 0, 5]"
['Kävelyreissu'],[0]
"['Aurajoen', 'jääkansi', 'oli', 'vihdoin', 'niin', 'kestävä', ',', 'että', 'ihmiset', 'uskaltautuivat', 'sille', 'kävelemään', '.']","[8, 0, 9, 3, 3, 1, 5, 6, 0, 2, 7, 2, 5]"
"['Lauantaina', 'mekin', 'otimme', 'koirun', 'mukaan', 'ja', 'lähdimme', 'kulkemaan', 'jokea', 'yläjuoksulle', 'päin', '.']","[0, 7, 2, 0, 3, 4, 2, 2, 0, 0, 10, 5]"
"['Eläin', 'oli', 'ikionnellinen', '.']","[0, 9, 1, 5]"
"['Se', 'ravasi', 'käytännössä', 'siksakkia', 'joen', 'toisen', 'penkan', 'muurilta', 'toiselle', ',', 'kävi', 'tervehtimässä', 'kaikkia', 'vastaantulijoita', 'ja', 'varmuuden', 'vuoksi', 'kyräili', 'jokaista', 'hiihtäjää', '.']","[7, 2, 0, 0, 0, 7, 0, 0, 7, 5, 2, 2, 7, 0, 4, 0, 10, 2, 7, 0, 5]"
['Delilah'],[8]
"['Eilinen', 'Delilah-musikaali', 'oli', 'todella', 'onnistunut', 'lopputyöksi', '.']","[1, 0, 9, 3, 1, 0, 5]"
"['Vaikka', 'sisällöstä', 'ei', 'sen', 'suuremmin', 'noussut', 'ylös', 'teesiä', 'tai', 'julistusta', ',', 'oli', 'ihan', 'pelkkää', 'viihdettäkin', 'kiva', 'katsoa', '.']","[6, 0, 9, 3, 3, 2, 3, 0, 4, 0, 5, 9, 3, 1, 0, 1, 2, 5]"
"['Käsikirjoittaja', 'Suvi', 'Kanniainen', 'oli', 'mielestäni', 'onnistunut', 'paitsi', 'ohjauksessaan', ',', 'myös', 'käsikirjoituksessa', '.']","[0, 8, 8, 9, 0, 2, 3, 0, 5, 3, 0, 5]"
"['Ainoastaan', 'ihan', 'lopun', 'tapahtumat', 'alkoivat', 'olla', 'dramaturgisesti', 'puuroa', ',', 'ikään', 'kuin', 'innostus', 'olisi', 'vienyt', 'tarinaa', 'eteenpäin', ',', 'mutta', 'yhtäkkiä', 'olisi', 'tullut', 'ongelma', ',', 'mihin', 'jutun', 'päättää', '.']","[3, 3, 0, 0, 2, 9, 3, 0, 5, 3, 3, 0, 9, 2, 0, 3, 5, 4, 3, 9, 2, 0, 5, 7, 0, 2, 5]"
"['Roolitus', 'oli', 'hyvin', 'onnistunut', '.']","[0, 9, 3, 1, 5]"
"['Hienoa', ',', 'että', 'rooleihin', 'oli', 'löytynyt', 'oikean', 'ikäisiä', 'ja', 'hyvin', 'laulavia', 'näyttelijöitä', '.']","[1, 5, 6, 0, 9, 2, 1, 1, 4, 3, 2, 0, 5]"
"['Varsinkin', 'Salla', 'Närän', 'esittämä', 'pornokaupan', 'paha', 'puuma', 'sekä', 'Tarja', 'Vuolan', 'elämäpakoinen', 'leskirouva', 'lunastivat', 'paikkansa', '.']","[3, 8, 8, 2, 0, 1, 0, 4, 8, 8, 1, 0, 2, 0, 5]"
"['Lavastus', 'oli', 'nyt', 'sitä', ',', 'mitä', 'lopputyöbudjetilla', 'saa', 'aikaiseksi', ',', 'mutta', 'se', 'mahdollisti', 'sen', ',', 'että', 'ohjaaja', 'Kanniainen', 'oli', 'uskaltanut', 'ottaa', 'tilaa', 'rohkeasti', 'käyttöön', '.']","[0, 9, 3, 7, 5, 7, 0, 2, 3, 5, 4, 7, 2, 7, 5, 6, 0, 8, 9, 2, 2, 0, 3, 0, 5]"
"['Turhan', 'usein', 'ammattiteattereissakin', 'lavastetaan', 'koko', 'päänäyttämö', ',', 'mutta', 'ohjaaja', 'tuo', 'silti', 'kaiken', 'tapahtuman', 'etureunaan', 'noin', 'neljän', 'neliön', 'alueelle', '.']","[3, 3, 0, 2, 1, 0, 5, 4, 0, 2, 3, 7, 0, 0, 3, 11, 0, 0, 5]"
"['Mielestäni', 'likimain', 'vain', 'Juha', 'Malmivaara', 'on', 'ainoa', 'suomalainen', 'ohjaaja', ',', 'joka', 'kykenee', 'alistamaan', 'kaiken', 'tilan', 'käyttöönsä', '.']","[0, 3, 3, 8, 8, 9, 7, 1, 0, 5, 7, 2, 2, 7, 0, 0, 5]"
"['Mielenkiintoista', 'oli', 'myös', 'kappaleiden', 'valinta', '.']","[1, 9, 3, 0, 0, 5]"
"['Kuusikymmentäluvun', 'suomalainen', 'iskelmä', 'oli', 'hyvin', 'valjastettu', 'kuvittamaan', 'tämän', 'päivän', 'suomalaisen', 'pornokaupan', 'maailmaa', '.']","[0, 1, 0, 9, 3, 2, 2, 7, 0, 1, 0, 0, 5]"
"['Varsinkin', 'ensimmäisen', 'näytöksen', 'lopettava', 'laulu', 'Sirkusprinsessa', 'oli', 'liki', 'veret', 'pysäyttävä', 'valinta', '.']","[3, 1, 0, 2, 0, 0, 9, 3, 0, 2, 0, 5]"
"['Samalla', 'kun', 'pornokaupan', 'omistaja', 'kertoo', 'olevan', 'ajan', 'esitellä', 'uusi', 'sirkusprinsessa', ',', 'intimihierojat', 'joutuvat', 'kauppaamaan', 'itseään', 'keski-ikäisille', 'lihaville', 'miehille', '.']","[3, 6, 0, 0, 2, 9, 0, 2, 1, 0, 5, 0, 9, 2, 7, 1, 1, 0, 5]"
"['Lauluista', 'ainoa', 'kritisoitava', 'on', 'mielestäni', 'vain', 'loppukappaleen', 'valinta', ',', 'mitä', 'ei', 'pelastanaut', 'sinänsä', 'kaunis', 'taustaprojisointikaan', '.']","[0, 7, 2, 9, 0, 3, 0, 0, 5, 7, 9, 2, 3, 1, 0, 5]"
"['Grande', 'finalen', 'pitää', 'olla', 'grande', ',', 'eikä', 'pienestä', 'lurituksesta', 'tule', 'muuta', 'kuin', 'kiukkuiseksi', '.']","[12, 0, 9, 9, 1, 5, 9, 1, 0, 2, 7, 6, 1, 5]"
['Lopputyö'],[0]
"['Tänään', 'pitäisi', 'mennä', 'katsomaan', 'tutun', 'kanssa', 'Taideakatemiaan', 'Delilah-musikaalia', '.']","[3, 9, 2, 2, 0, 10, 0, 0, 5]"
"['Toivottavasti', 'se', 'on', 'parempi', 'kuin', 'eilinen', 'mahalasku', '.']","[3, 7, 9, 1, 6, 1, 0, 5]"
"['Millainen', 'minä', 'olen', '?']","[1, 7, 9, 5]"
"['Näin', 'lehdessä', 'ilmoituksen', ',', 'jolla', 'etsittiin', 'tutkimushenkilöitä', 'Alzheimer-projektiin', 'jollekin', 'Turun', 'yliopiston', 'laitokselle', '.']","[2, 0, 0, 5, 7, 2, 0, 0, 7, 8, 0, 0, 5]"
"['Leikkasin', 'ilmoituksen', 'irti', 'ja', 'lähetin', 'vanhemmilleni', '.']","[2, 0, 3, 4, 2, 0, 5]"
"['Molemmat', 'olivat', 'kovin', 'kiinnostuneita', 'ja', 'he', 'olivatkin', 'heti', 'ottaneet', 'yhteyttä', 'tutkimusvastaavaan', ',', 'joka', 'oli', 'sanonut', 'isäni', 'täyttävän', 'kaikki', 'kriteerit', '.']","[7, 9, 3, 1, 4, 7, 9, 3, 2, 0, 0, 5, 7, 9, 2, 0, 2, 7, 0, 5]"
"['Eilen', 'äitini', 'oli', 'jättänyt', 'vastaajaani', 'viestin', 'ja', 'sanoi', ',', 'että', 'he', 'voisivat', 'osallistua', 'tutkimukseen', ',', 'mutta', 'siinä', 'on', 'jossakin', 'vaiheessa', 'kolmen', 'kuukauden', 'periodi', ',', 'jolloin', 'Turussa', 'täytyy', 'käydä', 'joka', 'toinen', 'viikko', '.']","[3, 0, 9, 2, 0, 0, 4, 2, 5, 6, 7, 9, 2, 0, 5, 4, 7, 9, 7, 0, 11, 0, 0, 5, 3, 8, 9, 2, 7, 1, 0, 5]"
"['Hän', 'huolestuneena', 'tiedusteli', ',', 'mahtaisimmeko', 'jaksaa', 'majoittaa', 'heitä', 'niin', 'usein', '.']","[7, 2, 2, 5, 9, 2, 2, 7, 3, 3, 5]"
"['Kysyin', 'asiaa', 'pupulta', 'ja', 'hän', 'vastasi', 'saman', 'tien', ',', 'että', 'asia', 'laitetaan', 'onnistumaan', '.']","[2, 0, 0, 4, 7, 2, 3, 3, 5, 6, 0, 2, 2, 5]"
"['Itse', 'vähän', 'emmin', '.']","[3, 3, 2, 5]"
"['Mietin', ',', 'jaksaako', 'vanhuksia', 'ihan', 'oikeasti', 'meidän', 'pienessä', 'kämpässä', ',', 'varsinkin', 'jos', 'tutkimusjakso', 'on', 'useita', 'päiviä', 'kerrallaan', '.']","[2, 5, 2, 0, 3, 3, 7, 1, 0, 5, 3, 6, 0, 9, 1, 0, 0, 5]"
"['Isäni', ',', 'ajoittain', 'henkisesti', 'hukassa', 'ja', 'usein', 'fyysisesti', 'eksyksissä', 'oleva', ',', 'pakonomaisesti', 'vitsejä', 'vääntä', 'mies', 'voi', 'olla', 'raskaskin', 'huolehdittava', '.']","[0, 5, 3, 3, 3, 4, 3, 3, 3, 2, 5, 3, 0, 2, 0, 9, 9, 1, 2, 5]"
"['Tavatessani', 'ystäväni', 'tänään', 'kerroin', 'hänelle', 'asiasta', 'ja', 'omista', 'epäilyksistäni', '.']","[2, 0, 3, 2, 7, 0, 4, 1, 0, 5]"
"['Kun', 'kevätpuoli', 'on', 'töissä', 'aika', 'raskas', 'päättöarviointeineen', 'muineen', '.']","[6, 0, 9, 0, 3, 1, 0, 7, 5]"
"['Silloin', ',', 'juuri', 'samalla', 'sekunnilla', ',', 'kun', 'päästin', 'asian', 'sisältäni', ',', 'pysähdyin', 'oikein', 'kuuntelemaan', 'itseäni', '.']","[3, 5, 3, 7, 0, 5, 6, 2, 0, 3, 5, 2, 3, 2, 7, 5]"
"['Mitä', 'minä', 'puhun', '?']","[7, 7, 2, 5]"
"['Mitä', 'minä', 'ihan', 'oikeasti', 'puhun', '?']","[7, 7, 3, 3, 2, 5]"
