tokens,pos_tags
"['La', 'distribution', 'de', 'la', 'présente', 'version', 'de', 'ce', 'contrat', 'ne', 'crée', 'aucune', 'relation', 'juridique', 'entre', 'les', 'parties', 'au', 'à', 'le', 'contrat', 'présenté', 'ci-après', 'et', 'Creative', 'Commons', '.']","['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', None, 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT']"
"['Creative', 'Commons', 'fournit', 'cette', 'offre', 'de', 'contrat', '-', 'type', 'en', ""l'"", 'état', ',', 'à', 'seule', 'fin', ""d'"", 'information', '.']","['PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Creative', 'Commons', 'ne', 'saurait', 'être', 'tenu', 'responsable', 'des', 'de', 'les', 'éventuels', 'préjudices', 'résultant', 'du', 'de', 'le', 'contenu', 'ou', 'de', ""l'"", 'utilisation', 'de', 'ce', 'contrat', '.']","['PROPN', 'PROPN', 'PART', 'VERB', 'AUX', 'VERB', 'ADJ', None, 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', None, 'ADP', 'DET', 'VERB', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']"
"['Contrat', '.']","['NOUN', 'PUNCT']"
"[""L'"", 'Oeuvre', 'est', 'protégée', 'par', 'le', 'droit', 'de', 'la', 'propriété', 'littéraire', 'et', 'artistique', '(', 'droit', ""d'"", 'auteur', ',', 'droits', 'voisins', ',', 'droits', 'des', 'de', 'les', 'producteurs', 'de', 'bases', 'de', 'données', ')', 'ou', 'toute', 'autre', 'loi', 'applicable', '.']","['DET', 'PROPN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', None, 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'DET', 'NOUN', 'ADJ', 'PUNCT']"
"[""L'"", 'exercice', 'sur', ""l'"", 'Oeuvre', 'de', 'tout', 'droit', 'proposé', 'par', 'le', 'présent', 'contrat', 'vaut', 'acceptation', 'de', 'celui-ci', '.']","['DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PRON', 'PUNCT']"
"['Selon', 'les', 'termes', 'et', 'les', 'obligations', 'du', 'de', 'le', 'présent', 'contrat', ',', 'la', 'partie', 'offrante', 'propose', 'à', 'la', 'partie', 'acceptante', ""l'"", 'exercice', 'de', 'certains', 'droits', 'présentés', 'ci-après', ',', 'et', ""l'"", 'acceptant', 'en', 'approuve', 'les', 'termes', 'et', 'conditions', ""d'"", 'utilisation', '.']","['ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', None, 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Aux', 'À', 'les', 'termes', 'de', 'la', 'présente', 'autorisation', ',', 'une', 'oeuvre', 'qui', 'constitue', 'une', 'Oeuvre', 'dite', 'collective', 'ne', 'sera', 'pas', 'considérée', 'comme', 'une', 'oeuvre', 'dite', 'derivée', '(', 'telle', 'que', 'définie', 'ci-après', ')', '.']","[None, 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'PROPN', 'VERB', 'ADJ', 'PART', 'AUX', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'ADJ', 'PUNCT', 'ADJ', 'SCONJ', 'VERB', 'ADV', 'PUNCT', 'PUNCT']"
"['la', 'ou', 'les', 'personnes', 'physiques', 'ou', 'morales', 'qui', 'proposent', 'la', 'mise', 'à', 'disposition', 'de', ""l'"", 'Oeuvre', 'selon', 'les', 'termes', 'du', 'de', 'le', 'présent', 'contrat', '.']","['DET', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'NOUN', None, 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['Paternité', '-', 'Pas', ""d'"", 'utilisation', 'commerciale', '-', 'Partage', 'des', 'de', 'les', 'conditions', 'initiales', 'a', ""l'"", 'identique', '.']","['NOUN', 'PUNCT', 'ADV', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', None, 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'ADJ', 'PUNCT']"
"['2', ')', 'Exceptions', 'aux', 'à', 'les', 'droits', 'exclusifs', '.']","['NUM', 'PUNCT', 'PROPN', None, 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']"
"['3', ')', 'Autorisation', '.']","['NUM', 'PUNCT', 'NOUN', 'PUNCT']"
"['Soumis', 'aux', 'à', 'les', 'termes', 'et', 'conditions', 'définis', 'dans', 'cette', 'autorisation', ',', 'et', 'ceci', 'pendant', 'toute', 'la', 'durée', 'de', 'protection', 'de', ""l'"", 'oeuvre', 'par', 'le', 'droit', 'de', 'la', 'propriété', 'littéraire', 'et', 'artistique', 'ou', 'le', 'droit', 'applicable', ',', ""l'"", 'offrant', 'accorde', 'à', ""l'"", 'acceptant', ""l'"", 'autorisation', 'mondiale', ""d'"", 'exercer', 'à', 'titre', 'gratuit', 'et', 'non', 'exclusif', 'les', 'droits', 'suivants', ':']","['VERB', None, 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'ADP', 'DET', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'VERB', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADV', 'ADJ', 'DET', 'NOUN', 'ADJ', 'PUNCT']"
"['reproduire', ""l'"", 'Oeuvre', ',', 'incorporer', ""l'"", 'Oeuvre', 'dans', 'une', 'ou', 'plusieurs', 'oeuvres', 'dites', 'derivées', 'et', 'reproduire', ""l'"", 'oeuvre', 'telle', ""qu'"", 'incorporée', 'dans', 'les', 'dites', 'oeuvres', 'dites', 'collectives', ';']","['VERB', 'DET', 'PROPN', 'PUNCT', 'VERB', 'DET', 'PROPN', 'ADP', 'DET', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'VERB', 'ADJ', 'PUNCT']"
"['créer', 'et', 'reproduire', 'des', 'oeuvres', 'dites', 'derivées', ';']","['VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'VERB', 'ADJ', 'PUNCT']"
"['distribuer', 'des', 'exemplaires', 'ou', 'enregistrements', ',', 'présenter', ',', 'représenter', 'ou', 'communiquer', ""l'"", 'oeuvre', 'au', 'à', 'le', 'public', 'par', 'tout', 'procédé', 'technique', ',', 'y', 'compris', 'incorporée', 'dans', 'des', 'oeuvres', 'collectives', ';']","['VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', None, 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'ADV', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']"
