tokens,pos_tags
"['euh', 'bon', 'pour', 'aller', 'du', 'de', 'le', 'CRDT', 'à', 'la', 'gare', 'euh', 'de', 'Grenoble', 'je', 'euh', 'ben', 'je', 'sors', 'déjà', 'du', 'de', 'le', 'CRDT']","[0, 0, 1, 2, 3, 1, 4, 5, 1, 4, 6, 0, 1, 5, 7, 0, 0, 7, 2, 8, 3, 1, 4, 5]"
"['je', 'remonte', 'euh', ""l'"", 'avenue', 'Général', 'Champon']","[7, 2, 0, 4, 6, 5, 5]"
"['je', 'traverse', 'euh', 'face', 'à', 'la', 'euh', 'MDE']","[7, 2, 0, 6, 1, 4, 0, 5]"
"['et', 'je', 'euh', 'je', 'continue', 'je', 'continue', ""jusqu'"", 'à', 'une', 'place', 'qui', 'est', 'face', 'à', 'la', 'grande', 'poste', 'où', 'il', 'y', 'a', 'la', 'euh', 'Chambre', 'de', 'Commerce', 'et', ""d'"", 'Industrie']","[9, 7, 0, 7, 2, 7, 2, 1, 1, 4, 6, 7, 10, 6, 1, 4, 11, 6, 7, 7, 7, 2, 4, 0, 5, 1, 5, 9, 1, 5]"
"['et', 'euh', 'je', 'reprends', 'je', 'crois', 'le', 'non']","[9, 0, 7, 2, 7, 2, 4, 8]"
"[""c'"", 'est', 'pas', 'le', 'boulevard', 'Gambetta']","[7, 10, 8, 4, 6, 5]"
"['je', 'ne', 'sais', 'pas', 'lequel', ""c'"", 'est', 'euh']","[7, 8, 2, 8, 7, 7, 10, 0]"
"[""c'"", 'est', ""l'"", 'autre']","[7, 10, 4, 7]"
"['et', 'euh', 'donc', 'je', 'vais', ""jusqu'"", 'au', 'à', 'le', ""jusqu'"", 'à', 'la', 'place', 'Victor', 'Hugo']","[9, 0, 8, 7, 2, 1, 3, 1, 4, 1, 1, 4, 6, 5, 5]"
"['et', 'là', 'je', 'me', 'retrouve', 'euh', 'en', 'effet', 'euh', 's~', 'près', 'des', 'de', 'les', 'rails', 'du', 'de', 'le', 'tram']","[9, 8, 7, 7, 2, 0, 1, 6, 0, 12, 8, 3, 1, 4, 6, 3, 1, 4, 6]"
"['et', 'euh', 'et', 'ces', 'rails', 'du', 'de', 'le', 'tram', 'eh', 'ben', 'je', 'vais', 'je', 'vais', 'les', 'longer']","[9, 0, 9, 4, 6, 3, 1, 4, 6, 0, 0, 7, 2, 7, 2, 7, 2]"
"['je', 'vais', 'traverser', 'euh', 'le', 'boulevard', 'Gambetta']","[7, 2, 2, 0, 4, 6, 5]"
"['ça', 'cette', 'fois', ""c'"", 'est', 'le', 'boulevard', 'Gambetta']","[7, 4, 6, 7, 10, 4, 6, 5]"
"['ensuite', 'euh', 'je', 'vais', 'euh', 'prendre', 'je', 'crois', 'que', ""c'"", 'est', ""l'"", 'avenue', 'Alsace-Lorraine', 'que', 'je', 'vais', 'remonter', 'remonter']","[8, 0, 7, 2, 0, 2, 7, 2, 13, 7, 10, 4, 6, 5, 7, 7, 2, 2, 2]"
"['je', 'vais', 'traverser', 'le', 'cours', 'Jean', 'Jaurès', 'si', 'je', 'me', 'souviens', 'bien']","[7, 2, 2, 4, 6, 5, 5, 13, 7, 7, 2, 8]"
"['et', 'je', 'vais', 'euh']","[9, 7, 2, 0]"
"['je', 'vais', 'toujours', 'continuer', 'cette', 'avenue', 'Alsace-Lorraine']","[7, 2, 8, 2, 4, 6, 5]"
"['et', 'euh', 'et', 'ben', 'voilà', ""j'"", 'arrive', 'au', 'à', 'le', 'niveau', 'de', 'la', 'grande', 'place', 'de', 'la', 'gare', 'où', 'il', 'y', 'a', 'tous', 'les', 'trams', 'tous', 'les', 'bus', 'non', 'pas', 'tous', 'les', 'bus']","[9, 0, 9, 0, 2, 7, 2, 3, 1, 4, 6, 1, 4, 11, 6, 1, 4, 6, 7, 7, 7, 2, 11, 4, 6, 11, 4, 6, 8, 8, 11, 4, 6]"
"['ils', 'sont', 'pas', 'de', 'ce', 'côté', '-là']","[7, 2, 8, 1, 4, 6, 8]"
"['et', 'voilà']","[9, 2]"
"['et', 'je', 'suis', 'arrivée', 'sur', 'la', 'gare']","[9, 7, 10, 2, 1, 4, 6]"
"['alors', 'là', 'tu', 'vois', 'donc']","[8, 8, 7, 2, 8]"
"['tu', 'continues', 'tout', 'droit', 'tout', 'droit']","[7, 2, 8, 11, 8, 11]"
"['tu', 'traverses', 'tout']","[7, 2, 8]"
"['tu', 'arrives', 'à', 'un', 'rond-point']","[7, 2, 1, 4, 6]"
"['au', 'à', 'le', 'rond-point', ""c'"", 'est', 'tout', 'droit', 'direction', 'Saint-Jean-de-Maurienne']","[3, 1, 4, 6, 7, 10, 8, 11, 8, 5]"
"['euh', 'donc', 'tou~', 'tou~', 'toujours', 'Saint-Jean-de-Maurienne']","[0, 8, 8, 8, 8, 5]"
"['tu', 'passes', 'un', 'autre', 'rond-point']","[7, 2, 4, 7, 6]"
"['donc', 'toujours', 'tout', 'droit']","[8, 8, 8, 11]"
"['après', 'tu', 'montes', 'une', 'grande', 'grande', 'ligne', 'droite']","[1, 7, 2, 4, 11, 11, 6, 11]"
"['tu', 'passes', 'devant', 'la', 'piscine']","[7, 2, 1, 4, 6]"
"['euh', 'il', 'y', 'a', 'un', 'stade', 'aussi', 'à', 'côté']","[0, 7, 7, 2, 4, 6, 8, 1, 6]"
"['et', 'tu', 'arrives', 'à', 'un', 'rond-point']","[9, 7, 2, 1, 4, 6]"
"['donc', 'là', 'tu', 'rentres', 'dans', 'le', 'centre-ville']","[8, 8, 7, 2, 1, 4, 6]"
"['tu', 'arrives', 'à', 'un', 'rond-point']","[7, 2, 1, 4, 6]"
"[""c'"", 'est', 'donc', 'à', 'euh', 'gauche', 'euh', 'ensuite', 'euh', 'donc', 'gauche']","[7, 2, 8, 1, 0, 6, 0, 8, 0, 8, 6]"
"['là', 'je', 'crois', 'que', 'ça', 'sera', 'indiqué', 'déjà', 'gare']","[8, 7, 2, 13, 7, 10, 2, 8, 6]"
"['euh', 'mais', 'bon', 'tu', 'tu', 'traverses', 'le', 'champ', 'de', 'foire']","[0, 9, 0, 7, 7, 2, 4, 6, 1, 6]"
"['tu', 'arrives', 'à', 'un', 'autre', 'rond-point']","[7, 2, 1, 4, 7, 6]"
"['là', ""c'"", 'est', 'encore', 'euh', 'à', 'gauche']","[8, 7, 2, 8, 0, 1, 6]"
