tokens,pos_tags
"['O', 'BNG', 'solicitoulle', 'solicitou', 'lle', 'a', 'proposta', 'a', 'un', 'equipo', 'de', 'expertos', 'en', 'diferentes', 'áreas']","[0, 1, 2, 3, 4, 0, 5, 6, 0, 5, 6, 5, 6, 7, 5]"
"['Dereito', 'á', 'a', 'a', 'autodeterminación', ',', 'cidadanía', 'galega', ',', 'presenza', 'nas', 'en', 'as', 'institucións', 'internacionais', 'e', 'maior', 'autogoberno', '.']","[5, 2, 6, 0, 5, 8, 5, 7, 8, 5, 2, 6, 0, 5, 7, 9, 7, 5, 8]"
"['Estes', 'son', 'algúns', 'dos', 'de', 'os', 'aspectos', 'que', 'presenta', 'o', 'documento', 'de', 'base', 'para', 'o', 'novo', 'Estatuto', 'que', 'o', 'BNG', 'quere', 'negociar', 'na', 'en', 'a', 'próxima', 'lexislatura', '.']","[4, 10, 4, 2, 6, 0, 5, 4, 3, 0, 5, 6, 5, 6, 0, 7, 1, 4, 0, 1, 3, 3, 2, 6, 0, 7, 5, 8]"
"['Á', 'A', 'a', 'dereita', ',', 'outros', 'participantes', 'no', 'en', 'o', 'foro', ',', 'Paulo', 'González', 'Mariñas', 'e', 'Ramón', 'Villares', '.']","[2, 6, 0, 5, 8, 0, 5, 2, 6, 0, 5, 8, 1, 1, 1, 9, 1, 1, 8]"
"['Decididos', 'a', 'progresar', 'no', 'en', 'o', 'camiño', 'desa', 'de', 'esa', 'unidade', ',', '""', 'os', 'galegos', 'e', 'galegas', 'precisamos', 'de', 'proclamar', 'conxuntamente', 'a', 'nosa', 'identidade', 'política', ',', 'cultural', 'e', 'lingüística', ',', 'o', 'dereito', 'a', 'decidir', 'sobre', 'nós', 'mesmos', 'e', 'a', 'nosa', 'inequívoca', 'vontade', 'de', 'colaborar', 'na', 'en', 'a', 'instauración', 'dunha', 'de', 'unha', 'comunidade', 'internacional', 'que', 'asuma', 'a', 'vivencia', 'plena', 'da', 'de', 'a', 'democracia', 'global', ',', 'legalizada', 'e', 'institucionalizada', ',', 'de', 'acordo', 'cos', 'con', 'os', 'principios', 'inspiradores', 'da', 'de', 'a', 'política', 'exterior', 'española', 'e', 'europea', 'da', 'de', 'a', 'que', 'democraticamente', 'queremos', 'ser', 'partícipes', '""', '.']","[3, 6, 3, 2, 6, 0, 5, 2, 6, 0, 5, 8, 8, 0, 5, 9, 5, 3, 6, 3, 11, 0, 0, 5, 7, 8, 7, 9, 7, 8, 0, 5, 6, 3, 6, 4, 4, 9, 0, 0, 7, 5, 6, 3, 2, 6, 0, 5, 2, 6, 0, 5, 7, 4, 3, 0, 5, 7, 2, 6, 0, 5, 7, 8, 3, 9, 3, 8, 6, 5, 2, 6, 0, 5, 7, 2, 6, 0, 5, 7, 7, 9, 7, 2, 6, 0, 4, 11, 3, 10, 5, 8, 8]"
"['A', 'vontade', 'estatuínte', 'dos', 'de', 'os', 'galegos', 'declárase', 'declara', 'se', 'indeclinabelmente', 'vencellada', 'a', 'todos', 'os', 'avances', 'que', 'se', 'produzan', 'na', 'en', 'a', 'afirmación', 'dos', 'de', 'os', 'dereitos', 'humanos', ',', 'sociais', 'e', 'políticos', ',', '""', 'non', 'recoñecendo', 'as', 'posíbeis', 'limitacións', 'que', 'puidesen', 'derivarse', 'derivar', 'se', 'dunha', 'de', 'unha', 'interpretación', 'ríxida', 'ou', 'dunha', 'de', 'unha', 'resistencia', 'política', 'á', 'a', 'a', 'reforma', 'e', 'constante', 'mellora', 'dos', 'de', 'os', 'marcos', 'constitucionais', 'máis', 'próximos', '""', '.']","[0, 5, 7, 2, 6, 0, 5, 2, 3, 4, 11, 3, 6, 0, 0, 5, 4, 4, 3, 2, 6, 0, 5, 2, 6, 0, 5, 7, 8, 7, 9, 7, 8, 8, 11, 3, 0, 7, 5, 4, 10, 2, 3, 4, 2, 6, 0, 5, 7, 9, 2, 6, 0, 5, 7, 2, 6, 0, 5, 9, 7, 5, 2, 6, 0, 5, 7, 11, 7, 8, 8]"
"['O', 'Estatuto', 'proposto', 'quere', 'garantir', '""', 'a', 'liberdade', ',', 'a', 'xustiza', ',', 'o', 'benestar', 'e', 'a', 'seguridade', 'de', 'toda', 'a', 'cidadanía', 'galega', 'e', 'de', 'cantas', 'persoas', 'vivan', 'ou', 'se', 'encontren', 'no', 'en', 'o', 'seu', 'territorio', '""', '.']","[0, 1, 3, 3, 3, 8, 0, 5, 8, 0, 5, 8, 0, 5, 9, 0, 5, 6, 0, 0, 5, 7, 9, 6, 0, 5, 3, 9, 4, 3, 2, 6, 0, 0, 5, 8, 8]"
"['Configurada', 'en', '17', 'bases', ',', 'a', 'proposta', 'asume', '""', 'como', 'tarefa', 'principal', 'a', 'defensa', 'e', 'fortalecemento', 'da', 'de', 'a', 'identidade', 'de', 'Galiza', 'e', 'dos', 'de', 'os', 'seus', 'dereitos', 'e', 'intereses', ',', 'así', 'como', 'a', 'promoción', 'da', 'de', 'a', 'solidariedade', 'entre', 'todos', 'cantos', 'integran', 'o', 'pobo', 'galego', ',', 'ao', 'a', 'o', 'abeiro', 'da', 'de', 'a', 'idea', 'de', 'galeguidade', ',', 'entendida', 'como', 'o', 'dereito', 'a', 'colaboraren', 'e', 'compartiren', 'a', 'vida', 'social', ',', 'cultural', ',', 'económica', 'e', 'política', 'da', 'de', 'a', 'nación', '""', '.']","[3, 6, 12, 5, 8, 0, 5, 3, 8, 11, 5, 7, 0, 5, 9, 5, 2, 6, 0, 5, 6, 1, 9, 2, 6, 0, 0, 5, 9, 5, 8, 11, 13, 0, 5, 2, 6, 0, 5, 6, 4, 4, 3, 0, 5, 7, 8, 2, 6, 0, 5, 2, 6, 0, 5, 6, 5, 8, 3, 11, 0, 5, 6, 3, 9, 3, 0, 5, 7, 8, 7, 8, 7, 9, 7, 2, 6, 0, 5, 8, 8]"
"['O', 'territorio', 'de', 'Galiza', 'é', '""', 'o', 'abranguido', 'nos', 'en', 'os', 'límites', 'da', 'de', 'a', 'actual', 'Comunidade', 'Autónoma', ',', 'sen', 'prexuízo', 'da', 'de', 'a', 'incorporación', 'voluntaria', 'de', 'territorios', 'limítrofes', 'de', 'características', 'históricas', ',', 'económicas', ',', 'culturais', 'ou', 'xeográficas', 'análogas', '""', ',', 'de', 'acordo', 'coas', 'con', 'as', 'leis', '.']","[0, 5, 6, 1, 10, 8, 0, 3, 2, 6, 0, 5, 2, 6, 0, 7, 1, 7, 8, 6, 5, 2, 6, 0, 5, 7, 6, 5, 7, 6, 5, 7, 8, 7, 8, 7, 9, 7, 7, 8, 8, 6, 5, 2, 6, 0, 5, 8]"
"['O', 'seu', 'coñecemento', 'será', 'obrigado', 'para', 'exercer', 'a', 'representación', 'política', 'en', 'Galiza', 'e', 'das', 'de', 'as', 'funcións', 'administrativas', ',', 'notariais', ',', 'rexistrais', 'e', 'xudiciais', '.']","[0, 0, 5, 10, 7, 6, 3, 0, 5, 7, 6, 1, 9, 2, 6, 0, 5, 7, 8, 7, 8, 7, 9, 7, 8]"
