tokens,pos_tags
"['Sehr', 'gute', 'Beratung', ',', 'schnelle', 'Behebung', 'der', 'Probleme', ',', 'so', 'stelle', 'ich', 'mir', 'Kundenservice', 'vor', '.']","[11, 3, 4, 5, 3, 4, 2, 4, 5, 11, 7, 6, 6, 4, 9, 5]"
"['Die', 'Kosten', 'sind', 'definitiv', 'auch', 'im', 'in', 'dem', 'Rahmen', '.']","[2, 4, 7, 11, 11, 14, 9, 2, 4, 5]"
"['Nette', 'Gespräche', ',', 'klasse', 'Ergebnis']","[3, 4, 5, 3, 4]"
"['Ich', 'bin', 'seit', 'längerer', 'Zeit', 'zur', 'zu', 'der', 'Behandlung', 'verschiedenster', '""', 'Leiden', '""', 'in', 'der', 'Physiotherapieraxis', '""', 'Gaby', 'Montag', '""', 'im', 'in', 'dem', 'Vital', 'Center', 'und', 'kann', 'ausschließlich', 'Positives', 'berichten', '!']","[6, 7, 9, 3, 4, 14, 9, 2, 4, 3, 5, 4, 5, 9, 2, 4, 5, 0, 0, 5, 14, 9, 2, 0, 0, 12, 1, 11, 4, 7, 5]"
"['Ob', 'bei', 'der', 'Terminvergabe', ',', 'den', 'Behandlungsräumen', 'oder', 'den', 'individuell', 'zugeschnittenen', 'Trainingsplänen', 'sind', 'alle', 'Mitarbeiter', 'äußerst', 'kompetent', 'und', 'flexibel', '.']","[12, 9, 2, 4, 5, 2, 4, 12, 2, 11, 3, 4, 1, 6, 4, 11, 3, 12, 3, 5]"
"['Sauberkeit', ',', 'Ordnung', 'und', 'Freundlichkeit', 'brauche', 'ich', 'hier', 'nicht', 'zu', 'erwähnen', ',', 'denn', 'das', 'gehört', 'für', 'mich', 'zum', 'zu', 'dem', 'Standard', ',', 'der', 'aber', 'auch', 'noch', 'übertroffen', 'wird', '.']","[4, 5, 4, 12, 4, 7, 6, 11, 8, 8, 7, 5, 13, 6, 7, 9, 6, 14, 9, 2, 4, 5, 6, 11, 11, 11, 7, 1, 5]"
"['Physiotherapie', 'ist', 'zwar', 'oftmals', 'auch', 'anstrengend', ',', 'aber', 'in', 'dieser', 'Umgebeung', 'freut', 'man', 'sich', 'auf', 'jede', 'Minute', 'Behandlung', '.']","[4, 1, 11, 11, 11, 3, 5, 12, 9, 6, 4, 7, 6, 6, 9, 6, 4, 4, 5]"
"['Das', 'nächste', 'mal', 'rief', 'ich', 'extra', 'vorher', 'an', ',', 'um', 'einen', 'Termin', 'zu', 'vereinbaren', ',', 'damit', 'der', 'Konditor', 'auch', 'Zeit', 'für', 'uns', 'hätte', '.']","[2, 3, 4, 7, 6, 11, 11, 9, 5, 9, 2, 4, 8, 7, 5, 13, 2, 4, 11, 4, 9, 6, 7, 5]"
"['Eine', 'Stunde', 'später', 'gab', 'man', 'uns', 'dann', 'endlich', 'einen', 'Tisch', ',', 'der', 'allerdings', 'noch', 'nicht', 'einmal', 'abgeräumt', 'war', '.']","[10, 4, 11, 7, 6, 6, 11, 11, 2, 4, 5, 6, 11, 11, 8, 11, 7, 1, 5]"
"['Die', 'Bedienung', 'verschwand', 'sofort', 'wieder', 'und', 'kam', 'auch', 'erstmal', 'nicht', 'mehr', '.']","[2, 4, 7, 11, 11, 12, 7, 11, 11, 8, 11, 5]"
"['nach', 'fast', 'einer', 'weiteren', 'Stunde', ',', 'nachdem', 'sich', 'mein', 'Verlobter', 'mehrmals', 'erkundigt', 'und', 'zuletzt', 'sogar', 'beschwert', 'hatte', 'kam', 'endlich', 'der', 'Konditor', '.']","[9, 11, 10, 3, 4, 5, 13, 6, 2, 4, 11, 7, 12, 11, 11, 7, 1, 7, 11, 2, 4, 5]"
"['Jemand', 'unfreundlicheres', 'ist', 'mir', 'in', 'meinem', 'ganzen', 'Leben', 'noch', 'nicht', 'begegnet', '!']","[6, 3, 1, 6, 9, 2, 3, 4, 11, 8, 7, 5]"
"['Das', 'war', 'der', 'Punkt', 'an', 'dem', 'wir', 'hätten', 'gehen', 'sollen', '.']","[6, 1, 2, 4, 9, 6, 6, 1, 7, 1, 5]"
"['Aber', 'da', 'es', 'mittlerweile', 'nur', 'noch', '3', 'Wochen', 'bis', 'zur', 'zu', 'der', 'Hochzeit', 'waren', 'und', 'wir', 'keinen', 'anderen', 'Konditor', 'wussten', ',', 'blieben', 'wir', '.']","[12, 13, 6, 11, 11, 11, 10, 4, 12, 14, 9, 2, 4, 1, 12, 6, 6, 6, 4, 7, 5, 7, 6, 5]"
