tokens,pos_tags
"['Jah', 'atsteigands', 'in', 'skip', 'ufarlaiþ', 'jah', 'qam', 'in', 'seinai', 'baurg']","[4, 5, 6, 3, 5, 4, 5, 6, 0, 3]"
"['þanuh', 'atberun', 'du', 'imma', 'usliþan', 'ana', 'ligra', 'ligandan']","[1, 5, 6, 8, 0, 6, 3, 5]"
"['jah', 'gasaiƕands', 'Iesus', 'galaubein', 'ize', 'qaþ', 'du', 'þamma', 'usliþin']","[4, 5, 10, 3, 8, 5, 6, 7, 0]"
"['þrafstei', 'þuk', 'barnilo']","[5, 8, 3]"
"['afletanda', 'þus', 'frawaurhteis', 'þeinos']","[5, 8, 3, 0]"
"['þaruh', 'sumai', 'þize', 'bokarje', 'qeþun', 'in', 'sis', 'silbam']","[1, 0, 7, 3, 5, 6, 8, 8]"
"['sa', 'wajamereiþ']","[0, 5]"
"['jah', 'witands', 'Iesus', 'þos', 'mitonins', 'ize', 'qaþ']","[4, 5, 10, 7, 3, 8, 5]"
"['duƕe', 'jus', 'mitoþ', 'ubila', 'in', 'hairtam', 'izwaraim']","[1, 8, 5, 0, 6, 3, 0]"
"['ƕaþar', 'ist', 'raihtis', 'azetizo', 'qiþan', 'afletanda', 'þus', 'frawaurhteis', 'þau', 'qiþan']","[8, 2, 1, 0, 5, 5, 8, 3, 4, 5]"
"['urreis', 'jah', 'gagg']","[5, 4, 5]"
"['Aþþan', 'ei', 'witeiþ', 'þatei', 'waldufni', 'habaiþ', 'sa', 'sunus', 'mans', 'ana', 'airþai', 'afleitan', 'frawaurhtins']","[4, 9, 5, 9, 3, 5, 7, 3, 3, 6, 3, 5, 3]"
"['þanuh', 'qaþ', 'du', 'þamma', 'usliþin']","[1, 5, 6, 7, 0]"
"['urreisands', 'nim', 'þana', 'ligr', 'þeinana', 'jah', 'gagg', 'in', 'gard', 'þeinana']","[5, 5, 7, 3, 0, 4, 5, 6, 3, 0]"
"['jah', 'urreisands', 'galaiþ', 'in', 'gard', 'seinana']","[4, 5, 5, 6, 3, 0]"
