tokens,pos_tags
"['Η', 'Μάντσεστερ', 'Γιουνάιτεντ', 'ηττήθηκε', 'από', 'την', 'Ατλέτικο', 'Μπιλμπάο', 'με', 'σκορ', '2:3']","[2, 14, 14, 7, 10, 2, 14, 14, 10, 14, 15]"
['2012-03-09'],[0]
"['Χθες', ',', 'η', 'Μάντσεστερ', 'Γιουνάιτεντ', 'ηττήθηκε', 'με', 'σκορ', '2:3', 'από', 'την', 'Ατλέτικο', 'Μπιλμπάο', ',', 'στα', 'σ', 'τα', 'πλαίσια', 'της', 'φάσης', 'των', '16', 'του', 'Γιουρόπα', 'Λιγκ', '2011-2012', '.']","[5, 1, 2, 14, 14, 7, 10, 0, 15, 10, 2, 14, 14, 1, 13, 10, 2, 0, 2, 0, 2, 15, 2, 14, 14, 15, 1]"
"['Το', 'σκορ', 'του', 'αγώνα', 'άνοιξε', 'ο', 'Γουέν', 'Ρούνι', 'στο', 'σ', 'το', '22ο', 'λεπτό', ',', 'ωστόσο', 'οι', 'φιλοξενούμενοι', 'ισοφάρισαν', 'με', 'τον', 'Λλορέντε', 'στο', 'σ', 'το', ""44'"", '.']","[2, 14, 2, 0, 7, 2, 14, 14, 13, 10, 2, 15, 0, 1, 8, 2, 3, 7, 10, 2, 14, 13, 10, 2, 15, 1]"
"['Στο', 'Σ', 'το', 'δεύτερο', 'ημίχρονο', ',', 'η', 'Ατλέτικο', 'πέτυχε', 'δύο', 'τέρματα', 'με', 'τους', 'Όσκαρ', 'ντε', 'Μάρκος', '(', '71ο', 'λεπτό', ')', 'και', 'Ικέρ', 'Μουνιάιν', '(', '90ο', 'λεπτό', ')', '.']","[13, 10, 2, 15, 0, 1, 2, 14, 7, 15, 0, 10, 2, 14, 14, 14, 1, 15, 0, 1, 8, 14, 14, 1, 15, 0, 1, 1]"
"['Ωστόσο', ',', 'ο', 'Γουέν', 'Ρούνι', 'με', 'πέναλτι', 'μείωσε', 'το', 'σκορ', 'για', 'την', 'Μάντσεστερ', '.']","[8, 1, 2, 14, 14, 10, 14, 7, 2, 14, 10, 2, 14, 1]"
"['Οι', 'δύο', 'αντίπαλοι', 'θα', 'ξανασυναντηθούν', 'στις', 'σ', 'τις', '15', 'Μαρτίου', 'στο', 'σ', 'το', 'Στάδιο', '«', 'Σαν', 'Μαμές', '»', ',', 'με', 'τους', 'Ισπανούς', 'να', 'χρειάζονται', 'νίκη', 'και', 'ισοπαλία', 'και', 'με', 'τους', 'κόκκινους', 'διαβόλους', 'να', 'χρειάζονται', 'νίκη', 'με', 'διαφορά', 'δύο', 'τερμάτων', '.']","[2, 15, 3, 4, 7, 13, 10, 2, 15, 0, 13, 10, 2, 0, 1, 14, 14, 1, 1, 10, 2, 12, 4, 7, 0, 8, 0, 8, 10, 2, 3, 0, 4, 7, 0, 10, 0, 15, 0, 1]"
"['Στον', 'Σ', 'τον', 'ποταμό', 'Αχέροντα', '.']","[13, 10, 2, 0, 12, 1]"
"['Ο', 'ποταμός', 'Αχέροντας', 'αποτελούσε', 'κατά', 'τη', 'μυθολογία', 'το', 'δρόμο', 'μέσω', 'του', 'οποίου', 'ο', 'Άδης', 'μετέφερε', 'τις', 'ψυχές', 'στο', 'σ', 'το', 'βασίλειό', 'του', ',', 'στη', 'σ', 'τη', 'λίμνη', 'Αχερουσία', '.']","[2, 0, 12, 7, 10, 2, 0, 2, 0, 10, 2, 11, 2, 12, 7, 2, 0, 13, 10, 2, 0, 11, 1, 13, 10, 2, 0, 12, 1]"
"['Πηγάζει', 'από', 'τα', 'ορεινά', 'του', 'Νομού', 'Ιωαννίνων', 'και', 'έπειτα', 'από', 'διαδρομή', '64', 'χιλιομέτρων', 'εκβάλλει', 'στο', 'σ', 'το', 'Ιόνιο', 'Πέλαγος', '.']","[7, 10, 2, 3, 2, 0, 12, 8, 5, 10, 0, 15, 0, 7, 13, 10, 2, 3, 0, 1]"
"['Ο', 'Αχέροντας', 'διασχίζοντας', 'την', 'κοιλάδα', 'που', 'σχηματίζεται', 'ανάμεσα', 'στους', 'σ', 'τους', 'ορεινούς', 'όγκους', 'της', 'Δυτικής', 'Ηπείρου', 'διέρχεται', 'από', 'ένα', 'στενό', 'φαράγγι', 'μεταξύ', 'των', 'βουνών', 'Παραμυθίας', 'και', 'Σουλίου', ',', 'το', 'οποίο', 'ονομάζεται', '""', 'Στενά', 'του', 'Αχέροντα', '""', '.']","[2, 12, 7, 2, 0, 11, 7, 5, 13, 10, 2, 3, 0, 2, 3, 12, 7, 10, 2, 3, 0, 10, 2, 0, 12, 8, 12, 1, 2, 11, 7, 1, 0, 2, 12, 1, 1]"
"['Σε', 'αρκετά', 'σημεία', 'του', 'ποταμού', 'σχηματίζονται', 'νερόλακκοι', 'και', 'μικρές', 'λιμνούλες', '.']","[10, 3, 0, 2, 0, 7, 0, 8, 3, 0, 1]"
"['Η', 'ροή', 'του', 'ποικίλει', ':']","[2, 0, 11, 7, 1]"
"['σε', 'άλλες', 'πλευρές', 'ο', 'ποταμός', 'κυλά', 'από', 'ψηλούς', 'βράχους', '-', 'μερικές', 'φορές', 'φτάνει', 'τα', 'εκατό', 'μέτρα', '-', 'και', 'το', 'πλάτος', 'του', 'φτάνει', 'τα', 'δύο', 'μέτρα', '.']","[10, 11, 0, 2, 0, 7, 10, 3, 0, 1, 11, 0, 7, 2, 15, 0, 1, 8, 2, 0, 11, 7, 2, 15, 0, 1]"
"['Σε', 'περιοχές', 'γύρω', 'από', 'τον', 'ποταμό', 'φιλοξενούνται', 'σπάνια', 'είδη', 'φυτών', '-', 'πάνω', 'από', '180', '-', 'αλλά', 'και', 'ζώων', 'όπως', 'γερακίνες', ',', 'λύκοι', ',', 'αγριογούρουνα', ',', 'βίδρες', '.']","[10, 0, 5, 10, 2, 0, 7, 3, 0, 0, 1, 5, 10, 15, 1, 8, 8, 0, 5, 0, 1, 0, 1, 0, 1, 0, 1]"
"['Η', 'σημαντικότητα', 'του', 'Αχέροντα', 'ήταν', 'μεγάλη', 'κατά', 'την', 'αρχαιότητα', ',', 'οπότε', 'και', 'ιδρύθηκε', 'στην', 'σ', 'την', 'βορειοανατολική', 'όχθη', 'της', 'Αχερουσίας', 'το', 'Νεκρομαντείο', ',', 'ο', 'σημαντικότερος', 'τόπος', 'επικοινωνίας', 'με', 'τους', 'νεκρούς', 'και', 'λατρείας', 'των', 'θεών', 'του', 'Κάτω', 'Κόσμου', '.']","[2, 0, 2, 12, 4, 3, 10, 2, 0, 1, 8, 8, 7, 13, 10, 2, 3, 0, 2, 12, 2, 0, 1, 2, 3, 0, 0, 10, 2, 0, 8, 0, 2, 0, 2, 5, 0, 1]"
"['Μακελειό', 'στη', 'σ', 'τη', 'Φαλούτζα', '.']","[0, 13, 10, 2, 12, 1]"
"['Στο', 'Σ', 'το', 'Ιράκ', ',', 'κατά', 'τη', 'διάρκεια', 'συγκρούσεων', 'μεταξύ', 'διαδηλωτών', '(', 'μέλη', 'της', 'σουνιτικής', 'μειονότητας', 'του', 'Ιράκ', ')', 'και', 'στρατιωτών', ',', 'πέντε', 'άτομα', 'έχασαν', 'τη', 'ζωή', 'τους', ',', 'ενώ', 'άλλα', '20', 'σκοτώθηκαν', '.']","[13, 10, 2, 14, 1, 10, 2, 0, 0, 10, 0, 1, 0, 2, 3, 0, 2, 14, 1, 8, 0, 1, 15, 0, 7, 2, 0, 11, 1, 6, 11, 15, 7, 1]"
