tokens,pos_tags
"['_', '_', '_', '_', '_', '_', '_', '_']","['PRON', 'VERB', 'NOUN', 'ADJ', 'AUX', 'PART', 'NOUN', 'AUX']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PRON', 'NOUN', 'ADP', 'PROPN', 'ADP', 'VERB', 'AUX', 'AUX', 'CCONJ', 'PRON', 'AUX', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'NOUN', 'NOUN', 'AUX', 'PUNCT', 'VERB', 'AUX', 'NOUN', 'ADP', 'NOUN', 'ADV', 'NOUN', 'VERB', 'AUX', 'PUNCT', 'SYM', 'PUNCT']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PROPN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PART', 'NOUN', 'AUX', 'PUNCT', 'PART', 'ADV', 'PUNCT']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PRON', 'VERB', 'NOUN', 'PRON', 'ADP', 'PRON', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'SYM']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PUNCT', 'PRON', 'VERB', 'VERB', 'SCONJ', 'NOUN', 'VERB', 'AUX', 'AUX', 'SYM', 'ADV', 'ADJ', 'PUNCT', 'SYM', 'PUNCT']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PROPN', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['PUNCT', 'PRON', 'NOUN', 'AUX', 'ADP', 'PROPN', 'CCONJ', 'PRON', 'NOUN', 'VERB', 'VERB', 'AUX', 'NOUN', 'ADP', 'PUNCT', 'INTJ', 'PUNCT', 'VERB', 'AUX', 'AUX', 'PUNCT']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['ADV', 'ADP', 'VERB', 'AUX', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'AUX', 'CCONJ', 'ADV', 'PRON', 'VERB', 'SCONJ', 'PRON', 'AUX', 'DET', 'NOUN', 'PRON', 'AUX', 'PART', 'VERB', 'PUNCT']"
"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","['NUM', 'PUNCT', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'VERB', 'AUX', 'AUX', 'NOUN', 'ADP', 'PUNCT']"
