tokens,pos_tags
"['A', 'világban', 'immár', 'tíz', 'éve', 'tartó', 'folyamatos', 'gazdasági', 'fellendülés', 'minden', 'eddigi', 'konjunktúra-időszaknál', 'hosszabb', '.']","[0, 1, 2, 3, 1, 4, 4, 4, 1, 0, 4, 1, 4, 5]"
"['A', 'gazdaság', 'ilyen', 'mértékű', 'fejlődését', 'több', 'folyamat', 'gerjeszti', ',', 'többek', 'között', 'a', 'magánosítás', 'elterjedése', 'és', 'a', 'tőkekoncentráció', '.']","[0, 1, 0, 4, 1, 0, 1, 6, 5, 0, 7, 0, 1, 1, 8, 0, 1, 5]"
"['A', 'globalizációról', 'és', 'annak', 'a', 'magyar', 'gazdaságra', 'gyakorolt', 'hatásairól', 'Békesi', 'László', 'volt', 'pénzügyminiszter', 'tartott', 'előadást', 'a', 'Pázmány', 'Péter', 'Katolikus', 'Egyetem', 'Jogtudományi', 'Karán', ',', 'a', 'Barankovics', 'és', 'Faludi', 'Akadémia', ',', 'valamint', 'a', 'Pázmány', 'Pódium', 'által', 'közösen', 'szervezett', 'vitasorozat', 'keretében', '.']","[0, 1, 8, 9, 0, 4, 1, 4, 1, 10, 10, 6, 1, 6, 1, 0, 10, 10, 10, 10, 10, 10, 5, 0, 10, 10, 10, 10, 5, 8, 0, 10, 10, 7, 4, 4, 1, 1, 5]"
"['A', 'világgazdaság', 'gyors', ',', 'országhatárokon', 'átívelő', 'fejlődését', 'több', 'tényező', 'idézi', 'elő', '.']","[0, 1, 4, 5, 1, 4, 1, 0, 1, 6, 2, 5]"
"['A', 'verseny', 'több', 'szinten', 'folyik', '.']","[0, 1, 0, 1, 6, 5]"
"['A', 'természeti', 'tényezőkért', '—', 'nyersanyagért', ',', 'energiahordozókért', ',', 'munkaerőért', ',', 'információért', ',', 'technológiáért', '—', 'vívott', 'harcnak', 'ma', 'már', 'nincsenek', 'korlátai', '.']","[0, 4, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 4, 1, 2, 2, 6, 1, 5]"
"['A', 'piacokért', 'folyó', 'világméretű', 'versenyt', 'a', 'fizetőképes', 'kereslet', 'megjelenése', 'tette', 'lehetővé', '.']","[0, 1, 4, 4, 1, 0, 4, 1, 1, 6, 4, 5]"
"['A', 'piaci', 'szereplők', 'versengenek', 'magáért', 'a', 'versenyképességért', 'is', '.']","[0, 4, 1, 6, 9, 0, 1, 8, 5]"
"['Ez', 'utóbbit', 'növelhetik', 'a', 'költségek', 'csökkentésével', ',', 'a', 'korszerűséggel', ',', 'valamint', 'a', 'megbízhatósággal', ';', 'nem', 'véletlen', 'napjainkban', 'a', 'márkanév', 'jelentőségének', 'növekedése', '.']","[0, 1, 6, 0, 1, 1, 5, 0, 1, 5, 8, 0, 1, 5, 2, 4, 1, 0, 1, 1, 1, 5]"
"['A', 'versenyképesség', 'fokozása', 'anyagi', 'hátteret', 'igényel', '.']","[0, 1, 1, 4, 1, 6, 5]"
"['A', 'tőketöbblet', 'megteremtése', 'érdekében', 'a', 'vállalatok', 'egyesülnek', ',', 'mamutcégek', 'jönnek', 'létre', '.']","[0, 1, 1, 1, 0, 1, 6, 5, 1, 6, 1, 5]"
"['A', 'globalizációt', 'tehát', 'tőkekoncentráció', 'is', 'kíséri', '.']","[0, 1, 8, 1, 8, 6, 5]"
"['Ennek', 'érezhető', 'következménye', 'például', ',', 'hogy', 'az', 'elméleti', 'kutatások', 'eredményeit', 'sokkal', 'hamarabb', 'hasznosítják', 'a', 'gyakorlati', 'életben', ',', 'mint', 'korábban', '.']","[9, 4, 1, 2, 5, 11, 0, 4, 1, 1, 2, 2, 6, 0, 4, 1, 5, 11, 2, 5]"
"['Régen', 'tíz', 'év', 'is', 'eltelt', 'a', 'kettő', 'között', ',', 'ma', 'ez', 'az', 'idő', 'átlagosan', 'másfél', 'év', '.']","[2, 3, 1, 8, 6, 0, 3, 7, 5, 2, 0, 0, 1, 4, 3, 1, 5]"
"['A', 'hadiipari', 'kutatások', 'eredményeit', 'a', 'korábbi', '3-4', 'év', 'helyett', 'ma', 'már', 'hat', 'hónap', 'múlva', 'felhasználják', 'a', 'polgári', 'termelésben', '.']","[0, 4, 1, 1, 0, 4, 3, 1, 7, 2, 2, 3, 1, 7, 6, 0, 4, 1, 5]"
"['A', 'globalizáció', 'a', 'gazdaság', 'kínálati', 'oldalát', 'befolyásolja', ',', 'és', 'nem', 'hat', 'a', 'jövedelmek', 'nemzeti', 'kereteken', 'belül', 'történő', 'elosztására', '.']","[0, 1, 0, 1, 4, 1, 6, 5, 8, 2, 6, 0, 1, 4, 1, 7, 4, 1, 5]"
"['Egyes', 'vélemények', 'szerint', 'aggasztó', ',', 'hogy', 'a', 'reálgazdaságtól', 'egyre', 'inkább', 'elválik', 'a', 'tőkepiacok', 'mozgását', 'jelentő', 'virtuális', 'gazdaság', '.']","[4, 1, 7, 4, 5, 11, 0, 1, 2, 2, 6, 0, 1, 1, 4, 4, 1, 5]"
"['A', 'pesszimisták', 'szerint', 'ez', 'az', '—', 'árnyékgazdaságnak', 'is', 'nevezett', '—', '""', 'léggömb', '""', 'ki', 'fog', 'pukkadni', '.']","[0, 1, 7, 0, 0, 5, 1, 8, 4, 5, 5, 1, 5, 2, 12, 6, 5]"
"['Az', 'utóbbi', 'évek', 'tapasztalatai', 'szerint', 'azonban', 'ez', 'éppen', 'ellenkezőleg', 'történik', '.']","[0, 4, 1, 1, 7, 8, 9, 2, 4, 6, 5]"
"['A', 'közelmúlt', 'regionális', 'gazdasági', 'krízisei', '—', 'a', 'távol-keleti', ',', 'az', 'orosz', 'vagy', 'a', 'dél-amerikai', 'válság', '—', 'rövid', 'idő', 'alatt', 'lokalizálódtak', ',', 'majd', 'megszűntek', '.']","[0, 1, 4, 4, 1, 5, 0, 4, 5, 0, 4, 8, 0, 4, 1, 5, 4, 1, 7, 6, 5, 2, 6, 5]"
"['Nem', 'következett', 'be', 'világméretű', 'katasztrófa', ',', 'mert', 'a', 'globalizált', 'gazdaságban', 'a', 'nagy', 'tőketömegek', 'mozgatásával', 'ezt', 'el', 'lehetett', 'kerülni', '.']","[2, 6, 2, 4, 1, 5, 11, 0, 4, 1, 0, 4, 1, 1, 9, 2, 6, 6, 5]"
