tokens,pos_tags
"['""', 'ADB', 'sendiri', 'mempertimbangkan', 'untuk', 'menyetujuinya', 'menyetujui', 'nya', 'karena', 'ini', 'menggunakan', ""'"", 'renewable', 'energy', ""'"", 'dan', 'juga', 'digunakan', 'sebagai', 'bagian', 'dari', 'clean', 'development', 'mechanism', '(', 'CDM', ')', ',', '""', 'kata', 'Direktur', 'Pendanaan', 'Luar', 'Negeri', 'Multilateral', 'Bappenas', ',', 'RM', 'Dewo', 'Broto', 'Joko', 'P.', 'di', 'ruang', 'kerjanya', 'kerja', 'nya', 'di', 'Gedung', 'Bappenas', 'Jakarta', ',', 'akhir', 'pekan', 'ini', '.']","['PUNCT', 'PROPN', 'DET', 'VERB', 'SCONJ', None, 'VERB', 'PRON', 'SCONJ', 'PRON', 'VERB', 'PUNCT', 'X', 'X', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'ADP', 'NOUN', 'ADP', 'X', 'X', 'X', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN', None, 'VERB', 'PRON', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'DET', 'PUNCT']"
"['Menurutnya', 'Menurut', 'nya', ',', 'peringkat', 'tersebut', 'diberikan', 'berdasarkan', 'data', 'dan', 'informasi', 'dari', 'perusahaan', 'serta', 'laporan', 'keuangan', 'auditan', 'per', '31', 'Desember', '2006', 'serta', 'laporan', 'keuangan', 'tidak', 'audit', 'per', '31', 'Maret', '2007', '.']","[None, 'ADP', 'PRON', 'PUNCT', 'NOUN', 'DET', 'VERB', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NUM', 'PROPN', 'NUM', 'CCONJ', 'NOUN', 'NOUN', 'PART', 'NOUN', 'ADP', 'NUM', 'PROPN', 'NUM', 'PUNCT']"
"['Ada', 'kerahasiaan', 'mengenai', 'acara', 'itu', ',', 'pihak', 'penyelenggara', 'tidak', 'membeberkan', 'nama-nama', 'tamu', '.']","['VERB', 'NOUN', 'ADP', 'NOUN', 'DET', 'PUNCT', 'NOUN', 'NOUN', 'PART', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Novel', 'aslinya', 'asli', 'nya', 'terdiri', 'dari', '26', 'bab', 'dan', 'hampir', 'mencapai', '1.000', 'halaman', '.']","['NOUN', None, 'ADJ', 'DET', 'VERB', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'NUM', 'NOUN', 'PUNCT']"
"['""', 'Nanti', 'baru', 'akan', 'kelihatan', 'tekanannya', 'tekanan', 'nya', ',', 'yaitu', 'keseimbangan', 'antara', 'penerimaan', 'dengan', 'pengeluaran', 'itu', 'pada', 'kuartal', 'kedua', 'dan', 'ketiga', ',', 'saat', 'ada', 'beberapa', 'utang', 'yang', 'jatuh', 'tempo', 'dan', 'pengeluaran-pengeluaran', 'mulai', 'terjadi', ',', '""', 'ujarnya', 'ujar', 'nya', '.']","['PUNCT', 'NOUN', 'ADV', 'AUX', 'VERB', None, 'NOUN', 'DET', 'PUNCT', 'SCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'DET', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'SCONJ', 'VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'PUNCT', None, 'VERB', 'PRON', 'PUNCT']"
"['""', 'Berbagai', 'hal', 'harus', 'dikoordinasikan', 'dan', 'dikomunikasikan', 'seperti', 'design', 'instrumennya', 'instrumen', 'nya', ',', 'kapan', 'mengeluarkan', ',', 'dan', 'bagaimana', 'pengaruhnya', 'pengaruh', 'nya', 'terhadap', 'kondisi', 'moneter', 'maupun', 'fiskal', ',', 'karena', 'dua-duanya', 'saling', 'mempengaruhi', ',', '""', 'kata', 'Menteri', 'Keuangan', 'Sri', 'Mulyani', '.']","['PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'CCONJ', 'VERB', 'ADP', 'X', None, 'NOUN', 'PRON', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'CCONJ', 'ADV', None, 'NOUN', 'DET', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'SCONJ', 'NUM', 'ADV', 'VERB', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']"
"['Namun', 'baik', 'Toba', 'Pulp', 'maupun', 'Pinnacle', 'belum', 'memberikan', 'keterangan', 'apa', 'pun', '.']","['CCONJ', 'CCONJ', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PART', 'VERB', 'NOUN', 'PRON', 'PART', 'PUNCT']"
"['Dengan', 'jumlah', 'produksi', 'yang', 'ada', 'sekarang', 'dan', 'tanpa', 'kenaikan', 'HJE', 'dan', 'penerapan', 'cukai', 'spesifik', 'maka', 'penerimaan', 'negara', 'dari', 'cukai', 'tidak', 'bisa', 'mencapai', 'Rp', '42,03', 'triliun', '.']","['ADP', 'NOUN', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PROPN', 'CCONJ', 'NOUN', 'NOUN', 'ADJ', 'SCONJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PART', 'AUX', 'VERB', 'NOUN', 'NUM', 'NUM', 'PUNCT']"
"['Bank', 'Mandiri', 'saat', 'ini', 'mampu', 'mengurangi', 'biaya', 'TI', 'hingga', '5', '-', '10', 'persen', 'per', 'tahun', ',', 'karena', 'semakin', 'kuatnya', 'kuat', 'nya', 'kapasitas', 'terpasang', '.']","['PROPN', 'PROPN', 'NOUN', 'DET', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'ADV', None, 'ADJ', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['Kalbe', 'Farma', 'mempunyai', 'tiga', 'divisi', 'yakni', 'farmasi', ',', 'makanan', 'kesehatan', 'serta', 'kemasan', 'dan', 'distribusi', '.']","['PROPN', 'PROPN', 'VERB', 'NUM', 'NOUN', 'SCONJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']"
