tokens,pos_tags
"['Sembungan', 'adalah', 'sebuah', 'desa', 'yang', 'terletak', 'di', 'kecamatan', 'Kejajar', ',', 'kabupaten', 'Wonosobo', ',', 'Jawa', 'Tengah', ',', 'Indonesia', '.']","['PROPN', 'AUX', 'DET', 'NOUN', 'PRON', 'VERB', 'ADP', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']"
"['Sebuah', 'serangan', 'pengayauan', 'biasanya', 'terjadi', 'di', 'ladang', 'atau', 'dengan', 'membakar', 'sebuah', 'rumah', 'dan', 'memenggal', 'semua', 'penghuninya', 'ketika', 'mereka', 'melarikan', 'diri', '.']","['DET', 'NOUN', 'NOUN', 'ADV', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'PUNCT']"
"['Perkembangan', 'ini', 'diikuti', 'oleh', 'helm', 'Brodie', 'yang', 'dipakai', 'tentara', 'Imperium', 'Britania', 'dan', 'AS', ',', 'dan', 'pada', 'tahun', '1916', 'oleh', 'Stahlhelm', 'Jerman', 'dengan', 'perbaikan', 'desain', 'yang', 'masih', 'dipakai', 'sampai', 'sekarang', '.']","['NOUN', 'DET', 'VERB', 'ADP', 'NOUN', 'PROPN', 'PRON', 'VERB', 'NOUN', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'CCONJ', 'ADP', 'NOUN', 'NUM', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PRON', 'ADV', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['Dari', 'jarak', 'dekat', ',', 'dua', 'kapal', 'perusak', ',', 'Sterett', 'dan', 'O', ""'"", 'Bannon', 'menembakkan', 'beberapa', 'kali', 'salvo', 'ke', 'bangunan', 'atas', 'kapal', 'Hiei', '.', 'Sebelum', 'melarikan', 'diri', 'ke', 'dalam', 'kegelapan', ',', 'keduanya', 'mungkin', 'sempat', 'menyarangkan', 'satu', 'atau', 'dua', 'buah', 'torpedo', 'ke', 'bagian', 'lambung', 'kapal', 'Hiei', 'hingga', 'makin', 'memperparah', 'kerusakan', '.']","['ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADV', 'ADV', 'VERB', 'NUM', 'CCONJ', 'NUM', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'ADV', 'VERB', 'NOUN', 'PUNCT']"
"['Angka', 'harapan', 'hidup', 'adalah', '73', ',', '4', 'tahun', ',', 'yakni', 'di', 'bawah', 'rerata', 'Uni', 'Eropa', '.']","['PROPN', 'NOUN', 'NOUN', 'AUX', 'NUM', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'ADP', 'ADP', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']"
"['Pasukan', 'Mongol', 'yang', 'tidak', 'tahu', 'apa', 'yang', 'harus', 'mereka', 'perbuat', 'itu', 'disiasati', 'oleh', 'Raden', 'Wijaya', 'untuk', 'membantunya', 'memberontak', 'melawan', 'kerajaan', 'Kediri', '.']","['PROPN', 'PROPN', 'PRON', 'ADV', 'VERB', 'PRON', 'PRON', 'ADV', 'PRON', 'VERB', 'DET', 'VERB', 'ADP', 'PROPN', 'PROPN', 'ADP', 'VERB', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT']"
"['Krogh', 'juga', 'yang', 'pertama', 'kali', 'membuat', 'studi', 'perbandingan', 'pada', 'hewan', '.']","['PROPN', 'ADV', 'PRON', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Lagu', 'ini', 'kemudian', 'ditampilkan', 'sebagai', 'lagu', 'utama', 'dalam', 'rilisan', 'EP', '(', 'Extended', 'Play', ')', ',', 'Moshi', 'Moshi', 'Harajuku', ',', 'dan', 'album', '""', 'Pamyu', 'Pamyu', 'Revolution', '""', '.']","['PROPN', 'DET', 'ADV', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']"
"['Maka', 'dimulailah', 'suatu', 'gerakan', 'yang', 'bertujuan', 'membentuk', 'kelompok', 'pendidikan', '.']","['SCONJ', 'VERB', 'DET', 'NOUN', 'PRON', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Cikal', 'bakal', 'Lembaga', 'Pendidikan', 'ini', 'dirintis', 'oleh', 'beberapa', 'ulama', 'terdahulu', 'di', 'antaranya', 'oleh', 'almarhum', 'Bapak', 'M', '.', 'Basith', 'yang', 'kegiatan', 'belajar', 'mengajarnya', 'bermula', 'di', 'Musholla', 'Taqwa', 'Muaradua', 'sejak', 'pengujung', 'tahun', ""'"", '70', '-', 'an', '.']","['NOUN', 'NOUN', 'PROPN', 'PROPN', 'DET', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'ADP', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PRON', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT']"
