tokens,pos_tags
"['As', 'lár', 'na', 'tubaiste', 'is', 'ea', 'stadfaidh', 'an', 'ghrian', 'sula', 'rachaidh', 'sí', 'a', 'luí', 'san', 'áigéan', 'thiar', 'ó', 'lonrú', 'anuas', ';', 'solas', 'ní', 'bheidh', 'ar', 'fáil', 'ach', 'oiread', 'na', 'hoíche', 'nó', 'mar', 'éiclips', 'lán', '.']","[2, 1, 0, 1, 11, 3, 5, 0, 1, 4, 5, 3, 9, 1, 2, 1, 14, 2, 1, 14, 8, 1, 9, 5, 2, 1, 4, 1, 0, 1, 13, 2, 1, 6, 8]"
"['Ansin', 'nach', 'deas', 'mar', 'a', 'bheadh', 'an', 'scéal', ""a'm"", '?']","[14, 11, 6, 4, 9, 5, 0, 1, 2, 8]"
"['Dein', 'é', 'an', 'fhaid', 'is', 'atáimse', 'i', 'dteagmháil', 'leis', 'na', 'leaideanna', 'ag', 'an', 'gCeanncheathrú', '.']","[5, 3, 0, 1, 13, 5, 2, 1, 2, 0, 1, 2, 0, 1, 8]"
"[""M'"", 'anam', 'go', 'raibh', 'sin', 'iontach', 'scáfar', ',', 'ach', 'ansin', ""d'"", 'fhág', 'tú', 'sin', 'agus', 'chuaigh', 'tú', 'le', 'sagartóireacht', '.']","[0, 1, 9, 5, 3, 14, 6, 8, 4, 14, 9, 5, 3, 3, 13, 5, 3, 2, 1, 8]"
"['Limistéar', 'na', 'Meánmhara', 'is', 'áit', 'dúcháis', 'don', 'Rós', 'Mhuire', '.']","[1, 0, 1, 11, 1, 1, 2, 7, 7, 8]"
"['Chuirfeadh', 'sé', 'seo', 'spás', 'níos', 'fearr', 'ar', 'fáil', 'do', 'na', 'leanaí', 'agus', 'don', 'mhúinteoir', ""'"", 'Is', 'dócha', 'go', 'bhfuil', 'céad', 'éigin', 'litir', 'scríofa', 'againn', 'agus', ""n'"", 'fheadar', 'cad', 'é', 'an', 'méid', 'glaoch', 'gutháin', 'atá', 'déanta', 'ach', 'níl', 'fachta', 'againn', 'go', 'dtí', 'seo', 'ach', 'oifigiúlacht', 'agus', 'constaicí', 'gan', 'dealramh', '.']","[5, 3, 3, 1, 9, 6, 2, 1, 2, 0, 1, 13, 2, 1, 8, 11, 6, 9, 5, 12, 6, 1, 6, 2, 13, 9, 5, 3, 3, 0, 1, 1, 1, 5, 6, 4, 5, 6, 2, 2, 1, 3, 4, 1, 13, 1, 2, 1, 8]"
"['Riasc', 'beag', 'ag', 'ceann', 'an', 'bhóithrín', 'a', 'mbínn', 'ag', 'déanamh', 'gairdeasa', 'faoi', ',', 'faoina', 'fhásra', 'bláthanna', ',', 'faoina', 'fhásra', 'luachra', 'is', 'féir', ',', 'faoina', 'sheileastram', ',', 'bhí', 'sé', 'líonta', 'isteach', '.']","[1, 6, 2, 1, 0, 1, 9, 5, 2, 1, 1, 2, 8, 2, 1, 1, 8, 2, 1, 1, 13, 1, 8, 2, 1, 8, 5, 3, 6, 14, 8]"
"[""'"", 'Dadaí', ""'"", 'agus', ""'"", 'Mamaí', ""'"", 'seachas', ""'"", 'mo', 'dheaide', ""'"", 'agus', ""'"", 'mo', 'mhaime', ""'"", 'a', 'thugaidís', 'ar', 'a', 'n-athair', 'agus', 'a', 'máthair', '.']","[8, 1, 8, 13, 8, 1, 8, 2, 8, 0, 1, 8, 13, 8, 0, 1, 8, 9, 5, 2, 0, 1, 13, 0, 1, 8]"
"['Rinneadh', 'iad', 'i', 'neamhchead', 'na', 'n-othar', 'agus', 'de', 'ghnáth', 'gan', 'iarracht', 'ar', 'bith', 'pian', 'a', 'cheansú', 'agus', 'go', 'minic', 'bhí', 'bas', 'an', 'othair', 'mar', 'thoradh', 'ar', 'an', 'turgnamh', '.']","[5, 3, 2, 1, 0, 1, 4, 2, 1, 2, 1, 2, 1, 1, 9, 1, 13, 9, 6, 5, 1, 0, 1, 2, 1, 2, 0, 1, 8]"
"['Rinneadh', 'ball', 'de', 'de', 'Rafiq', 'Mottiar', 'sa', 'bhliain', '1965', 'agus', 'riamh', 'i', 'leith', ',', 'tá', 'sé', 'ag', 'obair', 'ar', 'son', 'saoirse', 'san', 'Afraic', 'Theas', '.']","[5, 1, 2, 9, 7, 7, 2, 1, 12, 13, 14, 2, 1, 8, 5, 3, 2, 1, 2, 1, 1, 2, 7, 14, 8]"
