tokens,pos_tags
"['Vado', 'in', 'bagno', '.', 'Evacuo', 'il', 'PDL', 'e', 'il', 'Governo', 'Monti', 'che', 'è', 'in', 'me', '.']","['VERB', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'DET', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'PROPN', 'PRON', 'AUX', 'ADP', 'PRON', 'PUNCT']"
"['@user', 'se', 'continui', 'sarò', 'costretto', 'a', 'darti', 'dar', 'ti', ""l'"", 'oscar']","['SYM', 'SCONJ', 'VERB', 'AUX', 'VERB', 'ADP', None, 'VERB', 'PRON', 'DET', 'PROPN']"
"['Il', 'Governo', '#Monti', 'è', 'depresso', 'e', '#laRepubblica', 'sta', 'diventando', 'depressiva', '.']","['DET', 'NOUN', 'SYM', 'AUX', 'ADJ', 'CCONJ', 'SYM', 'AUX', 'VERB', 'ADJ', 'PUNCT']"
"['@user', 'quando', 'penso', 'al', 'a', 'il', 'governo', 'Monti', 'mi', 'viene', 'in', 'mente', 'Longanesi', 'e', 'il', 'suo', 'Ci', 'salveranno', 'le', 'vecchie', 'zie', 'è', 'il', 'caso', 'di', 'rileggerlo', 'rilegger', 'lo', '?']","['SYM', 'SCONJ', 'VERB', None, 'ADP', 'DET', 'NOUN', 'PROPN', 'PRON', 'VERB', 'ADP', 'NOUN', 'PROPN', 'CCONJ', 'DET', 'DET', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', None, 'VERB', 'PRON', 'PUNCT']"
"['Governo', 'Monti', '-', 'Napolitano', 'sa', 'tanto', 'di', 'padre', 'che', 'toglie', 'il', 'giocattolo', 'al', 'a', 'il', 'pupo', 'che', 'sennò', 'rischia', 'di', 'sfasciarlo', 'sfasciar', 'lo', '...', '#elezioni', '#308']","['NOUN', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'ADV', 'ADP', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', None, 'ADP', 'DET', 'NOUN', 'SCONJ', 'SCONJ', 'VERB', 'ADP', None, 'VERB', 'PRON', 'PUNCT', 'SYM', 'SYM']"
"['Il', '#governo', '#Monti', 'arriverà', 'a', 'fine', 'legislatura', '?', '#Bossi', ':', 'Ma', 'siete', 'matti', '!', 'da', 'che', 'pulpito', ',', 'infatti', 'siamo', 'noi', 'a', 'credere', 'che', 'esiste', 'la', '#PADANIA']","['DET', 'SYM', 'SYM', 'VERB', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'SYM', 'PUNCT', 'CCONJ', 'AUX', 'ADJ', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADV', 'AUX', 'PRON', 'ADP', 'VERB', 'SCONJ', 'VERB', 'DET', 'SYM']"
"['...', 'il', 'progetto', 'di', 'Mario', 'Monti', 'sui', 'su', 'i', 'giovani', 'è', 'simile', 'a', 'quello', 'di', 'Erode', 'a', 'Betlemme', '...']","['PUNCT', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', None, 'ADP', 'DET', 'NOUN', 'AUX', 'DET', 'ADP', 'PRON', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PUNCT']"
"['Ragazzi', 'a', 'Roma', ""c'"", 'è', 'un', 'tempo', 'pessimo', '.', 'Piove', 'ma', 'come', 'piove', '.', 'Il', 'clima', 'è', 'in', 'linea', 'con', 'il', 'governo', 'Monti', '.', 'Lacrime', 'sudore', 'sangue', 'e', 'pure', 'pioggia']","['NOUN', 'ADP', 'PROPN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'CCONJ', 'ADV', 'VERB', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'ADV', 'NOUN']"
"['il', 'mio', 'lavoro', 'e', 'fare', 'male', 'alla', 'a', 'la', 'gente', 'e', 'invece', '...', 'mi', 'sono', 'fatta', 'male', 'io', '...', 'xD', '!']","['DET', 'DET', 'NOUN', 'AUX', 'VERB', 'ADV', None, 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADV', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADV', 'PRON', 'PUNCT', 'SYM', 'PUNCT']"
"['“', 'Vincere', 'non', 'e', 'importante', 'ma', 'e', ""l'"", 'unica', 'cosa', 'che', 'conta', '“', '-', 'Gianpiero', 'Boniperti']","['PUNCT', 'VERB', 'ADV', 'AUX', 'ADJ', 'CCONJ', 'AUX', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']"
