tokens,pos_tags
"['Lê', 'dema', 'ku', 'mirov', 'bêje', 'Mîrê', 'Botan', ',', 'hingî', 'jî', ',', 'mirov', 'behsa', 'mîrê', 'ku', 'li', 'Cizîra', 'Botan', 'mîr', 'e', 'dike', '.']","[0, 1, 2, 3, 4, 3, 5, 6, 7, 8, 6, 3, 3, 3, 2, 9, 5, 5, 3, 10, 4, 6]"
"['Ev', 'kevir', 'li', 'her', 'derê', 'nayê', 'dîtin', ',', 'li', 'hinek', 'çiyayan', '(', 'wekî', 'Çiyayê', 'Stewrê', ')', 'li', 'hinek', 'herêman', 'dihê', 'dîtin', '.']","[11, 3, 9, 11, 3, 4, 4, 6, 9, 11, 3, 6, 9, 3, 5, 6, 9, 11, 3, 4, 4, 6]"
"['Di', 'tedawiya', 'vê', 'nexweşiyê', 'de', 'psîkoterapî', 'û', 'bikaranîna', 'dermanan', 'tên', 'bikaranîn', '.']","[9, 3, 11, 3, 9, 3, 0, 3, 3, 4, 4, 6]"
"['Li', 'gorî', 'bajarên', 'din', 'ên', 'Pakistanê', 'bajarekî', 'pir', 'pêşketî', 'ye', '.']","[9, 3, 3, 12, 9, 5, 3, 7, 12, 10, 6]"
"['Piştî', 'sedsala', ""17'emîn"", ',', 'xebatên', 'elektrîkê', 'hat', 'perisandin', '.']","[9, 3, 13, 6, 3, 3, 4, 4, 6]"
"['Seranser', 'Brîtanyayê', 'dagir kiriye', ',', 'serhildanên', 'navxweyî', 'têk', 'biriye', '.']","[7, 5, 4, 6, 3, 12, 12, 4, 6]"
"['Aboriya', 'gundiyan', 'bi', 'piranî', 'li', 'ser', 'bendavê', 'ye', '.']","[3, 3, 9, 3, 1, 9, 3, 10, 6]"
"['Di', 'navên', 'erdnîgariya', 'Kurdistanê', 'de', 'dar', 'jî', 'cihekê', 'mezin', 'digirin', '.']","[9, 3, 3, 5, 9, 3, 8, 3, 12, 4, 6]"
"['Di', 'sala', ""2012'a"", 'de', 'hejmara', 'rûniştvanên', 'bajarê', 'Sineyê', '375765', 'bû', '.']","[9, 3, 13, 9, 3, 3, 3, 3, 13, 10, 6]"
"['Li', 'dijî', 'Özal', 'çalakiyên', 'kuştinê', 'tên', 'organîzekirin', '.']","[1, 9, 5, 3, 3, 4, 4, 6]"
"['Li', 'herêmê', 'pirraniya', 'navên', 'cografîk', 'bi', 'Kurdî', 'û', 'Ermenî', 'ne', '.']","[9, 3, 3, 3, 12, 9, 3, 0, 3, 10, 6]"
"['Bi', 'edebiyatê', 've', 'mijûl', 'dibe', 'û', 'di', 'malpera', 'Nefel', '.']","[9, 3, 9, 12, 10, 0, 9, 3, 3, 6]"
"['Ji', 'ber', 'ku', 'dema', 'dîl', 'dikeve', 'destê', 'îngilîzan', 'ji', 'aliyê', 'serbazekî', 'îngilîz', 've', 'bi', 'şûrê', ',', 'ji', 'ser', '-', 'çavê', 'xwe', 'tê', 'birîndar', 'kirin', 'û', 'cîhê', 'birînê', 'her', 'dimîne', '.']","[1, 1, 2, 2, 3, 4, 3, 3, 9, 3, 3, 3, 9, 9, 3, 6, 9, 3, 6, 3, 14, 4, 12, 4, 0, 3, 3, 7, 4, 6]"
"['Beriya', 'avabûna', 'Komara', 'Tirkiyeyê', 'niştecihên', 'herêmê', '90', '%', 'kurd', 'bûn', '.']","[3, 3, 3, 5, 3, 3, 13, 15, 3, 10, 6]"
"['Gelek', 'ji', 'wan', 'koçberê', 'Rûsya', ',', 'Ermenistan', ',', 'Gurcistan', 'û', 'bajarên', 'Tirkiyeyê', 'bûne', '.']","[14, 9, 14, 3, 5, 6, 5, 6, 5, 0, 3, 5, 10, 6]"
"['Loma', 'hêrsa', 'wan', 'dibe', 'sedema', 'zêdebûna', 'pirsgirêkan', '.']","[7, 3, 14, 10, 3, 3, 3, 6]"
"['Dewleta', 'Tirkî', 'ji', 'Dewleta', 'Sûrî', 'bêtir', 'dijî', 'Kurdên', 'Rojava', 'ye', '.']","[3, 12, 9, 3, 12, 12, 9, 3, 3, 10, 6]"
"['Civaka', 'misilmanan', 'ji', 'mezhebên', 'şafiî', ',', 'henefî', 'û', 'elewî', 'pêk', 'tê', '.']","[3, 3, 9, 3, 3, 6, 3, 0, 3, 12, 4, 6]"
"['Pênc', 'salan', 'li', 'wê', 'dibistanê', 'xwendiye', '.']","[13, 3, 9, 11, 3, 4, 6]"
"['Ev', 'çi', 'ye', '?']","[14, 14, 10, 6]"
