tokens,pos_tags
"['Hēra', 'valda', 'augstajā', 'Olimpā', '.']","['PROPN', 'VERB', 'ADJ', 'PROPN', 'PUNCT']"
"['Viņa', ',', 'tāpat', 'kā', 'viņas', 'vīrs', 'Zevs', ',', 'ir', 'pavēlniece', 'pār', 'pērkoniem', 'un', 'zibeņiem', ';', 'paklausot', 'viņas', 'vārdam', ',', 'tumšo', 'lietus', 'mākoņi', 'klāj', 'debesis', ',', 'un', 'viņas', 'rokas', 'mājiens', 'rada', 'drausmīgas', 'vētras', '.']","['PRON', 'PUNCT', 'PART', 'CCONJ', 'PRON', 'NOUN', 'PROPN', 'PUNCT', 'AUX', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'PUNCT']"
"['Daiļa', 'ir', 'diženā', 'Hēra', '-', 'lielām', 'acīm', ',', 'lillijbaltām', 'rokām', ',', 'ar', 'vainagu', 'uz', 'brīnišķīgajām', ',', 'viļņainajām', 'cirtām', ';', 'valdonīgi', ',', 'mierīgi', 'un', 'majestātiski', 'mirdz', 'viņas', 'acis', '.']","['ADJ', 'AUX', 'ADJ', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'PUNCT', 'ADV', 'CCONJ', 'ADV', 'VERB', 'PRON', 'NOUN', 'PUNCT']"
"['Majestātiska', 'savā', 'garajā', ',', 'krāšņajā', 'pašas', 'Atēnas', 'austajā', 'tērpā', ',', 'viņa', 'brauc', 'lejup', 'no', 'Olimpa', 'ratos', ',', 'kuros', 'ir', 'iejūgti', '2', 'nemirstīgi', 'zirgi', '.']","['ADJ', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'DET', 'PROPN', 'VERB', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADP', 'PROPN', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'VERB', 'NUM', 'ADJ', 'NOUN', 'PUNCT']"
"['No', 'tīra', 'sudraba', 'ir', 'rati', ',', 'no', 'tīra', 'zelta', 'ir', 'riteņi', ',', 'bet', 'riteņu', 'spieķi', 'mirdz', 'varā', 'kalti', '.']","['ADP', 'ADJ', 'NOUN', 'AUX', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'AUX', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Jauka', 'smarža', 'plūst', 'pār', 'zemi', 'tur', ',', 'kur', 'brauc', 'Hēra', '.']","['ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADV', 'PUNCT', 'ADV', 'VERB', 'PROPN', 'PUNCT']"
"['Visa', 'dzīvā', 'radība', 'noliecas', 'Olimpa', 'valdnieces', 'priekšā', '.']","['DET', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']"
"['Pēc', 'sižeta', '‘’', 'Antigone', '’’', 'ir', 'Eshila', 'traģēdijas', '‘’', 'Septiņi', 'pret', 'Tēbām', '’’', 'turpinājums', '.']","['ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'AUX', 'PROPN', 'NOUN', 'PUNCT', 'NUM', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT']"
"['Eshila', 'traģēdijā', 'stāstīts', 'par', 'Tēbu', 'valdnieka', 'Edipa', 'dēlu', 'Eteokla', 'un', 'Polineika', 'cīņu', 'par', 'varu', '.']","['PROPN', 'NOUN', 'VERB', 'ADP', 'PROPN', 'NOUN', 'PROPN', 'NOUN', 'PROPN', 'CCONJ', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Polineiks', 'ved', 'pret', 'dzimto', 'pilsētu', 'svešzemnieku', 'karapulkus', '.']","['PROPN', 'VERB', 'ADP', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']"
"['Eotekls', 'dodas', 'brālim', 'pretim', ',', 'lai', 'divkaujā', 'izšķirtu', 'jautājumu', ',', 'kam', 'būt', 'valdniekam', ',', 'un', 'ar', 'to', 'glābtu', 'pilsētu', 'no', 'izpostīšanas', '.']","['PROPN', 'VERB', 'NOUN', 'ADV', 'PUNCT', 'SCONJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Divkaujā', 'krīt', 'abi', 'brāļi', '.']","['NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']"
"['Antigone', ',', 'kritušo', 'brāļu', 'māsa', ',', 'uzskata', 'par', 'savu', 'pienākumu', 'apglabāt', 'Polineiku', ',', 'kaut', 'arī', 'zina', ',', 'ka', 'par', 'to', 'draud', 'nāves', 'sods', '.']","['PROPN', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'PROPN', 'PUNCT', 'SCONJ', 'SCONJ', 'VERB', 'PUNCT', 'SCONJ', 'ADP', 'PRON', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Otra', 'māsa', '-', 'Ismēne', '-', 'atsakās', 'pārkāpt', 'Kreonta', 'aizliegumu', 'un', 'palīdzēt', 'māsai', '.']","['NUM', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'VERB', 'VERB', 'PROPN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'PUNCT']"
"['Beigās', 'Antigone', 'izdara', 'pašnāvību', 'pakaroties', '.']","['NOUN', 'PROPN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Hēra', 'aizstāv', 'laulību', 'un', 'sargā', 'laulības', 'saišu', 'nepārkāpjamo', 'svētumu', '.']","['PROPN', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['Viņa', 'dod', 'laulātajiem', 'draugiem', 'daudz', 'pēcnācēju', 'un', ',', 'bērnam', 'dzimstot', ',', 'dod', 'mātei', 'svētību', '.']","['PRON', 'VERB', 'VERB', 'NOUN', 'ADV', 'NOUN', 'CCONJ', 'PUNCT', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Psihologi', 'pierādījuši', ',', 'ka', 'tas', ',', 'ko', 'apkārtējie', 'cilvēki', 'domā', 'par', 'mums', ',', 'ļoti', 'ietekmē', 'mūsu', 'pašnovērtējumu', 'un', 'uzvedību', '.']","['NOUN', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'PUNCT', 'PRON', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PRON', 'PUNCT', 'ADV', 'VERB', 'PRON', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']"
"['Sena', 'ķīniešu', 'leģenda', 'vēsta', ',', 'ka', 'pirms', 'pieciem', 'tūkstošiem', 'gadu', 'leģendārais', 'Ķīnas', 'imperators', 'Šennongs', 'nobaudījis', 'pasaulē', 'pirmo', 'tējas', 'malku', '.']","['ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'ADP', 'NUM', 'NOUN', 'NOUN', 'ADJ', 'PROPN', 'NOUN', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']"
"['Kādā', 'atpūtas', 'brīdī', ',', 'kad', 'imperators', 'sēdējis', 'zem', 'tējas', 'koka', 'un', 'dzēris', 'vārītu', 'ūdeni', ',', 'sacēlies', 'vējš', 'un', 'imperatora', 'krūzē', 'iepūtis', 'pāris', 'tējas', 'koka', 'lapas', '.']","['DET', 'NOUN', 'NOUN', 'PUNCT', 'ADV', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'ADV', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']"
"['Ūdens', 'pamazām', 'mainījis', 'krāsu', 'un', 'gaisā', 'uzvirmojis', 'līdz', 'tam', 'vēl', 'nepazīts', 'aromāts', '.']","['NOUN', 'ADV', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'PRON', 'ADV', 'VERB', 'NOUN', 'PUNCT']"
"['Ziņkārības', 'mudināts', ',', 'valdnieks', 'nolēmis', 'nogaršot', 'šo', 'dzērienu', 'un', 'piedzīvojis', 'patīkamu', 'pārsteigumu', '-', 'dzēriens', 'ne', 'tikai', 'labi', 'garšojis', ',', 'bet', 'arī', 'acumirklī', 'kliedējis', 'imperatora', 'nogurumu', '.']","['NOUN', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'PART', 'ADV', 'VERB', 'PUNCT', 'CCONJ', 'CCONJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Kopš', 'tiem', 'laikiem', 'tēja', 'cilvēcei', 'kalpo', 'ne', 'tikai', 'kā', 'lielisks', 'atspirdzinošs', 'dzēriens', ',', 'bet', 'arī', 'kā', 'nozīmīgs', 'ārstniecības', 'līdzeklis', '.']","['ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'CCONJ', 'PART', 'SCONJ', 'ADJ', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'CCONJ', 'SCONJ', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']"
"['Ķīnā', 'tēja', 'vēsturiski', 'tiek', 'dalīta', 'pēc', 'uzlējumu', 'skaita', '.']","['PROPN', 'NOUN', 'ADV', 'AUX', 'VERB', 'ADP', 'NOUN', 'NOUN', 'PUNCT']"
"['Pirmais', 'uzlējums', 'ir', 'paredzēts', 'tējas', 'noskalošanai', ',', 'tādēļ', 'tas', 'nav', 'dzerams', 'un', 'uzreiz', 'tiek', 'liets', 'ārā', 'no', 'tējkannas', '.']","['ADJ', 'NOUN', 'AUX', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'ADV', 'PRON', 'AUX', 'VERB', 'CCONJ', 'ADV', 'AUX', 'VERB', 'ADV', 'ADP', 'NOUN', 'PUNCT']"
"['Dzeramie', 'uzlējumi', 'ir', 'nākamie', '.']","['VERB', 'NOUN', 'AUX', 'ADJ', 'PUNCT']"
"['Tradicionāli', 'trešais', 'līdz', 'piektais', 'uzlējums', 'tiek', 'uzskatīti', 'par', 'labākajiem', ',', 'taču', 'dažādiem', 'tējas', 'veidiem', 'lapu', 'atvēršanās', 'mēdz', 'būt', 'atšķirīga', ',', 'tādēļ', 'reizēm', 'tējas', 'labākās', 'īpašības', 'atklājas', 'tikai', 'pēc', 'pieciem', 'vai', 'vēl', 'vairāk', 'uzlējumiem', '.']","['ADV', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'ADJ', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'ADJ', 'PUNCT', 'ADV', 'ADV', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'PART', 'ADP', 'NUM', 'CCONJ', 'ADV', 'ADV', 'NOUN', 'PUNCT']"
