tokens,pos_tags
"['Siūloma', 'viešinti', 'aukštųjų', 'mokyklų', 'vadovų', 'atlyginimus']","['VERB', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN']"
"['Siekiant', 'skaidrumo', 'ir', 'viešumo', 'siūloma', 'viešinti', 'universitetų', 'rektorių', ',', 'fakultetų', ',', 'institutų', 'vadovų', 'ir', 'kitų', 'aukštas', 'pareigas', 'mokslo', 'įstaigose', 'užimančių', 'asmenų', 'darbo', 'užmokestį', 'ir', 'kitas', 'pajamas', '.']","['VERB', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'PRON', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'PRON', 'NOUN', 'PUNCT']"
"['Tokią', 'išvadą', 'priėjo', 'trečiadienį', 'posėdžiavęs', 'Seimo', 'Švietimo', ',', 'mokslo', 'ir', 'kultūros', 'komitetas', '(', 'ŠMKK', ')', '.']","['DET', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'PUNCT']"
"['Anot', 'Seimo', 'nario', 'Manto', 'Adomėno', ',', 'dabartinės', 'aukštųjų', 'mokyklų', 'vadovų', 'algos', 'sunkmečiu', 'kelia', 'visuotinį', 'pasipiktinimą', ',', 'derėtų', 'universitetų', 'vadovų', 'pajamas', 'viešinti', '.']","['ADP', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Pasak', 'Švietimo', 'ir', 'mokslo', 'ministerijos', '(', 'ŠMM', ')', 'sekretoriaus', 'Giedriaus', 'Viliūno', ',', 'universitetų', 'ir', 'kitų', 'aukštųjų', 'mokyklų', 'padalinių', 'vadovų', 'atlyginimai', 'yra', 'ypač', 'aukšti', ',', 'o', 'iš', 'viso', 'jie', 'gauna', 'dideles', 'pajamas', ',', 'nes', 'yra', 'keletas', 'pajamų', 'šaltinių', '.']","['ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'CCONJ', 'PRON', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'X', 'PRON', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'SCONJ', 'VERB', 'PRON', 'NOUN', 'NOUN', 'PUNCT']"
"['ŠMM', 'atstovo', 'teigimu', ',', 'tokia', 'situacija', 'susiklosto', 'dėl', 'to', ',', 'kad', 'dažnai', 'universiteto', 'padalinio', 'vadovas', 'užima', 'keletą', 'pareigybių', '-', 'ir', 'dėsto', ',', 'ir', 'imasi', 'mokslinės', 'veiklos', 'bei', 'pasitaiko', 'net', 'tokių', 'atvejų', ',', 'kai', 'žmogus', 'dirba', 'penkiais', 'etatais', '.']","['X', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADV', 'X', 'PUNCT', 'SCONJ', 'ADV', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PRON', 'NOUN', 'PUNCT', 'PART', 'VERB', 'PUNCT', 'PART', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'PART', 'DET', 'NOUN', 'PUNCT', 'SCONJ', 'NOUN', 'VERB', 'NUM', 'NOUN', 'PUNCT']"
"['„', 'Teisiniu', 'požiūriu', 'tai', 'yra', 'visiškai', 'teisėta', '.']","['PUNCT', 'ADJ', 'NOUN', 'DET', 'AUX', 'ADV', 'ADJ', 'PUNCT']"
"['Ar', 'tai', 'yra', 'humaniška', ',', 'gerai', '-', 'yra', 'kitas', 'klausimas', '“', ',', '-', 'ŠMKK', 'kalbėjo', 'G', '.', 'Viliūnas', '.']","['PART', 'DET', 'VERB', 'ADJ', 'PUNCT', 'ADV', 'PUNCT', 'VERB', 'PRON', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'X', 'VERB', 'X', 'PUNCT', 'PROPN', 'PUNCT']"
"['ŠMM', 'sekretorius', 'pabrėžė', ',', 'kad', 'planuojamoje', 'aukštojo', 'mokslo', 'reformoje', 'įsigaliojus', 'Mokslo', 'ir', 'studijų', 'įstatymui', 'aukštųjų', 'mokyklų', 'tarybos', 'nustatys', 'vadovų', 'atlyginimus', 'ir', 'tai', 'leis', 'atsirasti', 'dar', 'daugiau', 'skaidrumo', '.']","['X', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'DET', 'VERB', 'VERB', 'PART', 'ADV', 'NOUN', 'PUNCT']"
"['Anot', 'parlamentarės', 'Dalios', 'Teišerskytės', ',', 'viešumas', 'skaidrumą', 'užtikrins', ',', 'bet', 'to', 'nepakanka', '.']","['ADP', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'CCONJ', 'DET', 'VERB', 'PUNCT']"
