tokens,pos_tags
"['Tolerancijos', 'žmogumi', 'paskelbta', 'rašytoja', 'V.', 'Juknaitė']","[3, 3, 0, 3, 11, 11]"
"['Rašytoja', 'Vanda', 'Juknaitė', 'šeštadienį', 'Vytauto', 'Didžiojo', 'universitete', 'Kaune', 'paskelbta', '2016-ųjų', 'Tolerancijos', 'žmogumi', '.']","[3, 11, 11, 3, 11, 7, 3, 11, 0, 7, 3, 3, 1]"
"['„', 'Šis', 'apdovanojimas', 'jai', 'skirtas', 'už', 'dialogo', 'kūrimą', ',', 'atminties', 'skatinimą', 'ir', 'sakymą', ',', 'kad', 'svetimo', 'skausmo', 'nėra', ',', 'kad', 'XX', 'amžiaus', 'tragedijos', '–', 'Holokauskas', ',', 'tremtis', '–', 'palietė', 'visus', 'Lietuvos', 'piliečius', ',', 'nepaisant', 'jų', 'tautybės', '“', ',', '–', 'BNS', 'sakė', 'Sugiharos', 'fondo', '„', 'Diplomatai', 'už', 'gyvybę', '“', 'atstovas', 'Linas', 'Venclauskas', '.']","[1, 10, 3, 9, 0, 6, 3, 3, 1, 3, 3, 2, 3, 1, 8, 7, 3, 0, 1, 8, 7, 3, 3, 1, 11, 1, 3, 1, 0, 10, 11, 3, 1, 6, 10, 3, 1, 1, 1, 11, 0, 11, 3, 1, 3, 6, 3, 1, 3, 11, 11, 1]"
"['Anot', 'jo', ',', 'rašytoja', 'viena', 'pirmųjų', 'žengė', 'drąsų', 'žingsnį', 'ir', 'viešai', 'atskleidė', ',', 'kad', 'jos', 'giminaitis', 'dalyvavo', 'Holokauste', '.']","[6, 9, 1, 3, 7, 7, 0, 7, 3, 2, 5, 0, 1, 8, 10, 3, 0, 11, 1]"
"['Į', 'visuomenininkų', 'teikiamą', 'apdovanojimą', 'šiemet', 'taip', 'pat', 'pretendavo', 'rašytojas', 'Marius', 'Ivaškevičius', 'ir', 'žurnalistas', 'Domas', 'Burkauskas', '.']","[6, 5, 0, 3, 5, 4, 4, 0, 3, 11, 11, 2, 3, 11, 11, 1]"
"['Ši', 'kasmetinė', 'nominacija', 'skiriama', 'asmeniui', ',', 'stojusiam', 'prieš', 'ksenofobijos', 'bei', 'antisemitizmo', ',', 'kitaminčių', ',', 'kitatikių', 'bei', 'kitataučių', 'persekiojimą', ',', 'pasisakiusiam', 'prieš', 'smurto', ',', 'prievartos', 'ir', 'radikalizmo', 'apraiškas', 'visuomeniniame', 'Lietuvos', 'gyvenime', '.']","[10, 7, 3, 0, 3, 1, 0, 6, 3, 2, 3, 1, 3, 1, 3, 2, 3, 3, 1, 0, 6, 3, 1, 3, 2, 3, 3, 7, 11, 3, 1]"
"['Pirmąjį', 'Tolerancijos', 'žmogaus', 'apdovanojimą', '2002', 'metų', 'sausio', 'mėnesį', 'gavo', 'Tomas', 'Šernas', '.']","[7, 3, 3, 3, 7, 3, 3, 3, 0, 11, 11, 1]"
"['Vėliau', 'metų', 'Tolerancijos', 'žmogaus', 'titulas', 'atiteko', 'profesorei', 'Irenai', 'Veisaitei', ',', 'žurnalistui', 'Algimantui', 'Čekuoliui', ',', 'režisieriui', 'Sauliui', 'Beržiniui', ',', 'pranciškonų', 'vienuoliui', ',', 'kunigui', 'Arūnui', 'Peškaičiui', ',', 'psichologui', 'Robertui', 'Povilaičiui', ',', 'atlikėjai', 'Jurgai', 'Šeduikytei', ',', 'žurnalistui', 'Mykolui', 'Drungai', ',', 'poetui', 'Tomui', 'Venclovai', ',', 'filosofui', 'Andriui', 'Navickui', 'rašytojams', 'Daivai', 'Čepauskaitei', 'ir', 'Sigitui', 'Parulskiui', ',', 'muzikantui', 'Andriui', 'Mamontovui', ',', 'žurnalistui', 'Donatui', 'Pusliui', ',', 'verslininkui', 'Valdui', 'Balčiūnui', '.']","[5, 3, 3, 3, 3, 0, 3, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 1, 3, 3, 1, 3, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 3, 11, 11, 2, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 1, 3, 11, 11, 1]"
"['Apdovanojimą', 'teikia', '„', 'Sugiharos', 'fondas', '–', 'Diplomatai', 'už', 'gyvybę', '“', '.']","[3, 0, 1, 11, 3, 1, 3, 6, 3, 1, 1]"
"['„', 'AŠ', 'DŪSTU', '“']","[1, 9, 0, 1]"
