tokens,pos_tags
"['Se', 'tyttö', 'kirjutti', 'kirjazen', 'dovarišalles', '.']","[0, 1, 2, 1, 1, 3]"
"['Smietin', ',', 'ku', 'vihmuu', '.']","[2, 3, 4, 2, 3]"
"['Häi', 'oppi', 'heittiä', 'kurindan', 'da', 'juondan', '.']","[0, 2, 2, 1, 5, 1, 3]"
"['Tahtotgo', 'mennä', '?']","[2, 2, 3]"
"['Avua', 'ikkun', ',', 'Sam', '!']","[2, 1, 3, 6, 3]"
"['Häi', 'pani', 'ukon', 'pezemäh', 'mašinua', '.']","[0, 2, 1, 2, 1, 3]"
"['Peteran', 'susiedu', 'kruassi', 'aijan', '.']","[6, 1, 2, 1, 3]"
"['Minun', 'tuatto', 'on', 'kylmyverizembi', 'migu', 'sinun', '.']","[0, 1, 7, 8, 4, 0, 3]"
"['Mary', 'voitti', 'bronzumedalin', ',', 'Peter', 'hobjumedalin', 'da', 'Jane', 'kuldumedalin', '.']","[6, 2, 1, 3, 6, 1, 5, 6, 1, 3]"
"['Ongo', 'Iguazu', 'suuri', 'vai', 'pieni', 'mua', '?']","[7, 6, 8, 5, 8, 1, 3]"
"['Ei', 'voidu', 'vallita', 'Peter', 'Smithua', ',', 'eigo', 'Mary', 'Brownii', '.']","[7, 7, 2, 6, 6, 3, 5, 6, 6, 3]"
"['Heil', 'ei', 'ole', 'ovvostustu', 'sit', ',', 'ken', 'sen', 'kirjutti', '.']","[0, 7, 7, 1, 0, 3, 0, 0, 2, 3]"
"['Midäbo', 'kačot', '?']","[0, 2, 3]"
"['Konzubo', 'duumaičet', 'voit', 'tulla', '?']","[9, 2, 7, 2, 3]"
"['Häi', 'osti', 'mašinan', ',', 'ga', 'hänen', 'velleh', 'pyörän', '.']","[0, 2, 1, 3, 5, 0, 1, 1, 3]"
"['Peter', 'da', 'Mari', 'sevättihes', 'da', 'lähtiettih', 'pertispäi', '.']","[6, 5, 6, 2, 5, 2, 1, 3]"
"['Hänel', 'olis', 'pidänyh', 'olla', 'prichoskua', 'luadimas', ',', 'ga', 'häi', 'erähien', 'syylöin', 'periä', 'ei', 'voinnuh', 'sinä', 'piän', '.']","[0, 7, 7, 2, 1, 2, 3, 5, 0, 8, 1, 10, 7, 2, 0, 1, 3]"
"['En', 'ehtinyh', 'hänele', 'jälles', ',', 'sendäh', 'ku', 'häi', 'juoksi', 'ylen', 'terväh', '.']","[7, 2, 0, 9, 3, 9, 4, 0, 2, 9, 9, 3]"
"['Tämä', 'on', 'kirjaine', 'Peteras', 'da', 'se', 'tuodih', 'egläi', '.']","[0, 7, 1, 6, 5, 0, 2, 9, 3]"
