tokens,pos_tags
"['Illum', 'waranofsinhar', 'il-', 'Maġistrat', 'Miriam', 'Hayman', 'iddikjarat', 'li', 'hemm', 'biżżejjed', 'provi', 'biex', 'il-', 'ħames', 'aħwa', 'tan-', 'negozjant', 'George', 'Farrugia', 'jitqiegħdu', 'taħt', 'att', ""ta'"", 'akkuża', '.']","['ADV', 'ADV', 'DET', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'SCONJ', 'VERB', 'DET', 'NOUN', 'SCONJ', 'DET', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['L-', 'aħwa', 'tressqu', 'l-', 'Qorti', 'lbieraħ', 'u', 'ġew', 'mixlijin', ""b'"", 'tixħim', 'fil-', 'każ', 'tax-', 'xiri', 'taż-', 'żejt', 'mill-', 'Enemalta', 'fi', 'żmien', 'il-', 'Gvern', 'Nazzjonalista', ',', ""f'"", 'liema', 'każ', 'ħuhom', 'George', 'ngħata', 'l-', 'proklama', '.']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADV', 'CCONJ', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'PRON', 'NOUN', 'NOUN', 'PROPN', 'VERB', 'DET', 'NOUN', 'PUNCT']"
"['L-', 'aħwa', 'huma', 'Antonio', 'Farrugia', ""ta'"", '68', 'sena', 'minn', 'Santa', 'Venera', ';', 'Gaetano', 'Farrugia', ""ta'"", '65', 'sena', 'minn', 'Santa', 'Venera', ';', 'Raymond', 'Farrugia', ',', ""ta'"", '62', 'sena', 'minn', ""Ħ'"", 'Attard', ';', 'Saviour', 'Farrugia', ""ta'"", '60', 'sena', 'minn', 'Santa', 'Venera', ';', 'u', 'Emanuel', 'Farrugia', ',', ""ta'"", '59', 'sena', 'minn', 'Ħaż-', 'Żebbuġ', '.']","['DET', 'NOUN', 'PRON', 'PROPN', 'PROPN', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']"
"['Fis-', 'seduta', 'tal-', 'lum', 'xehed', 'George', 'Farrugia', 'nnifsu', ',', 'li', 'kkonferma', 'li', 'ħutu', 'kienu', 'jafu', 'li', 'kienu', 'qed', 'isiru', 'ħlasijiet', 'bħala', 'tixħim', 'lil', 'ċerti', 'nies', '.']","['ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PRON', 'PUNCT', 'SCONJ', 'VERB', 'SCONJ', 'NOUN', 'AUX', 'VERB', 'SCONJ', 'AUX', 'AUX', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['Dawn', 'il-', 'ħlasijiet', 'kienu', 'jinkludu', '500,000', 'dollaru', 'lil', 'Frank', 'Sammut', 'u', 'Tancred', 'Tabone', 'kif', 'ukoll', '40,000', 'liri', 'Maltin', 'lil', 'Alfred', 'Mallia', 'u', 'Tarcisio', 'Mifsud', '.']","['PRON', 'DET', 'NOUN', 'AUX', 'VERB', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PRON', 'ADV', 'NUM', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT']"
"['Rapport', 'aktar', 'dettaljat', 'fil-', 'ħin', 'li', 'ġej', '.']","['NOUN', 'ADV', 'VERB', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'PUNCT']"
"['•', 'Fil-', 'preżenza', 'tal-', 'avukati', 'tiegħu', 'Sigfried', 'Borg', 'Cole', 'u', 'Franco', 'Debono', ',', 'Farrugia', 'spjega', 'kif', 'sal-', '2010', 'huwa', 'kellu', 'negozju', ""ma'"", 'ħutu', 'li', 'kienu', 'jinkludu', 'l-', ""John's"", 'Garage', ',', 'Sunrays', 'Travel', ',', 'JF', 'Motors', 'u', 'l-', 'Power', 'Plan', '.']","['PUNCT', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PRON', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'ADV', 'ADP', 'NUM', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['Huwa', 'spjega', 'kif', 'fir-', 'rigward', 'tal-', 'Power', 'Plan', 'huwa', 'kien', 'wieħed', 'mill-', 'firmatarji', 'flimkien', ""ma'"", 'ħutu', 'u', 'biex', 'jinħareġ', 'ċekk', 'dan', 'kellu', 'jiġi', 'iffirmat', 'minn', 'tnejn', 'mill-', 'aħwa', '.']","['PRON', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PRON', 'AUX', 'NUM', 'ADP', 'NOUN', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'SCONJ', 'VERB', 'NOUN', 'PRON', 'VERB', 'AUX', 'VERB', 'ADP', 'NUM', 'ADP', 'NOUN', 'PUNCT']"
"['Farrugia', 'qal', 'li', 'fil-', 'bidu', 'l-', 'Power', 'Plan', 'kienet', 'taħdem', 'fil-', 'qasam', 'tal-', 'petrol', 'stations', 'imma', 'maż-', 'żmien', 'ried', 'isib', 'kumpanija', 'biex', 'jibda', 'jinnegozja', 'fuq', 'iż-', 'żjut', 'u', 'daħal', ""f'"", 'arranġament', 'mal-', 'kumpanija', 'Total', '.']","['PROPN', 'VERB', 'SCONJ', 'ADP', 'NOUN', 'DET', 'ADJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'VERB', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']"
"['Ħafna', 'mix-', 'xogħol', 'kien', 'jagħmlu', 'hu', 'imma', 'ġieli', 'kellu', 'l-', 'għajnuna', 'minn', 'xi', 'ħadd', 'minn', 'ħutu', 'għalkemm', 'ma', 'semmix', 'min', 'kienu', '.']","['DET', 'ADP', 'NOUN', 'AUX', 'VERB', 'PRON', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PRON', 'ADP', 'NOUN', 'SCONJ', 'PART', 'VERB', 'PRON', 'AUX', 'PUNCT']"
