tokens,pos_tags
"['एक', 'होता', 'राजा', '.']","['DET', 'AUX', 'NOUN', 'PUNCT']"
"['त्याला', 'एक', 'मुलगा', 'होता', '.']","['PRON', 'DET', 'NOUN', 'AUX', 'PUNCT']"
"['एकुलता', 'एक', 'मुलगा', 'म्हणून', 'राजा', '-', 'राणी', 'त्याला', 'जीव', 'की', 'प्राण', 'करित', '.']","['ADJ', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'PRON', 'NOUN', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['परंतु', 'लाडामुळे', None, None, 'तो', 'बिघडला', '.']","['CCONJ', None, 'NOUN', 'ADP', 'PRON', 'VERB', 'PUNCT']"
"['राजा', 'मनात', 'म्हणाला', ',', '""', 'याला', 'घालवून', 'द्यावे', '.', '""']","['NOUN', 'NOUN', 'VERB', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'VERB', 'PUNCT', 'PUNCT']"
"['""', 'टक्केटोणपे', 'खाऊन', 'शहाणा', 'होऊन', 'घरी', 'येईल', '.', '""']","['PUNCT', 'NOUN', 'VERB', 'ADJ', 'VERB', 'ADV', 'VERB', 'PUNCT', 'PUNCT']"
"['राजाने', 'राणीला', 'हा', 'विचार', 'सांगितला', '.']","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['आज', 'ना', 'उद्या', 'सुधारेल', 'तो', '.']","['ADV', 'CCONJ', 'ADV', 'VERB', 'PRON', 'PUNCT']"
"['""', 'नका', 'घालवू', 'त्याला', 'दूर', '!', '""', 'ती', 'रडत', 'म्हणाली', '.']","['PUNCT', 'AUX', 'VERB', 'PRON', 'ADJ', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'VERB', 'PUNCT']"
"['""', 'तुम्हा', 'बायकांना', 'कळत', 'नाही', '.', '""']","['PUNCT', 'DET', 'NOUN', 'VERB', 'AUX', 'PUNCT', 'PUNCT']"
"['""', 'आज', 'त्याला', 'हाकलून', 'देणे', 'तुला', 'कठोरपणाचे', None, None, 'वाटले', 'तरी', 'तेच', None, None, 'हिताचे', None, None, 'आहे', ',', '""', 'तो', 'म्हणाला', '.']","['PUNCT', 'ADV', 'PRON', 'VERB', 'VERB', 'PRON', None, 'NOUN', 'ADP', 'VERB', 'SCONJ', None, 'PRON', 'PART', None, 'NOUN', 'ADP', 'AUX', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'PUNCT']"
"['राणी', 'काय', 'करणार', ',', 'काय', 'बोलणार', '?']","['NOUN', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PUNCT']"
"['रात्रभर', None, None, 'तिला', 'झोप', 'आली', 'नाही', '.']","[None, 'NOUN', 'ADP', 'PRON', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
"['सकाळी', 'राजा', 'मुलाला', 'म्हणाला', ',', 'राज्यातून', None, None, 'चालता', 'हो', '.']","['ADV', 'NOUN', 'NOUN', 'VERB', 'PUNCT', None, 'NOUN', 'ADP', 'VERB', 'VERB', 'PUNCT']"
"['आपण', 'आता', 'शहाणे', 'झालोत', 'असे', 'वाटेल', 'तेव्हा', 'घरी', 'ये', '!']","['PRON', 'ADV', 'ADJ', 'AUX', 'ADV', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT']"
"['तुमची', None, None, 'आज्ञा', 'प्रमाण', ',', 'असे', 'म्हणून', 'पित्याच्या', None, None, 'पाया', 'पडून', 'तो', 'आईचा', None, None, 'निरोप', 'घ्यायला', 'गेला', '.']","[None, 'PRON', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'VERB', None, 'NOUN', 'ADP', 'NOUN', 'VERB', 'PRON', None, 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['तो', 'आईच्या', None, None, 'पाया', 'पडला', '.']","['PRON', None, 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
"['आईने', 'त्याला', 'पोटाशी', 'धरले', '.']","['NOUN', 'PRON', 'NOUN', 'VERB', 'PUNCT']"
"['हे', 'घे', 'चार', 'लाडू', '.']","['PRON', 'VERB', 'NUM', 'NOUN', 'PUNCT']"
"['भूक', '-', 'तहानेचे', None, None, 'लाडू', ',', 'ती', 'म्हणाली', '.']","['NOUN', 'PUNCT', None, 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'PUNCT']"
"['आईचा', None, None, 'आशीर्वाद', 'घेऊन', ',', 'ते', 'लाडू', 'घेऊन', ',', 'धनुष्यबाण', 'आणि', 'तलवार', 'घेऊन', 'तो', 'निघाला', '.']","[None, 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'PRON', 'VERB', 'PUNCT']"
"['पायी', 'जात', 'होता', '.']","['ADV', 'VERB', 'AUX', 'PUNCT']"
"['दिवस', 'गेला', ',', 'रात्र', 'गेली', '.']","['NOUN', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['चालत', 'होता', '.']","['VERB', 'AUX', 'PUNCT']"
"['थकल्यावर', None, None, 'दगडाची', None, None, 'उशी', 'करून', 'वडाखाली', None, None, 'झोपे', '.']","[None, 'VERB', 'ADP', None, 'NOUN', 'ADP', 'NOUN', 'VERB', None, 'NOUN', 'ADP', 'VERB', 'PUNCT']"
"['त्याला', 'भूक', 'लागली', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['त्या', 'लाडूंची', None, None, 'त्याला', 'आठवण', 'झाली', '.']","['DET', None, 'NOUN', 'ADP', 'PRON', 'NOUN', 'AUX', 'PUNCT']"
"['एक', 'झरा', 'खळखळ', 'वाहत', 'होता', '.']","['DET', 'NOUN', 'ADV', 'VERB', 'AUX', 'PUNCT']"
"['हातपाय', None, None, 'धुऊन', 'तेथे', 'बसला', '.']","[None, 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'PUNCT']"
"['त्याने', 'एक', 'लाडू', 'फोडला', 'तर', 'आतून', 'एक', 'रत्न', 'निघाले', '.']","['PRON', 'DET', 'NOUN', 'VERB', 'CCONJ', 'ADV', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['त्याला', 'आनंद', 'झाला', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['आईला', 'किती', 'चिंता', 'ते', 'मनात', 'येऊन', 'त्याचे', None, None, 'डोळे', 'भरून', 'आले', '.']","['NOUN', 'ADJ', 'NOUN', 'PRON', 'NOUN', 'VERB', None, 'PRON', 'ADP', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
