tokens,pos_tags
"['Golbma', 'čáppa', ',', 'doaimmalaš', 'nieidda', 'livžo', 'áhčiset', 'riegádanbeaivve', '.']","[0, 1, 2, 1, 3, 4, 3, 3, 2]"
"['Gonagas', 'Agrippa', 'ja', 'dii', 'buohkat', 'geat', 'lehpet', 'dás', 'minguin', '!']","[3, 5, 6, 7, 7, 7, 4, 8, 7, 2]"
"['Gonagas', 'sáhttá', 'mearridit', 'dábálaš', 'njuolggadusaid', 'báikkálaš', 'dilálašvuođaid', 'ektui', '.']","[3, 9, 4, 1, 3, 1, 3, 10, 2]"
"['Gos', 'dáppe', 'lea', 'máddi', '?']","[8, 8, 9, 3, 2]"
"['Gosa', 'don', 'čihket', 'dan', '?']","[8, 7, 4, 7, 2]"
"['Govt', 'lei', 'vuodjit', 'Olmmáivákkis', 'deike', '?']","[8, 4, 4, 5, 8, 2]"
"['Gozihanlávdegoddi', 'galgá', 'fidnet', 'buot', 'dábuhahtti', 'dieđuid', 'Finnmárkkuopmodagas', ',', 'maid', 'dárbbaša', 'dahkamušaidis', 'čađaheapmái', '.']","[3, 9, 4, 7, 4, 3, 5, 2, 7, 4, 3, 3, 2]"
"['Gravismearka', 'adnojuvvo', 'sámegielas', 'dušše', 'muhtun', 'vierronamain', '.']","[3, 4, 3, 8, 7, 3, 2]"
"['Guhkkelis', 'boaittobeale', 'orru', 'mánát', 'bohte', 'Gárdima', 'ja', 'Mollešjoga', ',', 'Šuoššjávrri', 'ja', 'Iešjohleagi', 'duoddarstobuin', '.']","[8, 3, 4, 3, 4, 5, 6, 5, 2, 5, 6, 5, 3, 2]"
"['Guhkás', 'son', 'bálkestii', 'spáppa', '.']","[8, 7, 4, 3, 2]"
"['Guokte', 'jahkásaš', 'doavttergrádakurssa', 'leat', 'lágiduvvon', '.']","[0, 1, 3, 9, 4, 2]"
"['Guokte', 'nissona', 'ferdneba', 'milluin', '.']","[0, 3, 4, 3, 2]"
"['Guollebivdu', 'jogain', 'ja', 'jávrriin', '.']","[3, 3, 6, 3, 2]"
"['Guovddáš', 'lea', 'fágalaččat', 'iešbirgejeaddji', 'ásahus', '.']","[3, 9, 8, 1, 3, 2]"
"['Guovddážis', 'dán', 'barggus', 'lea', 'Sámi', 'dutkamiid', 'guovddáš', '.']","[3, 7, 3, 9, 5, 3, 3, 2]"
"['Guovlluid', 'dearvvašvuođafitnodagain', 'gáibiduvvojit', 'dakkár', 'rutiinnat', '.']","[3, 3, 4, 7, 3, 2]"
"['Guovlu', 'lea', 'orohaga', 'olggobealde', '.']","[3, 4, 3, 10, 2]"
"['Gáibádussan', 'lea', 'ahte', 'olbmos', 'lea', 'sámegiella', 'ruovttogiellan', '.']","[3, 4, 11, 3, 9, 3, 3, 2]"
"['Gávpotbussiin', 'olbmot', 'dávjá', 'fertejit', 'čuožžut', '.']","[3, 3, 8, 9, 4, 2]"
"['Hans', 'A.', 'Oppstad', 'lei', 'sátnejođiheaddji', 'mu', 'Skuvvanári', 'álgojagiid', '.']","[5, 3, 5, 9, 3, 7, 3, 3, 2]"
"['Hearrá', ',', 'suova', 'mu', 'vuos', 'mannat', 'ruoktot', 'hávdádit', 'áhččán', '.']","[3, 2, 4, 7, 8, 4, 8, 4, 3, 2]"
"['Heasta', 'vuoiŋŋastahttá', 'juolggi', 'go', 'čuožžu', 'golbma', 'juolggi', 'nalde', '.']","[3, 4, 3, 11, 4, 0, 3, 10, 2]"
"['Hei', 'surgat', ',', 'lea', 'divrras', '!']","[12, 1, 2, 9, 1, 2]"
"['Hei', ',', 'soiddas', 'dat', 'lea', ',', 'máistte', 'don', 'dan', 'gáfe', '!']","[12, 2, 1, 7, 9, 2, 4, 7, 7, 3, 2]"
"['Henrik', 'oaččui', 'buot', 'gussiid', 'dearvan', 'nuppi', 'gearddi', 'čađa', ',', 'gos', 'ii', 'buollán', '.']","[5, 4, 7, 3, 8, 1, 3, 10, 2, 8, 9, 4, 2]"
"['Háhkan', 'lea', 'šaddan', 'dadjat', 'juo', 'cieggan', 'riektedilli', '.']","[3, 9, 4, 8, 8, 4, 3, 2]"
"['Hálddašanguovllu', 'suohkanat', 'leat', 'ovttasráđiid', 'mearridan', 'nu', '.']","[3, 3, 9, 8, 4, 8, 2]"
