tokens,pos_tags
"['Lam', 'og', 'piggvar', 'på', 'bryllupsmenyen']","[0, 1, 0, 2, 0]"
"['Kamskjell', ',', 'piggvar', 'og', 'lammefilet', 'sto', 'på', 'menyen', 'under', 'den', 'kongelige', 'gallamiddagen', '.']","[0, 3, 0, 1, 0, 4, 5, 0, 5, 6, 7, 0, 3]"
"['Og', 'til', 'dessert', ':', 'Parfait', 'à', 'la', 'Mette-Marit', '.']","[1, 5, 0, 3, 8, 9, 9, 8, 3]"
"['Forretten', 'lyder', 'navnet', '""', 'Coquilles', 'St.', 'Jacques', 'Prince', 'de', 'Norvege', '""', ',', 'som', 'er', 'grillet', 'kamskjell', 'på', 'norsk', 'spekeskinke', '-', 'med', 'trøffelhonningvinaigrette', ',', 'ruccolasalat', 'og', 'ristede', 'gresskarkjerner', '.']","[0, 4, 0, 3, 8, 8, 8, 8, 9, 8, 3, 3, 10, 11, 7, 0, 5, 7, 0, 3, 5, 0, 3, 0, 1, 7, 0, 3]"
"['Deretter', 'fulgte', '""', 'Turbot', 'au', 'Four', '-', 'purée', 'de', 'chou-fleur', '""', '.']","[12, 4, 3, 8, 9, 8, 3, 9, 9, 9, 3, 3]"
"['Det', 'er', 'ovnsbakt', 'piggvar', 'dandert', 'med', 'ingefærmarinert', 'klasetomatbåter', ',', 'blomkålpuré', 'drysset', 'med', 'finhakket', 'gressløk', ',', 'og', 'fransk', 'smørsaus', 'med', 'appelsin', 'og', 'fenikkelsmak', '.']","[10, 11, 7, 0, 4, 5, 7, 0, 3, 0, 4, 5, 7, 0, 3, 1, 7, 0, 5, 0, 1, 0, 3]"
"['Hovedretten', 'er', '""', 'Filet', ""d'agneau"", '-', 'girolles', 'a', 'la', 'creme', '""', ':']","[0, 11, 3, 8, 9, 3, 9, 9, 9, 9, 3, 3]"
"['Ytrefilet', 'av', 'norsk', 'lam', ',', 'kremet', 'kantareller', 'i', 'nepe', ',', 'bakt', 'minisquash', ',', 'lettrøkte', 'rødbeter', ',', 'rissolepoteter', 'og', 'rosmarinsjy', '.']","[0, 5, 7, 0, 3, 7, 0, 5, 0, 3, 7, 0, 3, 7, 0, 3, 0, 1, 0, 3]"
"['Og', 'desserten', ',', '""', 'Parfait', 'à', 'la', 'Mette-Marit', '-', 'coulis', 'de', 'muron', 'arctique', '""', 'består', 'av', 'Snøfrisk', 'og', 'yoghurtisparfait', 'med', 'friske', 'norske', 'bringebær', ',', 'blåbær', 'og', 'bjørnebær', ',', 'samt', 'multemousse', 'på', 'multecoulis', '.']","[1, 0, 3, 3, 8, 9, 9, 8, 3, 9, 9, 9, 9, 3, 4, 5, 8, 1, 0, 5, 7, 7, 0, 3, 0, 1, 0, 3, 1, 0, 5, 0, 3]"
"['Benket', 'til', 'bryllupsmiddag']","[4, 5, 0]"
"['Litt', 'forsinket', ',', 'klokken', '20.25', ',', 'satte', 'bryllupsgjestene', 'seg', 'til', 'bords', 'for', 'å', 'nyte', 'gallamiddagen', 'på', 'Slottet', '.']","[7, 7, 3, 0, 13, 3, 4, 0, 10, 5, 0, 2, 14, 4, 0, 5, 8, 3]"
"['I', 'galla', 'og', 'utsøkte', 'festantrekk', 'kom', 'de', 'til', 'bryllupsmiddagen', ',', 'kongelige', ',', 'presidenter', ',', 'familiemedlemmer', ',', 'venner', 'og', 'representanter', 'for', 'regjering', ',', 'storting', 'og', 'viktige', 'norske', 'institusjoner', '.']","[5, 0, 1, 7, 0, 4, 10, 5, 0, 3, 7, 3, 0, 3, 0, 3, 0, 1, 0, 5, 0, 3, 0, 1, 7, 7, 0, 3]"
"['De', 'ble', 'ønsket', 'velkommen', 'av', 'dronning', 'Sonja', ',', 'kong', 'Harald', ',', 'kronprins', 'Haakon', 'og', 'kronprinsesse', 'Mette-Marit', '.']","[10, 11, 4, 7, 5, 0, 8, 3, 0, 8, 3, 0, 8, 1, 0, 8, 3]"
"['Det', 'kongelige', 'bryllup', 'er', 'i', 'høy', 'grad', 'også', 'en', 'privat', 'begivenhet', '.']","[6, 7, 0, 11, 5, 7, 0, 12, 6, 7, 0, 3]"
"['Det', 'viste', 'prosesjonen', 'til', 'gallamiddagen', 'på', 'Slottet', 'og', 'plasseringen', 'ved', 'hovedbordet', '.']","[10, 4, 0, 5, 0, 5, 8, 1, 0, 5, 0, 3]"
"['Først', 'i', 'prosesjonen', 'gikk', 'kong', 'Harald', 'og', 'brudens', 'mor', ',', 'Marit', 'Tjessem', '.']","[12, 5, 0, 4, 0, 8, 1, 0, 0, 3, 8, 8, 3]"
"['Bak', 'fulgte', 'brudens', 'far', ',', 'Sven', 'O.', 'Høiby', ',', 'med', 'dronning', 'Sonja', 'ved', 'armen', '.']","[5, 4, 0, 0, 3, 8, 8, 8, 3, 5, 0, 8, 2, 0, 3]"
"['Først', 'i', 'tredje', 'rekke', 'kom', 'svenskekongen', ',', 'Carl', 'Gustaf', ',', 'og', 'dronning', 'Margrethe', 'av', 'Danmark', '.']","[12, 5, 7, 0, 4, 0, 3, 8, 8, 3, 1, 0, 8, 5, 8, 3]"
"['Det', 'er', 'ikke', 'hverdagskost', 'at', 'monarkene', 'i', 'våre', 'to', 'naboland', 'blir', 'rangert', 'bak', 'vanlige', 'norske', 'statsborgere', '.']","[10, 11, 14, 0, 2, 0, 5, 10, 13, 0, 11, 4, 5, 7, 7, 0, 3]"
"['Men', 'så', 'er', 'ikke', 'bryllupet', 'mellom', 'Haakon', 'og', 'Mette-Marit', 'hverdagskost', 'det', 'heller', '.']","[1, 12, 11, 14, 0, 5, 8, 1, 8, 0, 10, 12, 3]"
"['Presidenter', 'og', 'prinser']","[0, 1, 0]"
"['Bak', 'våre', 'nabolands', 'statsoverhoder', 'fulgte', 'Islands', 'president', 'Olafur', 'Ragnar', 'Grimsson', 'med', 'dronning', 'Silvia', 'av', 'Sverige', '.']","[5, 10, 0, 0, 4, 8, 0, 8, 8, 8, 5, 0, 8, 5, 8, 3]"
"['Deretter', 'storhertug', 'Henri', 'av', 'Luxembourg', 'med', 'Finlands', 'kvinnelige', 'president', ',', 'Tarja', 'Halonen', ',', 'så', 'prins', 'Albert', 'av', 'Monaco', 'med', 'den', 'spanske', 'dronning', 'Sofia', 'og', 'nest', 'sist', 'i', 'prosesjonen', 'den', 'nederlandske', 'kronprinsen', ',', 'Willem-Alexander', 'med', 'sin', 'forlovede', 'Maxima', 'Zorreguieta', '.']","[12, 0, 8, 5, 8, 5, 8, 7, 0, 3, 8, 8, 3, 12, 0, 8, 5, 8, 5, 6, 7, 0, 8, 1, 12, 12, 5, 0, 6, 7, 0, 3, 8, 5, 10, 0, 8, 8, 3]"
"['Forlovede', 'par', 'skilles', 'ikke', 'i', 'en', 'kongelig', 'prosesjon', ',', 'ei', 'heller', 'ved', 'det', 'kongelige', 'taffel', '.']","[7, 0, 4, 14, 5, 6, 7, 0, 3, 14, 12, 5, 6, 7, 0, 3]"
"['Prosesjonen', 'ble', 'avsluttet', 'av', 'den', '90', 'år', 'gamle', 'prins', 'Carl', 'Bernadotte', 'som', 'førte', 'brudgommens', 'søster', ',', 'Märtha', 'Louise', ',', 'til', 'bords', '.']","[0, 11, 4, 5, 6, 13, 0, 7, 0, 8, 8, 10, 4, 0, 0, 3, 8, 8, 3, 5, 0, 3]"
"['Prinsen', 'er', 'yngste', 'bror', 'av', 'Märtha', 'Louises', 'farmor', ',', 'kronprinsesse', 'Märtha', ',', 'som', 'aldri', 'opplevde', 'å', 'bli', 'norsk', 'dronning', '.']","[0, 11, 7, 0, 5, 8, 8, 0, 3, 0, 8, 3, 10, 12, 4, 14, 4, 7, 0, 3]"
"['Og', 'bak', 'prosesjonen', 'kom', 'dagens', 'hovedpersoner', ':', 'Haakon', 'og', 'Mette-Marit', '.']","[1, 5, 0, 4, 0, 0, 3, 8, 1, 8, 3]"
"['Statsmakter', ',', 'kongelige', 'og', 'familie']","[0, 3, 7, 1, 0]"
