tokens,pos_tags
"['Nokre', 'refleksjonar', 'på', 'vegen', ',', 'om', 'Paulus', 'og', '""', 'worldviews', '""']","[8, 9, 7, 9, 4, 7, 9, 3, 4, 9, 4]"
"['Eg', 'var', 'på', 'bibeltime', 'i', 'går', ',', 'på', 'Misjonshuset', '.']","[0, 6, 7, 9, 7, 9, 4, 7, 10, 4]"
"['Det', 'var', 'veldig', 'triveleg', ',', 'og', 'vi', 'fekk', 'også', 'god', 'kake', 'etterpå', '.']","[0, 1, 2, 2, 4, 3, 0, 6, 11, 2, 9, 11, 4]"
"['Min', 'gode', 'ven', 'Kjell', 'Arne', 'heldt', 'bibeltime', 'over', 'kolossarbrevet', ',', 'og', 'eg', 'sat', 'og', 'høyrde', 'på', 'medan', 'eg', 'las', 'i', 'mitt', 'nye', 'testamente', '.']","[0, 2, 9, 9, 9, 6, 9, 7, 9, 4, 3, 0, 6, 3, 6, 7, 12, 0, 6, 7, 0, 2, 9, 4]"
"['Det', 'er', 'eigentleg', 'veldig', 'spennande', 'å', 'lese', 'Kol', 'no', 'som', 'eg', 'har', 'liksom', 'utvikla', 'meg', 'og', 'gått', 'mange', 'rundar', 'på', 'andre', 'område', ',', 'i', 'forståing', 'av', 'GT', ',', 'historisk-kritikk', ',', 'kristen', 'filosofi', 'i', 'antikken', 'etc.', 'etc']","[0, 1, 2, 2, 2, 5, 6, 10, 11, 0, 0, 1, 11, 6, 0, 3, 6, 2, 9, 7, 8, 9, 4, 7, 9, 7, 9, 4, 9, 4, 2, 9, 7, 9, 11, 11]"
"['Eg', 'les', 'Paulus', 'på', 'litt', 'andre', 'måtar', '.']","[0, 6, 9, 7, 2, 8, 9, 4]"
"['Litt', 'meir', 'grundig', 'og', 'undersøkande', ';', 'korleis', 'er', 'det', 'eigentleg', 'han', 'argumenterer', 'her', '?']","[2, 2, 2, 3, 2, 4, 11, 1, 0, 2, 0, 6, 11, 4]"
"['Kva', 'grunnar', 'har', 'han', 'for', 'det', 'han', 'seier', '?']","[8, 9, 6, 0, 7, 0, 0, 6, 4]"
"['Litt', 'meir', '""', 'sosiologisk', '""', ';', 'korleis', 'ville', 'det', 'vere', 'for', 'kolossarane', 'å', 'motta', 'dette', 'brevet', '?']","[2, 2, 4, 2, 4, 4, 11, 1, 0, 1, 7, 9, 5, 6, 8, 9, 4]"
"['Kan', 'eg', 'sjå', 'for', 'meg', 'dei', 'gresk-romerske', 'gatene', ',', 'handelstorga', ',', 'klubbane', 'etc.', '-', 'og', 'Paulus', 'som', 'sit', 'og', 'skriv', '?']","[1, 0, 6, 7, 0, 8, 2, 9, 4, 9, 4, 9, 11, 4, 3, 9, 0, 6, 3, 6, 4]"
"['Litt', 'meir', '""', 'breitt', '""', ',', 'reint', 'filosofisk', ';', 'korleis', 'plasserer', 'Paulus', 'seg', 'intellektuelt', 'sett', 'i', 'møte', 'med', 'den', 'gresk-romerske', '(', 'pluralistiske', ')', 'røyndomsforståinga', '?']","[2, 2, 4, 2, 4, 4, 2, 2, 4, 11, 6, 9, 0, 2, 6, 7, 9, 7, 8, 2, 4, 2, 4, 9, 4]"
"['Kan', 'vi', 'lære', 'av', 'dette', ',', 'i', 'vår', 'tid', '?']","[1, 0, 6, 7, 0, 4, 7, 0, 9, 4]"
"['Ok', ',', 'så', 'eg', 'ser', 'ting', 'som', 'eg', 'tidlegare', 'ikkje', 'har', 'sett', ',', 'fordi', 'eg', 'har', 'fått', 'ein', 'breiare', 'innfallsvinkel', 'her', '.']","[2, 4, 3, 0, 6, 9, 0, 0, 2, 5, 1, 6, 4, 12, 0, 1, 6, 8, 2, 9, 11, 4]"
"['Det', 'er', 'veldig', 'spennande', '.']","[0, 1, 2, 2, 4]"
"['Det', 'eg', 'særleg', 'tenkte', 'på', 'i', 'går', ',', 'medan', 'eg', 'sat', 'og', 'tygde', 'på', 'teksten', 'under', 'talen', ',', 'var', 'korleis', 'Paulus', ',', 'hm', ',', 'også', 'her', 'ser', 'ut', 'til', 'å', 'vere', 'aktivt', 'kontekstuell', '.']","[0, 0, 2, 6, 7, 7, 9, 4, 12, 0, 6, 3, 6, 7, 9, 7, 9, 4, 1, 11, 9, 4, 14, 4, 11, 11, 6, 7, 12, 5, 1, 2, 2, 4]"
"['Altså', ',', 'som', 'ung', 'og', 'konservativ', 'lågkyrkjeleg', 'kristen', ',', 'har', 'ein', 'eit', 'litt', 'enkelt', 'syn', 'på', ""Paulus'"", 'brev', '.']","[11, 4, 12, 2, 3, 2, 2, 2, 4, 6, 0, 8, 2, 2, 9, 7, 10, 9, 4]"
"['Dei', 'er', 'litt', 'som', '""', 'lærebrev', ',', '""', 'som', 'presenterer', 'guddomeleg', 'openberring', ',', 'som', 'då', 'er', '""', 'proposisjonelt', '""', 'forstått', ',', 'litt', 'som', 'læresetningar', '.']","[0, 1, 2, 7, 4, 9, 4, 4, 0, 6, 2, 9, 4, 0, 11, 1, 4, 2, 4, 2, 4, 2, 7, 9, 4]"
"['Når', 'ein', 'les', 'meir', ',', 'får', 'ein', 'eit', 'meir', 'nyansert', 'syn', 'på', 'ting', ',', 'ikkje', 'sant', '.']","[12, 0, 6, 2, 4, 6, 0, 8, 2, 2, 9, 7, 9, 4, 5, 2, 4]"
"['Ein', 'må', 'uansett', 'byrje', 'ein', 'eller', 'annan', 'stad', ',', 'i', 'si', 'opplæring', 'i', 'desse', 'tinga', '.']","[0, 1, 11, 6, 8, 3, 8, 9, 4, 7, 0, 9, 7, 8, 9, 4]"
"['Uansett', ',', 'poenget', 'er', 'at', 'Paulus', 'er', 'ein', 'langt', 'meir', 'subtil', 'og', 'djup', 'forkynnar', 'enn', 'vi', 'gjerne', 'tenker', '.']","[11, 4, 9, 1, 12, 9, 6, 8, 2, 2, 2, 3, 2, 9, 12, 0, 11, 6, 4]"
"['Og', 'dersom', 'vi', 'forstår', 'dette', ',', 'vil', 'også', 'samanhengen', 'med', 'apologetane', 'i', 'oldkyrkja', 'bli', 'mindre', ',', 'mistenker', 'eg', '.']","[3, 12, 0, 6, 0, 4, 1, 11, 9, 7, 9, 7, 9, 6, 2, 4, 6, 0, 4]"
"['Nei', ',', 'altså', 'eg', 'tenker', 'på', 'dette', 'at', '...', 'vel', '...', 'når', 'ein', 'studerer', ""Paulus'"", 'brev', 'nærare', ',', 'så', 'ser', 'ein', 'at', 'ingen', 'av', 'dei', 'er', '""', 'generelle', '""', 'brev', 'av', 'typen', ':']","[14, 4, 11, 0, 6, 7, 0, 12, 4, 11, 4, 12, 0, 6, 10, 9, 2, 4, 11, 6, 0, 12, 8, 7, 0, 1, 4, 2, 4, 9, 7, 9, 4]"
"['""', 'Hei', ',', 'eg', 'tenkte', 'berre', 'å', 'sende', 'dykk', 'litt', 'generell', 'lære', 'og', 'formaning', ',', 'slik', 'at', 'de', 'kan', 'halde', 'fast', 'på', 'trua', '.', '""']","[4, 14, 4, 0, 6, 11, 5, 6, 0, 2, 2, 9, 3, 9, 4, 11, 12, 0, 1, 6, 2, 7, 9, 4, 4]"
"['Slik', 'generell', 'lære', 'og', 'formaning', 'har', 'dei', 'allereie', 'fått', 'i', 'katekesen', '.']","[8, 2, 9, 3, 9, 1, 0, 11, 6, 7, 9, 4]"
