tokens,pos_tags
"['å', 'å', 'så', 'køyrte', 'han', 'e', '.']","['INTJ', 'INTJ', 'ADV', 'VERB', 'PRON', 'X', 'PUNCT']"
"['nedantil', '#', 'køyrte', 'han', 'på', 'Mysen', 'varer', 'å', '.']","['ADP', 'PUNCT', 'VERB', 'PRON', 'ADP', 'PROPN', 'NOUN', 'PART', 'PUNCT']"
"['ja', 'vel', '.']","['INTJ', 'ADV', 'PUNCT']"
"['til', 'kjøpmennene', 'på', 'Mysen', 'han', '.']","['ADP', 'NOUN', 'ADP', 'PROPN', 'PRON', 'PUNCT']"
"['jaha', '.']","['INTJ', 'PUNCT']"
"['men', 'så', 'blei', 'det', 'slutt', 'så', 'måtte', 'eg', 'overta', 'den', 'mjølka', 'au', 'da', 'køyrde', 'vi', '.']","['CCONJ', 'ADV', 'VERB', 'PRON', 'NOUN', 'ADV', 'AUX', 'PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'ADV', 'VERB', 'PRON', 'PUNCT']"
"['hadde', 'eg', 'den', 'au', 'attved', 'den', 'som', 'eg', 'hadde', 'f-', 'andre', 'eg', 'hadde', '.']","['VERB', 'PRON', 'PRON', 'ADV', 'ADP', 'PRON', 'PRON', 'PRON', 'VERB', 'X', 'DET', 'PRON', 'VERB', 'PUNCT']"
"['på', 'Lundebygardane', 'køyrde', 'Lundeby', 'mjølka', '?']","['ADP', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'PUNCT']"
"['Lundebygardane', 'køyrde', 'Lundeby', '.']","['PROPN', 'VERB', 'PROPN', 'PUNCT']"
"['ja', '.']","['INTJ', 'PUNCT']"
"['den', 'største', 'levverans-', 'leverandøren', 'der', 'måtte', 'vel', 'vere', 'han', 'M8', 'vel', '.']","['DET', 'ADJ', 'X', 'NOUN', 'ADV', 'AUX', 'ADV', 'VERB', 'PRON', 'PROPN', 'ADV', 'PUNCT']"
"['mhm', '.']","['INTJ', 'PUNCT']"
"['og', 'E1', 'da', '?']","['CCONJ', 'PROPN', 'ADV', 'PUNCT']"
"['nei', 'E1', 'han', 'e', 'leverte', 'aldri', 'mjølk', '#', 'så', 'lenge', '…', '#', 'nei', '.']","['INTJ', 'PROPN', 'PRON', 'X', 'VERB', 'ADV', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT']"
"['gjorde', 'ikkje', 'det', '.']","['VERB', 'PART', 'PRON', 'PUNCT']"
"['han', '.']","['PRON', 'PUNCT']"
"['du', 'hugsar', 'du', 'nokre', 'spesielle', 'ting', 'ifrå', 'Hærland', 'i', 'den', 'tida', 'der', '?']","['PRON', 'VERB', 'PRON', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADV', 'PUNCT']"
"['noko', '.']","['PRON', 'PUNCT']"
"['var', 'det', 'nokon', 'som', 'dreiv', 'med', 'forskjellige', 'ting', 'på', 'gardane', 'da', '.']","['AUX', 'PRON', 'PRON', 'PRON', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADV', 'PUNCT']"
"['dreiv', 'med', 'mjølk', 'da', 'vel', 'dei', 'fleste', '?']","['VERB', 'ADP', 'NOUN', 'ADV', 'ADV', 'DET', 'ADJ', 'PUNCT']"
