tokens,pos_tags
"['ꙇ', 'вьлѣзъ', 'въ', 'корабь', 'и҃съ', 'прѣѣде', 'ꙇ', 'приде', 'въ', 'свои', 'градъ']","[5, 0, 4, 2, 12, 0, 5, 0, 4, 3, 2]"
"['Ꙇ', 'се', 'принѣсѧ', 'емоу', 'ослабленъ', 'жилами', 'на', 'одрѣ', 'лежѧщъ']","[5, 9, 0, 6, 0, 2, 4, 2, 0]"
"['ꙇ', 'видѣвъ', 'и҃съ', 'вѣрѫ', 'ихъ', 'рече', 'ослабленоуемоу']","[5, 0, 12, 2, 6, 0, 0]"
['дръзай'],[0]
"['чѧдо', 'отъпоуштаѭтъ', 'сѧ', 'грѣси', 'твои']","[2, 0, 6, 2, 3]"
"['ꙇ', 'се', 'едини', 'отъ', 'кънижъникъ', 'рѣшѧ', 'вь', 'себѣ']","[5, 9, 3, 4, 2, 0, 4, 6]"
"['сь', 'власвимлѣатъ']","[3, 0]"
"['ꙇ', 'видѣвъ', 'и҃съ', 'помꙑшлениѣ', 'ихъ', 'рече']","[5, 0, 12, 2, 6, 0]"
"['въскѫѭ', 'вꙑ', 'мꙑслите', 'зъло', 'въ', 'с҃рдцихъ', 'вашихъ']","[1, 6, 0, 3, 4, 2, 3]"
"['чъто', 'бо', 'естъ', 'оудобѣе', 'решти', 'отъпоущаѭтъ', 'сѧ', 'грѣси', 'твои', 'ли', 'рещи']","[6, 1, 7, 3, 0, 0, 6, 2, 3, 5, 0]"
"['въставъ', 'ходи']","[0, 0]"
"['нъ', 'да', 'оувѣсте', 'ѣко', 'власть', 'иматъ', 'с҃нъ', 'ч҃лвчскꙑ', 'на', 'земи', 'отъпоущати', 'грѣхꙑ']","[5, 8, 0, 8, 2, 0, 2, 3, 4, 2, 0, 2]"
"['тъгда', 'г҃ла', 'о҅слабленоумоу']","[1, 0, 0]"
"['въставъ', 'возьми', 'ложе', 'твое', 'ꙇ', 'иди', 'въ', 'домъ', 'свои']","[0, 0, 2, 3, 5, 0, 4, 2, 3]"
