tokens,pos_tags
"['От', 'великого', 'князя', 'намѣстъника', 'Ондрѣя', ',', 'от', 'посадника', 'Ивана', ',', 'от', 'тысяцкого', 'Олисѣя', 'и', 'от', 'всего', 'Новагорода', 'к', 'посадникамъ', 'к', 'любьцкимъ', ',', 'и', 'к', 'ратманамъ', ',', 'и', 'ко', 'всимъ', 'лубцанамъ', '.']","[0, 1, 2, 2, 3, 4, 0, 2, 3, 4, 0, 2, 3, 5, 0, 6, 3, 0, 2, 0, 1, 4, 5, 0, 2, 4, 5, 0, 6, 2, 4]"
"['Буди', 'вамъ', 'свѣдомо', ':', 'братьи', 'нашеи', 'побито', 'на', 'морѣ', '12', 'человека', 'в', 'ъднои', 'лодьи', ',', 'и', 'тыи', 'товаръ', 'розбоиники', 'привезлѣ', 'к', 'вамъ', 'в', 'Любокъ', '.']","[7, 8, 1, 4, 2, 6, 9, 0, 2, 10, 2, 0, 10, 2, 4, 5, 6, 2, 2, 9, 0, 8, 0, 3, 4]"
"['А', 'в', 'тои', 'лодьи', 'была', 'немцинова', 'боцка', ',', 'Федора', 'Церного', ',', 'и', 'ту', 'боцку', 'есте', 'далѣ', 'Федору', ',', 'своему', 'брату', ';', 'а', 'нашеи', 'братьи', 'товаръ', 'за', 'вами', '.']","[5, 0, 6, 2, 7, 1, 2, 4, 3, 3, 4, 5, 6, 2, 7, 9, 3, 4, 6, 2, 4, 5, 6, 2, 2, 0, 8, 4]"
"['Такоже', 'братъ', 'нашь', 'Сидоръ', 'былъ', 'въ', 'Стоколмѣ', 'посольствомъ', 'с', 'тыми', 'погыблыми', 'людми', ',', 'которыхъ', 'племя', 'на', 'морѣ', 'побито', '.']","[5, 2, 6, 3, 7, 0, 3, 2, 0, 6, 1, 2, 4, 8, 2, 0, 2, 9, 4]"
"['Игнате', 'с', 'Готкого', 'берега', 'своими', 'складники', 'и', 'с', 'ратманы', 'стоколомъскыми', 'отъимялѣ', 'товаръ', 'силно', 'и', 'послалѣ', 'к', 'вамъ', 'в', 'Любокъ', 'торговать', '.']","[3, 0, 1, 2, 6, 2, 5, 0, 2, 1, 9, 2, 11, 5, 9, 0, 8, 0, 3, 9, 4]"
"['И', 'вы', ',', 'то', 'услышавъ', ',', 'аже', 'у', 'нашеи', 'братьи', 'товаръ', 'отъималъ', 'Игнатъ', 'силно', ',', 'и', 'вы', 'тои', 'товаръ', 'отъималѣ', '.']","[5, 8, 4, 8, 9, 4, 12, 0, 6, 2, 2, 9, 3, 11, 4, 5, 8, 6, 2, 9, 4]"
"['И', 'нынѣ', 'тако', 'вамъ', 'повѣствуемь', ',', 'по', 'хрестьному', 'челованью', ':', 'отдаите', 'тои', 'товаръ', 'погыблымъ', 'людемь', ',', 'обыся', 'просто', 'не', 'уцинилося', ',', 'занеже', 'тыхъ', 'погыблыхъ', 'людеи', 'боле', 'двусотъ', 'человѣкъ', 'в', 'томъ', 'товарѣ', '.']","[5, 11, 11, 8, 9, 4, 0, 1, 2, 4, 9, 6, 2, 1, 2, 4, 12, 1, 13, 9, 4, 12, 6, 1, 2, 11, 10, 2, 0, 6, 2, 4]"
"['Если', 'не', 'уцините', 'исправѣ', 'в', 'тѣи', 'срокъ', ',', 'по', 'хрестьному', 'целованью', ',', 'вамъ', 'ти', 'на', 'себе', 'жялоба', '.']","[12, 13, 9, 2, 0, 6, 2, 4, 0, 1, 2, 4, 8, 13, 0, 8, 2, 4]"
"['Милостью', 'божьею', ',', 'стояниемъ', 'светыя', 'Соѳѣи', 'промудрости', 'божьи', ',', 'и', 'стояньемъ', 'святыя', 'жывоначальныя', 'троица', ',', 'и', 'здоровьемъ', 'господина', 'нашого', 'и', 'государа', 'нашого', 'великого', 'князя', 'Ивана', 'Васильевича', ',', 'цара', 'всея', 'Руси', ',', 'и', 'здоровъемъ', 'господина', 'нашого', 'и', 'государа', 'нашого', 'великого', 'князя', 'Ивана', 'Ивановича', ',', 'цара', 'всея', 'Руси', '.']","[2, 1, 4, 2, 1, 3, 2, 1, 4, 5, 2, 1, 1, 2, 4, 5, 2, 2, 6, 5, 2, 6, 1, 2, 3, 3, 4, 2, 6, 3, 4, 5, 2, 2, 6, 5, 2, 6, 1, 2, 3, 3, 4, 2, 6, 3, 4]"
"['Што', 'государы', 'нашы', 'и', 'государы', 'благоверныи', 'великии', 'князи', 'рускии', 'и', 'цары', 'прыслали', 'воеводу', 'своего', ',', 'князя', 'Даниля', 'Дмитровича', ',', 'со', 'многими', 'князми', 'и', 'бояры', ',', 'въ', 'домъ', 'светыя', 'жывоначалная', 'Троица', ',', 'у', 'свою', 'отъчыну', ',', 'у', 'Великии', 'Псковъ', ',', 'боронити', 'своее', 'отъчыны', 'Великого', 'Новагорода', 'и', 'Пскова', ',', 'обидъ', 'своихъ', 'поискати', 'на', 'немъцохъ', 'на', 'юрьевцохъ', ',', 'своихъ', 'данеи', ',', 'и', 'старыхъ', 'данеи', ',', 'своихъ', 'залоговъ', ',', 'и', 'новгородскихъ', 'старынъ', ',', 'и', 'псковъскихъ', 'обидъ', 'и', 'старынъ', '.']","[8, 2, 6, 5, 2, 1, 1, 2, 1, 5, 2, 9, 2, 6, 4, 2, 3, 3, 4, 0, 1, 2, 5, 2, 4, 0, 2, 1, 1, 3, 4, 0, 6, 2, 4, 0, 1, 3, 4, 9, 6, 2, 1, 3, 5, 3, 4, 2, 6, 9, 0, 2, 0, 2, 4, 6, 2, 4, 5, 1, 2, 4, 6, 2, 4, 5, 1, 2, 4, 5, 1, 2, 5, 2, 4]"
