tokens,pos_tags
"['за', 'млт҃вѹ', 'ст҃хъ', 'ѡц҃ь', 'наших', 'г҃и', 'їс҃е', 'х҃е', 'сн҃е', 'бж҃їи', 'помилѹи', 'мѧ', 'раба', 'своего', 'грѣш꙽наго', 'афонасьѧ', 'микитина', 'сна']","['ADP', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'NOUN', 'ADJ', 'VERB', 'PRON', 'NOUN', 'ADJ', 'ADJ', 'PROPN', 'ADJ', 'NOUN']"
"['се', 'написах', 'грѣшьное', 'свое', 'хоженїе', 'за', 'трї', 'морѧ']","['INTJ', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'NUM', 'NOUN']"
"['прьвое', 'море', 'дербеньское', 'дорїѧ', 'хвалитьскаа']","['ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ']"
"['второе', 'море', 'индѣнское', 'гори', 'гондꙋстаньскаа']","['ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ']"
"['третье', 'море', 'черное', 'дорїѧ', 'стемъбольскаа']","['ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ']"
"['поидохъ', 'ѿ', 'ст҃го', 'сп҃са', 'златоверхаго', 'съ', 'его', 'млстью', 'ѿ', 'великого', 'кн҃ѧзѧ', 'михаила', 'борисовичѧ', 'и', 'ѿ', 'влдкы', 'генадїѧ', 'твѣрьскых']","['VERB', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'PRON', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'CCONJ', 'ADP', 'NOUN', 'PROPN', 'ADJ']"
"['поидох', 'на', 'низъ', 'волгою', 'и', 'приидохъ', 'в', 'манастырь', 'къ', 'ст҃ѣи', 'живоначалнои', 'троци', 'и', 'ст҃мъ', 'мчн҃комъ', 'борисѹ', 'н', 'глѣбѹ']","['VERB', 'ADP', 'ADV', 'PROPN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PROPN', 'CCONJ', 'PROPN']"
"['и', 'ѹ', 'игѹмена', 'сѧ', 'блгсвивъ', 'ѹ', 'макарїѧ', 'брати', 'ис', 'колѧзина', 'поидох', 'на', 'ѹглечь']","['CCONJ', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADP', 'PROPN', 'NOUN', 'ADP', 'PROPN', 'VERB', 'ADP', 'PROPN']"
"['с', 'ѹглеча', 'на', 'костромѹ', 'ко', 'кн҃ѧзю', 'александрѹ', 'с', 'ыною', 'грамотою']","['ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'PROPN', 'ADP', 'DET', 'NOUN']"
"['и', 'кн҃ѧзь', 'великї', 'ѿпѹстилъ', 'мѧ', 'всеѧ', 'рѹси', 'доброволно']","['CCONJ', 'NOUN', 'ADJ', 'VERB', 'PRON', 'DET', 'PROPN', 'ADV']"
"['и', 'на', 'плесо', 'в', 'новъгородъ', 'нижнеи', 'к', 'михаилѹ', 'къ', 'киселевѹ', 'к', 'намѣстьникѹ', 'и', 'къ', 'пошьлинникѹ', 'иванѹ', 'сараевѹ', 'пропѹстили', 'доброволно']","['CCONJ', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADJ', 'ADP', 'PROPN', 'ADP', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PROPN', 'ADJ', 'VERB', 'ADV']"
"['а', 'василеи', 'папин', 'проехалъ', 'городъ']","['CCONJ', 'PROPN', 'PROPN', 'VERB', 'NOUN']"
"['а', 'ꙗзъ', 'ждалъ', 'в', 'новѣгородѣ', 'двѣ', 'недли', 'посла', 'татарьскаго', 'ширвашина', 'асамъ', 'бѣга']","['CCONJ', 'PRON', 'VERB', 'ADP', 'PROPN', 'NUM', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'PROPN', 'NOUN']"
"['а', 'ехал', 'с', 'кречаты', 'ѿ', 'великаго', 'кн҃ѧзѧ', 'ивана']","['CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PROPN']"
"['а', 'кречатовъ', 'ѹ', 'него', 'девѧносто']","['CCONJ', 'NOUN', 'ADP', 'PRON', 'NUM']"
"['и', 'поехал', 'есми', 'с', 'нимъ', 'на', 'низъ', 'волгою']","['CCONJ', 'VERB', 'AUX', 'ADP', 'PRON', 'ADP', 'ADV', 'PROPN']"
"['и', 'казань', 'есмѧ', 'и', 'ѡрдѹ', 'и', 'ѹсланъ', 'и', 'сараи', 'и', 'берекезаны', 'проехали', 'есмѧ', 'доброволно']","['CCONJ', 'PROPN', 'AUX', 'CCONJ', 'NOUN', 'CCONJ', 'PROPN', 'CCONJ', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'AUX', 'ADV']"
"['и', 'въехали', 'есмѧ', 'в', 'бѹзанъ', 'рѣкꙋ']","['CCONJ', 'VERB', 'AUX', 'ADP', 'PROPN', 'NOUN']"
"['н', 'тѹ', 'наехали', 'нас', 'три', 'тотарины', 'поганыи']","['ADP', 'ADV', 'VERB', 'PRON', 'NUM', 'NOUN', 'ADJ']"
