tokens,pos_tags
"['اولین', 'سیاره', 'خارج', 'از', 'منظومه', 'شمسی', 'دیده', 'شد', '.']","['ADJ', 'NOUN', 'ADP', 'ADP', 'NOUN', 'ADJ', 'VERB', 'VERB', 'PUNCT']"
"['واشنگتن', '-', 'خبرگزاری', 'جمهوری', 'اسلامی']","['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADJ']"
"['ستاره\u200cشناسان', 'می\u200cگویند', 'که', 'ممکن', 'است', 'اولین', 'سیاره', 'خارج', 'از', 'منظومه', 'شمسی', 'را', 'دیده', 'باشند', '.']","['NOUN', 'VERB', 'SCONJ', 'ADJ', 'AUX', 'ADJ', 'NOUN', 'ADP', 'ADP', 'NOUN', 'ADJ', 'PART', 'VERB', 'VERB', 'PUNCT']"
"['طی', 'سالهای', 'اخیر', '،', 'بیش', 'از', 'دو', 'دوجین', 'سیاره', 'در', 'مدار', 'اطراف', 'ستاره\u200cها', 'کشف', 'شده\u200cاند', '.']","['ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADJ', 'ADP', 'NUM', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'PUNCT']"
"['لیکن', 'ستاره\u200cشناسان', 'هرگز', 'این', 'سیاره\u200cها', 'را', 'واقعاً', 'ندیده', 'بودند', 'و', 'فقط', 'از', 'طریق', 'شواهد', '،', 'لرزش\u200cها', 'و', 'اثراتی', 'که', 'آنان', 'بر', 'اجرام', 'اطراف', 'خود', 'می\u200cگذاشتند', '،', 'موفق', 'به', 'ثبت', 'این', 'سیارات', 'شده', 'بودند', '.']","['CCONJ', 'NOUN', 'ADV', 'DET', 'NOUN', 'PART', 'ADV', 'VERB', 'VERB', 'CCONJ', 'ADV', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'SCONJ', 'PRON', 'ADP', 'NOUN', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'ADJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'AUX', 'VERB', 'PUNCT']"
"['چنین', 'تصور', 'می\u200cشد', 'که', 'این', 'لرزش', 'به', 'علت', 'جاذبه', 'سیاره\u200cای', 'در', 'مدار', 'بوده', 'است', '.']","['ADV', 'NOUN', 'AUX', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['در', 'آخرین', 'تحقیق', 'به', 'عمل', 'آمده', 'نیز', 'ستاره\u200cشناسان', 'هنوز', 'واقعاً', 'موفق', 'به', 'رویت', 'مستقیم', 'سیاره', 'نشده\u200cاند', '،', 'بلکه', 'درخشش', 'ستاره\u200cای', 'را', 'دیده\u200cاند', 'که', 'به', 'اعتقاد', 'آنها', 'توسط', 'یک', 'سیاره', 'منعکس', 'شده', 'است', '.']","['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'NOUN', 'ADV', 'ADV', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'AUX', 'PUNCT', 'CCONJ', 'NOUN', 'NOUN', 'PART', 'VERB', 'SCONJ', 'ADP', 'NOUN', 'PRON', 'ADP', 'NUM', 'NOUN', 'ADJ', 'AUX', 'VERB', 'PUNCT']"
"['بنا', 'بر', 'این', 'گزارش', '،', 'درخشش', 'کورکننده', 'این', 'سیاره', '،', 'دیدن', 'آن', 'را', 'نامحتمل', 'می\u200cکند', '.']","['ADP', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PRON', 'PART', 'ADJ', 'VERB', 'PUNCT']"
"['چنانچه', 'این', 'پژوهشگران', 'درست', 'حدس', 'زده', 'باشند', '،', 'یافته\u200cهای', 'آنها', 'می\u200cتواند', 'برای', 'تشخیص', 'حجم', 'و', 'ضخامت', 'دقیق', 'سیاره', 'مزبور', 'مورد', 'استفاده', 'قرار', 'گیرد', '.']","['SCONJ', 'DET', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'NOUN', 'PRON', 'VERB', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['مشروح', 'این', 'گزارش', 'در', 'شماره', 'اخیر', 'مجله', 'نیچر', 'به', 'چاپ', 'رسیده', 'است', '.']","['NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['دمشق', '،', 'واحد', 'مرکزی', 'خبر']","['NOUN', 'PUNCT', 'NOUN', 'ADJ', 'NOUN']"
"['مصرف', 'مداوم', 'موز', 'می\u200cتواند', 'به', 'مشکلات', 'دستگاه', 'گوارش', 'و', 'برطرف', 'کردن', 'نفخ', 'معده', 'پایان', 'دهد', '.']","['NOUN', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['به', 'گزارش', 'واحد', 'مرکزی', 'خبر', 'از', 'دمشق', '،', 'روزنامه', 'تشرین', 'نوشت', ':', 'تحقیقات', 'پزشکی', 'نشان', 'داده', 'است', 'اعتقادات', 'شایع', 'درباره', 'کالری', 'زیاد', 'موجود', 'در', 'میوه', 'موز', 'و', 'نقش', 'این', 'میوه', 'در', 'احساس', 'سیری', '،', 'بی\u200cاساس', 'است', '.']","['ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'AUX', 'PUNCT']"
"['این', 'روزنامه', 'می\u200cنویسد', '،', 'هر', 'یکصد', 'گرم', 'موز', '۱۰۲', 'کالری', 'یعنی', '۲۰', 'کالری', 'بیشتر', 'از', 'یک', 'استکان', 'ماست', 'انرژی', 'به', 'بدن', 'می\u200cدهد', 'و', 'در', 'عوض', 'موز', 'می\u200cتواند', 'بسیاری', 'از', 'مشکلات', 'گوارشی', 'را', 'مانند', 'نفخ', 'معده', 'درمان', 'کند', '.']","['DET', 'NOUN', 'VERB', 'PUNCT', 'DET', 'NUM', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NUM', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PART', 'ADV', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['بیماران', 'مبتلا', 'به', 'آسم', 'باید', 'از', 'بالش\u200cهای', 'پر', 'استفاده', 'کنند', '.']","['NOUN', 'ADJ', 'ADP', 'NOUN', 'AUX', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['تهران', '-', 'واحد', 'مرکزی', 'خبر']","['NOUN', 'PUNCT', 'NOUN', 'ADJ', 'NOUN']"
"['استفاده', 'از', 'بالش\u200cهای', 'پر', 'برای', 'بیماران', 'مبتلا', 'به', 'آسم', '،', 'مناسبتر', 'از', 'بالش\u200cهای', 'ساخته\u200cشده', 'از', 'الیاف\u200c', 'مصنوعی', 'است', '.']","['NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'AUX', 'PUNCT']"
"['به', 'گزارش', 'اینترنت', 'از', 'لندن', '،', 'پژوهشگران', 'یکی', 'از', 'بیمارستانهای', 'منچستر', 'می\u200cگویند', ':', 'مواد', 'حساسیت\u200cزای', 'موجود', 'در', 'الیاف', 'مصنوعی', 'حدود', '۷', 'تا', '۸', 'برابر', 'مواد', 'حساسیت\u200cزای', 'پر', 'است', '.']","['ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
"['پژوهشگران', 'با', 'بررسی', 'و', 'مقایسه', '۱۴', 'نوع', 'مختلف', 'از', 'بالشهای', 'محتوی', 'الیاف', 'مصنوعی', 'و', 'پر', 'به', 'این', 'نتیجه', 'رسیده\u200cاند', 'که', 'پوشش', 'بسیار', 'منسجم', 'اطراف', 'بالشهای', 'پر', 'که', 'برای', 'جلوگیری', 'از', 'خارج', 'شدن', 'پرها', 'استفاده', 'می\u200cشود', '،', 'از', 'خروج', 'مواد', 'حساسیت\u200cزا', 'از', 'درون', 'این', 'بالش\u200cها', 'نیز', 'جلوگیری', 'می\u200cکند', '.']","['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'SCONJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'SCONJ', 'NOUN', 'VERB', 'PUNCT']"
"['به', 'گفته', 'پژوهشگران', '،', 'نیمی', 'از', 'موارد', 'جدید', 'بیماری', 'آسم', 'احتمالا', 'بر', 'اثر', 'استفاده', 'از', 'بالشهای', 'محتوی', 'الیاف', 'مصنوعی', 'ایجاد', 'شده', 'است', '.']","['ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'AUX', 'VERB', 'PUNCT']"
"['مسعود', 'شجاعی', 'طباطبایی']","['NOUN', 'NOUN', 'NOUN']"
"['دنیای', 'آدولف', 'بورن', 'دنیای', 'اتفاقات', 'رویایی', 'است', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'AUX', 'PUNCT']"
"['برای', 'این', 'که', 'بتوانیم', 'آثار', 'زیبای', 'این', 'هنرمند', 'را', 'درک', 'کنیم', 'و', 'از', 'آنها', 'لذت', 'ببریم', '،', 'باید', 'ذهن', 'خود', 'را', 'پذیرای', 'چیزهای', 'غیرعادی', 'و', 'شیوه\u200cهای', 'نامالوف', 'کنیم', '.']","['ADP', 'DET', 'CCONJ', 'VERB', 'NOUN', 'ADJ', 'DET', 'NOUN', 'PART', 'NOUN', 'VERB', 'CCONJ', 'ADP', 'PRON', 'NOUN', 'VERB', 'PUNCT', 'AUX', 'NOUN', 'PRON', 'PART', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['بورن', 'هنرمندی', 'است', 'که', 'دنیای', 'واقعیت', 'را', 'با', 'تخیل', 'و', 'رویا', 'پیوند', 'می\u200cزند', '.']","['NOUN', 'NOUN', 'AUX', 'SCONJ', 'NOUN', 'NOUN', 'PART', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['نقشهای', 'خاص', 'او', '،', 'تأثیری', 'از', 'شکلهای', 'قدیمی', '،', 'سنتی', 'و', 'واکنشی', 'به', 'این', 'پدیده\u200cها', 'است', '.']","['NOUN', 'ADJ', 'PRON', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'PUNCT']"
"['آدولف', 'بورن', '،', 'طراح', '،', 'کاریکاتوریست', '،', 'تصویرساز', 'و', 'نقاش', 'در', '۱۹۳۰', 'در', 'شهر', 'بودجویس', 'از', 'جمهوری', 'چک', 'به', 'دنیا', 'آمد', '.']","['NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
"['در', 'اولین', 'سالهای', 'زندگی\u200cاش', 'زندگی\u200c', 'اش', 'به', 'دلیل', 'وضعیت', 'اقتصادی', 'مجبور', 'به', 'ترک', 'خانواده\u200cاش', 'خانواده\u200c', 'اش', 'شد', '.']","['ADP', 'ADJ', 'NOUN', None, 'NOUN', 'PRON', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', None, 'NOUN', 'PRON', 'AUX', 'PUNCT']"
