tokens,pos_tags
"['100-tysięcznym', 'Grudziądzem', 'rządzi', 'lewica', '.']","['ADJ', 'PROPN', 'VERB', 'NOUN', 'PUNCT']"
"['102', 'lata', 'obchodziła', 'wczoraj', 'Stanisława', 'Przybyła', ',', 'rodowita', 'mieszkanka', 'Łaz', '.']","['NUM', 'NOUN', 'VERB', 'ADV', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']"
"['11-latek', 'przyniósł', 'do', 'szkoły', 'w', 'Studziankach', 'granat', '.']","['NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'PUNCT']"
"['19-letnia', 'mieszkanka', 'Koszalina', 'przekonała', 'kolegów', ',', 'aby', 'pomogli', 'jej', 'oszukać', 'bank', '.']","['ADJ', 'NOUN', 'PROPN', 'VERB', 'NOUN', 'PUNCT', 'SCONJ', 'VERB', 'PRON', 'VERB', 'NOUN', 'PUNCT']"
"['20', 'osób', 'ewakuowano', 'w', 'nocy', 'z', 'czwartku', 'na', 'piątek', 'z', 'domu', 'przy', 'ul.', 'Wawrzyniaka', '.']","['NUM', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']"
"['20-letni', 'żołnierz', 'z', 'jednej', 'z', 'kołobrzeskich', 'jednostek', 'wojskowych', 'zastrzelił', 'się', 'na', 'warcie', 'w', 'nocy', 'z', 'soboty', 'na', 'niedzielę', '.']","['ADJ', 'NOUN', 'ADP', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'PRON', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['200', 'z', 'nich', 'chronionych', 'jest', 'jako', 'zabytki', 'architektury', 'ogrodniczej', '.']","['NUM', 'ADP', 'PRON', 'ADJ', 'AUX', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'PUNCT']"
"['21-latek', 'ostrzelał', 'z', 'broni', 'ostrej', 'mieszkanie', 'w', 'centrum', 'Skarżyska', '.']","['NOUN', 'VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']"
"['23--letni', 'rolnik', 'jechał', 'ciągnikiem', 'z', 'rozdrabniarką', 'do', 'gałęzi', '.']","['ADJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['25', 'lat', 'temu', 'zaginął', 'w', 'Bieszczadach', 'w', 'tajemniczych', 'okolicznościach', 'Witold', 'Gontaszewski', '.']","['NUM', 'NOUN', 'ADP', 'VERB', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']"
"['3-letnia', 'Joasia', 'wybierała', 'się', 'z', 'dziadkiem', 'na', 'weekend', '.']","['ADJ', 'PROPN', 'VERB', 'PRON', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['3', '.', 'Unikaj', 'dudniących', ',', 'hałaśliwych', 'kolumn', '.']","['ADJ', 'PUNCT', 'VERB', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT']"
"['30', 'metrów', 'od', 'niego', 'rosną', 'krzaki', '.']","['NUM', 'NOUN', 'ADP', 'PRON', 'VERB', 'NOUN', 'PUNCT']"
"['31-letnia', 'Karina', 'Hoffman', '-', 'Birkhead', 'rozwiodła', 'się', 'w', 'ubiegłym', 'roku', '.']","['ADJ', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'PRON', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['3mamy', '!', '!']","['VERB', 'PUNCT', 'PUNCT']"
"['43-letni', 'młodszy', 'brygadier', 'dmuchnął', 'w', 'alkomat', '.']","['ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['48', 'zakładów', 'mięsnych', 'z', 'całego', 'kraju', 'zgłosiło', 'do', 'konkursu', '213', 'swoich', 'produktów', '.']","['NUM', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NUM', 'DET', 'NOUN', 'PUNCT']"
"['-', '5', 'dni', 'obradowała', 'w', 'Warszawie', 'konferencja', 'Stowarzyszenia', 'Prawa', 'Międzynarodowego', '.']","['PUNCT', 'NUM', 'NOUN', 'VERB', 'ADP', 'PROPN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PUNCT']"
