tokens,pos_tags
"['Lui', 'Winston', 'îi', 'displăcuse', 'fata', 'asta', 'din', 'primul', 'moment', 'când', 'o', 'văzuse', '.']","[1, 9, 11, 7, 2, 1, 0, 8, 2, 6, 11, 7, 5]"
"['Știa', 'și', 'de', 'ce', '.']","[7, 4, 0, 11, 5]"
"['Din', 'cauza', 'atmosferei', 'de', 'gazon', 'de', 'hochei', 'și', 'de', 'băi', 'reci', 'și', 'de', 'excursii', 'în', 'grup', 'și', 'în', 'general', 'de', 'castitate', 'pe', 'care', 'reușea', 's-', 'o', 'creeze', 'în', 'jurul', 'ei', '.']","[0, 2, 2, 0, 2, 0, 2, 4, 0, 2, 3, 4, 0, 2, 0, 2, 4, 0, 2, 0, 2, 0, 11, 7, 10, 11, 7, 0, 2, 1, 5]"
"['Aparatul', 'care', 'se', 'numea', 'tele-ecran', ',', 'putea', 'fi', 'dat', 'mai', 'încet', ',', 'dar', 'nu', 'aveai', 'cum', 'să', '-l', 'închizi', 'de', 'tot', '.']","[2, 11, 11, 7, 2, 5, 7, 13, 7, 6, 6, 5, 4, 10, 7, 6, 10, 11, 7, 0, 11, 5]"
"['Winston', 'detesta', 'aproape', 'orice', 'femeie', 'și', 'mai', 'ales', 'pe', 'cele', 'tinere', 'și', 'drăguțe', '.']","[9, 7, 6, 1, 2, 4, 6, 6, 0, 11, 3, 4, 3, 5]"
"['Femeile', ',', 'și', 'mai', 'ales', 'cele', 'tinere', ',', 'erau', 'întotdeauna', 'cele', 'mai', 'fanatice', 'adepte', 'ale', 'Partidului', ',', 'cele', 'care', 'înghițeau', 'slogane', ',', 'care', 'făceau', 'spionaj', 'amator', 'și', 'te', 'turnau', 'dacă', 'te', 'miroseau', 'de', 'neortodoxie', '.']","[2, 5, 4, 6, 6, 11, 3, 5, 13, 6, 1, 6, 3, 2, 1, 2, 5, 11, 11, 7, 2, 5, 11, 7, 2, 3, 4, 11, 7, 12, 11, 7, 0, 2, 5]"
"['Dar', 'fata', 'asta', ',', 'în', 'mod', 'special', ',', 'îi', 'dădea', 'impresia', 'că', 'este', 'mai', 'periculoasă', 'decât', 'multe', 'altele', '.']","[4, 2, 1, 5, 0, 2, 3, 5, 11, 7, 2, 12, 13, 6, 3, 6, 11, 11, 5]"
"['O', 'dată', ',', 'când', 'treceau', 'unul', 'pe', 'lângă', 'altul', 'pe', 'coridor', ',', 'ea', 'îi', 'aruncase', 'o', 'privire', 'piezișă', 'care', 'parcă', '-l', 'străpunsese', 'și', 'pentru', 'o', 'clipă', 'fusese', 'cuprins', 'de', 'o', 'groază', 'oarbă', '.']","[1, 2, 5, 6, 7, 11, 0, 0, 11, 0, 2, 5, 11, 11, 7, 1, 2, 3, 11, 6, 11, 7, 4, 0, 1, 2, 13, 7, 0, 1, 2, 3, 5]"
"['Îi', 'trecuse', 'prin', 'cap', 'ideea', 'că', 'fata', 'ar', 'fi', 'putut', 'lucra', 'pentru', 'Poliția', 'Gândirii', '.']","[11, 7, 0, 2, 2, 12, 2, 13, 13, 7, 7, 0, 2, 2, 5]"
"['Sigur', 'că', 'puțin', 'probabil', 'așa', 'ceva', 'dar', 'ori', 'de', 'câte', 'ori', 'fata', 'se', 'afla', 'prin', 'apropierea', 'lui', ',', 'el', 'simțea', ',', 'în', 'continuare', ',', 'o', 'neliniște', 'ciudată', 'care', 'avea', 'în', 'ea', 'și', 'teamă', 'și', 'dușmănie', '.']","[6, 12, 6, 6, 6, 11, 4, 2, 0, 1, 2, 2, 11, 7, 0, 2, 1, 5, 11, 7, 5, 0, 2, 5, 1, 2, 3, 11, 7, 0, 11, 4, 2, 4, 2, 5]"
"['Cealaltă', 'persoană', 'era', 'un', 'bărbat', 'pe', 'care', '-l', 'chema', ""O'Brien"", '.']","[1, 2, 13, 1, 2, 0, 11, 11, 7, 9, 5]"
"['Era', 'membru', 'al', 'Partidului', 'Interior', 'și', 'deținea', 'un', 'post', 'atât', 'de', 'important', 'și', 'de', 'sus-pus', ',', 'încât', 'Winston', 'știa', 'doar', 'foarte', 'vag', 'cu', 'ce', 'anume', 'se', 'ocupa', '.']","[13, 2, 1, 2, 3, 4, 7, 1, 2, 6, 0, 3, 4, 0, 3, 5, 12, 9, 7, 6, 6, 6, 0, 11, 3, 11, 7, 5]"
"['Oamenii', 'de', 'pe', 'scaune', 'scoseseră', 'un', 'murmur', 'văzând', 'salopeta', 'neagră', 'a', 'unui', 'membru', 'al', 'Partidului', 'Interior', '.']","[2, 0, 0, 2, 7, 1, 2, 7, 2, 3, 1, 1, 2, 1, 2, 3, 5]"
"[""O'Brien"", 'era', 'un', 'bărbat', 'voinic', ',', 'aproape', 'masiv', ',', 'cu', 'ceafa', 'groasă', 'și', 'cu', 'figura', 'aspră', ',', 'ironică', 'și', 'brutală', '.']","[9, 13, 1, 2, 3, 5, 6, 6, 5, 0, 2, 3, 4, 0, 2, 3, 5, 3, 4, 3, 5]"
"['Winston', 'se', 'duse', 'către', 'fereastră', ':', 'avea', 'o', 'figură', 'fragilă', ',', 'mai', 'degrabă', 'mică', ',', 'iar', 'salopeta', 'albastră', ',', 'care', 'era', 'uniforma', 'Partidului', ',', 'scotea', 'în', 'evidență', 'cât', 'era', 'de', 'slab', '.']","[9, 11, 7, 0, 2, 5, 7, 1, 2, 3, 5, 6, 6, 3, 5, 6, 2, 3, 5, 11, 13, 2, 2, 5, 7, 0, 2, 6, 13, 0, 3, 5]"
"['În', 'ciuda', 'aspectului', 'său', 'înfricoșător', ',', 'avea', 'un', 'anume', 'farmec', 'în', 'comportament', ',', 'o', 'mișcare', 'de', 'a', '-și', 'potrivi', 'mai', 'bine', 'ochelarii', 'pe', 'nas', 'care', ',', 'curios', ',', 'te', 'lăsa', 'fără', 'replică', '-', 'deși', 'nu', 'era', 'clar', 'în', 'ce', 'fel', '-', 'un', 'gest', 'ciudat', 'de', 'manierat', '.']","[0, 2, 2, 1, 3, 5, 7, 1, 3, 2, 0, 2, 5, 1, 2, 0, 10, 11, 7, 6, 6, 2, 0, 2, 11, 5, 6, 5, 11, 7, 0, 2, 5, 12, 10, 13, 6, 0, 1, 2, 5, 1, 2, 6, 0, 7, 5]"
"['Era', 'un', 'gest', 'care', ',', 'dacă', 'ar', 'mai', 'fi', 'gândit', 'cineva', 'în', 'acești', 'termeni', ',', 'ți-', 'ar', 'fi', 'putut', 'aminti', 'un', 'nobil', 'din', 'secolul', 'optsprezece', 'care', '-ți', 'întindea', 'cutia', 'de', 'prizat', '.']","[13, 1, 2, 11, 5, 12, 13, 6, 13, 7, 11, 0, 1, 2, 5, 11, 13, 13, 7, 7, 1, 2, 0, 2, 8, 11, 11, 7, 2, 0, 7, 5]"
"['Winston', 'îl', 'mai', 'văzuse', 'pe', ""O'Brien"", 'poate', 'de', 'zece', 'ori', 'în', 'tot', 'atâția', 'ani', '.']","[9, 11, 6, 7, 0, 9, 6, 0, 8, 2, 0, 6, 1, 2, 5]"
"['Se', 'simțea', 'foarte', 'tare', 'atras', 'de', 'el', ',', 'nu', 'numai', 'fiindcă', 'era', 'intrigat', 'de', 'contrastul', 'dintre', 'aspectul', 'lui', 'rafinat', 'și', 'fizicul', 'de', 'boxer', 'profesionist', ',', 'ci', 'mai', 'degrabă', 'din', 'cauza', 'unei', 'convingeri', 'ținute', 'secretă', '-', 'sau', 'poate', 'nici', 'măcar', 'dintr-', 'o', 'convingere', ',', 'ci', 'dintr-', 'o', 'speranță', '-', 'și', 'anume', 'că', 'ortodoxia', 'politică', 'a', 'lui', ""O'Brien"", 'nu', 'era', 'perfectă', '.']","[11, 7, 6, 6, 7, 0, 11, 5, 10, 6, 12, 13, 7, 0, 2, 0, 2, 1, 3, 4, 2, 0, 2, 3, 5, 4, 6, 6, 0, 2, 1, 2, 7, 3, 5, 4, 6, 6, 6, 0, 1, 2, 5, 4, 0, 1, 2, 5, 4, 6, 12, 2, 3, 1, 1, 9, 10, 13, 3, 5]"
"['Era', 'ceva', 'în', 'figura', 'lui', 'care', 'sugera', 'automat', 'lucrul', 'ăsta', '.']","[7, 11, 0, 2, 1, 11, 7, 6, 2, 1, 5]"
"['Și', ',', 'de', 'fapt', ',', 'poate', 'nici', 'măcar', 'nu', 'era', 'neortodoxie', 'ce', 'i', 'se', 'citea', 'pe', 'față', ',', 'ci', ',', 'pur', 'și', 'simplu', ',', 'inteligență', '.']","[4, 5, 0, 2, 5, 6, 6, 6, 10, 13, 2, 11, 11, 11, 7, 0, 2, 5, 4, 5, 6, 4, 6, 5, 2, 5]"
"['Oricum', ',', 'avea', 'înfățișarea', 'unui', 'om', 'cu', 'care', 'puteai', 'sta', 'de', 'vorbă', ',', 'dacă', 'ai', 'fi', 'putut', 'cumva', 'păcăli', 'tele-ecranul', 'și', 'să', '-l', 'prinzi', 'singur', '.']","[6, 5, 7, 2, 1, 2, 0, 11, 7, 7, 0, 2, 5, 12, 13, 13, 7, 6, 7, 2, 4, 10, 11, 7, 3, 5]"
"['Winston', 'nu', 'făcuse', 'niciodată', 'nici', 'cel', 'mai', 'mic', 'efort', 'de', 'a', '-și', 'verifica', 'presupunerea', ':', 'fiindcă', ',', 'într-adevăr', ',', 'nici', 'nu', 'avea', 'cum', 'să', 'facă', 'așa', 'ceva', '.']","[9, 10, 7, 6, 6, 1, 6, 3, 2, 0, 10, 11, 7, 2, 5, 12, 5, 6, 5, 6, 10, 7, 6, 10, 7, 6, 11, 5]"
"['În', 'momentul', 'când', 'intrase', ',', ""O'Brien"", 'se', 'uitase', 'la', 'ceas', 'și', ',', 'văzând', 'că', 'era', 'aproape', 'ora', 'unsprezece', 'se', 'hotărâse', ',', 'în', 'mod', 'evident', ',', 'să', 'rămână', 'la', 'Secția', 'Documente', 'pentru', 'cele', 'Două', 'Minute', 'de', 'Ură', '.']","[0, 2, 6, 7, 5, 9, 11, 7, 0, 2, 4, 5, 7, 12, 7, 6, 2, 8, 11, 7, 5, 0, 2, 6, 5, 10, 7, 0, 2, 2, 0, 1, 8, 2, 0, 2, 5]"
"['Se', 'așezase', 'pe', 'același', 'rând', 'cu', 'Winston', ',', 'câteva', 'scaune', 'mai', 'departe', '.']","[11, 7, 0, 1, 2, 0, 9, 5, 1, 2, 6, 6, 5]"
"['Avea', 'un', 'păr', 'foarte', 'blond', 'și', 'o', 'față', 'sangvină', 'de', 'la', 'natură', ',', 'cu', 'pielea', 'înăsprită', 'de', 'săpunul', 'prost', ',', 'de', 'lamele', 'de', 'ras', 'tocite', 'și', 'de', 'frigul', 'iernii', 'care', 'abia', 'trecuse', '.']","[7, 1, 2, 6, 3, 4, 1, 2, 3, 0, 0, 2, 5, 0, 2, 7, 0, 2, 3, 5, 0, 2, 0, 7, 3, 4, 0, 2, 2, 11, 6, 7, 5]"
"['O', 'femeie', 'mică', 'de', 'statură', ',', 'cu', 'părul', 'de', 'culoarea', 'nisipului', ',', 'care', 'lucra', 'în', 'boxa', 'de', 'lângă', 'a', 'lui', 'Winston', ',', 'se', 'așezase', 'între', 'ei', '.']","[1, 2, 3, 0, 2, 5, 0, 2, 0, 2, 2, 5, 11, 7, 0, 2, 0, 0, 1, 1, 9, 5, 11, 7, 0, 11, 5]"
"['Fata', 'cu', 'părul', 'negru', 'stătea', 'exact', 'în', 'spate', '.']","[2, 0, 2, 3, 7, 6, 0, 2, 5]"
