tokens,pos_tags
"['Balonul', 'de', 'contrapulsație', 'aortică', 'se', 'utilizează', 'în', 'caz', 'de', 'șoc', 'cardiogen', ',', 'având', 'avantajul', 'de', 'a', 'crește', 'fluxul', 'coronarian', ',', 'de', 'a', 'scădea', 'postsarcina', 'și', 'de', 'a', 'crește', 'perfuzia', 'renală', 'fără', 'a', 'crește', 'consumul', 'miocardic', 'de', 'oxigen', '.']","[0, 1, 0, 2, 3, 4, 1, 0, 1, 0, 2, 5, 4, 0, 1, 6, 4, 0, 2, 5, 1, 6, 4, 0, 7, 1, 6, 4, 0, 2, 1, 6, 4, 0, 2, 1, 0, 5]"
"['În', 'cazul', 'în', 'care', 'aceasta', 'eșuează', 'sau', 'este', 'contraindicată', 'se', 'va', 'recurge', 'la', 'controlul', 'alurii', 'ventriculare', 'cu', 'digoxin', 'i', '.']","[1, 0, 1, 3, 3, 4, 7, 8, 2, 3, 8, 4, 1, 0, 0, 2, 1, 2, 0, 5]"
"['Antiinflamatoarele', 'nesteroidiene', 'produc', 'retenție', 'hidro-salină', ',', 'alterarea', 'funcției', 'renale', 'și', 'diminuarea', 'efectelor', 'diureticelor', '.']","[0, 2, 4, 0, 2, 5, 0, 0, 2, 7, 0, 0, 0, 5]"
"['Antidepresivele', 'triciclice', 'pot', 'determina', 'tulburări', 'de', 'conducere', 'și', 'cresc', 'riscul', 'aritmiilor', 'ventriculare', '.']","[0, 2, 4, 4, 0, 1, 0, 7, 4, 0, 0, 2, 5]"
"['Tot', 'prin', 'favorizarea', 'tulburărilor', 'de', 'ritm', 'pot', 'acționa', 'și', 'teofilina', ',', 'bronhodilatatoarele', 'betaagoniste', '.']","[9, 1, 0, 0, 1, 0, 4, 4, 7, 0, 5, 0, 2, 5]"
"['Cunoașterea', 'elementelor', 'de', 'prognostic', 'și', 'explicarea', 'acestora', 'pacientului', 'este', 'în', 'special', 'utilă', 'pentru', 'planificarea', 'tratamentului', 'non-farmacologic', 'și', 'respectiv', 'a', 'indicațiilor', 'și', 'deciziei', 'de', 'transplant', 'cardiac', '.']","[0, 0, 1, 0, 7, 0, 3, 0, 8, 1, 9, 2, 1, 0, 0, 2, 7, 9, 10, 0, 7, 0, 1, 0, 2, 5]"
"['Peste', 'jumătate', 'dintre', 'pacienții', 'cu', 'IC', 'prezintă', '7', 'sau', 'mai', 'multe', 'comorbidități', '(', 'hiperuricemie', ',', 'hipertensiune', 'arterială', '–', 'HTA', ',', 'sindroame', 'inflamatorii', 'cu', 'proteina', 'C', 'reactivă', '>', '1', 'mg', '/', 'dl', ',', 'insuficiență', 'renală', 'cronică', ',', 'afecțiune', 'coronariană', ')', 'care', 'se', 'definesc', 'concomitent', 'ca', 'factori', 'de', 'risc', 'terapeutic', 'medical', 'și', 'chirurgical', '(', '3', ')', '.']","[1, 0, 1, 0, 1, 0, 4, 11, 7, 9, 10, 0, 5, 0, 5, 0, 2, 5, 0, 5, 0, 2, 1, 0, 0, 2, 5, 11, 0, 5, 0, 5, 0, 2, 2, 5, 0, 2, 5, 3, 3, 4, 9, 9, 0, 1, 0, 2, 2, 7, 2, 5, 11, 5, 5]"
"['La', 'pacienții', 'octogenari', 'se', 'adaugă', 'o', 'serie', 'de', 'factori', 'etiopatogenici', 'suplimentari', 'precum', 'boala', 'renovasculară', ',', 'fibrilația', 'artrială', '(', 'FA', ')', 'cu', 'răspuns', 'ventricular', 'rapid', ',', 'anemia', ',', 'în', 'contextul', 'cărora', 'trebuie', 'efectuat', 'diagnosticul', 'diferențial', 'cu', 'alte', 'afecțiuni', '(', '1', ')', '(', 'caseta', '28.2', ')', '.']","[1, 0, 2, 3, 4, 10, 0, 1, 0, 2, 2, 9, 0, 2, 5, 0, 2, 5, 0, 5, 1, 0, 2, 2, 5, 0, 5, 1, 0, 3, 4, 4, 0, 2, 1, 10, 0, 5, 11, 5, 5, 0, 11, 5, 5]"
"['Modificările', 'cardiovasculare', 'fiziologice', 'la', 'subiecții', 'peste', '65', 'de', 'ani', 'asociază', 'hipertrofia', 'ventriculului', 'stâng', '(', 'HVS', ')', 'cu', 'scăderea', 'umplerii', 'ventriculare', ',', 'augmentarea', 'contribuției', 'auriculare', 'în', 'umplerea', 'atrială', ',', 'creșterea', 'rigidității', 'arteriale', '(', 'RA', ')', ',', 'creșterea', 'impedanței', 'aortice', ',', 'scăderea', 'sensibilității', 'baroreceptorilor', ',', 'diminuarea', 'răspunsului', 'la', 'catecolamine', ',', 'creșterea', 'rezistenței', 'vasculare', 'periferice', '(', '5', ')', '.']","[0, 2, 2, 1, 0, 1, 11, 1, 0, 4, 0, 0, 2, 5, 0, 5, 1, 0, 0, 2, 5, 0, 0, 2, 1, 0, 2, 5, 0, 0, 2, 5, 0, 5, 5, 0, 0, 2, 5, 0, 0, 0, 5, 0, 0, 1, 0, 5, 0, 0, 2, 2, 5, 11, 5, 5]"
"['În', 'prezența', 'unei', 'cardiopatii', 'organice', ',', 'spre', 'deosebire', 'de', 'starea', 'fiziologică', ',', 'creșterea', 'presarcinii', 'nu', 'determină', 'augmentarea', 'contractilității', 'miocardice', '.']","[1, 0, 10, 0, 2, 5, 1, 0, 1, 0, 2, 5, 0, 0, 6, 4, 0, 0, 2, 5]"
