tokens,pos_tags
"['Во', 'время', 'битвы', 'между', 'силами', 'Магнето', 'и', 'героями', ',', 'кто', 'восстановил', 'свои', 'воспоминания', ',', 'мутант', 'Лайла', 'Миллер', 'смогла', 'восстановить', 'воспоминания', 'Магнето', 'об', 'оригинальной', 'реальности', '.']","[2, 4, 4, 2, 4, 0, 7, 4, 5, 14, 1, 12, 4, 5, 4, 0, 0, 1, 1, 4, 0, 2, 3, 4, 5]"
"['Когда', 'он', 'будет', 'заполнен', ',', 'у', 'драконов', 'появляется', 'возможность', 'перейти', 'в', 'режим', 'ярости', ',', 'силе', 'которого', 'не', 'способен', 'сопротивляться', 'ни', 'один', 'противник', 'в', 'игре', '.']","[11, 14, 8, 1, 5, 2, 4, 1, 4, 1, 2, 4, 4, 5, 4, 14, 13, 3, 1, 13, 6, 4, 2, 4, 5]"
"['Главная', 'пара', 'используется', 'весь', 'сезон', 'и', 'имеет', 'значения', '1', ':', '27454', ',', '1', ':', '41762', ',', '1', ':', '45717', 'и', '1', ':', '42064', '.']","[3, 4, 1, 12, 4, 7, 1, 4, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 7, 6, 5, 6, 5]"
"['Этим', 'же', 'постановлением', 'устанавливалась', 'окружная', 'и', 'районная', 'система', 'деления', 'края', '.']","[12, 13, 4, 1, 3, 7, 3, 4, 4, 4, 5]"
"['Позже', 'вышел', 'имеющий', 'силу', 'Закона', 'Указ', 'Президента', 'Республики', 'Казахстан', 'от', '15', 'сентября', '1995', 'г', '.']","[10, 1, 1, 4, 4, 4, 4, 4, 0, 2, 3, 4, 3, 4, 5]"
"['Но', 'в', '1920', 'году', 'он', 'переехал', 'во', 'дворец', 'Дорн', ',', 'где', 'прожил', 'до', 'своей', 'смерти', 'в', '1941', 'году', '.']","[7, 2, 3, 4, 14, 1, 2, 4, 0, 5, 10, 1, 2, 12, 4, 2, 3, 4, 5]"
"['Придаток', 'в', 'мужском', 'початке', ',', 'сидячий', ',', 'загнутый', 'или', 'закрученный', ',', 'бледно-зелёный', ',', 'в', 'основании', 'узкоцилиндрический', ',', 'на', 'вершине', 'нитевидный', ',', 'до', '20', 'см', 'длиной', ',', 'голый', ',', 'в', 'основании', 'около', '3', 'мм', 'в', 'диаметре', '.']","[4, 2, 3, 4, 5, 3, 5, 3, 7, 3, 5, 3, 5, 2, 4, 3, 5, 2, 4, 3, 5, 2, 6, 4, 4, 5, 3, 5, 2, 4, 2, 6, 4, 2, 4, 5]"
"['Закончил', 'Харьковский', ',', 'а', 'затем', 'и', 'Петроградский', 'университет', '.']","[1, 3, 5, 7, 10, 13, 3, 4, 5]"
"['С', 'самого', 'детства', 'Сергей', 'отличался', 'разносторонностью', 'интересов', 'и', 'желанием', 'познавать', 'и', 'учиться', '.']","[2, 3, 4, 0, 1, 4, 4, 7, 4, 1, 7, 1, 5]"
"['Осада', 'была', 'снята', ',', 'и', ',', 'преследуя', 'разбежавшегося', 'неприятеля', ',', 'Бебутов', 'успел', 'захватить', 'два', 'орудия', 'и', 'два', 'знамени', ',', 'затем', ',', 'отрядив', ',', 'против', 'Ахмет', '-', 'бека', 'генерала', 'Бурцева', ',', 'нанес', 'неприятелю', '30', 'апреля', 'полное', 'поражение', 'при', 'Цурцкабе', '.']","[4, 8, 1, 5, 7, 5, 1, 1, 4, 5, 0, 1, 1, 6, 4, 7, 6, 4, 5, 10, 5, 1, 5, 2, 0, 5, 0, 4, 0, 5, 1, 4, 3, 4, 3, 4, 2, 0, 5]"
"['В', 'ходе', 'этого', 'обширного', 'наступления', 'была', 'освобождена', 'территория', 'Белоруссии', ',', 'восточной', 'Польши', 'и', 'часть', 'Прибалтики', 'и', 'практически', 'полностью', 'разгромлена', 'германская', 'группа', 'армий', '``', 'Центр', '&#39;&#39;', '.']","[2, 4, 12, 3, 4, 8, 1, 4, 0, 5, 3, 0, 7, 4, 0, 7, 10, 10, 1, 3, 4, 4, 5, 4, 5, 5]"
"['Член', 'Русского', 'ПЕН', '-', 'центра', '.']","[4, 3, 0, 5, 4, 5]"
"['Название', 'дано', 'европейцами', 'ближайшему', 'к', 'ним', 'восточному', 'региону', '.']","[4, 1, 4, 3, 2, 14, 3, 4, 5]"
"['С', '1986', 'года', 'эсминец', '``', 'Боевой', '&#39;&#39;', 'был', 'включён', 'в', 'состав', '175-ой', 'бригады', 'ракетных', 'кораблей', '10-ой', 'опэск', '(', 'оперативной', 'эскадры', ')', 'Тихоокеанского', 'флота', 'ВМФ', 'СССР', '.']","[2, 3, 4, 4, 5, 3, 5, 8, 1, 2, 4, 3, 4, 3, 4, 3, 4, 5, 3, 4, 5, 3, 4, 0, 0, 5]"
"['22', 'июня', '1987', 'года', 'корабль', 'начал', 'переход', 'на', 'Тихоокеанский', 'флот', 'с', 'несением', 'боевой', 'службы', 'в', 'Персидском', 'заливе', '(', 'провёл', '22', 'судна', 'в', '16', 'конвоях', ')', '.']","[3, 4, 3, 4, 4, 1, 4, 2, 3, 4, 2, 4, 3, 4, 2, 3, 4, 5, 1, 6, 4, 2, 6, 4, 5, 5]"
"['Отличился', 'во', 'время', 'освобождения', 'Белорусской', 'ССР', '.']","[1, 2, 4, 4, 3, 0, 5]"
"['С', 'начала', 'Великой', 'Отечественной', 'войны', '--', 'на', 'её', 'фронтах', '.']","[2, 4, 3, 3, 4, 5, 2, 12, 4, 5]"
"['Расположена', 'в', 'центральной', 'части', 'области', 'в', '5', 'км', 'к', 'юго-востоку', 'от', 'Ярцева', ',', 'в', '5', 'км', 'южнее', 'автодороги', ',', 'на', 'берегу', 'реки', 'Великая', '.']","[1, 2, 3, 4, 4, 2, 6, 4, 2, 4, 2, 0, 5, 2, 6, 4, 2, 4, 5, 2, 4, 4, 3, 5]"
"['Фрэ́нсис', 'Бэй', '(', ')', ',', 'в', 'девичестве', '--', 'Го́ффман', '(', ';', '23', 'января', '1919', '``', 'Альберта', ',', 'Канада', '--', '15', 'сентября', '2011', '``', 'Лос-Анджелес', ',', 'Калифорния', ',', 'США', ')', '--', 'канадо-американская', 'актриса', '.']","[0, 0, 5, 5, 5, 2, 4, 5, 0, 5, 5, 3, 4, 3, 5, 0, 5, 0, 5, 3, 4, 3, 5, 0, 5, 0, 5, 0, 5, 5, 3, 4, 5]"
"['Вартислав', 'был', 'убит', 'между', '1135', 'и', '1148', 'годами', ',', 'ему', 'наследовал', 'брат', 'Ратибор', '.']","[0, 8, 1, 2, 3, 7, 3, 4, 5, 14, 1, 4, 0, 5]"
"['``', 'Венера', '-', '6', '&#39;&#39;', '--', 'советская', 'автоматическая', 'научно-исследовательская', 'космическая', 'станция', '.']","[5, 0, 5, 6, 5, 5, 3, 3, 3, 3, 4, 5]"
"['Фридрих', 'был', 'сыном', 'прусского', 'кронпринца', 'Вильгельма', 'и', 'его', 'супруги', 'Августы', 'Саксен', '-', 'Веймарской', 'и', 'являлся', 'вторым', 'в', 'линии', 'наследования', 'трона', 'Пруссии', 'вслед', 'за', 'отцом', '.']","[0, 8, 4, 3, 4, 0, 7, 12, 4, 0, 0, 5, 3, 7, 1, 3, 2, 4, 4, 4, 0, 10, 2, 4, 5]"
"['После', 'свержения', 'во', 'Франции', 'правительства', 'Виши', 'ношение', 'этого', 'Военного', 'креста', 'было', 'запрещено', '(', 'с', '7', 'января', '1944', 'года', ')', '.']","[2, 4, 2, 0, 4, 0, 4, 12, 3, 4, 8, 1, 5, 2, 3, 4, 3, 4, 5, 5]"
"['Яков', 'Андреевич', ',', 'родоначальник', 'Всеволожских', 'последующего', 'времени', ',', 'служил', 'стольником', 'и', 'участвовал', 'в', 'крымском', 'походе', ',', 'в', 'котором', 'и', 'умер', 'в', '1689', 'году', '.']","[0, 0, 5, 4, 0, 3, 4, 5, 1, 4, 7, 1, 2, 3, 4, 5, 2, 14, 13, 1, 2, 3, 4, 5]"
"['Согласно', 'указанному', 'закону', 'первые', 'выборы', 'высших', 'должностных', 'лиц', 'должны', 'были', 'состояться', '14', 'октября', '2012', 'года', 'в', 'тех', 'субъектах', 'Российской', 'Федерации', ',', 'где', 'срок', 'истечения', 'полномочий', 'действующих', 'высших', 'должностных', 'лиц', 'истекает', 'с', '1', 'июня', 'по', '31', 'декабря', '2012', 'года', '.']","[2, 3, 4, 3, 4, 3, 3, 4, 3, 8, 1, 3, 4, 3, 4, 2, 12, 4, 3, 4, 5, 10, 4, 4, 4, 1, 3, 3, 4, 1, 2, 3, 4, 2, 3, 4, 3, 4, 5]"
"['Гайтукаев', 'познакомился', 'с', 'сотрудником', 'Восточно-Сибирского', 'банка', 'Владимиром', 'Новиковым', ',', 'ответственным', 'за', 'поиск', 'клиентуры', 'для', 'банка', '.']","[0, 1, 2, 4, 3, 4, 0, 0, 5, 3, 2, 4, 4, 2, 4, 5]"
"['Как', 'и', 'его', 'предшественники', 'король', 'Гарсия', 'II', 'оказывал', 'покровительство', 'христианским', 'церквям', 'и', 'монастырям', ',', 'находившимся', 'в', 'его', 'владениях', '.']","[11, 13, 12, 4, 4, 0, 3, 1, 4, 3, 4, 7, 4, 5, 1, 2, 12, 4, 5]"
"['В', 'первой', 'части', 'герба', '--', 'ворота', '--', 'выполнены', 'из', 'камня', 'в', 'произвольной', 'форме', '(', 'в', 'действительности', 'данного', 'архитектурного', 'сооружения', 'не', 'существовало', ';', 'выражение', '``', 'Ворота', 'Кавказа', '&#39;&#39;', '--', 'аллегория', ')', '.']","[2, 3, 4, 4, 5, 4, 5, 1, 2, 4, 2, 3, 4, 5, 2, 4, 3, 3, 4, 13, 1, 5, 4, 5, 4, 0, 5, 5, 4, 5, 5]"
"['Население', 'по', 'переписи', '2001', 'года', 'составляло', '417', 'человек', '.']","[4, 2, 4, 3, 4, 1, 6, 4, 5]"
"['До', 'этого', 'гости', 'и', 'гостиная', 'сотня', 'составляли', 'единое', 'сословие', '.']","[2, 14, 4, 7, 3, 4, 1, 3, 4, 5]"
"['В', 'итоге', 'в', '1018', 'году', 'Санчо', 'III', 'Наваррский', 'занял', 'центральную', 'часть', 'графства', ',', 'где', 'разбив', 'мавров', ',', 'вторгшихся', 'в', 'Рибагорсу', '.']","[2, 4, 2, 3, 4, 0, 3, 3, 1, 3, 4, 4, 5, 10, 1, 4, 5, 1, 2, 0, 5]"
"['В', 'период', 'с', '31', 'декабря', '2006', 'по', '31', 'декабря', '2007', 'года', 'Аэропорт', 'Гуиннер', 'имени', 'Роджера', 'Мелро', 'обработал', '4120', 'операций', 'взлётов', 'и', 'посадок', 'воздушных', 'судов', '(', 'в', 'среднем', '11', 'операций', 'ежедневно', ')', ',', 'из', 'которых', '51', '%', 'пришлось', 'на', 'рейсы', 'аэротакси', ',', '49', '%', 'составила', 'авиация', 'общего', 'назначения', 'и', 'меньше', '1', '%', 'заняли', 'рейсы', 'военной', 'авиации', '.']","[2, 4, 2, 3, 4, 3, 2, 3, 4, 3, 4, 4, 0, 4, 0, 0, 1, 6, 4, 4, 7, 4, 3, 4, 5, 2, 4, 6, 4, 10, 5, 5, 2, 14, 6, 15, 1, 2, 4, 4, 5, 6, 15, 1, 4, 3, 4, 7, 10, 6, 15, 1, 4, 3, 4, 5]"
"['Да́тский', 'проли́в', '--', 'пролив', 'между', 'островами', 'Гренландия', 'и', 'Исландия', '.']","[3, 4, 5, 4, 2, 4, 0, 7, 0, 5]"
"['Поставленная', 'комиссии', 'задача', 'предусматривала', 'изучение', 'имеющихся', 'зарубежных', 'данных', 'о', 'строительстве', 'полуподводных', 'миноносцев', ',', 'проектирование', 'и', 'постройка', 'погружающегося', 'судна', 'для', 'береговой', 'обороны', '.']","[1, 4, 4, 1, 4, 1, 3, 4, 2, 4, 3, 4, 5, 4, 7, 4, 1, 4, 2, 3, 4, 5]"
"['Через', 'округ', 'Джайпур', 'протекают', 'реки', 'Банас', 'и', 'Банганга', '.']","[2, 4, 0, 1, 4, 0, 7, 0, 5]"
"['Кроме', 'того', ',', 'в', 'связи', 'с', 'тем', ',', 'что', 'гидрокарбонат', 'натрия', 'не', 'поступает', 'обратно', 'в', 'кровь', 'на', 'пополнение', 'щелочных', 'резервов', ',', 'развивается', 'сильнейший', 'ацидоз', ',', 'а', 'в', 'условиях', 'ацидоза', 'действие', 'диакарба', 'прекращается', '.']","[2, 14, 5, 2, 4, 2, 14, 5, 11, 4, 4, 13, 1, 10, 2, 4, 2, 4, 3, 4, 5, 1, 3, 4, 5, 7, 2, 4, 4, 4, 4, 1, 5]"
"['На', 'участке', 'отремонтированы', 'все', 'станции', 'и', 'модернизированы', 'вокзалы', 'с', 'учетом', 'современных', 'требований', '.']","[2, 4, 1, 12, 4, 7, 1, 4, 2, 4, 3, 4, 5]"
