tokens,pos_tags
"['Снова', 'приобрел', 'дозу', ',']","['ADV', 'VERB', 'NOUN', 'PUNCT']"
"['В', 'женщине', 'важна', 'верность', ',', 'а', 'не', 'красота', '.']","['ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'PART', 'NOUN', 'PUNCT']"
"['Важно', 'то', ',', 'о', 'чем', 'ты', 'думаешь', 'и', 'какие', 'поступки', 'совершаешь', '.']","['ADJ', 'PRON', 'PUNCT', 'ADP', 'PRON', 'PRON', 'VERB', 'CCONJ', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['Уже', 'не', 'та', 'на', 'лоб', 'спадает', 'челка', '...']","['ADV', 'PART', 'DET', 'ADP', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['Но', 'ты', 'не', 'живешь', 'по-евангельски', ',', 'и', 'это', '—', 'причина', 'твоих', 'проблем', '.']","['CCONJ', 'PRON', 'PART', 'VERB', 'ADV', 'PUNCT', 'CCONJ', 'PRON', 'PUNCT', 'NOUN', 'DET', 'NOUN', 'PUNCT']"
"['Ведь', 'этот', 'цветок', 'цветёт', 'для', 'меня', '!']","['PART', 'DET', 'NOUN', 'VERB', 'ADP', 'PRON', 'PUNCT']"
"['И', 'как', 'же', 'больно', 'было', 'нам', ',']","['CCONJ', 'ADV', 'PART', 'ADJ', 'AUX', 'PRON', 'PUNCT']"
"['Как', 'свет', 'добра', 'струился', 'с', 'глаз', '!']","['ADV', 'NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['Их', 'отличает', 'харизма', ',', 'приятная', 'внешность', ',', 'живой', 'аналитический', 'ум', ',', 'хорошее', 'воспитание', 'и', 'манеры', ',', 'за', 'которыми', 'всегда', 'спрятан', 'сильный', 'взгляд', ',', 'в', 'котором', 'едва', 'просматривается', 'небольшая', 'грусть', '.']","['PRON', 'VERB', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'ADV', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'PRON', 'ADV', 'VERB', 'ADJ', 'NOUN', 'PUNCT']"
"['Увы', ',', 'не', 'понимаю', '...', 'Где', 'эта', 'жизнь', ',', 'которая', 'моя', '.']","['INTJ', 'PUNCT', 'PART', 'VERB', 'PUNCT', 'ADV', 'DET', 'NOUN', 'PUNCT', 'PRON', 'DET', 'PUNCT']"
"['Никогда', 'не', 'вернутся', 'обратно', 'ни', 'Луганская', ',', 'ни', 'Донецкая', 'области', '.']","['ADV', 'PART', 'VERB', 'ADV', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']"
"['А', 'вы', 'знаете', ',', 'что', 'это', 'на', 'самом', 'деле', '?']","['CCONJ', 'PRON', 'VERB', 'PUNCT', 'PRON', 'PRON', 'ADP', 'DET', 'NOUN', 'PUNCT']"
"['350', 'медучреждений', 'были', 'реорганизованы', '.']","['NUM', 'NOUN', 'AUX', 'VERB', 'PUNCT']"
"['что', 'носилась', 'по', 'дому', 'вечно', ',']","['PRON', 'VERB', 'ADP', 'NOUN', 'ADV', 'PUNCT']"
"['Оба', 'мальчика', 'разрыдались', '.']","['NUM', 'NOUN', 'VERB', 'PUNCT']"
['6'],['NUM']
"['2', '.']","['NUM', 'PUNCT']"
"['Левая', 'нога', '—', 'кто-то', 'спешит']","['ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB']"
"['Прости', ',', 'что', 'здался', 'на', 'грешном', 'пути']","['VERB', 'PUNCT', 'SCONJ', 'VERB', 'ADP', 'ADJ', 'NOUN']"
"['Он', 'мне', 'друг', ',', 'я', 'ему', 'нелюбимая', '.']","['PRON', 'PRON', 'NOUN', 'PUNCT', 'PRON', 'PRON', 'ADJ', 'PUNCT']"
