tokens,pos_tags
"['yathā', 'bāṇaḥ', 'su', 'saṃśitaḥ', 'parāpatati', 'āśumat', 'eva', 'tvam', 'kāse', 'pra', 'pata', 'pṛthivyāḥ', 'anu', 'saṃvatam']","[6, 4, 5, 2, 2, 1, 6, 0, 4, 5, 2, 4, 5, 4]"
"['yathā', 'manaḥ', 'manasketaiḥ', 'parāpatati', 'āśumat', 'eva', 'tvam', 'kāse', 'pra', 'pata', 'manasaḥ', 'anu', 'pravāyyam']","[6, 4, 4, 2, 1, 6, 0, 4, 5, 2, 4, 5, 4]"
"['yathā', 'sūryasya', 'raśmayaḥ', 'parāpatanti', 'āśumat', 'eva', 'tvam', 'kāse', 'pra', 'pata', 'samudrasya', 'anu', 'vikṣaram']","[6, 4, 4, 2, 1, 6, 0, 4, 5, 2, 4, 5, 4]"
"['rathe', 'tvam', 'asi', 'darśataḥ']","[4, 0, 7, 1]"
"['pra', 'naḥ', 'āyūṃṣi', 'tāriṣat']","[5, 0, 4, 2]"
"['vātāt', 'jātaḥ', 'antarikṣāt', 'vidyutaḥ', 'jyotiṣaḥ', 'pari', 'sa', 'naḥ', 'hiraṇya', 'jāḥ', 'śaṅkhaḥ', 'kṛśanaḥ', 'pātu', 'aṃhasaḥ']","[4, 2, 4, 4, 4, 5, 0, 0, 4, 1, 4, 1, 2, 4]"
"['yaḥ', 'agratas', 'rocanānām', 'samudrāt', 'adhi', 'jajñiṣe', 'śaṅkhena', 'hatvā', 'rakṣāṃsi', 'attriṇaḥ', 'vi', 'sahāmahe', 'śaṅkhena', 'amīvām', 'amatim', 'śaṅkhena', 'uta', 'sadānvāḥ']","[0, 5, 4, 4, 5, 2, 4, 2, 4, 4, 5, 2, 4, 4, 4, 4, 9, 4]"
"['śaṅkhaḥ', 'naḥ', 'viśva', 'bheṣajaḥ', 'kṛśanaḥ', 'pātu', 'aṃhasaḥ']","[4, 0, 1, 4, 1, 2, 4]"
"['divi', 'jātaḥ', 'samudra', 'jaḥ', 'sindhutaḥ', 'pari', 'ābhṛtaḥ', 'sa', 'naḥ', 'hiraṇya', 'jāḥ', 'śaṅkhaḥ', 'āyuṣprataraṇaḥ', 'maṇiḥ']","[4, 2, 4, 1, 4, 5, 2, 0, 0, 4, 1, 4, 1, 4]"
"['somāt', 'tvam', 'adhi', 'jajñiṣe']","[4, 0, 5, 2]"
"['hiraṇyānām', 'ekaḥ', 'asi']","[4, 0, 7]"
"['devānām', 'asthi', 'kṛśanam', 'babhūva']","[4, 4, 4, 2]"
"['tat', 'ātmanvat', 'carati', 'apsu', 'antar']","[0, 1, 2, 4, 5]"
"['samudrāt', 'jātaḥ', 'maṇiḥ']","[4, 2, 4]"
"['vṛtrāt', 'jātaḥ', 'divākaraḥ']","[4, 2, 4]"
"['saḥ', 'asmān', 'sarvatas', 'pātu', 'hetyāḥ', 'deva', 'asurebhyaḥ']","[0, 0, 5, 2, 4, 4, 4]"
"['tat', 'te', 'badhnāmi', 'āyuṣe', 'varcase', 'balāya', 'dīrgha', 'āyu', 'tvāya', 'śata', 'śāradāya']","[0, 0, 2, 4, 4, 4, 1, 4, 4, 10, 1]"
"['kārśanaḥ', 'tvā', 'abhi', 'rakṣatu']","[1, 0, 5, 2]"
"['iṣudhau', 'rocanaḥ', 'tvam']","[4, 1, 0]"
"['yām', 'tvā', 'devāḥ', 'asṛjanta', 'viśve', 'iṣum', 'kṛṇvānāḥ', 'asanāya', 'dhṛṣṇum', 'sā', 'naḥ', 'mṛḍa', 'vidathe', 'gṛṇānā']","[0, 0, 4, 2, 3, 4, 2, 4, 1, 0, 0, 2, 4, 2]"
"['namaḥ', 'te', 'astu', 'vidyute']","[4, 0, 7, 4]"
"['namaḥ', 'te', 'stanayitnave']","[4, 0, 4]"
"['namaḥ', 'te', 'astu', 'aśmane', 'yena', 'ā', 'dūḍāśe', 'asyasi']","[4, 0, 7, 4, 0, 5, 1, 2]"
"['namaḥ', 'te', 'pravataḥ', 'napāt', 'yatas', 'tapaḥ', 'samūhasi']","[4, 0, 4, 4, 8, 4, 2]"
"['mṛḍayā', 'naḥ', 'tanūbhyaḥ']","[2, 0, 4]"
"['mayaḥ', 'tokebhyaḥ', 'kṛdhi']","[4, 4, 2]"
"['pravataḥ', 'napāt', 'namaḥ', 'eva', 'astu', 'tubhyam']","[4, 4, 4, 6, 7, 0]"
"['namaḥ', 'te', 'hetaye', 'tapuṣe', 'ca', 'kṛṇmaḥ']","[4, 0, 4, 4, 9, 2]"
"['tasyai', 'te', 'namaḥ', 'astu', 'devi']","[0, 0, 4, 7, 4]"
"['samudre', 'antar', 'nihitā', 'asi', 'nābhiḥ']","[4, 5, 2, 7, 4]"
"['śṛṇotu', 'naḥ']","[2, 0]"
"['imāḥ', 'rudrāya', 'sthira', 'dhanvane', 'giraḥ', 'kṣipra', 'iṣave', 'devāya', 'svadhāvne', 'aṣāḍhāya', 'sahamānāya', 'vedhase', 'tigma', 'āyudhāya', 'bharata']","[0, 4, 1, 4, 4, 1, 4, 4, 1, 1, 2, 4, 1, 4, 2]"
"['mā', 'naḥ', 'vadhīḥ', 'rudra']","[6, 0, 2, 4]"
"['mā', 'parā', 'dāḥ']","[6, 5, 2]"
