tokens,pos_tags
"['ciamar', 'a', 'chaidh', 'dhuibh', 'do', 'sibh', 'an-diugh', '?']","['ADV', 'PART', 'VERB', None, 'ADP', 'PRON', 'ADV', 'PUNCT']"
"['ò', 'cha', 'robh', 'i', 'ach', 'gu', 'math', 'rapach', 'gu', 'dearbh', 'fhèin', ',', 'ò', 'fhuair', 'sinn', 'rèidh', 'air', 'deannan', 'math', 'dhiubh', 'de', 'iad', 'ach', ""b'"", 'fheudar', 'dhuinn', 'do', 'sinn', 'am', 'fàgail', 'bhuainn', 'bho', 'sinn', 'mu', 'dheireadh', 'thall']","['INTJ', 'PART', 'VERB', 'PRON', 'ADP', 'PART', 'ADV', 'ADJ', 'PART', 'ADV', 'PRON', 'PUNCT', 'INTJ', 'VERB', 'PRON', 'ADV', 'ADP', 'NOUN', 'ADJ', None, 'ADP', 'PRON', 'CCONJ', 'AUX', 'NOUN', None, 'ADP', 'PRON', 'DET', 'NOUN', None, 'ADP', 'PRON', 'ADV', 'ADV', 'ADV']"
"['och', 'bha', 'i', 'cho', 'garbh', ""'s"", 'thàinig', 'an', 'droch', 'mheall', 'a', 'bha', 'siodach', 'oirnn', 'air', 'sinn']","['INTJ', 'VERB', 'PRON', 'ADV', 'ADJ', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'PRON', None, 'ADP', 'PRON']"
"['rinn', 'sinn', 'suas', 'ar', 'n-inntinn', 'an', 'uair', 'sin', 'gur', 'e', 'gun', 'rachadh', 'sinn', 'gu', 'clèibh', 'a', ""bh'"", 'againn', 'aig', 'sinn', 'air', 'fasgadh', 'ach', 'bha', 'an', 'làn', 'cho', 'ìosal', 'cha', 'd’', 'fhuair', 'sinn', 'an', 'togail', 'ann', 'an', 'e', ""'s"", 'dè', 'bha', ""a'"", 'dol', 'agad', 'aig', 'thu', 'fhèin', '?']","['VERB', 'PRON', 'ADV', 'DET', 'NOUN', 'ADV', 'ADV', 'ADV', 'AUX', 'PRON', 'PART', 'VERB', 'PRON', 'ADP', 'NOUN', 'PART', 'VERB', None, 'ADP', 'PRON', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'PART', 'PART', 'VERB', 'PRON', 'DET', 'NOUN', None, 'ADP', 'PRON', 'CCONJ', 'PRON', 'VERB', 'PART', 'NOUN', None, 'ADP', 'PRON', 'PRON', 'PUNCT']"
"['ò', 'bha', 'mi', 'shuas', 'ann', 'am', '[Placename]', 'aig', 'na', 'bùithtean', ""'s"", 'thadhal', 'mi', 'air', '[Name]']","['INTJ', 'VERB', 'PRON', 'ADV', 'ADP', 'ADP', 'PROPN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'PRON', 'ADP', 'PROPN']"
"['tha', ""m'"", 'amhaich', 'goirt', ""'s"", 'tha', 'mi', ""a'"", 'call', 'mo', 'ghuth', 'an', 'seothach']","['VERB', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'PRON', 'PART', 'NOUN', 'DET', 'NOUN', 'ADV', 'ADV']"
"['ò', 'chan', 'e', 'droch', 'rud', 'tha', 'sin', 'idir']","['INTJ', 'AUX', 'PRON', 'ADJ', 'NOUN', 'VERB', 'PRON', 'ADV']"
"['gheibh', 'sinn', 'fois', 'a-nochd', 'co-dhiubh']","['VERB', 'PRON', 'NOUN', 'ADV', 'ADV']"
"['cha', 'bhi', 'thu', 'cho', 'bragail', 'ma', 'dh’fheumas', 'tu', 'a', 'bhith', ""a'"", 'dèanamh', 'a', 'h-uile', 'car', 'a-staigh', 'ma', 'bhios', 'mise', 'bochd', 'ge-tà']","['PART', 'VERB', 'PRON', 'ADV', 'ADJ', 'SCONJ', 'VERB', 'PRON', 'PART', 'NOUN', 'PART', 'NOUN', 'DET', 'DET', 'NOUN', 'ADV', 'SCONJ', 'VERB', 'PRON', 'ADJ', 'ADV']"
"['ò', 'tha', 'mise', 'eòlach', 'gu', 'leòr', 'air', ""a'"", 'phinidh', 'co-dhiubh']","['INTJ', 'VERB', 'PRON', 'ADJ', 'PART', 'ADV', 'ADP', 'DET', 'NOUN', 'ADV']"
