tokens,pos_tags
"['Kazna', 'medijskom', 'mogulu', 'obnovila', 'debatu', 'u', 'Makedoniji']","['NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PROPN']"
"['Neki', 'tvrde', 'da', 'je', 'presuda', 'Veliji', 'Ramkovskom', 'napad', 'na', 'slobodu', 'medija', ',', 'ali', 'drugi', 'tvrde', 'da', 'dokazi', 'o', 'njegovim', 'krivičnim', 'delima', 'govore', 'suprotno', '.']","['DET', 'VERB', 'SCONJ', 'AUX', 'NOUN', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'VERB', 'SCONJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADV', 'PUNCT']"
"['Medijski', 'mogul', 'Velija', 'Ramkovski', 'osuđen', 'je', 'na', '13', 'godina', 'zatvora', 'zbog', 'utaje', 'poreza', 'i', 'pranja', 'novca', '.']","['ADJ', 'NOUN', 'PROPN', 'PROPN', 'ADJ', 'AUX', 'ADP', 'NUM', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT']"
"['Krivična', 'presuda', 'i', 'zatvorska', 'kazna', 'medijskom', 'mogulu', 'Veliji', 'Ramkovskom', ',', 'koji', 'je', 'često', 'kritikovao', 'makedonsku', 'vladu', ',', 'mogla', 'bi', 'da', 'zaplaši', 'medije', ',', 'kažu', 'novinari', 'u', 'toj', 'maloj', 'balkanskoj', 'državi', '.']","['ADJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'AUX', 'ADV', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'AUX', 'SCONJ', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']"
"['Ramkovski', ',', 'bivši', 'vlasnik', 'televizijske', 'stanice', 'A1', ',', 'četiri', 'novine', 'i', 'drugih', 'preduzeća', ',', 'osuđen', 'je', 'u', 'krivičnom', 'sudu', 'u', 'Skoplju', '14.', 'marta', 'na', '13', 'godina', 'zatvora', ',', 'zbog', 'pranja', 'novca', ',', 'kriminalne', 'zavere', ',', 'zloupotrebe', 'položaja', 'i', 'utaje', 'poreza', ';', '19', 'saučesnika', 'dobilo', 'je', 'zatvorske', 'kazne', 'u', 'trajanju', 'dve', 'do', 'sedam', 'godina', '.']","['PROPN', 'PUNCT', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'X', 'PUNCT', 'NUM', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'AUX', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'NUM', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'VERB', 'AUX', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NUM', 'NOUN', 'PUNCT']"
"['A1', 'TV', 'i', 'četiri', 'novine', 'zatvoreni', 'su', 'zato', 'što', 'nisu', 'plaćali', 'porez', ',', 'niti', 'ispunjavali', 'obaveze', 'prema', 'kreditorima', '.']","['X', 'NOUN', 'CCONJ', 'NUM', 'NOUN', 'ADJ', 'AUX', 'SCONJ', 'SCONJ', 'AUX', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['""', 'Utisak', 'je', 'da', 'su', 'koraci', 'preduzeti', 'prema', 'medijima', ',', 'za', 'koje', 'su', 'izrečene', 'presude', ',', 'selektivni', ',', 'te', 'da', 'institucije', 'ne', 'koriste', 'iste', 'metode', 'u', 'sprovođenju', 'zakona', 'prema', 'svim', 'medijima', '""', ',', 'rekla', 'direktorka', 'Medijskog', 'instituta', 'Makedonije', 'Biljana', 'Petkovska', 'za', 'SETimes', '.']","['PUNCT', 'NOUN', 'AUX', 'SCONJ', 'AUX', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'AUX', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'CCONJ', 'SCONJ', 'NOUN', 'PART', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'X', 'PUNCT']"
"['Neki', 'novinari', ',', 'a', 'posebno', 'bivši', 'zaposleni', 'u', 'A1', 'TV', ',', 'tvrde', 'da', 'taj', 'slučaj', ',', 'pod', 'nazivom', '""', 'Paukova', 'mreža', '""', ',', 'predstavlja', 'borbu', 'između', 'vlade', 'i', 'tada', 'najmoćnije', 'TV', 'stanice', 'u', 'Makedoniji', ',', 'koja', 'je', 'kritikovala', 'njenu', 'politiku', 'i', 'podržavala', 'opoziciju', '.']","['DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'ADJ', 'ADJ', 'ADP', 'X', 'NOUN', 'PUNCT', 'VERB', 'SCONJ', 'DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'DET', 'AUX', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'PUNCT']"
"['""', 'Trenutni', 'politički', 'establišment', 'staviće', 'pod', 'potpunu', 'kontrolu', 'svaku', 'slobodnu', 'misao', 'i', 'svako', 'mišljenje', 'koje', 'je', 'protiv', 'njega', '.']","['PUNCT', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'DET', 'AUX', 'ADP', 'PRON', 'PUNCT']"
"['Njegov', 'cilj', ',', 'a', 'danas', 'se', 'to', 'i', 'pokazalo', ',', 'bio', 'je', 'da', 'ućutka', 'A1', 'TV', 'i', 'Veliju', 'Ramkovskog', ',', 'kao', 'nosioce', 'borbe', 'protiv', 'diktature', '[', 'premijera', ']', 'Nikole', 'Gruevskog', '""', ',', 'kaže', 'bivši', 'urednik', 'A1', 'TV', 'i', 'poslanik', 'opozicione', 'Sandžačke', 'lige', 'Safet', 'Biševac', '.']","['DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'PRON', 'DET', 'CCONJ', 'VERB', 'PUNCT', 'AUX', 'AUX', 'SCONJ', 'VERB', 'X', 'NOUN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT', 'SCONJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'X', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']"
