tokens,pos_tags
"['Kde', 'tá', 'ľudská', 'duša', 'drieme', '?']","[10, 9, 6, 2, 1, 0]"
"['Prečo', 'to', 'tu', 'píšem', '?']","[10, 9, 12, 1, 0]"
"['Prečo', 'je', 'dnešný', 'humor', 'suchý', '?']","[10, 14, 6, 2, 6, 0]"
"['Aby', 'sa', 'ľudia', 'mohli', 'smiať', '.']","[13, 3, 2, 1, 1, 0]"
"['Prečo', 'niesme', 'prirodzení', '?']","[10, 14, 6, 0]"
"['Aby', 'nás', 'neobvinili', 'z', 'farizejstva', '.']","[13, 3, 1, 4, 2, 0]"
"['Prečo', 'existuje', 'láska', '?']","[10, 1, 2, 0]"
"['Vhodná', 'je', 'paralela', 'z', 'čias', 'môjho', 'starého', 'otca', '.']","[6, 14, 2, 4, 2, 9, 6, 2, 0]"
"['Spustili', 'novú', 'internetovú', 'televíziu', 'Braňa', 'Krála']","[1, 6, 6, 2, 7, 7]"
"['Ľahká', 'otázka', ',', 'ťažká', 'odpoveď', '.']","[6, 2, 0, 6, 2, 0]"
"['Autobusy', 'sú', 'pohodlím', 'na', 'európskej', 'úrovni', '.']","[2, 14, 2, 4, 6, 2, 0]"
"['Iných', 'stopárov', 'som', 'tu', 'zatiaľ', 'ešte', 'nevidel', '.']","[9, 2, 14, 10, 10, 10, 1, 0]"
"['Ako', 'dopadol', '?']","[10, 1, 0]"
"['Bohužiaľ', '.']","[12, 0]"
"['Strong', 'wind', '!']","[8, 8, 0]"
"['Silný', 'vietor', '!', '""', 'ma', 'posiela', 'späť', 'na', '""', 'vajíčko', '""', '.']","[6, 2, 0, 0, 3, 1, 10, 4, 0, 2, 0, 0]"
"['Na', 'zastávke', 'na', 'Záhradkách', 'nás', 'čakal', 'veľmi', 'zaujímavý', 'pohľad', '.']","[4, 2, 4, 7, 3, 1, 10, 6, 2, 0]"
"['Bežné', 'prachovky', 'naňho', 'na', 'neho', 'nestačia', '”', '.']","[6, 2, 16, 4, 3, 1, 0, 0]"
"['Ja', 'som', 'chcela', 'vyhrávať', '.']","[3, 14, 1, 1, 0]"
"['A', 'vyhrávam', '.']","[5, 1, 0]"
"['slovenskej', 'kultúrnej', 'histórie']","[6, 6, 2]"
"['Od', 'tej', 'chvíle', 'vstupuje', 'do', 'hry', 'slovenská', 'časť', 'Uhorska', '.']","[4, 9, 2, 1, 4, 2, 6, 2, 7, 0]"
"['Do', 'slovenských', 'častí', 'Uhorska', 'sa', 'vtedy', 'utiahla', 'jedna', 'časť', 'českých', 'emigrovaných', 'protestantov', 'a', 'tu', 'našli', 'v', 'používaní', 'svoj', 'vlastný', 'spisovný', 'jazyk', 'presne', 'tak', ',', 'ako', 'vo', 'svojej', 'českej', 'vlasti', '.']","[4, 6, 2, 7, 3, 10, 1, 11, 2, 6, 6, 2, 5, 10, 1, 4, 2, 9, 6, 6, 2, 12, 10, 0, 10, 4, 9, 6, 2, 0]"
"['Podľa', 'princípu', 'siedmich', 'slobodných', 'umení', 'prvým', 'stupňom', 'trivia', 'je', 'gramatika', '.']","[4, 2, 11, 6, 2, 6, 2, 2, 14, 2, 0]"
"['Pojem', 'slavico', '-', 'bohemicus', 'zo', 'začiatku', 'XVIII', '.', 'storočia', 'je', 'začiatok', 'pojmu', 'česko', '(', '-', ')', 'slovenský', '.']","[2, 8, 0, 8, 4, 2, 11, 0, 2, 14, 2, 2, 8, 0, 0, 0, 6, 0]"
"['Európska', 'únia', ',', 'čiže', 'rozmieňanie', 'veľkých', 'bankoviek', 'na', 'drobné', 'mince', '.']","[6, 2, 0, 5, 2, 6, 2, 4, 6, 2, 0]"
"['Toto', 'stieranie', 'hraníc', 'je', 'veľmi', 'príjemné', ',', 'pokiaľ', 'ide', 'o', 'poriadneho', 'občana', ',', 'ktorý', 'cestuje', 'za', 'svojím', 'obchodom', 'alebo', 'za', 'svojou', 'dovolenkou', '.']","[9, 2, 2, 14, 10, 6, 0, 13, 1, 4, 6, 2, 0, 9, 1, 4, 9, 2, 5, 4, 9, 2, 0]"
"['Ľubomír', 'Ďurovič']","[7, 7]"
"['Krman', 'si', 'bol', 'vedomý', ',', 'že', 'meno', 'Slovákov', 'treba', 'aj', 'v', 'latinčine', 'odlišovať', 'od', 'všeobecného', 'názvu', 'slavi', 'a', 'vytvoril', 'nové', 'slovo', 'slovacii', '.']","[7, 3, 14, 6, 0, 13, 2, 7, 10, 12, 4, 2, 1, 4, 6, 2, 8, 5, 1, 6, 2, 8, 0]"
"['Druhá', 'Doležalova', 'inovácia', 'je', 'v', 'gramatickom', 'popise', 'tohto', 'jazyka', '.']","[6, 6, 2, 1, 4, 6, 2, 9, 2, 0]"
"['Obsiahly', 'vlastivedný', 'úvod', '(', 'Praefatio', ')', 'k', 'Doležalovej', 'gramatike', 'napísal', 'o', 'generáciu', 'starší', 'Matej', 'Bel', '.']","[6, 6, 2, 0, 8, 0, 4, 6, 2, 1, 4, 2, 6, 7, 7, 0]"
"['V', 'každom', 'prípade', 'aj', 'text', 'jeho', 'úvodu', 'dal', 'Doležalovej', 'gramatike', 'punc', 'najautoritatívnejšieho', 'zdroja', 'poznania', 'vtedajšieho', 'spisovného', 'jazyka', 'Čechov', 'i', 'Slovákov', '.']","[4, 9, 2, 12, 2, 9, 2, 1, 6, 2, 2, 6, 2, 2, 6, 6, 2, 7, 5, 7, 0]"
"['Táto', 'kralická', 'norma', 'je', 'dodnes', 'základom', 'spisovnej', 'češtiny', '.']","[9, 6, 2, 14, 10, 2, 6, 2, 0]"
"['Štúrovský', 'nový', 'slovenský', 'spisovný', 'jazyk', 'má', 'niekoľko', 'vrstiev', '.']","[6, 6, 6, 6, 2, 1, 9, 2, 0]"
"['Radikálnou', 'inováciou', 'je', 'hláskoslovie', 'a', 'tvaroslovie', '.']","[6, 2, 14, 2, 5, 2, 0]"
"['Profesor', 'Eugen', 'Jóna', ',', 'ktorý', 'sa', 'dejinami', 'spisovnej', 'slovenčiny', 'dlhé', 'roky', 'zaoberal', ',', 'si', 'uvedomil', 'potrebu', 'dať', 'do', 'rúk', 'slovenskej', 'i', 'medzinárodnej', 'vedeckej', 'verejnosti', 'dostatočne', 'prístupný', 'skutočný', 'text', 'tohto', 'základného', 'diela', '.']","[2, 7, 7, 0, 9, 3, 2, 6, 2, 6, 2, 1, 0, 3, 1, 2, 1, 4, 2, 6, 5, 6, 6, 2, 10, 6, 6, 2, 9, 6, 2, 0]"
"['Ľubomír', 'Ďurovič']","[7, 7]"
"['Ľubomír', 'Ďurovič']","[7, 7]"
"['Ľubomír', 'Ďurovič', 'profesor', 'slovanských', 'jazykov']","[7, 7, 2, 6, 2]"
"['Česko', '-', 'slovenské', 'kultúrne', 'kontinuum']","[8, 0, 6, 6, 2]"
"['Ku', 'konfliktom', 'a', 'nedorozumeniam', 'výrazne', 'prispelo', 'aj', 'to', ',', 'že', 'sa', 'maďarské', '„', 'nemzet', '“', 'dá', 'používať', 'v', 'oboch', 'týchto', 'významoch', '.']","[4, 2, 5, 2, 10, 1, 12, 9, 0, 13, 3, 6, 0, 8, 0, 1, 1, 4, 11, 9, 2, 0]"
