tokens,pos_tags
"['""', 'Tistega', 'večera', 'sem', 'preveč', 'popil', ',', 'zgodilo', 'se', 'je', 'mesec', 'dni', 'po', 'tem', ',', 'ko', 'sem', 'izvedel', ',', 'da', 'me', 'žena', 'vara', '.']","[6, 13, 5, 9, 13, 0, 6, 0, 1, 9, 5, 5, 7, 13, 6, 3, 9, 0, 6, 3, 1, 5, 0, 6]"
"['Dogodek', 'v', 'Ankaranu', 'je', 'bila', 'dramatična', 'nesreča', '.']","[5, 7, 10, 9, 9, 4, 5, 6]"
"['Dekle', 'je', 'ob', 'vzvratni', 'vožnji', 'začelo', 'vpiti', ',', 'da', 'bi', 'jo', 'utišal', ',', 'sem', 'prijel', 'nož', '.']","[5, 9, 7, 4, 5, 0, 0, 6, 3, 9, 1, 0, 6, 9, 0, 5, 6]"
"['Prišlo', 'je', 'do', 'prerivanja', 'in', 'umrla', 'je', '.']","[0, 9, 7, 5, 8, 0, 9, 6]"
"['Tega', 'se', 'sploh', 'nisem', 'zavedel', '.']","[13, 1, 11, 9, 0, 6]"
"['Kaj', 'se', 'je', 'zgodilo', ',', 'sem', 'izvedel', 'šele', 'naslednjega', 'dne', 'iz', 'časopisja', ',', '""', 'je', 'v', 'intervju', 'za', 'Stampo', 'iz', 'Torina', 'izjavil', 'morilec', '.']","[1, 1, 9, 0, 6, 9, 0, 11, 4, 5, 7, 5, 6, 6, 9, 7, 5, 7, 10, 7, 10, 0, 5, 6]"
"['Preiskave', 'med', 'sodnim', 'postopkom', 'so', 'pokazale', ',', 'da', 'so', 'se', 'dogodki', 'odvijali', 'bistveno', 'drugače', '.']","[5, 7, 4, 5, 9, 0, 6, 3, 9, 1, 5, 0, 2, 2, 6]"
"['Dogodki', 'v', 'prihodnjih', 'mesecih', 'pa', 'bodo', 'pokazali', ',', 'ali', 'bo', 'morilcu', 'iz', 'Ankarana', 'tokrat', 'uspelo', 'prepričati', 'italijanske', 'pravosodne', 'oblasti', '.']","[5, 7, 4, 5, 8, 9, 0, 6, 2, 9, 5, 7, 10, 2, 0, 0, 4, 4, 5, 6]"
"['V', 'bolnišnici', 'bodo', 'uvedli', 'tudi', 's', 'šolo', 'za', 'starše', ',', 'ki', 'je', 'namenjena', 'vzgoji', 'in', 'izobraževanju', 'nosečnic', 'in', 'njihovih', 'partnerjev', '.']","[7, 5, 9, 0, 11, 7, 5, 7, 5, 6, 3, 9, 4, 5, 8, 5, 5, 8, 13, 5, 6]"
"['V', 'bolnišnici', 'so', 'že', 'pred', 'časom', 'pripravili', 'vse', 'potrebno', 'za', 'negovanje', 'bolnikov', ',', 'pri', 'katerih', 'je', 'bilo', 'zdravljenje', 'končano', '.']","[7, 5, 9, 11, 7, 5, 0, 13, 4, 7, 5, 5, 6, 7, 13, 9, 9, 5, 4, 6]"
