tokens,pos_tags
"['tudi', 'če', 'ji', 'paše']","[0, 1, 2, 3]"
"['ma', 'ja', 'to', 'mi', 'hodi', 'gor', 'ma', 'ni', 'lepo', 'da', '[gap]', 'v', 'elastiki']","[0, 0, 4, 2, 3, 5, 0, 6, 7, 1, 8, 9, 10]"
['ja'],[0]
"['glih', 'tako', 'je', 'bilo', 'lepo', 'lahko', 'je', 'majica', 'glej']","[5, 5, 6, 6, 7, 5, 3, 10, 3]"
"['lahko', 'je', '[gap]', 'kar', 'hočeš', '…', 'in', 'če', 'podtakneš', 'tako', 'na', 'dolgo', 'ne', '…', 'je', 'spalna', 'srajca', '…', 'ma', 'res']","[5, 3, 8, 2, 3, 8, 11, 1, 3, 5, 9, 5, 0, 8, 6, 7, 10, 8, 0, 5]"
"['imaš', 'še', 'kakšen', 'bolero', '?']","[3, 0, 4, 10, 8]"
"['še', 'bolj', '…', 'ma', 'daj', '[speaker:laughter]']","[0, 5, 8, 0, 3, 8]"
['[pause]'],[12]
"['tako', '[name:personal]', 'je', 'na', 'tablo', 'dokončal', 'ste', 'pogledali', 'preverili', 'svoje', 'rezultate', '?', '…', 'a', 'je', '[name:personal]', 'prav', 'naredil', '?', 'prav', '[gap]', 'sistematično', 'to', 'tako', 'kot', 'je', '[gap]']","[5, 13, 6, 9, 10, 3, 6, 3, 3, 4, 10, 8, 8, 5, 6, 13, 5, 3, 8, 5, 8, 5, 4, 5, 1, 3, 8]"
"['ja', '…', 'ja']","[0, 8, 0]"
"['še', 'en', 'primer', 'zdaj', 'bom', 'pa', 'prebrala', 'najprej', 'bolj', 'na', 'hitro', 'preberem', 'potem', 'bom', 'prebrala', 'počasi', 'in', 'boste', 'vi', 'sami', 'v', 'zvezek', 'že', 'zapisovali', 'izraz']","[0, 14, 10, 5, 6, 11, 3, 5, 5, 9, 5, 3, 5, 6, 3, 5, 11, 6, 2, 7, 9, 10, 0, 3, 10]"
"['a', 'ne', 'na', 'a', 'ne', 'na', 'list', '?']","[5, 0, 9, 5, 0, 9, 10, 8]"
"['v', 'zvezek', 'potem', 'bom', 'pa', 'tretjič', 'prebrala', 'bom', 'pa', 'še', 'jaz', 'izraz', 'napisala', 'na', 'tablo']","[9, 10, 5, 6, 11, 5, 3, 6, 11, 0, 2, 10, 3, 9, 10]"
"['smo', 'dogovorjeni', 'tako', 'da', 'boste', 'sami', 'preverili', 'če', 'že', 'znate', 'zapisati', 'izraz', 'po', 'besedilu']","[6, 7, 11, 1, 6, 7, 3, 1, 0, 3, 3, 10, 9, 10]"
['mhm'],[15]
"['ja', 'saj', 'to', 'je', 'to']","[0, 11, 4, 6, 4]"
['mhm'],[15]
['[pause]'],[12]
"['če', 'to', 'zna', 'je', 'na', 'konju']","[1, 4, 3, 3, 9, 10]"
"['to', 'pa', 'res']","[4, 11, 5]"
['[pause]'],[12]
"['predvsem', 'bi', 'pa', 'jaz', 'rekla', 'znati', 'prodajati', 'svoje', 'znanje']","[0, 6, 11, 2, 3, 3, 3, 4, 10]"
['[pause]'],[12]
['[gap]'],[12]
"['[gap]', 'zdajle', 'še', 'malo', 'drugega', 'prodati']","[8, 5, 0, 4, 7, 3]"
"['samo', 'to', 'ne', 'vem', 'če', 'je', 'že', 'preden', 'zapusti', 'vrtec', 'šolo', 'dijaški', 'dom', 'a', 'ne']","[0, 4, 0, 3, 1, 3, 0, 1, 3, 10, 10, 7, 10, 5, 0]"
"['vem', 'ampak']","[3, 11]"
"['tega', 'bi', 'se', 'nekako', 'mogel', 'če', 'bo', 'hotel', 'preživeti']","[4, 6, 2, 5, 3, 1, 6, 3, 3]"
"['to', 'je', 'kasneje']","[4, 3, 5]"
['ja'],[0]
"['o', 'kakšni', 'se', 'pa', 'že', 'fino', 'znajdejo']","[15, 4, 2, 11, 0, 5, 3]"
"['ja', 'to', 'pa', 'ja']","[0, 4, 11, 0]"
"['glej', 'naše', 'otroke', 'ki', 'so', 'tisto', 'pismo', 'ravnateljici', 'napisali']","[3, 4, 10, 1, 6, 4, 10, 10, 3]"
"['za', 'prost', 'dan']","[9, 7, 10]"
"['ja', 'ja']","[0, 0]"
"['to', 'je', 'že', 'primer', 'da', 'znajo']","[4, 6, 0, 10, 1, 3]"
"['to', 'je', 'to']","[4, 6, 4]"
"['zdaj', 'pa']","[5, 11]"
"['to', 'smo', 'mogle', 'v', 'bistvu', 'same', 'narediti']","[4, 6, 3, 9, 10, 7, 3]"
['[pause]'],[12]
"['do', 'sedemindvajsetega']","[9, 7]"
"['kdo', 'pa', 'je', 'to', 'd', '[gap]', 'to', 'ste', 'vi', 'dobili', '[gap]']","[2, 11, 6, 4, 12, 8, 4, 6, 2, 3, 8]"
"['mhm', '…', 'ja', '…', 'mhm']","[15, 8, 0, 8, 15]"
"['in', 'pač', 'ne', 'vem', 'zdaj', 'kaj', 'ali', 'imeli', 'svoj', 'lasten', 'piknik', 'ali', 'kaj', 'jaz', 'vem', 'nekaj', 'v', 'bistvu', 'čim', 'bolj', 'takega', 'neformalnega', 'bi', 'jaz']","[11, 0, 0, 3, 5, 2, 11, 3, 4, 7, 10, 11, 2, 2, 3, 4, 9, 10, 5, 5, 4, 7, 3, 2]"
"['mhm', 'mhm', '…', 'ja', 'ja', 'da', 'je', 'čim', 'bolj', 'tako', 'da', 'se', 'pol', '…', 'nadaljuje', 'ja']","[15, 15, 8, 0, 0, 1, 3, 5, 5, 5, 1, 2, 5, 8, 3, 0]"
"['rada', 'našla', 'ne', 'vem', 'ali', '…', 'tako', 'da', 'nekje', 'pristanemo', 'in', 'imamo', 'žur', 'no', 'na', 'ne', 'vem', 'ali']","[5, 3, 0, 3, 11, 8, 5, 1, 5, 3, 11, 3, 10, 0, 9, 0, 3, 11]"
"['hvala', 'za', 'povabilo']","[10, 9, 10]"
['eee'],[15]
"['ko', 'sva', 'se', 'dogovarjala', 'za', 'intervju', 'na', 'današnji', 'dan', 'vas', 'je', 'eee', 'četrti', 'maj', 'asociiral', 'na', 'dva', 'dogodka']","[1, 6, 2, 3, 9, 10, 9, 7, 10, 2, 6, 15, 7, 10, 3, 9, 14, 10]"
"['na', 'obletnico', 'titove', 'smrti', 'eee', 'pa', 'tudi', 'na', 'vašo', 'taščo', 'ste', 'se', 'spomnili']","[9, 10, 7, 10, 15, 11, 0, 9, 4, 10, 6, 2, 3]"
"['ja', 'moja', 'tašča', '[name:personal]', '[name:surname]', 'je', 'bila', 'eee', 'dolgoletna', 'tajnica', 'na', 'prvi', 'gimnaziji']","[0, 4, 10, 13, 13, 6, 6, 15, 7, 10, 9, 7, 10]"
"['pravzaprav', 'sva', 'prišla', 'skupaj', 'v', 'službo', 'prvega', 'septembra', 'leta', 'triinsedemdeset']","[0, 6, 3, 5, 9, 10, 7, 10, 10, 14]"
"['no', 'in', 'eee', 'eee', 'naključje', 'je', 'hotelo', 'da', 'sva', 'bila', 'potem', 'tudi', 'nnn', 'prijatelja', 'kot', 'eee', 'tajnica', 'in', 'profesor', 'potem', 's', '[gap]', 'pa', 'eee', 'so', 'nas', 'nekako', 'povezale', 'sorodstvene', 'vezi']","[0, 11, 15, 15, 10, 6, 3, 1, 6, 6, 5, 0, 15, 10, 1, 15, 10, 11, 10, 5, 12, 8, 11, 15, 6, 2, 5, 3, 7, 10]"
"['ker', 'sem', 'se', 'poročil', 'z', 'njeno', 'hčerko', 'in', 'imeli', 'smo', 'veliko', 'skupnih', 'interesov', 'tudi', 'glasbo', 'no', 'zato', 'sem', 'tudi', 'eee', 'za', 'konec', 'izbral', 'eno', 'skladbo', 'ki', 'jo', 'je', 'imela', 'zelo', 'rada', 'in', 'danes', 'bi', 'imela', 'rojstni', 'dan']","[1, 6, 2, 3, 9, 4, 10, 11, 3, 6, 4, 7, 10, 0, 10, 0, 5, 6, 0, 15, 9, 10, 3, 14, 10, 1, 2, 6, 3, 5, 5, 11, 5, 6, 3, 7, 10]"
['[speaker:laughter]'],[12]
"['jaz', 'upam', 'da', 'imate']","[2, 3, 1, 3]"
