tokens,pos_tags
"['Visa', 'alla']","['VERB', 'PRON']"
"['Om', 'ANSI', 'SQL-frågeläge']","['ADP', 'PROPN', 'NOUN']"
"['En', 'del', 'av', 'innehållet', 'i', 'det', 'här', 'avsnittet', 'kanske', 'inte', 'gäller', 'för', 'vissa', 'språk', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADV', 'NOUN', 'ADV', 'PART', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['Du', 'skapar', 'SQL-frågor', 'i', 'något', 'av', 'två', 'ANSI', 'SQL-frågelägen', ':']","['PRON', 'VERB', 'NOUN', 'ADP', 'PRON', 'ADP', 'NUM', 'PROPN', 'NOUN', 'PUNCT']"
"['ANSI-89', 'ger', 'den', 'traditionella', 'Jet', 'SQL-syntaxen', '.']","['PROPN', 'VERB', 'DET', 'ADJ', 'PROPN', 'NOUN', 'PUNCT']"
"['Detta', 'läge', 'ligger', 'nära', 'specifikationen', 'för', 'ANSI-89', 'nivå', '1', ',', 'men', 'det', 'är', 'inte', 'kompatibelt', 'med', 'ANSI-89', 'nivå', '1', '.']","['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NUM', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'PART', 'ADJ', 'ADP', 'PROPN', 'NOUN', 'NUM', 'PUNCT']"
"['Vissa', 'funktioner', 'i', 'ANSI-89', 'SQL', 'är', 'inte', 'implementerade', 'och', 'jokertecknen', 'är', 'anpassade', 'till', 'specifikationen', 'för', 'Visual', 'Basic', 'for', 'Applications', '(', 'VBA', ')', ',', 'inte', 'SQL', '.']","['ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'AUX', 'PART', 'VERB', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'PUNCT', 'PART', 'PROPN', 'PUNCT']"
"['ANSI-92', 'ger', 'nya', 'reserverade', 'ord', ',', 'syntax-regler', 'och', 'jokertecken', 'som', 'förbättrar', 'möjligheterna', 'att', 'skapa', 'frågor', ',', 'filter', 'och', 'SQL-uttryck', '.']","['PROPN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'VERB', 'NOUN', 'PART', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']"
"['Detta', 'läge', 'ligger', 'nära', 'specifikationen', 'för', 'ANSI-92', 'nivå', '1', ',', 'men', 'det', 'är', 'inte', 'kompatibelt', 'med', 'ANSI-92', 'nivå', '1', '.']","['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NUM', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'PART', 'ADJ', 'ADP', 'PROPN', 'NOUN', 'NUM', 'PUNCT']"
"['Detta', 'frågeläge', 'innehåller', 'mer', 'ANSI-syntax', 'och', 'jokertecknen', 'är', 'anpassade', 'till', 'SQL-specifikationen', '.']","['DET', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['Om', 'du', 'använder', 'ADOX', 'i', 'Microsoft', 'Access', '2000', ',', 'kan', 'du', 'programmatiskt', 'skapa', 'frågor', 'som', 'använder', 'ANSI-92', 'SQL-syntax', '.']","['SCONJ', 'PRON', 'VERB', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'NUM', 'PUNCT', 'AUX', 'PRON', 'ADV', 'VERB', 'NOUN', 'PRON', 'VERB', 'PROPN', 'NOUN', 'PUNCT']"
"['Frågor', 'som', 'du', 'skapar', 'syns', 'dock', 'inte', 'i', 'databasfönstret', 'eftersom', 'läget', 'inte', 'går', 'att', 'ange', 'i', 'användargränssnittet', '.']","['NOUN', 'PRON', 'PRON', 'VERB', 'VERB', 'ADV', 'PART', 'ADP', 'NOUN', 'SCONJ', 'NOUN', 'PART', 'VERB', 'PART', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['I', 'Access', '2002', 'kan', 'du', 'ange', 'ANSI', 'SQL-frågeläge', 'via', 'användargränssnittet', 'i', 'den', 'aktuella', 'databasen', 'och', 'som', 'standardinställning', 'i', 'nya', 'databaser', '.']","['ADP', 'PROPN', 'NUM', 'AUX', 'PRON', 'VERB', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
"['Varför', 'ska', 'jag', 'använda', 'ANSI-92', 'SQL', '?']","['ADV', 'AUX', 'PRON', 'VERB', 'PROPN', 'PROPN', 'PUNCT']"
"['Det', 'kan', 'vara', 'intressant', 'att', 'använda', 'ANSI-92', 'SQL', 'av', 'följande', 'anledningar', ':']","['PRON', 'AUX', 'AUX', 'ADJ', 'PART', 'VERB', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']"
