tokens,pos_tags
"['Individuell', 'beskattning', 'av', 'arbetsinkomster']","[7, 0, 2, 0]"
"['Genom', 'skattereformen', 'införs', 'individuell', 'beskattning', '(', 'särbeskattning', ')', 'av', 'arbetsinkomster', '.']","[2, 0, 1, 7, 0, 4, 0, 4, 2, 0, 4]"
"['Det', 'innebär', 'bl.a.', 'att', 'endast', 'en', 'skatteskala', 'kommer', 'att', 'finnas', 'för', 'beräkning', 'av', 'statlig', 'inkomstskatt', '.']","[5, 1, 6, 9, 6, 12, 0, 8, 11, 1, 2, 0, 2, 7, 0, 4]"
"['Den', 'blir', 'gemensam', 'för', 'alla', 'inkomsttagare', 'oavsett', 'civilstånd', '.']","[5, 1, 7, 2, 3, 0, 2, 0, 4]"
"['Den', 'gäller', 'även', 'för', 'oskifta', 'dödsbon', 'och', 'familjestiftelser', '.']","[5, 1, 6, 2, 7, 0, 10, 0, 4]"
"['De', 'inkomster', 'som', 'på', 'detta', 'sätt', 'beskattas', 'individuellt', 'kallas', 'A-inkomster', '.']","[3, 0, 5, 2, 3, 0, 1, 6, 1, 0, 4]"
"['Dessa', 'inkomster', 'är', '*', 'inkomst', 'av', 'tjänst', '-', 'lön', ',', 'pension', ',', 'livränta', ',', 'undantagsförmåner', 'och', 'övrig', 'tjänsteinkomst', '.', '(', 'Undantag', ':', 'periodiskt', 'understöd', 'eller', 'därmed', 'jämförlig', 'periodisk', 'inkomst', '.', ')', '*', 'inkomst', 'av', 'jordbruksfastighet', '-', 'om', 'den', 'skattskyldige', 'arbetat', 'i', 'jordbruket', 'i', 'ej', 'blott', 'ringa', 'omfattning', '.', '*', 'inkomst', 'av', 'rörelse', '-', 'om', 'den', 'skattskyldige', 'arbetat', 'i', 'rörelsen', 'i', 'ej', 'blott', 'ringa', 'omfattning', '.']","[3, 0, 8, 4, 0, 2, 0, 4, 0, 4, 0, 4, 0, 4, 0, 10, 7, 0, 4, 4, 0, 4, 7, 0, 10, 6, 7, 7, 0, 4, 4, 4, 0, 2, 0, 4, 9, 3, 7, 1, 2, 0, 2, 11, 6, 7, 0, 4, 4, 0, 2, 0, 4, 9, 3, 7, 1, 2, 0, 2, 11, 6, 7, 0, 4]"
"['Makars', 'övriga', 'inkomster', 'är', 'B-inkomster', 'och', 'skall', 'som', 'tidigare', 'sambeskattas', '.']","[0, 7, 0, 8, 0, 10, 8, 9, 6, 1, 4]"
"['Sådana', 'B-inkomster', 'är', 't.ex.', 'inkomst', 'av', 'kapital', ',', 'tillfällig', 'förvärvsverksamhet', ',', 'periodiskt', 'understöd', '.']","[7, 0, 8, 6, 0, 2, 0, 4, 7, 0, 4, 7, 0, 4]"
"['B-inkomster', 'som', 'för', 'makarna', 'sammanlagt', 'uppgår', 'till', 'högst', '2000', 'kr', 'skall', 'dock', 'betraktas', 'som', 'A-inkomst', 'och', 'alltså', 'beskattas', 'individuellt', '.']","[0, 5, 2, 0, 6, 1, 2, 6, 12, 0, 8, 6, 1, 9, 0, 10, 6, 1, 6, 4]"
"['Frivillig', 'särbeskattning', 'tillämpas', 'sista', 'gången', 'i', 'samband', 'med', '1971', 'års', 'taxering', '.']","[7, 0, 1, 7, 0, 2, 0, 2, 12, 0, 0, 4]"
"['Observera', 'att', 'ansökan', 'härom', 'skall', 'göras', 'senast', 'den', '1', 'juli', '1971', '.']","[1, 9, 0, 6, 8, 1, 6, 3, 12, 0, 12, 4]"
"['Kommunalskatteavdraget', 'slopas']","[0, 1]"
