tokens,pos_tags
"['JA@ub', 'STÄMMA']","[0, 3]"
"['PRO1', 'BLI', 'BÖRJA', 'MED.VARA', 'LEDAMOT', 'INUTI', 'IDROTT^KLUBB', 'TID-FRAMÅT', 'KASSÖR', 'TID-FRAMÅT', 'BLI', 'IDROTT^KLUBB', 'ORDFÖRANDE', 'TID-FRAMÅT', 'SEX', 'ÅR', 'TID-FRAMÅT']","[8, 3, 3, 7, 2, 3, 2, 5, 2, 5, 3, 2, 2, 5, 1, 2, 5]"
"['NÅGOT-KOMMA-MELLAN@z', 'LISTBOJ.TVÅ', 'PEK>långf', 'DÖVFÖRENING', 'ORDFÖRANDE', 'SUMMA@z', 'BLI@z', 'TVÅ', 'SITTA@z', 'SITTA']","[3, 7, 4, 2, 2, 2, 3, 1, 3, 3]"
"['LISTBOJ.TVÅ', 'ORDFÖRANDE', 'DYKA-UPP', 'LISTBOJ.TRE', 'GAMMAL(Y)', 'ÄLVSBORG@en', 'LÄN', 'GAMMAL(Y)@z']","[7, 2, 3, 7, 9, 2, 2, 9]"
"['BLI@z', 'LISTBOJ.TRE', 'ORDFÖRANDE', 'BLI', 'ALLA>pekf_långf_ringf', 'ORDFÖRANDE>pekf', 'ORDFÖRANDE>långf', 'ORDFÖRANDE>tre', 'TRE', 'PEK>pekf', 'IDROTT^KLUBB', 'PEK>långf', 'DÖVFÖRENING', 'PEK>ringf', 'ÄDLF@b', 'FÖRUT', 'NAMN', 'PEK>ringf']","[3, 7, 2, 3, 8, 2, 2, 2, 1, 4, 2, 4, 2, 4, 2, 5, 2, 4]"
"['PRO1', 'SLUTA', 'IDROTT', 'KLUBB', 'MÅSTE', 'PRO1', 'LÄMNA', 'FÖR', 'MYCKET', 'BLI', 'TVÅ', 'KVAR', 'PEK>pekf', 'LISTBOJ.TVÅ', 'idrott@&', 'DÖVFÖRENING', 'OCH', 'ÄDLF@b']","[8, 3, 2, 2, 3, 8, 3, 5, 5, 3, 1, 5, 4, 7, 7, 2, 6, 2]"
"['ÄDLF@b@z', 'BILDA', 'REGION', 'ÄNDRA.OM', 'REGION', 'VÄSTERGÖTLAND@en', 'REGION', 'ÄNDRA.OM', 'ÄDLF@b', 'TYNA(Yt)']","[2, 3, 2, 3, 2, 2, 2, 3, 2, 3]"
"['PEK', 'DYKA-UPP', 'PRO1.FL', 'MEDLEM', 'INUTI', 'REGION', 'FÖRESLÅ', 'OBJPRO1', 'glosa@&', 'ORDFÖRANDE', 'INUTI', 'VGDI@b@en']","[4, 3, 8, 2, 3, 2, 3, 8, 7, 2, 3, 2]"
"['PRO1', 'SITTA', 'I@b', 'ÅTTA', 'ÅR', 'TID-FRAMÅT']","[8, 3, 10, 1, 2, 5]"
"['PRO1', 'SLUTA(da)', 'GLOSA:(AVGÅ)@z', 'LÄMNA', 'NY@b', 'LEDARE']","[8, 3, 7, 3, 9, 2]"
