tokens,pos_tags
"['சென்னை', 'அருகே', 'ஸ்ரீ', 'பெரும்புதூரில்', 'கிரீன்', 'பீல்டு', '(', 'நவீன', ')', 'விமான', 'நிலையத்துக்குக்கான', 'நிலையத்துக்குக்க்', 'ஆன', 'நிலம்', 'யாருக்கும்', 'பாதிப்பு', 'இல்லாத', 'வகையில்', 'எடுக்கப்', 'படும்', 'என்று', 'முதல்வர்', 'கருணாநிதி', 'உறுதியளித்துள்ளார்', 'உறுதியளித்த்', 'உள்ளார்', '.']","['PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'PROPN', None, 'NOUN', 'PART', 'NOUN', 'PRON', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PART', 'NOUN', 'PROPN', None, 'VERB', 'AUX', 'PUNCT']"
"['இது', 'தொடர்பாக', ',', 'அவர்', 'புதன்கிழமை', 'வெளியிட்ட', 'அறிக்கை', ':', '.']","['PRON', 'ADV', 'PUNCT', 'PRON', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']"
"['நாடு', 'முழுவதும்', 'விமானப்', 'போக்குவரத்தில்', 'ஏற்பட்டு', 'வரும்', 'வளர்ச்சியைக்', 'கருத்தில்', 'கொண்டு', ',', 'முக்கிய', 'நகரங்களில்', 'உள்ள', 'விமான', 'நிலையங்களை', 'விரிவுபடுத்தவும்', 'விரிவுபடுத்தவ்', 'உம்', ',', 'புதிதாக', 'சர்வதேச', 'விமான', 'நிலையங்களை', 'அமைக்கவும்', 'அமைக்கவ்', 'உம்', 'மத்திய', 'அரசு', 'முடிவு', 'செய்தது', '.']","['NOUN', 'DET', 'PROPN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'NOUN', None, 'VERB', 'PART', 'PUNCT', 'ADV', 'ADJ', 'PROPN', 'NOUN', None, 'VERB', 'PART', 'ADJ', 'NOUN', 'NOUN', 'AUX', 'PUNCT']"
"['அதன்படி', ',', 'புதுதில்லி', ',', 'மும்பை', ',', 'கொல்கத்தா', ',', 'சென்னை', 'ஆகிய', 'விமான', 'நிலையங்களை', 'மேம்படுத்த', 'புதிய', 'திட்டங்கள்', 'உருவாக்கப்', 'பட்டு', 'நிறைவேற்றப்', 'படுகின்றன', '.']","['ADV', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'ADJ', 'PROPN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'AUX', 'VERB', 'AUX', 'PUNCT']"
"['கர்நாடகத்திலும்', 'கர்நாடகத்தில்', 'உம்', ',', 'ஆந்திரத்திலும்', 'ஆந்திரத்தில்', 'உம்', 'கிரீன்', 'பீல்டு', 'விமான', 'நிலையங்களை', 'அமைத்து', 'தமிழகத்தை', 'முந்திக்', 'கொண்டு', 'விட்டனர்', '.']","[None, 'PROPN', 'PART', 'PUNCT', None, 'NOUN', 'PART', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'VERB', 'PROPN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
"['ஆனால்', ',', 'இந்த', 'வரிசையில்', 'சென்னை', 'அருகே', 'அமைக்கப்பட', 'அமைக்க', 'ப்பட', 'உள்ள', 'கிரீன்', 'பீல்டு', 'விமான', 'நிலையத்துக்கு', 'பாதிப்பு', 'ஏற்படும்', 'வகையில்', 'அதிமுக', 'பொதுச்', 'செயலாளர்', 'ஜெயலலிதா', ',', 'பா.ம.க.', 'நிறுவனர்', 'ராமதாஸ்', 'ஆகியோர்', 'போராட்ட', 'அறிவிப்பை', 'வெளியிட்டுள்ளனர்', 'வெளியிட்ட்', 'உள்ளனர்', '.']","['ADV', 'PUNCT', 'DET', 'NOUN', 'PROPN', 'ADP', None, 'VERB', 'AUX', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADJ', 'NOUN', None, 'VERB', 'AUX', 'PUNCT']"
"['மத்திய', 'அரசு', 'புதிதாகக்', 'கொண்டுவந்துள்ள', 'கொண்டுவந்த்', 'உள்ள', 'தொல்பொருள்', 'ஆய்வுச்', 'சட்டம்', 'மக்களின்', 'அடிப்படை', 'உரிமைகளைப்', 'பறிக்கும்', 'வகையில்', 'உள்ளதால்', 'அதை', 'திரும்பப்', 'பெற', 'வேண்டும்', 'என', 'மதிமுக', 'பொதுச்செயலர்', 'வைகோ', 'கோரிக்கை', 'விடுத்துள்ளார்', 'விடுத்த்', 'உள்ளார்', '.']","['ADJ', 'NOUN', 'ADV', None, 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'PRON', 'VERB', 'VERB', 'AUX', 'PART', 'PROPN', 'NOUN', 'PROPN', 'NOUN', None, 'VERB', 'AUX', 'PUNCT']"
"['இதுகுறித்து', 'அவர்', 'வெளியிட்டுள்ள', 'வெளியிட்ட்', 'உள்ள', 'அறிக்கை', ':', '.']","['ADV', 'PRON', None, 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']"
"['பண்பாட்டு', 'அடையாளங்களைப்', 'பாதுகாக்க', 'தொல்பொருள்', 'ஆய்வுத்', 'துறை', 'உருவாக்கப்', 'பட்டு', ',', 'தனிச்', 'சட்டங்கள்', 'இயற்றப்', 'பட்டு', 'உள்ளன', '.']","['PROPN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
"['ஆனால்', ',', 'இந்த', 'அமைப்பு', 'உருவாவதற்கு', 'முன்பு', 'அப்பகுதியில்', 'அப்', 'பகுதியில்', 'வாழ்ந்தவர்கள்', 'தான்', 'பாதுகாத்து', 'வந்தனர்', '.']","['ADV', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADV', None, 'DET', 'NOUN', 'NOUN', 'PART', 'VERB', 'AUX', 'PUNCT']"
"['அப்படிப்', 'பாதுகாத்த', 'மக்களை', ',', 'அவர்களது', 'வாழ்விடங்களிலிருந்து', 'வாழ்விடங்கள்', 'இலிருந்து', 'அகற்றி', ',', 'உள்நாட்டு', 'அகதிகளாக', 'அகதிகள்', 'ஆக', 'மாற்றுகின்ற', 'வகையில்', ',', 'மத்தியில்', 'ஆளும்', 'காங்கிரஸ்', '-', 'தி.மு.க.', 'கூட்டணி', 'அரசு', 'புதிதாக', 'ஒரு', 'தொல்பொருள்', 'ஆய்வுச்', 'சட்டத்தைக்', 'கொண்டு', 'வந்து', 'உள்ளது', '.']","['ADV', 'ADJ', 'NOUN', 'PUNCT', 'PRON', None, 'NOUN', 'ADP', 'VERB', 'PUNCT', 'PROPN', None, 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
"['இச்சட்டம்', 'குறித்து', ',', 'தமிழ்', 'உள்ளிட்ட', 'மாநில', 'மொழிகளிலும்', 'மொழிகளில்', 'உம்', 'மற்றும்', 'ஆங்கிலத்திலும்', 'ஆங்கிலத்தில்', 'உம்', 'அனைத்து', 'நாளிதழ்களிலும்', 'நாளிதழ்களில்', 'உம்', 'முழுப்பக்க', 'அளவில்', 'விளம்பரப்படுத்தி', 'உள்ளது', '.']","['NOUN', 'ADP', 'PUNCT', 'PROPN', 'ADJ', 'PROPN', None, 'NOUN', 'PART', 'CCONJ', None, 'NOUN', 'PART', 'ADJ', None, 'NOUN', 'PART', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
"['புதிய', 'சட்டத்தின்', 'படி', ',', 'பாதுகாக்கப்', 'பட்ட', 'நினைவுச்', 'சின்னத்திலிருந்து', 'சின்னத்த்', 'இலிருந்து', '1000', 'அடி', 'வரை', 'எந்த', 'கட்டுமானமும்', 'கட்டுமானம்', 'உம்', 'கட்ட', 'அனுமதி', 'இல்லை', '.']","['ADJ', 'NOUN', 'ADP', 'PUNCT', 'VERB', 'ADJ', 'NOUN', None, 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'DET', None, 'NOUN', 'PART', 'VERB', 'NOUN', 'AUX', 'PUNCT']"
"['மீறுவோருக்கு', 'ஒரு', 'லட்சம்', 'அபராதத்', 'தொகையுடன்', 'தொகைய்', 'உடன்', 'மூன்று', 'ஆண்டுகள்', 'சிறைத்', 'தண்டனை', '.']","['NOUN', 'ADJ', 'NUM', 'PROPN', None, 'NOUN', 'ADP', 'NUM', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']"
"['குடும்பத்தினர்', 'எண்ணிக்கை', 'பெருகி', 'இட', 'நெருக்கடி', 'ஏற்படும்', 'நிலையில்', 'தங்களின்', 'மூதாதையர்கள்', 'வாழ்ந்த', 'வீட்டை', 'விரிவாக்கம்', 'செய்யவோ', 'செய்யவ்', 'ஓ', ',', 'கூடுதல்', 'அறையோ', 'அறைய்', 'ஓ', ',', 'தாழ்வாரமோ', 'தாழ்வாரம்', 'ஓ', ',', 'கழிப்பு', 'அறையோ', 'அறைய்', 'ஓ', 'கட்டினால்', 'கூட', 'இச்சட்டத்தின்', 'இச்', 'சட்டத்தின்', 'படி', 'வீட்டின்', 'உரிமையாளரும்', 'உரிமையாளர்', 'உம்', ',', 'சம்பந்தப்பட்ட', 'அரசு', 'அதிகாரிகளும்', 'அதிகாரிகள்', 'உம்', 'தண்டிக்கப்', 'படுவார்கள்', '.']","['NOUN', 'NOUN', 'VERB', 'PROPN', 'NOUN', 'ADJ', 'NOUN', 'PRON', 'NOUN', 'ADJ', 'NOUN', 'NOUN', None, 'AUX', 'PART', 'PUNCT', 'ADJ', None, 'NOUN', 'PART', 'PUNCT', None, 'NOUN', 'PART', 'PUNCT', 'NOUN', None, 'NOUN', 'PART', 'VERB', 'PART', None, 'DET', 'NOUN', 'ADP', 'NOUN', None, 'NOUN', 'PART', 'PUNCT', 'ADJ', 'NOUN', None, 'NOUN', 'PART', 'VERB', 'AUX', 'PUNCT']"
"['ஏற்கனவே', 'வாழ்ந்து', 'வரும்', 'வீடுகள்', 'தொல்பொருள்', 'ஆய்வுத்துறையின்', 'அனுமதி', 'பெறாமல்', 'கட்டப்', 'பட்டு', 'இருப்பின்', ',', 'அவற்றை', 'இடிப்பதற்கும்', 'இடிப்பதற்க்', 'உம்', 'அதிகாரம்', 'வழங்கப்', 'பட்டு', 'உள்ளது', '.']","['ADV', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'AUX', 'AUX', 'PUNCT', 'PRON', None, 'VERB', 'PART', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
"['இப்பகுதிகளில்', 'இப்', 'பகுதிகளில்', 'புதிதாக', 'மின்', 'இணைப்புகள்', 'இனி', 'வழங்கப்', 'பட', 'மாட்டாது', '.']","[None, 'DET', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'ADV', 'VERB', 'AUX', 'AUX', 'PUNCT']"
"['இந்தப்', 'புதிய', 'சட்டம்', 'சுதந்திர', 'இந்தியாவில்', 'வாழ்வதற்கு', 'வழங்கப்', 'பட்டு', 'உள்ள', 'அடிப்படை', 'உரிமைகளைப்', 'பறிக்கும்', 'வகையில்', 'அமைந்துள்ளது', 'அமைந்த்', 'உள்ளது', '.']","['DET', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'VERB', 'AUX', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', None, 'VERB', 'AUX', 'PUNCT']"
"['மீன்பிடி', 'ஒழுங்குமுறைச்', 'சட்டத்தை', 'எதிர்த்து', ',', 'மீனவ', 'மக்கள்', 'கிளர்ந்து', 'எழுந்து', 'போராடியதைப்', 'போல', ',', 'தொல்பொருள்', 'ஆய்வுத்துறை', 'கொண்டு', 'வந்து', 'உள்ள', 'சட்டத்தையும்', 'சட்டத்தைய்', 'உம்', 'எதிர்த்து', 'மக்கள்', 'போராட', 'வேண்டும்', '.']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'PROPN', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'AUX', 'ADJ', None, 'NOUN', 'PART', 'VERB', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
"['உலகின்', 'மிகச்', 'சிறந்த', 'நாடுகள்', 'பட்டியலில்', 'இந்தியாவுக்கு', '78வது', 'இடம்', 'கிடைத்துள்ளது', 'கிடைத்த்', 'உள்ளது', '.']","['NOUN', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PROPN', 'ADJ', 'NOUN', None, 'VERB', 'AUX', 'PUNCT']"
