tokens,pos_tags
"['చూసేరా', 'అండీ', '?']","['VERB', 'PART', 'PUNCT']"
"['ఎక్కడికి', 'వెళ్తున్నారండీ', '?']","['NOUN', 'VERB', 'PUNCT']"
"['ఎప్పుడోయ్', 'అమెరికా', 'నించి', 'రావటం', '?']","['PRON', 'PROPN', 'ADP', 'VERB', 'PUNCT']"
"['ఎందుకయ్యా', 'ఈ', 'బాధ', '?']","['PRON', 'DET', 'NOUN', 'PUNCT']"
"['ఇంటికి', 'పోరా', '!']","['NOUN', 'VERB', 'PUNCT']"
"['పోయి', 'నీ', 'తాతతో', 'చెప్పరా', '!']","['VERB', 'PRON', 'NOUN', 'VERB', 'PUNCT']"
"['బళ్ళు', 'సిద్ధం', 'చేయండిరా', '!']","['NOUN', 'VERB', 'VERB', 'PUNCT']"
"['పోయి', 'మీ', 'పనులు', 'చేసుకోండిరా', '!']","['VERB', 'PRON', 'NOUN', 'VERB', 'PUNCT']"
"['అబద్దం', 'చెబుతానుటరా', '?']","['NOUN', 'VERB', 'PUNCT']"
"['ఈ', 'రెండు', 'అక్షరాలు', 'దిద్దుకోవే', '!']","['DET', 'NUM', 'NOUN', 'VERB', 'PUNCT']"
"['వాణ్ణి', 'కూడా', 'పిలవవే', '!']","['PRON', 'ADP', 'VERB', 'PUNCT']"
"['ఎక్కడ', 'ఉన్నావమ్మా', 'ఇప్పటిదాకా', '?']","['ADV', 'VERB', 'ADV', 'PUNCT']"
"['రాము', 'ఎల్లుండి', 'మద్రాసు', 'వెళ్తాడు', '.']","['PROPN', 'ADV', 'PROPN', 'VERB', 'PUNCT']"
"['రాము', 'రేపో', 'ఎల్లుండో', 'మద్రాసు', 'వెళ్తాడు', '.']","['PROPN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['రాము', 'రేపన్నా', 'ఎల్లుండన్నా', 'మద్రాసు', 'వెళ్తాడు', '.']","['PROPN', 'NOUN', 'NOUN', 'PROPN', 'VERB', 'PUNCT']"
"['మీరు', 'ఈ', 'పని', 'చెయ్యాలి', '.']","['PRON', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['నేను', 'ఈ', 'పని', 'చెయ్యాలి', '.']","['PRON', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['మీరన్నా', 'నేనన్నా', 'ఈ', 'పని', 'చెయ్యాలి', '.']","['PRON', 'PRON', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['రాము', 'వస్తాడో', ',', 'రాడో', '.']","['PROPN', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['దేవుడు', 'ఉన్నాడో', ',', 'లేడో', '.']","['NOUN', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['మళ్ళీ', 'నిన్ను', 'చూడగలనో', ',', 'లేదో', '.']","['ADV', 'PRON', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['ఆమెకి', 'అప్పటికి', 'పదమూడు', 'సంవత్సరాలు', 'దాటేయో', 'లేదో', ',', 'గాని', 'అప్పటికే', 'బాగా', 'ఏపారిగా', 'ఉండేది', '.']","['PRON', 'ADV', 'NUM', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'CCONJ', 'NOUN', 'ADV', 'ADV', 'VERB', 'PUNCT']"
"['అడవిలో', 'కాలు', 'పెట్టేనో', 'లేదో', ',', 'పెద్ద', 'పులి', 'కనబడింది', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['తిలక్', 'మహాశయుడి', 'చావు', 'గురించి', 'జనం', 'మరిచేరో', 'లేదో', ',', 'గాంధీ', 'ముందుకు', 'వచ్చేరు', '.']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'PROPN', 'NOUN', 'VERB', 'PUNCT']"
"['తరవాతి', 'పని', 'ఏమిటి', '?']","['NOUN', 'NOUN', 'PRON', 'PUNCT']"
"['అతని', 'తరవాత', 'ఎవరు', '?']","['PRON', 'ADP', 'PRON', 'PUNCT']"
"['తరవాత', 'వెళ్ళండి', '.']","['ADV', 'VERB', 'PUNCT']"
"['ఈ', 'లోకంలో', 'అబద్దం', 'ఆడనివాడు', 'లేడు', '.']","['DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['ఈ', 'ఊళ్ళో', 'అబద్దం', 'ఆడనివాడు', 'లేడు', '.']","['DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['అతను', 'ఇంత', 'చిన్న', 'ఇంట్లో', 'ఉన్నాడు', '.']","['PRON', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['మీకు', 'ఎంత', 'మంచి', 'తోట', 'ఉన్నది', '!']","['NOUN', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['మీ', 'ఊరు', 'ఇక్కడికి', 'ఎంత', 'దూరం', '?']","['PRON', 'NOUN', 'NOUN', 'DET', 'NOUN', 'PUNCT']"
"['నేను', 'మీ', 'ఊళ్ళో', 'కొంత', 'కాలం', 'గడిపేను', '.']","['NOUN', 'PRON', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['ఇడుగోనండి', 'అద్దె', '!']","['PRON', 'NOUN', 'PUNCT']"
"['అదుగో', '!', 'గుర్రం', 'పరుగెత్తుతున్నది', '!']","['INTJ', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['అరుగో', 'మీ', 'నాన్నగారు', 'వచ్చేరు', '!']","['INTJ', 'PRON', 'NOUN', 'VERB', 'PUNCT']"
"['అడుగో', 'మీ', 'తమ్ముడు', '!']","['INTJ', 'PRON', 'NOUN', 'PUNCT']"
"['తాళం', 'చెవి', 'ఏదీ', '?']","['NOUN', 'NOUN', 'PRON', 'PUNCT']"
"['మీ', 'మనమడు', 'ఏడీ', '?']","['PRON', 'NOUN', 'PRON', 'PUNCT']"
"['మీ', 'మామగారు', 'ఏరీ', '?']","['PRON', 'NOUN', 'PRON', 'PUNCT']"
"['అతను', 'మద్రాసునుంచి', 'వచ్చేడు', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['నేను', 'ఉద్యోగం', 'కోసం', 'వెళ్ళేను', '.']","['PRON', 'NOUN', 'ADP', 'VERB', 'PUNCT']"
"['ఆమె', 'నాకంటే', 'చిన్న', '.']","['PRON', 'PRON', 'NOUN', 'PUNCT']"
"['మా', 'ఊరు', 'ఈ', 'ఊరికి', 'తూర్పున', 'ఉంది', '.']","['PRON', 'NOUN', 'DET', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['నేను', 'అతని', 'ద్వారా', 'పుస్తకం', 'పంపుతాను', '.']","['PRON', 'PRON', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
"['వారు', 'ఎప్పుడు', 'వస్తారు', '?']","['PRON', 'ADV', 'VERB', 'PUNCT']"
"['వారు', 'ఎప్పుడు', 'వచ్చేరు', '?']","['PRON', 'ADV', 'VERB', 'PUNCT']"
"['మనం', 'ఎందుకు', 'అన్నం', 'తిన్నాం', '?']","['PRON', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['వారు', 'ఎప్పుడు', 'రావటం', '?']","['PRON', 'ADV', 'VERB', 'PUNCT']"
"['నేను', 'ఇంటికి', 'వెళ్ళాలి', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['మేము', 'భోజనం', 'చెయ్యాలి', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['మీరు', 'మా', 'ఊరికి', 'రావాలి', '.']","['PRON', 'PRON', 'NOUN', 'VERB', 'PUNCT']"
"['వాడు', 'రేపు', 'పోవాలి', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['పాఠం', 'నేర్చుకోవాలి', '.']","['NOUN', 'VERB', 'PUNCT']"
"['మీరు', 'గట్టిగా', 'చెప్పాల్సి', 'వచ్చింది', '.']","['PRON', 'ADV', 'VERB', 'VERB', 'PUNCT']"
"['నేను', 'ఆ', 'పని', 'చెయ్యాల్సి', 'వెళ్ళేను', '.']","['PRON', 'DET', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['నేను', 'అప్పటికే', 'వెళ్ళాల్సింది', '.']","['PRON', 'ADV', 'VERB', 'PUNCT']"
